event_image-src,event_venue,event_link,event_link-href,event_title1,event_start,event_end,event_organizer,event_title2,event_text,event_cost__0,event_category__Exposición__Galerías,event_maplink__1,event_id
"http://www.artbarcelona.es/wp-content/uploads/2015/04/Masao_Yamamoto_SmallThingsInSilence_ABoxofKu613.jpg","Galería Valid Foto Bcn","","","Masao Yamamoto","06.06.15 – 31.07.15","06.06.15 – 31.07.15","Galería Valid Foto Bcn","Small Things in Silence","","null","null","null","http://www.artbarcelona.es/es/exposiciones/small-things-in-silence/"
"http://www.artbarcelona.es/wp-content/uploads/2015/06/night_2com.jpg","àngels barcelona","","","Lúa Cordech","26.05.15 – 31.07.15","26.05.15 – 31.07.15","àngels barcelona","Night in a remote cabin lit by a kerosene lamp","","null","null","null","http://www.artbarcelona.es/es/exposiciones/night-in-a-remote-cabin-lit-by-a-kerosene-lamp/"
"http://www.artbarcelona.es/wp-content/uploads/2015/06/onpaper.jpg","Victor Lope Arte Contemporáneo","","http://www.artbarcelona.es/es/exposiciones/ejercicios-de-ruptura/","Johan Barrios","","02.07.15 – 31.07.15","Victor Lope Arte Contemporáneo","Ejercicios de Ruptura","“La disposición de estos personajes casi inanimados no es mas que una excusa para hablar sobre la modificación a través de elementos encontrados del propio espacio donde se construye la imagen .
A modo de “objeto intervenido”, estas acciones están trazadas por el modo sistemático de sus atmósferas grises, misteriosas, y monocromáticas, que suscitan indudablemente la importancia del dibujo en la construcción del proyecto .
“Ejercicios de ruptura” se plantea como una reflexión entorno a la transformación , agresión y ausencia de la imagen en un territorio ambiguo, como una metáfora de lo inmediato...”","null","null","null","http://www.artbarcelona.es/es/exposiciones/ejercicios-de-ruptura/"
"http://www.artbarcelona.es/wp-content/uploads/2015/07/Rego-Paula-Dame-with-the-goats-foot-I-2012-pastel-137-x-102-cm-web.jpg","Galería Marlborough","","","Pablo Armesto, Joaquín Barón, Claudio Bravo, Juan Correa, Carlos Franco, Manuel Franquelo, Juan Genovés, Luis Gordillo, Ahmet Güneştekin, Abraham Lacalle, Jacques Lipchitz, Lucio Muñoz, Pelayo Ortega, Paula Rego, Manolo Valdés.","02.07.15 – 12.09.15","02.07.15 – 12.09.15","Galería Marlborough","Group Show","","null","null","null","http://www.artbarcelona.es/es/exposiciones/group-show/"
"http://www.artbarcelona.es/wp-content/uploads/2015/03/PALMADOTZE.-Imatge.-targeto.Paisatges-lestigma-dall---social.IMG_2221.jpg","PALMADOTZE","","","Guillem Bayo, Alfonso Borragán, Alicia Kopf, Andrea Mármol, Mateo Maté, Mariona Moncunill, Xavi Muñoz, Patricio Palomeque, Joaquín Segura","11.04.15 – 31.07.15","11.04.15 – 31.07.15","PALMADOTZE","Paisajes. El estigma de lo social","","null","null","null","http://www.artbarcelona.es/es/exposiciones/paisajes-el-estigma-de-lo-social/"
"http://www.artbarcelona.es/wp-content/uploads/2015/05/baja_Video-Fields-2002-Still_02-150x150.jpg","àngels barcelona","","","Michael Snow","26.05.15 – 31.07.15","26.05.15 – 31.07.15","àngels barcelona","Video Fields","","null","null","null","http://www.artbarcelona.es/es/exposiciones/video-fields-2/"
"http://www.artbarcelona.es/wp-content/uploads/2015/07/imatge_hidden_project.jpg","Galería H2O","","","Aqua Aura","08.07.15 – 07.08.15","08.07.15 – 07.08.15","Galería H2O","The Hidden Project","","null","null","null","http://www.artbarcelona.es/es/exposiciones/the-hidden-project/"
"http://www.artbarcelona.es/wp-content/uploads/2015/06/IMG_2474.JPG","Galería Joan Gaspar","","http://www.artbarcelona.es/es/exposiciones/colectiva-de-escultura/","Moisès Villèlia, Andreu Alfaro, Etienne Krähenbühl,  Igor Mitoraj","","12.06.15 – 31.07.15","Galería Joan Gaspar","Colectiva de escultura","Según “The Concise Oxford Dictionary”, la escultura es “el arte de dar forma a las representaciones de objetos en volumen o en relieve esculpiendo la piedra, cortando la madera, modelando la arcilla, fundiendo el metal, o procesos similares”.
La exposición que tenemos el placer de presentar, demuestra que hay muchos otros materiales que se utilizan para crear la escultura hoy en día. Así podréis disfrutar de la obra de Moisès Villèlia realizada en bambú o de las magníficas piezas de acero inoxidable y corten de Andreu Alfaro. Etienne Krähenbühl nos presenta obras en hierro cortado combinado con la aleación de níquel y titanio (memoria de forma). Y un clásico de la galería, los bronces de Igor Mitoraj. Sea cual sea el material lo más importante es el artista que da vida a una escultura. Os invitamos a nuestra galería a contemplar la gran variedad artística de estos grandes escultores.","null","null","null","http://www.artbarcelona.es/es/exposiciones/colectiva-de-escultura/"
"http://www.artbarcelona.es/wp-content/uploads/2015/03/La-Pedrera-S--rie-Gaud---Negatius-1979-Positivats-1985.jpg","Galería Eude","","http://www.artbarcelona.es/es/exposiciones/fotografias-anos-80/","Manel Esclusa","","28.05.15 – 19.09.15","Galería Eude","Fotografías, años 80","Las fotografías de Manel Esclusa, son una reflexión sobre la interioridad del Yo y el mundo, lo interno y lo exterior, el microcosmos y el macrocosmos.","null","null","null","http://www.artbarcelona.es/es/exposiciones/fotografias-anos-80/"
"http://www.artbarcelona.es/wp-content/uploads/2015/05/imagen-close-cropped.jpg","ProjecteSD","","http://www.artbarcelona.es/es/exposiciones/close-cropped-tales-2/","Gilda Mantilla & Raimond Chaves, Jochen Lempert, Susan Philipsz, Isidoro Valcárcel Medina","","03.06.15 – 31.07.15","ProjecteSD","null","ProjecteSD presenta Close-Cropped Tales [Historias reencuadradas], exposición colectiva en la que se muestran una serie de obras que tienen en su base la idea de edición y la relación con textos impresos, con libros. El título de la exposición, sacado del libro homónimo de John Baldessari sirve para relacionar la noción de historia tanto a nivel visual como textual. Gilda Mantilla y Raimond Chaves presentan Río Tomo-Secretos de la Amazonía (2011), una doble proyección de dispositivas que relaciona imágenes y fragmentos de texto para hacer una reflexión sobre el discurso de lo exótico. Jochen Lempert mostrará una serie de fotografías asociadas e insertadas en varios de libros de artista, Close-Cropped Tales siendo uno de los títulos seleccionados. La artista escocesa Susan Philipsz presentará The Dead (2000) una pieza de audio relacionada con textos de James Joyce. Por último, la exposición cuenta con una pieza histórica de Isidoro Valcárcel Medina que fue presentada por primera vez en los Encuentros de Pamplona, La Celosía (1972), basada en el relato homónimo de Alain Robbe-Grillet.","null","null","null","http://www.artbarcelona.es/es/exposiciones/close-cropped-tales-2/"
