event_title1,event_image-src,event_text,event_start,event_end,event_maplink__1,event_cost__0,event_organizer__Blueproject Foundation,event_venue__Blueproject Foundation,event_category__Exposición__Blueproject Foundation__Arte contemporáneo,event_id,event_link,event_link-href,event_title2
"LIONEL ESTEVE","","La Blueproject Foundation presenta ""Un nuage sur mes épaules"" la primera exposición personal del artista francés Lionel Esteve en nuestro país, que se podrá ver en Il Salotto del 06 de marzo hasta el 07 de junio del 2015. Es la primera vez que la Blueproject Foundation presenta una instalación pensada para transformar específicamente el espacio de exposición y aprovechar todas las características y potencialidades del espacio.","06.03.2015 - 07.06.2015","06.03.2015 - 07.06.2015","null","null","null","null","null","/es/exposiciones/il-salotto/item/lionel-esteve?category_id=19","LIONEL ESTEVE","http://blueprojectfoundation.org/es/exposiciones/il-salotto/item/lionel-esteve?category_id=19","UN NUAGE SUR MES ÉPAULES"
"Ella: allà i després","http://blueprojectfoundation.org/cache/com_zoo/images/portada_ella_a8aa2b6164afd40006dedb96a96d329e.jpg","La Blueproject Foundation presenta ""Ella: allà i després"", un proyecto de Anna Dot, Daniel Moreno Roldán y Estel Boada comisariado por Caterina Almirall. El nombre de ""Mercè"" significa ""recompensa"" y hace referencia a las diferentes apariciones marianas que han tenido lugar a lo largo del tiempo. Una de estas apariciones se dio de manera simultánea en tres lugares diferentes la misma noche del 24 de septiembre de 1218. La vivieron 3 hombres que se encontraban solos en sus respectivas cámaras: el rey Jaime I, San Pedro Nolasco y San Ramón de Penyafort. Esta aparición representa el cumplimiento de la visita que la Virgen había prometido al pueblo catalán. Hasta entonces, la visita había quedado pendiente.","27.05.2015 - 31.05.2015","27.05.2015 - 31.05.2015","null","null","null","null","null","/es/exposiciones/sala-project/item/ella-alla-i-despres","Ella: allà i després","http://blueprojectfoundation.org/es/exposiciones/sala-project/item/ella-alla-i-despres","Anna Dot, Daniel Moreno Roldán y Estel Boada"
"Bukra Inshallah","http://blueprojectfoundation.org/cache/com_zoo/images/memo_bloque_52c75148151978bd3afa189a4390a93d.jpg","La Blueproject Foundation presenta ""Bukra Inshallah, The Libyan War"", su primera exposición dedicada exclusivamente a la fotografía. La muestra presenta una selección de obras a cargo de Fabio Bucciarelli, Manu Brabo y Guillem Valle, miembros del famoso colectivo de fotoperiodismo MEMO, reconocidos por los más importantes premios internacionales como el World Press Photo, el Premio Pulitzer de fotografía o el Robert Capa Gold Medal.","13.02.2015 - 19.04.2015","13.02.2015 - 19.04.2015","null","null","null","null","null","/es/exposiciones/sala-project/item/bukra-inshallah?category_id=18","Bukra Inshallah","http://blueprojectfoundation.org/es/exposiciones/sala-project/item/bukra-inshallah?category_id=18","The Libyan War"
"Formal exercise","http://blueprojectfoundation.org/cache/com_zoo/images/portada_mutiloa_b117635269c511f9d2ef0e065d76de11.jpg","La Blueproject Foundation presenta Formal Exercise, la tercera exposición del programa de residencias 2015 a cargo de David Mutiloa. La propuesta parte de una serie de diseños que Ettore Sottsass esbozaba originariamente en un catálogo de 1979. En él, Sottsass reflexionaba en torno a su intención de recuperar las experiencias aportadas por el diseño radical italiano en las décadas anteriores, hacer balance de ellas y adoptar nuevos campos de maniobra para el ejercicio de la crítica desde el campo específico del diseño. Sin embargo, al final de su reflexión Sottsass también exponía cierta duda, la posibilidad de que todo funcionase de un modo diferente al que él estaba presuponiendo. 
 
David Mutiloa analiza el trabajo de Sottsass de los años 80, como si, de manera ingenua o naíf, en lugar de reactivar esta capacidad crítica, hubiese conseguido justamente lo contrario, alimentar la propia maquinaria económica con nuevos objetos, texturas y ornamentos. Asimismo, entiende aquella época como un punto de inflexión en el que la Modernidad comienza a disolverse, cuando la cara feliz de la utopía creativa comienza a volcarse en desesperación e impotencia, en toma de conciencia de que la historia es historia de automatismos irreversibles.
 
Formal Exercise presenta una serie de objetos construidos a partir de estos fragmentos. A través de su propuesta, Mutiloa trata de recuperar los diseños de Sottsass y, sometiéndolos a un proceso de abstracción, de una manera críptica y descontextualizada, situarse entre la reactivación de cierto componente crítico de su programa político y su banalización o fracaso en su transformación en una serie de volúmenes abstractos y estilos caducos en un espacio expositivo.","30.07.2015 - 20.09.2015","30.07.2015 - 20.09.2015","null","null","null","null","null","/es/exposiciones/sala-project/item/formal-exercise","Formal exercise","http://blueprojectfoundation.org/es/exposiciones/sala-project/item/formal-exercise","David Mutiloa"
"274,59 m2","http://blueprojectfoundation.org/cache/com_zoo/images/portada_luzbroto_1_ccfce841a1e4ab631b1f9cb260318918.jpg","La Blueproject Foundation presenta “274,59 m2” el primer proyecto ganador de su programa de residencias 2014-2015 a cargo de la artista Luz Broto. La propuesta traslada al espacio expositivo el vallado de 50 m lineales de un solar de 274,59 m2 situado en un barrio céntrico de Barcelona, cerrado y paralizado desde hace años.","24.04.2015 - 23.05.2015","24.04.2015 - 23.05.2015","null","null","null","null","null","/es/exposiciones/sala-project/item/27459-m2","274,59 m2","http://blueprojectfoundation.org/es/exposiciones/sala-project/item/27459-m2","LUZ BROTO"
"Wolfgang Laib","http://blueprojectfoundation.org/cache/com_zoo/images/wolfgang-laib_0cc3630441f5116bda2da8eefdcd686a.jpg","La Blueproject Foundation presenta “Wolfgang Laib”, la primera exposición personal de un artista en Il Salotto. La propuesta permite disfrutar de algunas de las obras más emblemáticas de uno de los artistas alemanes más importantes, como su fascinante “Milkstone” o su impresionante cuadrado de polen, que ya exhibió el año pasado en el MOMA de Nueva York.","28.06.2014 - 23.11.2014","28.06.2014 - 23.11.2014","null","null","null","null","null","/es/exposiciones/il-salotto/item/wolfgang-laib?category_id=19","Wolfgang Laib","http://blueprojectfoundation.org/es/exposiciones/il-salotto/item/wolfgang-laib?category_id=19","null"
"Little is left to tell","http://blueprojectfoundation.org/cache/com_zoo/images/portada_calvino_502620fc8ef71d19e93a128a17d07c8d.jpg","La Blueproject Foundation presenta “Little is left to tell (Calvino after Calvino)”, la nueva exposición colectiva de la Blueproject Foundation que se podrá ver en Il Salotto del 12 de junio al 31 octubre del 2015. La muestra reúne 12 obras, agrupadas por pares, que analizan sucesivamente cada una de las predicciones que el escritor Italo Calvino realizó en su libro póstumo Seis propuestas para el próximo milenio (publicado en 1985): visibilidad, rapidez, levedad, exactitud, multiplicidad y consistencia.","12.06.2015 - 31.10.2015","12.06.2015 - 31.10.2015","null","null","null","null","null","/es/exposiciones/il-salotto/item/little-is-left-to-tell","Little is left to tell","http://blueprojectfoundation.org/es/exposiciones/il-salotto/item/little-is-left-to-tell","Calvino after Calvino"
"Idolatry","http://blueprojectfoundation.org/cache/com_zoo/images/idolatry_043e42df5602249546f66f954987ff4f.jpg","La Blueproject Foundation presenta Idolatry_ What sacred games shall we have to invent?, la segunda exposición colectiva en Il Salotto que contará con obras de Doug Aitken, Jean-Michel Basquiat, Douglas Gordon, Keith Haring, Damien Hirst, Vik Muniz, Tom Sachs, Anthony Schepperd, Robert Williams y Aaron Young.","06.03.2014 - 22.06.2014","06.03.2014 - 22.06.2014","null","null","null","null","null","/es/exposiciones/il-salotto/item/idolatry?category_id=19","Idolatry","http://blueprojectfoundation.org/es/exposiciones/il-salotto/item/idolatry?category_id=19","What Sacred Games Shall We Have To Invent?"
"Chen Zhen","http://blueprojectfoundation.org/cache/com_zoo/images/chenzhen_main_7d0ad5c385babd5f7ce6ee7ff25f7a17.jpg","La Blueproject Foundation presenta “Chen Zhen: In-Between”, la primera exposición personal de este reconocido artista chino en España. Una propuesta que reflexiona sobre el equilibrio de la vida interior, la relación con la cultura oriental y la fragilidad de la interioridad individual. Mediante una selección de 5 instalaciones representativas de la trayectoria del artista, y de una serie de dibujos y bocetos, la exposición propone un recorrido por las inquietudes más esenciales de Chen Zhen y las problemáticas más profundas de su obra.","28.11.2014 - 22.02.2015","28.11.2014 - 22.02.2015","null","null","null","null","null","/es/exposiciones/il-salotto/item/chen-zhen-in-between?category_id=19","Chen Zhen","http://blueprojectfoundation.org/es/exposiciones/il-salotto/item/chen-zhen-in-between?category_id=19","In-Between"
"Gjentagelsen","http://blueprojectfoundation.org/cache/com_zoo/images/portada_danieltoca_e20b128c17160e3b4aa6fbd24031c7a6.jpg","La Blueproject Foundation presenta “Gjentagelsen (sobre cómo el amor pudo cubrir multitud de pecados)”, la segunda exposición de su programa de residencias 2015 a cargo del artista Daniel Toca, que podrá verse en la Sala Project del 05 de junio al 26 de julio del 2015.","05.06.2015 - 26.07.2015","05.06.2015 - 26.07.2015","null","null","null","null","null","/es/exposiciones/sala-project/item/gjentagelsen","Gjentagelsen","http://blueprojectfoundation.org/es/exposiciones/sala-project/item/gjentagelsen","Daniel Toca"
