event_image-src,event_venue,event_link,event_link-href,event_title1,event_start,event_end,event_organizer,event_title2,event_text,event_cost__0,event_category__Exposición__Galería,event_maplink__1,event_id
"http://www.artbarcelona.es/wp-content/uploads/2015/05/Roger-Ballen-Squeezed.jpg","Galería Senda","","http://www.artbarcelona.es/es/exposiciones/roger-ballen-outland-previously-unseen-2/","Roger Ballen","","26.05.15 – 28.06.15","Galería Senda","Roger Ballen, Outland Previously Unseen","Desde el martes 26 de mayo, se inaugura en SENDA, ""Roger Ballen, Outland Previously Unseen”, una muestra de las fotografías inéditas de la reconocida serie del artista, “Outland”, la culminación de veinte años de trabajo que refleja la marginalidad de Sudáfrica y los habitantes de sus pueblos y zonas rurales, de manera conmovedora e incomprensible y a la vez extrañamente bella. La exposición coincide con la reciente publicación del libro “Outland”, el resultado de uno de los testimonios fotográficos más estremecedores de nuestros tiempos.","null","null","null","http://www.artbarcelona.es/es/exposiciones/roger-ballen-outland-previously-unseen-2/"
"http://www.artbarcelona.es/wp-content/uploads/2015/05/VUELO_2005_mixta-sobre-tabla_60x60cm_ref.33011.jpg","3 Punts Galería","","http://www.artbarcelona.es/es/exposiciones/canogar/","Rafael Canogar","","07.05.15 – 27.06.15","3 Punts Galería","null","Rafael Canogar (Toledo, 1935) es uno de los principales representantes del arte abstracto en España y trabaja con pintura, escultura y grabado. La inauguración se realizará el 7 de mayo de 2015 a las 19.30h y la exposición estará en la galería hasta el 27 de junio de 2015.","null","null","null","http://www.artbarcelona.es/es/exposiciones/canogar/"
"http://www.artbarcelona.es/wp-content/uploads/2015/04/art-barcelona_galeria-estrany-de-la-mota_douglas-gordon_philosophy-of-me_a-to-b-II.jpg","Galería Estrany de la Mota","","","Douglas Gordon, Jonathan Monk, José Antonio Hernández-Díez, Juan Pérez Agirregoikoa, Francesc Ruiz, ....","17.04.15 – 30.06.15","17.04.15 – 30.06.15","Galería Estrany de la Mota","Las formas de lo cotidiano","","null","null","null","http://www.artbarcelona.es/es/exposiciones/las-formas-de-lo-cotidiano/"
"http://www.artbarcelona.es/wp-content/uploads/2015/05/65x80cm.jpg","Galería Trama","","","Marcos Palazzi","21.05.15 – 30.06.15","21.05.15 – 30.06.15","Galería Trama","Corre, corre caballito","","null","null","null","http://www.artbarcelona.es/es/exposiciones/corre-corre-caballito/"
"http://www.artbarcelona.es/wp-content/uploads/2015/05/Teatro-puro-teatro-Actors-12.jpg","Galería H2O","","","Gloria Giménez","07.05.15 – 05.06.15","07.05.15 – 05.06.15","Galería H2O","“Teatro, puro teatro” Salón Rojo, Cuba (1991) + Actor’s, Barcelona (1992)","","null","null","null","http://www.artbarcelona.es/es/exposiciones/teatro-puro-teatro-salon-rojo-cuba-1991-actors-barcelona-1992/"
"http://www.artbarcelona.es/wp-content/uploads/2015/05/65x80cm.jpg","Galería Trama","","http://www.artbarcelona.es/es/exposiciones/corre-corre-caballito/","Marcos Palazzi","","21.05.15 – 30.06.15","Galería Trama","Corre, corre caballito","null","null","null","null","http://www.artbarcelona.es/es/exposiciones/corre-corre-caballito/"
"http://www.artbarcelona.es/wp-content/uploads/2015/03/PALMADOTZE.-Imatge.-targeto.Paisatges-lestigma-dall---social.IMG_2221.jpg","PALMADOTZE","","","Guillem Bayo, Alfonso Borragán, Alicia Kopf, Andrea Mármol, Mateo Maté, Mariona Moncunill, Xavi Muñoz, Patricio Palomeque, Joaquín Segura","11.04.15 – 31.07.15","11.04.15 – 31.07.15","PALMADOTZE","Paisajes. El estigma de lo social","","null","null","null","http://www.artbarcelona.es/es/exposiciones/paisajes-el-estigma-de-lo-social/"
"http://www.artbarcelona.es/wp-content/uploads/2015/05/George-Rickey-Harlequin-1958-acero-inoxidable-y-policrom--a-1981-x-63.5-x-63.5-cm.jpg","Galería Marlborough","","http://www.artbarcelona.es/es/exposiciones/esculturas/","George Rickey","","14.05.15 – 27.06.15","Galería Marlborough","Esculturas","George Rickey es uno de los exponentes más relevantes del arte cinético y, como tal, convierte el movimiento en el componente esencial de su obra. Las emblemáticas esculturas del artista norteamericano son el resultado de la experimentación que inició, con alambre y metal, tras el contacto diario con herramientas industriales de reparación de aviones durante la Segunda Guerra Mundial. Sus creaciones establecen un diálogo activo con el mundo circundante dado que están concebidas para reaccionar ante las corrientes de aire.
Rickey trabaja principalmente con acero inoxidable pulido, a través del que da vida a sus esculturas que capturan y reflejan la luz, aunque en algunas ocasiones también introduce policromías, como se podrá ver en la exposición.
La obra inicial del escultor está claramente influida por los móviles compuestos por elementos encadenados de Alexander Calder. Sin embargo las preocupaciones estéticas de Rickey pronto toman otro camino, ya que reflexionan más en torno a la fluidez del movimiento de sus obras que sobre la propia forma de estas. El resultado es un vocabulario formado por figuras geométricas simples como rectángulos, trapecios, cubos o líneas unidas entre sí por varillas.
Algunas de sus creaciones como Spruce V (abeto) están inspiradas por plantas y flores, otras como Nebula III aluden a la astronomía y al cielo nocturno. Entre las obras que forman parte de la muestra hallamos esculturas sustancialmente significativas para el artista como es el caso de One rotor with gimbal and counterweight, 1968, que fue un regalo de cumpleaños para su mujer.
Tal como María Antonia Calvo explica en el texto introductorio del catálogo de la exposición: “Las esculturas de George Rickey manifiestan un mensaje armonizado de ideas y formas. La técnica a través de la que articula las relaciones entre los elementos materiales es deudora tanto de la artesanía como de la industria. Péndulos, pivotes, tornillos y rodamientos destruirán el hermetismo de las líneas mediante un movimiento calculado que se somete a la acción de elementos fortuitos. El resultado será la unidad estructural de la escultura en el espacio, un espacio dinámico capaz, a su vez, de transformar y definir la esencia misma de la escultura.”
George Rickey nació en 1907 en South Bend, Indiana, Estados Unidos. Se formó en la Ruskin School of Drawing y el Balliol College de Oxford y completó sus estudios de pintura y dibujo en la Académie L’hôte y la Académie Moderne de París. Murió el 17 de julio de 2002 en Saint Paul, Estados Unidos.
La obra de Rickey está presente en colecciones públicas y privadas de todo el mundo incluyendo: The J. Paul Getty Museum, Los Ángeles; Solomon R. Guggenheim Museum, Nueva York; Hara Museum of Contemporary Art, Tokyo; The High Museum of Art, Atlanta; Los Angeles County Museum of Art, Los Ángeles; The Metropolitan Museum of Art, Nueva York; The Museum of Fine Arts, Dallas; The Museum of Modern Art, Nueva York; The National Gallery, Edimburgo; The National Gallery of Art, Washington DC; New Orleans Museum of Art, Nueva Orleans; Ruckversicherungs-Gesellschaft, Múnich; Tate Gallery, Londres o el Whitney Museum of American Art, Nueva York.","null","null","null","http://www.artbarcelona.es/es/exposiciones/esculturas/"
"http://www.artbarcelona.es/wp-content/uploads/2015/05/2.Adrian-Balseca-Fundiciones.jpg","Galería Senda","","http://www.artbarcelona.es/es/exposiciones/caja-de-cambios-i-2/","Adrián Balseca","","26.05.15 – 02.07.15","Galería Senda","Caja de cambios I","Caja de cambios I / Exposición en tres tiempos es una muestra del joven artista ecuatoriano Adrián Balseca (Quito, 1989) que tendrá lugar en diferentes espacios y fechas. Para este primer momento, introducimos su obra con la proyección de “Medio Camino” (2014) y “Fundiciones: Todo ladrón será quemado” (2010), trabajos donde a través del video documental explora los vínculos entre progreso y modernidad. Continuará una segunda entrega de esta exposición el próximo 2 de julio en el marco de Art Nou Primera Visió con el último trabajo del artista. En esta ocasión, se exhibirán los registros del proyecto “If I Could”, ganador del Program 2015 - Emerging artist de la Cisneros Fontanals Art Foundation (CIFO).","null","null","null","http://www.artbarcelona.es/es/exposiciones/caja-de-cambios-i-2/"
"http://www.artbarcelona.es/wp-content/uploads/2015/03/La-Pedrera-S--rie-Gaud---Negatius-1979-Positivats-1985.jpg","Galería Eude","","","Manel Esclusa","28.05.15 – 19.09.15","28.05.15 – 19.09.15","Galería Eude","Fotografías, años 80","","null","null","null","http://www.artbarcelona.es/es/exposiciones/fotografias-anos-80/"
