event_title,event_start,event_end,event_image-src,event_text,event_link,event_link-href,event_id,event_maplink__1,event_organizer__Fundación Joan Miró,event_venue__Fundación Joan Miró,event_cost__7,event_category__Exposición__Fundación Joan Miró
"Si seguimos, seguro que nos reiremos","07/10/2014","18/01/2015","http://www.fmirobcn.org/media/upload/gif/imgdin/expo/cache/0939_255.jpg","Si seguimos, seguro que nos reiremos es una recopilación de fotografías de Tortell Poltrona, payaso catalán fundador de la ONG Payasos Sin Fronteras.","sobre ""Si seguimos, seguro que nos reiremos""","http://www.fmirobcn.org/exposiciones/5685/si-seguimos-seguro-que-nos-reiremos","/exposiciones/5685/si-seguimos-seguro-que-nos-reiremos","null","null","null","null","null"
"Prophetia","13/03/2015","10/06/2015","http://www.fmirobcn.org/media/upload/gif/cache/0935_1423423019_255.jpg","Prophetia reúne obras de veinticinco artistas que han seguido y comentado el proceso de formación de la Europa comunitaria. El punto de partida de la exposición es un vídeo del albanés Anri Sala, de 2002, que retrata el momento en que el sueño europeo aún estaba intacto en algunos países que aspiraban a entrar en la Unión Europea.","sobre ""Prophetia""","http://www.fmirobcn.org/exposiciones/5687/prophetia","/exposiciones/5687/prophetia","null","null","null","null","null"
"Barcelona, zona neutral","25/10/2014","15/02/2015","http://www.fmirobcn.org/media/upload/gif/cache/50_1432720155_255.jpg","Durante la Primera Guerra Mundial, Barcelona entró de lleno en la modernidad. Mientras en Europa se extiende el conflicto bélico, algunos artistas catalanes inician el trayecto hacia la vanguardia (Miró, Togores, Manolo Hugué.","sobre ""Barcelona, zona neutral""","http://www.fmirobcn.org/exposiciones/5639/barcelona-zona-neutral","/exposiciones/5639/barcelona-zona-neutral","null","null","null","null","null"
"Roni Horn. Todo dormía como si el universo fuera un error","20/06/2014","28/09/2014","http://www.fmirobcn.org/media/upload/gif/imgdin/expo/cache/0872_255.jpg","Primera exposición monográfica de la artista en Barcelona en la que se pregunta a través de su obra sobre la realidad que la rodea, su identidad y su relación con el entorno.","sobre ""Roni Horn. Todo dormía como si el universo fuera un error""","http://www.fmirobcn.org/exposiciones/5403/roni-horn-todo-dormia-como-si-el-universo-fuera-un-error","/exposiciones/5403/roni-horn-todo-dormia-como-si-el-universo-fuera-un-error","null","null","null","null","null"
"Joaquim Gomis. Mercè 1969","20/05/2014","05/10/2014","http://www.fmirobcn.org/media/upload/gif/imgdin/expo/cache/0897_255.jpg","Una pequeña muestra de fotografías de Joaquim Gomis sobre la fiesta mayor de Barcelona.","sobre ""Joaquim Gomis. Mercè 1969""","http://www.fmirobcn.org/exposiciones/5518/joaquim-gomis-merce-1969","/exposiciones/5518/joaquim-gomis-merce-1969","null","null","null","null","null"
"Alfons Borrell. Los trabajos y los días","03/07/2015","27/09/2015","http://www.fmirobcn.org/media/upload/gif/cache/alfons_borrell_1432720802_255.jpg","La obra pictórica de Alfons Borrell (Barcelona, 1931) ha ido consolidándose lentamente como un corpus expresivo de gran intensidad y solidez.

Bajo el título Alfons Borrell.","sobre ""Alfons Borrell. Los trabajos y los días""","http://www.fmirobcn.org/exposiciones/5692/alfons-borrell-los-trabajos-y-los-dias","/exposiciones/5692/alfons-borrell-los-trabajos-y-los-dias","null","null","null","null","null"
"En construcción (1973 – 1975)","05/06/2015","04/10/2015","http://www.fmirobcn.org/media/upload/gif/cache/gomisenconstruccio1_1432723432_255.jpg","Joaquim Gomis (1902-1991) fue el primer presidente de la Fundació Joan Miró. Como tal, siguió muy de cerca la construcción del edificio de Sert. Entre 1973 y 1975, año en que se inauguró la Fundació, Gomis documentó la puesta en marcha con su cámara, deleitándose en los detalles, en la composición de los elementos, en las superficies de los materiales, en la luz que entraba dentro del edificio a medio construir.","sobre ""En construcción (1973 – 1975)""","http://www.fmirobcn.org/exposiciones/5693/en-construccion-1973-1975","/exposiciones/5693/en-construccion-1973-1975","null","null","null","null","null"
"Arqueología preventiva","19/09/2013","07/09/2014","http://www.fmirobcn.org/media/img/mas-info.png","Rutas por la epidermis de la historia","sobre ""Arqueología preventiva""","http://www.fmirobcn.org/exposiciones/5134/arqueologia-preventiva","/exposiciones/5134/arqueologia-preventiva","null","null","null","null","null"
"Lesson 0","19/09/2014","06/09/2015","http://www.fmirobcn.org/media/upload/gif/cache/lesson0_1425400055_255.jpg","Lesson 0 es un ciclo de exposiciones en el Espacio 13 de la Fundación Joan Miró a cargo de Azotea (Ane Agirre y Juan Canela)","sobre ""Lesson 0""","http://www.fmirobcn.org/exposiciones/5643/lesson-0","/exposiciones/5643/lesson-0","null","null","null","null","null"
"La notte, 1961","12/02/2015","01/06/2015","http://www.fmirobcn.org/media/upload/gif/cache/02_1432633139_255.jpg","","sobre ""La notte, 1961""","http://www.fmirobcn.org/exposiciones/5688/la-notte-1961","/exposiciones/5688/la-notte-1961","null","null","null","null","null"
