event_title1,event_title2,event_image-src,event_text,event_start,event_end,event_venue,event_link,event_link-href,event_organizer__MACBA,event_category__Actividad__MACBA,event_maplink__1,event_cost__10,event_id
"El rito del Tridente. Coàgul, Fifteen Years Old y Narcoléptica en concierto","Concierto","http://www.macba.cat/uploads/20150721/conOgul_i_fifteen_years_old.9.jpg","Coàgul (Cataluña), Fifteen Years Old (Perú) y Narcoléptica (Madrid) son tres proyectos que comparten una aproximación radicalmente experimental a la música y la performance, aunque cada uno lo hace desde un universo sonoro y un imaginario particular y personal. La yuxtaposición de estos tres espectáculos, en los que la música se combina con las artes visuales, crea un evento emocional complejo que busca impactar en el público mediante acciones disruptivas y de provocación. De este modo se cuestiona el ejercicio de la normatividad como un régimen preestablecido en el universo de lo cotidiano.



Coàgul es el proyecto musical del artista visual Marc O'Callaghan (Barcelona, 1988). En un ultimátum histórico desesperado para combatir la disolución y dispersión características del mundo contemporáneo, la función principal de Coàgul es concentrar la energía de determinados principios cósmicos en el punto físico en el que su música sea ejecutada o reproducida. Esta música está geometrizada a partir de bases industriales minimalistas y repetitivas, campanas mágicas, grabaciones de campo disparadas a modo de sigilos sonoros, y una voz desquiciada que literalmente escupe las correspondientes proclamas metafísicas sobre la audiencia. Aparte de un extenso número de ediciones marginales en casete y CDr, en 2013 publicó La roda de la justícia, el debut en vinilo editado por el sello Màgia Roja, que presentó girando insistentemente por Cataluña y Europa durante 2014. En este concierto presentará su segundo LP,  La forja centrípeta, que está a punto de ser editado por el sello Burka For Everybody.



Fifteen Years Old es el proyecto solista de música y performance de Solange Jacobs (Lima, 1978), arquitecta y creadora audiovisual que trabaja con la música y las artes visuales como medios de experimentación y provocación. En esta ocasión, Fifteen Years Old presenta su más reciente lanzamiento: Abecedario (Buh Records, 2015). Se trata de un alfabeto personal donde la sexualidad y la religión, el activismo político y el deseo se entrecruzan y ofrecen una observación e intervención en la realidad desde la poesía, la voz, el uso del cuerpo y el sonido; un conjunto de intervenciones que, partiendo de un universo personal e íntimo, adquieren una dimensión social y colectiva en contacto con el público. 



Narcoléptica es el proyecto musical unipersonal desarrollado desde 2006 por Beatriz Vaca (Sevilla, 1985). Cuenta con tres álbumes autoproducidos: Narcoléptica (2006), The Modular Explanation (2009) y The Abyss (de próxima aparición). Focalizándose en el directo, se ha consolidado durante los últimos siete años a través de un centenar de actuaciones en el ámbito internacional (Colombia, Perú, Costa Rica, México, Cuba y España, entre otros países). Parte de la experimentación, la mezcla de orígenes sonoros (instrumentos clásicos y virtuales, programaciones, grabaciones de campo y voz) y live-looping (grabación de loops en tiempo real). Sobre unas estructuras predefinidas que sustentan cada pieza, Narcoléptica se permite ciertas derivas en las que la improvisación define cada actuación como distinta y única.



Actividad recomendada para mayores de 18 años.","19 sep. 2015","null","Capella MACBA","","http://www.macba.cat/es/coagul-fifteen-years-old-narcoleptica/1/actividades/activ","null","null","null","null","/es/coagul-fifteen-years-old-narcoleptica/1/actividades/activ"
"Cartografía crítica del arte y la visualidad en la era de lo global.","Geoestética, política y trabajo","http://www.macba.cat/uploads/20150803/AUDITORI.7.jpg","El MACBA colabora con la Universidad de Barcelona acogiendo en sus instalaciones parte del Segundo Congreso Internacional organizado por el grupo Arte, Globalización, Interculturalidad (AGI/ARTE) del Departmento de Historia del Arte.  El congreso, que lleva por título Cartografía crítica del arte y la visualidad en la era de lo global, contará con la intervención de Pascal Gielen (Groningen University), Joaquín Barriendos (Columbia University) y Angela Dimitrakaki (Edinburgh College of Art) y con Juan Vicente Aliaga, Martí Peran y Carles Guerra como moderadores.



Directora: Anna Maria Guasch Ferrer

Coordinador: Rafael Pinilla","29 oct.","30 oct. 2015","Auditori Meier","","http://www.macba.cat/es/congreso-cartografia-critica-del-arte/1/actividades/activ","null","null","null","null","/es/congreso-cartografia-critica-del-arte/1/actividades/activ"
"Plan B","A cargo del equipo del Festival B-Anime y Fito Conesa","http://www.macba.cat/uploads/20150721/planb.6.jpg","Se acabó el verano... ¡Pero tenemos un Plan B! El equipo de B-Anime, el primer festival de anime de Barcelona, que se celebrará los días 9, 10 y 11 de octubre, visita Habitació 1418. Coincidiendo con el inicio de la nueva temporada, nuestros roomers, junto con el equipo B-Anime, tendrán ocasión de aportar su visión de la cultura nipona y elaborar propuestas para ser desarrolladas en el marco del propio Festival. ¿Nos acompañas?



El Festival B-Anime está organizado por MAGOEXPERIENCE y MAGOPRODUCTION, en colaboración con el Museu d’Art Contemporani de Barcelona (MACBA) y Habitació 1418. Cuenta con el apoyo del Consulado de Japón en Barcelona, el Institut Català de les Empreses Culturals (ICEC), el Institut de Cultura de Barcelona (ICUB), Televisió de Catalunya (TV3), la Japan Foundation de Madrid, la distribuidora Selecta Visión y la Facultad Blanquerna de Barcelona. Con la participación de Casa Asia y Espacio Daruma.","03 oct. 2015","null","CED","","http://www.macba.cat/es/pla-b-festival-b-anime/1/actividades/activ","null","null","null","null","/es/pla-b-festival-b-anime/1/actividades/activ"
"Píxel a píxel","A cargo de Ignacio Lapin","http://www.macba.cat/uploads/20150803/videojuegos.4.JPG","Hemos pasado horas y horas jugando a videojuegos, ese producto intermedio a caballo entre el cine y la literatura. Pues bien: durante esta sesión de Habitació 1418 nos metemos en la piel de un programador para intentar crear un videojuego. Desde la imagen hasta el sonido, pasando por el desarrollo interactivo y la programación básica. Aunque no seamos un Shigeru Miyamoto, el diseñador de Super Mario Bros, demostraremos que todos podemos crear nuestra propia aventura gráfica.","24 oct.","07 nov. 2015","CED","","http://www.macba.cat/es/pixel-a-pixel/1/actividades/activ","null","null","null","null","/es/pixel-a-pixel/1/actividades/activ"
"Conversa entre Sergi Aguilar i Martí Peran","El arte contemporáneo a partir de los artistas de la Colección","http://www.macba.cat/uploads/20150721/5.4.jpg","Este ciclo de conversaciones da la palabra a los artistas que pertenecen a la Colección MACBA para reflexionar, junto con los teóricos, críticos y comisarios con quienes han colaborado, sobre su trabajo actual y su trayectoria. Antes de la conversación, se hará una visita guiada a la exposición Sergi Aguilar. Reverso/Anverso (1972-2015).



Sergi Aguilar (Barcelona, 1946) inicia su carrera en 1972 como escultor. En la década de los noventa incluye la fotografía y el dibujo como parte de su reflexión material, y en sus últimos trabajos el concepto de territorio y la noción de desplazamiento se convierten en el eje de su investigación. Ha realizado exposiciones individuales y colectivas en Europa, Estados Unidos y Japón. Su obra se encuentra en las colecciones del MACBA, Kunsthalle Mannheim, Fundación ""la Caixa"", Museo Nacional Centro de Arte Reina Sofía, Guggenheim Museum de Nueva York, Fundación Banco Sabadell, Fundación Juan March y Universitat Autònoma de Barcelona, entre otros centros. Ha impartido cursos y seminarios en la Escola Eina de Barcelona, Arteleku, Fundación Botín y Universitat de Barcelona. Ha sido presidente de la AAVC (Associació d’Artistes Visuals de Catalunya), entre los años 1996 y 2002, y de la UAAV (Unión de Asociaciones de Artistas Visuales), entre 2004 y 2007. Actualmente es director de la Fundació Suñol de Barcelona.



Martí Peran es profesor de Teoría del Arte de la Universitat de Barcelona, crítico de arte y curador de exposiciones, entre las que destacan Arquitecturas para el acontecimiento (EACC, Castellón, 2002); Stand by. Listos para actuar (Laboratorio Alameda, México D.F., 2003); Corner (Cajamadrid, Barcelona, 2004-2005); Mira cómo se mueven. 4 ideas sobre movilidad (Fundación Telefónica, Madrid, 2005); Glaskultur. ¿Qué pasó con la transparencia? (Koldo Mitxelena, San Sebastián, 2006); Post-it City. Occasional Cities (CCCB, Barcelona, 2008; MAC Santiago de Chile, Centro Cultural São Paulo, 2009); After Architecture (Arts Santa Mònica, Barcelona, 2009). Fue miembro del consejo de redacción de Transversal. Revista de Cultura Contemporánea (1996-2002). Coeditor de la revista Roulotte, colabora habitualmente en prensa y revistas especializadas, como Exit Express y Artforum International.","30 sep. 2015","null","Auditori Meier","","http://www.macba.cat/es/amigos-sergi-aguilar-marti-peran/1/actividades/activ","null","null","null","null","/es/amigos-sergi-aguilar-marti-peran/1/actividades/activ"
"Ejercicios escultóricos. Ocupando el espacio real","Taller de verano","http://www.macba.cat/uploads/20150519/093.7.jpg","Este verano proponemos experimentar con la escultura de la mano del artista Sergi Aguilar. Siguiendo su trabajo, descubriremos las múltiples posibilidades de aproximación a este lenguaje y los conceptos que lo acompañan. Espacio, trozo, itinerario, naturaleza, plano, muro, utensilio, vacío, eje, ensamblaje, grosor, luz, trozos, línea... Estos y muchos otros serán los ingredientes para llevar a cabo nuestros ejercicios escultóricos. ¡Vamos a okupar el espacio con la escultura!","01 jul.","02 sep. 2015","MACBA","","http://www.macba.cat/es/familia-ejercicios-escultoricos/1/actividades/activ","null","null","null","null","/es/familia-ejercicios-escultoricos/1/actividades/activ"
"Educació demà. Conectamos talento, reinventamos la educación","Presentación del nuevo proyecto de la Fundació Jaume Bofill","http://www.macba.cat/uploads/20150306/Walter_Mignolo.5.jpg","A cargo de Ismael Palacín, director de la Fundació, e Ismael Peña-López, director de Innovació Oberta, entre otros.



El mundo está cambiando y con él la educación. Nuestro país está lleno de exploradores y experimentadores para el cambio educativo, innovadores que desarrollan constantemente soluciones a los nuevos retos, profesionales con ideas creativas que reinventan la educación. ¿Eres uno de ellos? Sabemos que eres un motor del cambio. Ven a compartir, a inspirarte y aprender nuevas soluciones e iniciativas de otras personas como tú. Juntos podemos ir más lejos, y con las mejores prácticas y tendencias de hoy crear la educación del mañana.



La Fundació Jaume Bofill te invita al acto de presentación del nuevo proyecto EDUCACIÓ DEMÀ, que desarrollará tres grandes retos:



– Mapa «Quién es quién»: un mapa de la innovación educativa del país con el fin de conectar el talento de todos los actores educativos para el cambio. Consultándolo  averiguarás quién está haciendo qué, qué pueden aportarte y en qué puedes contribuir. Es indiferente que seas una persona, una entidad o una empresa, o que propongas una metodología, una herramienta o un proyecto. ¡Háblanos de ti! Conoce quién está desarrollando ideas y experiencias pioneras, y conecta tu talento con el de los demás exploradores educativos. ¡Preséntate y dibuja con nosotros el mapa de la innovación!



– Seminarios «Campo base»: en estos espacios te presentaremos innovaciones educativas agrupadas por tendencias de cambio. Conocerás a los protagonistas de estos cambios y lo que hacen para mejorar la educación. Podrás valorar por ti mismo qué podrías llegar a hacer a partir de sus experiencias y evaluar el potencial de nuevas ideas. ¿Te atreves a imaginar el futuro de la educación? ¿Cuáles serán sus principales retos? ¿De qué manera podrás afrontarlos? Participa y contribuye a hacerlo posible. ¡Ven a darnos tu opinión!



- Talleres «Edulab»: ¿quieres pasar a la acción? Sabemos que eres una persona con ideas diferentes y con ganas de compartirlas. Ven a explicarnos qué sabes hacer y desarrolla tu proyecto junto a otras personas que lo están haciendo. En el espacio de workshop podrás aportar dudas y preguntas, conocimientos y experiencias previas, desarrollar soluciones y resolver retos educativos con otros investigadores. ¡Participa en nuestro laboratorio y crea nuevas soluciones de manera colaborativa!



El primer seminario «Campo base» tendrá lugar en el Auditorio Meier el 19 de octubre. El 27 de octubre comenzarán los talleres «Edulab» en el Aula 0, Aula 1 y planta baja del Centro de Estudios y Documentación MACBA.","29 sep. 2015","null","Auditori Meier","","http://www.macba.cat/es/educacio-dema/1/actividades/activ","null","null","null","null","/es/educacio-dema/1/actividades/activ"
"Teatro invisible","A cargo del colectivo INCA Catalunya y Tot Raval","http://www.macba.cat/uploads/20150803/taller_teatro_invisible.7.jpg","Entra en escena, abre bien los ojos y empieza a disfrutar del teatro «invisible». Observa cómo los actores y actrices provocan una situación conflictiva ante un público expectante. Y ahora observa cómo el público reacciona, se indigna, se molesta, se rebela, sonríe o suspira aliviado. Eso es teatro invisible: un teatro social, activista, capaz de remover conciencias y hacer reflexionar. Y eso, y mucho más, es lo que vamos a hacer en este taller en colaboración con el colectivo INCA Catalunya (International Network for Culture and Arts).","17 oct. 2015","null","CED","","http://www.macba.cat/es/teatro-invisible/1/actividades/activ","null","null","null","null","/es/teatro-invisible/1/actividades/activ"
"Capitalismo global y procesos de regeneración urbana.  Homenaje a Neil Smith","Coloquio internacional","http://www.macba.cat/uploads/20150721/NeilSmith.6.jpg","Neil Smith, desaparecido prematuramente en 2012, tuvo una enorme influencia en la disciplina geográfica y en los estudios sociales en general por sus trabajos sobre el avance del capitalismo global, el desarrollo desigual y los procesos de regeneración y gentrificación urbana. Sus teorizaciones sobre el espacio como producto del desarrollo capitalista y sobre las estrategias del capital en los procesos de renovación urbana han sido utilizadas en estudios empíricos de todo el mundo. Su militancia y activismo en muy diversos frentes es todavía hoy un referente de compromiso e implicación para los científicos sociales. 



Este coloquio, organizado por [espaiscritics], pretende poner el trabajo de Neil Smith en el centro de atención de aquellos que se interesan por la teoría social urbana. Contará con la presencia de los más destacados especialistas internacionales en la obra y en los temas que caracterizaron la trayectoria de Neil Smith. El coloquio se abre a la participación tanto de académicos e investigadores universitarios como de activistas y representantes de movimientos ciudadanos. 



El coloquio coincidirá con el lanzamiento del volumen 6 de la colección «Espacios críticos» (Icaria Editorial), que dirigen Abel Albet (Universitat Autònoma de Barcelona) y Núria Benach (Universitat de Barcelona). Este volumen, dedicado precisamente a Neil Smith, ha sido elaborado por los profesores Luz Marina García Herrera y Fernando Sabaté Bel (Universidad de La Laguna).



Actividad organizada por: [espaiscritics]

Con la ayuda de: Ministerio de Economía y Competitividad (proyecto CSO2013-44665-P) y de la Fundación Española para la Ciencia y la Tecnología (proyecto FCT-14-8526).

Con la colaboración de: MACBA, Icaria Editorial, Universitat de Barcelona, Universitat Autònoma de Barcelona y Universitat Oberta de Catalunya.","14 sep.","16 sep. 2015","Auditori Meier","","http://www.macba.cat/es/seminario-neil-smith/1/actividades/activ","null","null","null","null","/es/seminario-neil-smith/1/actividades/activ"
"Trucotics para conseguir la felicidad","Arte & Humor & Poesía & Danza & Teatro & Música & Magia","http://www.macba.cat/uploads/20150803/Ramnin_Colomina_17_octubre.6.jpg","La felicidad. ¿Desde cuándo? Desde el principio y todos los días. La búsqueda de la felicidad es un tic, que además de repetirse, se organiza. Es un trucotic. De la mano de Riereta 13 (Ramón Colomina Tornasol, Silvia Genovés, Paloma Unzeta, Lu Colomina, Nahui Domínguez) con la colaboración de los músicos Pepino Pascual y Víctor Morató, aprende en 40 minutos algunos trucotics básicos para hacerse con la felicidad y mantenerla. Para empezar, y gracias a haber accedido a esta información, disfruta de nuestro emoticono recién horneado. 



Siempre que vayas a utilizar la expresión «solo en caso de necesidad», ahórrate las palabras y dispón de este emoticono en su formato gestual o dibujado. 

Me gusta. No me gusta. Es bueno. Es malo. ¿Y qué pasa con lo bueno que sale de lo malo? ¿Y con lo malo que sale de lo bueno? ¿Y lo que me gusta de lo que no me gusta? ¿Qué pasa con el placer culpable? Si te piden opinión o juicio, no dudes en soltar el emoticono.","17 oct. 2015","null","MACBA","","http://www.macba.cat/es/trucotics-para-conseguir-la-felicidad/1/actividades/activ","null","null","null","null","/es/trucotics-para-conseguir-la-felicidad/1/actividades/activ"
