event_title,event_text,event_start,event_end,event_venue__Hangar,event_link,event_link-href,event_category__Actividad__Hangar__Taller,event_maplink__1,event_cost__?,event_id,event_image-src
"“El sonido no representativo y su comportamiento en el espacio” 2 talleres de Wolfgang Gil y Daniel Neumann","2 talleres que exploran la espacializacion del sonido a cargo de los profesores: Daniel Neumann, quien desde el virtuosismo del ingeniero de sonido utiliza el altavoz creativamente como instrumento para hacer resonar el espacio; y  Wolfgang Gil experto en métodos no-lineales para la programacion del sonido asistida por ordenador.","2 y 3 junio 2015","2 y 3 junio 2015","null","","https://hangar.org/es/hangar-sonor/non-representational-spatial-sound-composition-%e2%80%a8a-workshop-by-daniel-neumann%e2%80%a8%e2%80%a8/","null","null","null","https://hangar.org/es/hangar-sonor/non-representational-spatial-sound-composition-%e2%80%a8a-workshop-by-daniel-neumann%e2%80%a8%e2%80%a8/","https://hangar.org/webnou/wp-content/uploads/2015/04/DNeumannFoto1_CT-SWaM_June222014sm_photobyEmilioVavarella-200x150.jpg"
"Taller de herramientas abiertas para agricultores urbanos","null","del 19 de marzo al 4 de junio 2015","del 19 de marzo al 4 de junio 2015","null","","https://hangar.org/es/news/espanol-taller-de-herramientas-abiertas-para-agricultores-urbanos/","null","null","null","https://hangar.org/es/news/espanol-taller-de-herramientas-abiertas-para-agricultores-urbanos/","https://hangar.org/webnou/wp-content/uploads/2015/02/her-200x150.jpg"
"Taller intensivo de Arduino básico a cargo de Alex Posada","En este taller intensivo se explicarán las metodologías y técnicas básicas de trabajo con Arduino. Arduino es una plataforma de hardware libre con la cual se pueden desarrollar todo tipo de proyectos de electrónica y computación física basados en microcontroladores, permite interactuar con sensores y controlar circuitos, luces y motores con sistemas inteligentes. El abanico de aplicaciones es muy amplio, tanto en el campo de la interactividad como de la robótica, la domótica, o la electróncia musical, por este motivo es una herramienta cada vez más utilizada por artistas que buscan explorar en sus obras los usos creativos de la tecnología.","11, 13 y 14 de mayo 2015","11, 13 y 14 de mayo 2015","null","","https://hangar.org/es/news/catala-taller-intensiu-de-arduino-basic-a-carrec-de-alex-posada/","null","null","null","https://hangar.org/es/news/catala-taller-intensiu-de-arduino-basic-a-carrec-de-alex-posada/","https://hangar.org/webnou/wp-content/uploads/2015/03/arduinocolors-200x150.jpg"
"Curso “Diseño de libros en un contexto low cost” a cargo de Rosa Llop","La producción editorial dentro del contexto artístico se mueve principalmente en tres escenarios: los catálogos de obra, los dossiers de investigación y el libro de artista. Cada tipología tiene unas particularidades formales pero las tres comparten tanto la metodología de trabajo como el potencial del libro como medio expresivo.","","","null","","https://hangar.org/es/news/espanol-diseno-de-libros-en-un-contexto-low-cost-a-cargo-de-rosa-llop/","null","null","null","https://hangar.org/es/news/espanol-diseno-de-libros-en-un-contexto-low-cost-a-cargo-de-rosa-llop/","https://hangar.org/webnou/wp-content/uploads/2015/07/onesecond_Philipp_Adrian-3-200x150.jpg"
"BRICOLAJE PARA newARTESANS Curso de introducción a la construcción y al montaje","","8 al 12 de junio  2015","8 al 12 de junio  2015","null","","https://hangar.org/es/programa-hangar/formacio-continua/catala-bricolatge-per-a-newartesans-curs-dintroduccio-a-la-construccio-i-al-muntatge/","null","null","null","https://hangar.org/es/programa-hangar/formacio-continua/catala-bricolatge-per-a-newartesans-curs-dintroduccio-a-la-construccio-i-al-muntatge/","https://hangar.org/webnou/wp-content/uploads/2014/12/BRICO-200x150.jpg"
"Workshop “Mapping the Vortex: mapping y visualización con SuperCollider”","Este taller intensivo de dos días de duración impartido por Marinos Koutsomichalis va dirigido a participantes de cualquier disciplina que ya estén familiarizados con SuperCollider y deseen ampliar susconocimientos técnicos y prácticos en los campos de la cartografía y la visualización.","11 y 12 de diciembre 2015","11 y 12 de diciembre 2015","null","","https://hangar.org/es/workshops-artist2artists/english-workshop-mapping-the-vortex-mapping-and-visualisation-with-supercollider/","null","null","null","https://hangar.org/es/workshops-artist2artists/english-workshop-mapping-the-vortex-mapping-and-visualisation-with-supercollider/","https://hangar.org/webnou/wp-content/uploads/2015/08/9677OS-07-04-200x150.png"
"Taller gratuito de edición de audio básico para entrevistas con AUDACITY","","16 julio 2015","16 julio 2015","null","","https://hangar.org/es/hangar-sonor/espanol-taller-de-edicion-de-audio-basico-para-entrevistas-con-audacity/","null","null","null","https://hangar.org/es/hangar-sonor/espanol-taller-de-edicion-de-audio-basico-para-entrevistas-con-audacity/","https://hangar.org/webnou/wp-content/uploads/2015/05/images.jpeg"
"Taller de transformación de vestuario","","24, 26 de febrer y 3, 5 de març 2015","24, 26 de febrer y 3, 5 de març 2015","null","","https://hangar.org/es/news/catala-taller-de-reciclatge-i-transformacio-de-vestuari/","null","null","null","https://hangar.org/es/news/catala-taller-de-reciclatge-i-transformacio-de-vestuari/","https://hangar.org/webnou/wp-content/uploads/2014/12/chaleco-200x150.png"
"5a edición del Taller “WEARABLES: introducción al uso de tecnologías interactivas en el ámbito téxtil","Taller práctico orientado a la confección e intervención de ropa y accesorios mediante la manufactura de circuitos electrónicos con Arduino. Arduino es un diseño abierto/libre/gratuito y sobre todo una comunidad de miles de diseñadores que genera diariamente proyectos bajo la misma filosofía. La placa electrónica y el software Arduino fueron concebidos para acercar y facilitar a artistas y diseñadores la construcción y programación de pequeños circuitos electrónicos. Arduino permite el desarrollo casero (DIY, hazlo tú mismo) de pequeños proyectos reactivos e interactivos: sensores y actuadores (luces, motores, etc). Lilypad es uno dos de los proyectos derivados de Arduino, una modificación de la placa standard enfocada al uso sobre tejidos y donde las partes conductoras del circuito se pueden coser. La integración de hardware/software en el ámbito blando de los tejidos permite además, el acoplamiento de esta tecnología con la escena emergente de los nuevos materiales (conductivos, crómicos, etc). Este cruzamiento acontecerá muy probablemente una de las principales ramas de la denominado “internet de las cosas“, la ubicuidad de la información digital.","18 y 25 abril 2015","18 y 25 abril 2015","null","","https://hangar.org/es/news/catala-5a-edicio-del-taller-wearables-introduccio-a-lus-de-tecnologies-interactives-en-lambit-textil/","null","null","null","https://hangar.org/es/news/catala-5a-edicio-del-taller-wearables-introduccio-a-lus-de-tecnologies-interactives-en-lambit-textil/","https://hangar.org/webnou/wp-content/uploads/2014/07/wearables3-200x150.jpg"
"Taller de Arduino básico a cargo de Alex Posada","En este taller intensivo se explicarán las metodologías y técnicas básicas de trabajo con Arduino. Arduino es una plataforma de hardware libre con la cual se pueden desarrollar todo tipo de proyectos de electrónica y computación física basados en microcontroladores, permite interactuar con sensores y controlar circuitos, luces y motores con sistemas inteligentes. El abanico de aplicaciones es muy amplio, tanto en el campo de la interactividad como de la robótica, la domótica, o la electróncia musical, por este motivo es una herramienta cada vez más utilizada por artistas que buscan explorar en sus obras los usos creativos de la tecnología.","26, 27 y 28 de octubre 2015","26, 27 y 28 de octubre 2015","null","","https://hangar.org/es/workshops-artist2artists/taller-de-arduino-basic-a-carrec-de-alex-posada/","null","null","null","https://hangar.org/es/workshops-artist2artists/taller-de-arduino-basic-a-carrec-de-alex-posada/","https://hangar.org/webnou/wp-content/uploads/2015/07/arduinobasico-200x150.jpg"
