event_image-src,event_venue,event_link,event_link-href,event_title1,event_start,event_end,event,event-href,event_organizer,event_title2,event_text,event_cost__0,event_category__Exposición__Galerías,event_maplink__1,event_id
"http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2015/06/primera-del-slide-small.jpg","etHALL","","","Matt Madden","01.10.15 - 04.10.15","01.10.15 - 04.10.15","etHALL","http://www.barcelonagalleryweekend.com/es/espacio/ethall-es/","etHALL","20 Lines Project","","null","null","null","http://www.barcelonagalleryweekend.com/es/exposiciones/20-lines-project-es/"
"http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2015/06/Antonio-Lpez-Hombre-De-frente-bronce-197-x-60-x-38-cm-2-de-6-2001-small.jpg","Galería Marlborough","","","Antonio López García","01.10.15 - 04.10.15","01.10.15 - 04.10.15","Galería Marlborough","http://www.barcelonagalleryweekend.com/es/espacio/galeria-marlborough-barcelona-es/","Galería Marlborough","null","","null","null","null","http://www.barcelonagalleryweekend.com/es/exposiciones/exposicio-marlborough-es/"
"","null","","","null","","null","The Green Parrot","http://www.thegreenparrot.org/","null","null","","null","null","null",""
"http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2015/06/Expansion-negra-temple-guache-180x140cm-small.jpg","Galería Sicart / Joan Gaspar","Más info","http://www.barcelonagalleryweekend.com/es/exposiciones/mirada-expandida-es/","Ruth Morán","","01.10.15 - 04.10.15","Galería Sicart / Joan Gaspar","http://www.barcelonagalleryweekend.com/es/espacio/galeria-sicart-joan-gaspar-es/","Galería Sicart / Joan Gaspar","Mirada expandida","El punto como objetivo amplificado. El hueco o hendidura que se abre paso a través del papel para dejar la tierra y subir al cielo. Ruth Morán presenta sus últimos trabajos a partir de una investigación en torno al espacio que nos rodea.
En su trabajo se aprecia la evolución lenta y reflexiva que le ha permitido ir despejando lo innecesario para centrarse en lo esencial del paisaje.
Su capacidad para acercarse a lo esencial no solo la ha llevado a depurar el paisaje interior, cercano, sino que a través de geografías que rememoran lo terrestre, en esta nueva etapa su mirada se alza, se eleva y nos conduce a una especie de cosmogonía espacial. Sus composiciones se configuran ahora por miles de puntos cromáticos. Acercarse a sus dibujos es seguir la fuerza centrífuga que ordena la composición. La línea ha dejado paso al punto, una especie de energía concentrada que en algunos casos se resuelve en pequeñas perforaciones.
En la exposición que ahora nos ocupa, podemos observar el recorrido que la ha llevado hasta su práctica actual. Dibujos negros de gran formato en los que predomina la línea, expansiones cromáticas estructuradas a partir del punto y trabajos en papel que han sido perforados dando paso a un nuevo paisaje en el que adentrarse.","null","null","null","http://www.barcelonagalleryweekend.com/es/exposiciones/mirada-expandida-es/"
"http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2015/06/40-74.jpg","Umbráculo del Parque de la Ciudadela","","","Daniel Steegmann Mangrané","01.10.15 - 04.10.15","01.10.15 - 04.10.15","Umbráculo del Parque de la Ciudadela","http://www.barcelonagalleryweekend.com/es/espacio/umbracle-del-parc-de-la-ciutadella-es/","Umbráculo del Parque de la Ciudadela","null","","null","null","null","http://www.barcelonagalleryweekend.com/es/exposiciones/intervencio-daniel-steegmann-umbracle-es/"
"http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2015/06/Dedalo-seriagraf--a-70x50cm-2010.jpg","Ana Mas Projects","","","Irene van de Mheen, Lucia C. Pino","01.10.15 - 20.11.15","01.10.15 - 20.11.15","Ana Mas Projects","http://www.barcelonagalleryweekend.com/es/espacio/ana-mas-projects-es/","Ana Mas Projects","null","","null","null","null","http://www.barcelonagalleryweekend.com/es/exposiciones/expo-ana-mas-projects-es/"
"","null","","","null","","null","Homesession","http://www.homesession.org/wordpress/es/","null","null","","null","null","null",""
"http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2015/06/brocheta-small.jpg","Espacio industrial Cosme Toda","","","David Bestué","01.10.15 - 04.10.15","01.10.15 - 04.10.15","Espacio industrial Cosme Toda","http://www.barcelonagalleryweekend.com/es/espacio/espai-industrial-cosme-toda-2-es/","Espacio industrial Cosme Toda","null","","null","null","null","http://www.barcelonagalleryweekend.com/es/exposiciones/intervencio-cosme-toda-david-bestue-es/"
"","null","","","null","","null","Fundació Antoni Tàpies","http://www.fundaciotapies.org/site/spip.php?rubrique66","null","null","","null","null","null",""
"http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2015/06/captura-film35mm.jpg","Galería Joan Prats","","","Perejeaume","01.10.15 - 04.10.15","01.10.15 - 04.10.15","Galería Joan Prats","http://www.barcelonagalleryweekend.com/es/espacio/galeria-joan-prats-es/","Galería Joan Prats","Condensaciones","","null","null","null","http://www.barcelonagalleryweekend.com/es/exposiciones/expo-galeria-joan-prats-es/"
