event_image-src,event_venue,event_link,event_link-href,event_title1,event_start,event_end,event_organizer,event_title2,event_text,event_cost__0,event_category__Exposición__Galerías,event_maplink__1,event_id
"http://www.artbarcelona.es/wp-content/uploads/2015/09/ibarrola-artbarcelona.jpg","Galería Eude","","http://www.artbarcelona.es/es/exposiciones/ibarrola-obra-sobre-papel-y-escultura/","Agustín Ibarrola","","06.10.15 – 31.12.15","Galería Eude","Ibarrola, obra sobre papel y escultura","Agustín Ibarrola (Bilbao, 1930), escultor, pintor y grabador, es también uno de los fundadores del Equipo 57, juntamente con Oteiza, entre otros. En el año 1957 surgió El Paso en Madrid, Dau al Set en Barcelona y Equipo 57 en Paris. Tres grupos con propuestas diferentes que dinamizan el panorama artístico español y conectan con movimientos internacionales presentes en aquel momento: Arte Geométrico, Abstracto e Informalismo.","null","null","null","http://www.artbarcelona.es/es/exposiciones/ibarrola-obra-sobre-papel-y-escultura/"
"http://www.artbarcelona.es/wp-content/uploads/2015/09/CF036501-small1.jpg","Galería Trama","","http://www.artbarcelona.es/es/exposiciones/alrededor-del-sueno-5-barcelona/","Ángel Marcos","","01.10.15 – 30.11.15","Galería Trama","Alrededor del sueño 5. Barcelona","A partir de 2001, Ángel Marcos ha realizado una serie de trabajos reunidos bajo el título «Alrededor del sueño», que comprende los archivos de las fotografías realizadas en Estados Unidos (Nueva York), Cuba (La Habana), China (Shanghái) y recientemente Madrid, en 2014.
Con motivo del Gallery Weekend, Ángel Marcos amplia su proyecto «Alrededor del sueño» asumiendo el reto de fotografiar la ciudad de Barcelona en la muestra que se inaugurará para el evento. El resultado se podrá ver en la Galería Trama durante el mes de octubre.
A grandes rasgos, el proyecto global apunta al hecho de cómo, en un tiempo desnudo de coberturas ideológicas en el que se piensa en la existencia de estados posnacionales o supranacionales, ciudadanías plurinacionales, identidades múltiples, etc., inscritos en un marco general de integración de la diversidad y lo plural, los grandes sueños colectivos del siglo xviii y xix sólo pueden ofrecer su desactualización en imágenes residuales de fuerte impacto conceptual e historiográfico.","null","null","null","http://www.artbarcelona.es/es/exposiciones/alrededor-del-sueno-5-barcelona/"
"http://www.artbarcelona.es/wp-content/uploads/2015/10/Lighting_1-2015.jpg","Galería Carles Taché – Projects","","http://www.artbarcelona.es/es/exposiciones/lighting/","Guillermo Pfaff","","01.10.15 – 02.02.16","Galería Carles Taché – Projects","Lighting","Carles Taché Projects tiene el placer de presentar Lighting, exposición individual del artista Guillermo Pfaff que coincide con la primera edición del Barcelona Gallery Weekend y que podrá verse hasta el próximo 16 de Enero de 2016.
Lighting es la segunda muestra del artista en la galería y reúne obra reciente (sobre tela y sobre papel) de las series Space, Insideout, One painting, One world y de la serie homónima Lighting.
Guillermo Pfaff (Barcelona, 1976) es un artista conceptual que centra su práctica en la pintura. Lleva años investigando acerca del propio medio, moviéndose, merodeando alrededor de lo pictórico con el entusiasmo de quien confía en que sucedan cosas, en hallar nuevas perspectivas para abordar su trabajo. Pfaff hace años que no busca en la pintura una capacidad representativa ni narrativa sino que indaga en ella pensando en ella, en un sentido material: en su objetualidad, su volumen, su peso. Bajo esta perspectiva, el sentido de la pintura se renueva.
La tridimensionalidad deviene no ya una ilusión que la pintura pueda alcanzar a dar sino una cualidad inherente al conjunto que forman la tela y el bastidor por sí mismos. La noción de pintura que practica el artista supone una cierta superación del plano como tal y se inserta en la tridimensionalidad de lo físico, de lo real.
La exposición reúne obras de todas las series en las que actualmente se encuentra trabajando el artista. Dichas series, que funcionan como investigaciones paralelas, tienen un denominador común no siempre visible pero sí presente que es la investigación sobre los materiales.
Insideout es una serie de pinturas en que el artista aborda no la tela sino el bastidor, pintándolo de colores y dejando entrever las composiciones a través de la tela en blanco. Si en Insideout es la transparencia de la tela la que permite ver el color que hay en el bastidor, en la serie Lighting es el reflejo lo que nos permite percibirlo. El artista enfrenta un conjunto de cartones recortados (en formas geométricas) a un papel en blanco. Los cartones están pintados de colores por el lado que permanece oculto al espectador. Sin embargo, el color oculto de los cartones se refleja en el papel en blanco que tienen delante, que se convierte en una superficie etérea que irradia luces de colores. Tanto en Insideout como en Lighting Pfaff subvierte una de las convenciones más asumidas de la historia de la pintura -pintar sobre la tela o el papel- y, mediante este pequeño gesto, su pintura parece convertirse en algo más escultórico.
La serie Space constituye una reflexión sobre el espacio en pintura. En el contexto de la obra de Guillermo Pfaff, el espacio en pintura adquiere una significación temporal, tan sencilla a veces como ser consciente de lo que se ha pintado antes y de lo que se ha pintado después, pues esta secuencia es la que revela la relación temporal entre los elementos que componen la obra.
Las obras de la serie One painting, One world son el indicio perfecto del proceso de trabajo del artista así como la demostración paradigmática de que sus pinturas “son lo que son”. One painting, One world son telas montadas sobre bastidores en las que observamos las huellas que ha dejado el artista sobre la tela en blanco al desenrollarla, palparla, tensarla o montarla sobre el bastidor. El título de la serie es una clara alusión a un proceso de trabajo basado en las comprobaciones, en la investigación acerca del propio medio como fundamento de una práctica que, consciente de la genealogía que le precede, busca y explora nuevas experiencias de lo pictórico.","null","null","null","http://www.artbarcelona.es/es/exposiciones/lighting/"
"http://www.artbarcelona.es/wp-content/uploads/2015/09/yot_195_300_cm1.jpg","Galería Balaguer","","http://www.artbarcelona.es/es/exposiciones/espin/","Diego Pujal","","01.10.15 – 30.11.15","Galería Balaguer","Espín","Las pinturas que presenta Diego Pujal dan lugar al surgimiento de formas que nos enfrentan al enigma de la conformación del sentido y al tamiz de nuestro propio entendimiento.
Pinturas que, aunque no intentan transmitir un 'aquello' concreto o representar un 'algo' específico, posibilitan el surgimiento de un diálogo que se constituye y entreteje mientras éstas son observadas.","null","null","null","http://www.artbarcelona.es/es/exposiciones/espin/"
"http://www.artbarcelona.es/wp-content/uploads/2015/09/Francesc-Ruiz-1.jpg","Galería Estrany – de la Mota","","http://www.artbarcelona.es/es/exposiciones/francesc-ruiz-los-alrededores/","Francesc Ruiz","","01.10.15 – 30.11.15","Galería Estrany – de la Mota","Francesc Ruiz: Los Alrededores","Un dibujo reproduce el perímetro exterior de la manzana en la que se sitúa la Galería Estrany - de la Mota, fijándose en puertas y escaparates como si formaran parte de una narrativa a activar formada por marcos o viñetas que son a la vez contenedores o reflectores de la actividad que se produce en los alrededores.  La obra enlaza con algunas de las obsesiones que desde hace años recorren el trabajo de Francesc Ruiz, la psicogeografía y el détournament situacionistas, el cómic como constructor y modificador de la realidad y la inscripción de la obra en el contexto inmediato donde se muestra.","null","null","null","http://www.artbarcelona.es/es/exposiciones/francesc-ruiz-los-alrededores/"
"http://www.artbarcelona.es/wp-content/uploads/2015/11/viaconme05.jpg","Galería H2O","","","Manuel Valls","10.11.15 – 27.11.15","10.11.15 – 27.11.15","Galería H2O","Via con me","","null","null","null","http://www.artbarcelona.es/es/exposiciones/via-con-me/"
"http://www.artbarcelona.es/wp-content/uploads/2015/09/captura-film35mm.jpg","Galería Joan Prats","","","Perejaume","01.10.15 – 28.11.15","01.10.15 – 28.11.15","Galería Joan Prats","Condensaciones","","null","null","null","http://www.artbarcelona.es/es/exposiciones/condensaciones/"
"http://www.artbarcelona.es/wp-content/uploads/2015/09/Meaux-24-avril-2004.jpg","Galería Senda","","","Mathieu Pernot","01.09.15 – 21.11.15","01.09.15 – 21.11.15","Galería Senda","Destrucción","","null","null","null","http://www.artbarcelona.es/es/exposiciones/destruccion/"
"http://www.artbarcelona.es/wp-content/uploads/2015/10/Lighting_1-2015.jpg","Galería Carles Taché – Projects","","","Guillermo Pfaff","01.10.15 – 02.02.16","01.10.15 – 02.02.16","Galería Carles Taché – Projects","Lighting","","null","null","null","http://www.artbarcelona.es/es/exposiciones/lighting/"
"http://www.artbarcelona.es/wp-content/uploads/2015/09/Triangle.jpg","NoguerasBlanchard","","http://www.artbarcelona.es/es/exposiciones/white-skin/","Mladen Stilinović","","01.10.15 – 24.12.15","NoguerasBlanchard","White – Skin","NoguerasBlanchard se complace en anunciar la primera exposición en la nueva ubicación de la galería en L'Hospitalet de Llobregat. Con la ambición de presentar trabajos fundamentales de artistas consolidados, la nueva programación de NoguerasBlanchard en L'H presentará 4 exposiciones por temporada. White - Skin, de Mladen Stilinović (Belgrado, 1947) es la primera presentación en Barcelona de los trabajos realizados por el artista durante el conflicto de los Balcanes. Creados entre 1990 y 1995, pertenecen a las series White Absence y Skin, de ahí el nombre que toma la exposición.
Mladen Stilinović realizó estos trabajos durante la guerra en Croacia en respuesta a esa situación, cuando el artista se vio incapaz de establecer ninguna empatía con los factores políticos del momento. Estas obras, de carácter introvertido y basadas en la experiencia individual reflejan impotencia. Stilinović siempre ha trabajado con el lenguaje, sobre todo con el impacto directo del lenguaje de la política en el lenguaje de la vida cotidiana y el arte. En su universo, el lenguaje representa la violencia de forzar al individuo a pertenecer a una comunidad lingüística con todas las reglas y constricciones que supone esa pertenencia para su subjetividad. Las obras blancas no contienen nada subversivo; son poética y, absteniéndose de la política, se habla de lo que no podemos hablar.
En referencia a un poema de Jorge Guillén, ""¿Busca el mundo una blanca, total, perenne ausencia?"" Mladen Stilinović tituló este trabajo White Absence. ¿Cuál es el color del dolor?, el artista se preguntó a sí mismo en la década de los 90, precisamente en el momento en que Croacia era asolada por la guerra. ""El blanco es el color del silencio, muy íntimo, y el dolor es una cosa íntima"", dice el artista, que propaga el blanco a través de pinturas y objetos de forma que abarca diversos conceptos: el silencio, el vacío, la ausencia, el dolor, la pobreza y el absurdo... Lo que realmente le interesa no es el contenido ideológico de un tipo específico de poder, socialista o capitalista, sino la  neutralización de los dispositivos de reproducción del poder como tal y su efecto a nivel del individuo. En ese sentido, su concepción del poder, en términos de dolor y tristeza, puede ser leída como Spinozista: la entiende fundamentalmente como un obstáculo para efectuar la potencia de cada sujeto. Según el propio Stilinović, ""durante la guerra enmudecí en el arte y en otras situaciones, y la mudez es dolor"".[1]
Las obras consisten en elementos cotidianos manchados de color blanco, de naturaleza frágil, con una pátina obtenida por el paso del tiempo que ha derivado en blancos rotos, amarillentos o grises. Stilinović expone estas piezas ordenadas de manera similar a los versos de Mallarmé en Un coup de dés jamais n'abolira le hasard- creando intervalos de pared blanca, siendo el vacío en la composición tan elocuente como las propias obras.
[1] Fuentes:
Branka Stipancic ""White Works""- interview with Mladen Stilinovic, and ""White Absence"", University of Auckland, New Zealand
Alejandra Labastida ""1+2"", MUAC, México","null","null","null","http://www.artbarcelona.es/es/exposiciones/white-skin/"
