event_title,event_text,event_start,event_end,event_venue__Hangar,event_link,event_link-href,event_category__Actividad__Hangar__Taller,event_maplink__1,event_cost__?,event_id,event_image-src
"“El sonido no representativo y su comportamiento en el espacio” 2 talleres de Wolfgang Gil y Daniel Neumann","2 talleres que exploran la espacializacion del sonido a cargo de los profesores: Daniel Neumann, quien desde el virtuosismo del ingeniero de sonido utiliza el altavoz creativamente como instrumento para hacer resonar el espacio; y  Wolfgang Gil experto en métodos no-lineales para la programacion del sonido asistida por ordenador.","2 y 3 junio 2015","2 y 3 junio 2015","null","","https://hangar.org/es/hangar-sonor/non-representational-spatial-sound-composition-%e2%80%a8a-workshop-by-daniel-neumann%e2%80%a8%e2%80%a8/","null","null","null","https://hangar.org/es/hangar-sonor/non-representational-spatial-sound-composition-%e2%80%a8a-workshop-by-daniel-neumann%e2%80%a8%e2%80%a8/","https://hangar.org/webnou/wp-content/uploads/2015/04/DNeumannFoto1_CT-SWaM_June222014sm_photobyEmilioVavarella-200x150.jpg"
"Curso “Diseño de libros en un contexto low cost” a cargo de Rosa Llop","La producción editorial dentro del contexto artístico se mueve principalmente en tres escenarios: los catálogos de obra, los dossiers de investigación y el libro de artista. Cada tipología tiene unas particularidades formales pero las tres comparten tanto la metodología de trabajo como el potencial del libro como medio expresivo.","del 22 de octubre al 26 de noviembre","del 22 de octubre al 26 de noviembre","null","","https://hangar.org/es/workshops-artist2artists/espanol-diseno-de-libros-en-un-contexto-low-cost-a-cargo-de-rosa-llop/","null","null","null","https://hangar.org/es/workshops-artist2artists/espanol-diseno-de-libros-en-un-contexto-low-cost-a-cargo-de-rosa-llop/","https://hangar.org/webnou/wp-content/uploads/2015/07/onesecond_Philipp_Adrian-3-200x150.jpg"
"Taller de Arduino Avanzado","En este taller intensivo se profundizará en las metodologías y técnicas de Arduino. Arduino es una plataforma de hardware libre con la que se pueden desarrollar todo tipo de proyectos de electrónica y computación física basados en microcontroladores, permite interactuar con sensores y controlar circuitos, luces y motores con sistemas inteligentes. El abanico de aplicaciones es muy amplio, tanto en el campo de la interactividad como de la robótica, la domótica, o la electróncia musical, por este motivo es una herramienta cada vez más utilizada por artistas que buscan explorar en sus obras los usos creativos de la tecnología.","1, 2, 3 diciembre 2015","1, 2, 3 diciembre 2015","null","","https://hangar.org/es/news/taller-de-arduino-avancat/","null","null","null","https://hangar.org/es/news/taller-de-arduino-avancat/","https://hangar.org/webnou/wp-content/uploads/2015/07/arduino-I-200x150.jpg"
"Taller de visualización de datos","","10 septiembre 2015","10 septiembre 2015","null","","https://hangar.org/es/programa-hangar/formacio-continua/taller-de-visualitzacio-de-dades/","null","null","null","https://hangar.org/es/programa-hangar/formacio-continua/taller-de-visualitzacio-de-dades/","https://hangar.org/webnou/wp-content/uploads/2015/09/Captura-de-pantalla-2015-09-04-a-les-16.57.53-200x150.png"
"Taller gratuito:  vvvv producción en tiempo real para presentaciones audiovisuales","null","9 y 10 mayo 2015","9 y 10 mayo 2015","null","","https://hangar.org/es/news/catala-taller-gratuito-vvvv-produccion-en-tiempo-real-para-presentaciones-audiovisuales/","null","null","null","https://hangar.org/es/news/catala-taller-gratuito-vvvv-produccion-en-tiempo-real-para-presentaciones-audiovisuales/","https://hangar.org/webnou/wp-content/uploads/2015/04/4-200x150.jpg"
"Programa de formación septiembre – diciembre 2015 ¡Inscripción abierta!","","Hasta el 31 de dic. 2015","Hasta el 31 de dic. 2015","null","","https://hangar.org/es/news/espanol-programa-de-formacion-septiembre-diciembre-2015-inscripcion-abierta/","null","null","null","https://hangar.org/es/news/espanol-programa-de-formacion-septiembre-diciembre-2015-inscripcion-abierta/","https://hangar.org/webnou/wp-content/uploads/2015/09/formacio1-200x150.jpg"
"Workshop “Mapping the Vortex: mapping y visualización con SuperCollider”","Este taller intensivo de dos días de duración impartido por Marinos Koutsomichalis va dirigido a participantes de cualquier disciplina que ya estén familiarizados con SuperCollider y deseen ampliar susconocimientos técnicos y prácticos en los campos de la cartografía y la visualización.","11, 12 dic. 2015","11, 12 dic. 2015","null","","https://hangar.org/es/workshops-artist2artists/english-workshop-mapping-the-vortex-mapping-and-visualisation-with-supercollider/","null","null","null","https://hangar.org/es/workshops-artist2artists/english-workshop-mapping-the-vortex-mapping-and-visualisation-with-supercollider/","https://hangar.org/webnou/wp-content/uploads/2015/08/9677OS-07-04-200x150.png"
"Taller gratuito de edición de audio básico para entrevistas con AUDACITY","","16 julio 2015","16 julio 2015","null","","https://hangar.org/es/hangar-sonor/espanol-taller-de-edicion-de-audio-basico-para-entrevistas-con-audacity/","null","null","null","https://hangar.org/es/hangar-sonor/espanol-taller-de-edicion-de-audio-basico-para-entrevistas-con-audacity/","https://hangar.org/webnou/wp-content/uploads/2015/05/images.jpeg"
"Taller Intensivo de MAX FOR LIVE (M4L)","","11 y 12 abril 2015","11 y 12 abril 2015","null","","https://hangar.org/es/hangar-sonor/catala-taller-intensiu-de-max-for-live-m4l/","null","null","null","https://hangar.org/es/hangar-sonor/catala-taller-intensiu-de-max-for-live-m4l/","https://hangar.org/webnou/wp-content/uploads/2015/03/m4l-200x150.jpg"
"Curso: El cine-ensayo (o la forma peligrosa de mezclar lo personal con el presente) a cargo de Andrés Duque","","26 octubre – 14 diciembre  2015","26 octubre – 14 diciembre  2015","null","","https://hangar.org/es/news/espanol-curso-el-cine-ensayo-o-la-forma-peligrosa-de-mezclar-lo-personal-con-el-presente-a-cargo-de-andres-duque/","null","null","null","https://hangar.org/es/news/espanol-curso-el-cine-ensayo-o-la-forma-peligrosa-de-mezclar-lo-personal-con-el-presente-a-cargo-de-andres-duque/","https://hangar.org/webnou/wp-content/uploads/2015/07/tallerduque-200x150.jpg"
"Taller: El uso del ruido y el error digital en la construcción musical. Lo inusual como fuente de inspiración.","","13 y 15 octubre 2015","13 y 15 octubre 2015","null","","https://hangar.org/es/hangar-sonor/espanol-taller-el-uso-del-ruido-y-el-error-digital-en-la-construccion-musical-lo-inusual-como-fuente-de-inspiracion/","null","null","null","https://hangar.org/es/hangar-sonor/espanol-taller-el-uso-del-ruido-y-el-error-digital-en-la-construccion-musical-lo-inusual-como-fuente-de-inspiracion/","https://hangar.org/webnou/wp-content/uploads/2015/10/imagen9-200x150.png"
"Taller de animación en directo a cargo de Ángeles Ciscar","","20-22 nov. 2015","20-22 nov. 2015","null","","https://hangar.org/es/workshops-artist2artists/espanol-taller-de-animacion-en-directo-a-cargo-de-angeles-ciscar/","null","null","null","https://hangar.org/es/workshops-artist2artists/espanol-taller-de-animacion-en-directo-a-cargo-de-angeles-ciscar/","https://hangar.org/webnou/wp-content/uploads/2015/09/Fotos-200x150.jpg"
"Taller gratuito de Vídeo con Kdenlive","null","9 julio 2015","9 julio 2015","null","","https://hangar.org/es/programa-hangar/formacio-continua/english-taller/","null","null","null","https://hangar.org/es/programa-hangar/formacio-continua/english-taller/","https://hangar.org/webnou/wp-content/uploads/2015/05/kdenlive-200x150.png"
"Taller de Arduino básico a cargo de Alex Posada","En este taller intensivo se explicarán las metodologías y técnicas básicas de trabajo con Arduino. Arduino es una plataforma de hardware libre con la cual se pueden desarrollar todo tipo de proyectos de electrónica y computación física basados en microcontroladores, permite interactuar con sensores y controlar circuitos, luces y motores con sistemas inteligentes. El abanico de aplicaciones es muy amplio, tanto en el campo de la interactividad como de la robótica, la domótica, o la electróncia musical, por este motivo es una herramienta cada vez más utilizada por artistas que buscan explorar en sus obras los usos creativos de la tecnología.","26, 27 y 28 de octubre 2015","26, 27 y 28 de octubre 2015","null","","https://hangar.org/es/programa-hangar/formacio-continua/taller-de-arduino-basic-a-carrec-de-alex-posada/","null","null","null","https://hangar.org/es/programa-hangar/formacio-continua/taller-de-arduino-basic-a-carrec-de-alex-posada/","https://hangar.org/webnou/wp-content/uploads/2015/07/arduinobasico-200x150.jpg"
"TYPE:BITS: Taller de tipografia digital libre","","18 nov. 2015","18 nov. 2015","null","","https://hangar.org/es/workshops-artist2artists/typebits-taller-de-tipografia-digital-lliure/","null","null","null","https://hangar.org/es/workshops-artist2artists/typebits-taller-de-tipografia-digital-lliure/","https://hangar.org/webnou/wp-content/uploads/2015/09/typebits-200x150.jpg"
"Taller de PROTECCIÓN DIGITAL DE LA FUENTE PERIODÍSTICA","Taller intensivo de 10 horas.","11 julio 2015","11 julio 2015","null","","https://hangar.org/es/workshops-artist2artists/espanol-talelr-de-proteccion-digital-de-la-fuente-periodistica/","null","null","null","https://hangar.org/es/workshops-artist2artists/espanol-talelr-de-proteccion-digital-de-la-fuente-periodistica/","https://hangar.org/webnou/wp-content/uploads/2015/05/protecciondigital-200x150.png"
"Taller “Distribución Perturbadora” a cargo de Francesc Ruiz","","26-18 ene. 2016","26-18 ene. 2016","null","","https://hangar.org/es/workshops-artist2artists/english-taller-distribucion-perturbadora-a-cargo-de-francesc-ruiz/","null","null","null","https://hangar.org/es/workshops-artist2artists/english-taller-distribucion-perturbadora-a-cargo-de-francesc-ruiz/","https://hangar.org/webnou/wp-content/uploads/2015/11/distribution-200x150.jpg"
"Taller: Data Bending ó búsqueda de nuevas estéticas en el glitch","","18, 19, 25 y 26 septiembre","18, 19, 25 y 26 septiembre","null","","https://hangar.org/es/workshops-artist2artists/espanol-taller-data-bending-o-busqueda-de-nuevas-esteticas-en-el-glitch/","null","null","null","https://hangar.org/es/workshops-artist2artists/espanol-taller-data-bending-o-busqueda-de-nuevas-esteticas-en-el-glitch/","https://hangar.org/webnou/wp-content/uploads/2015/07/glitch-200x150.jpg"
"El A,B,C,D,E para Fotografiar tu obra","","15,16,17,18 y 21 de diciembre de 2015","15,16,17,18 y 21 de diciembre de 2015","null","","https://hangar.org/es/workshops-artist2artists/catala-el-abcde-per-a-fotografiar-la-teva-obra/","null","null","null","https://hangar.org/es/workshops-artist2artists/catala-el-abcde-per-a-fotografiar-la-teva-obra/","https://hangar.org/webnou/wp-content/uploads/2015/03/Biggger-and-Unique-700pix-Rivet-200x150.jpeg"
"5a edición del Taller “WEARABLES: introducción al uso de tecnologías interactivas en el ámbito téxtil","Taller práctico orientado a la confección e intervención de ropa y accesorios mediante la manufactura de circuitos electrónicos con Arduino. Arduino es un diseño abierto/libre/gratuito y sobre todo una comunidad de miles de diseñadores que genera diariamente proyectos bajo la misma filosofía. La placa electrónica y el software Arduino fueron concebidos para acercar y facilitar a artistas y diseñadores la construcción y programación de pequeños circuitos electrónicos. Arduino permite el desarrollo casero (DIY, hazlo tú mismo) de pequeños proyectos reactivos e interactivos: sensores y actuadores (luces, motores, etc). Lilypad es uno dos de los proyectos derivados de Arduino, una modificación de la placa standard enfocada al uso sobre tejidos y donde las partes conductoras del circuito se pueden coser. La integración de hardware/software en el ámbito blando de los tejidos permite además, el acoplamiento de esta tecnología con la escena emergente de los nuevos materiales (conductivos, crómicos, etc). Este cruzamiento acontecerá muy probablemente una de las principales ramas de la denominado “internet de las cosas“, la ubicuidad de la información digital.","18 y 25 abril 2015","18 y 25 abril 2015","null","","https://hangar.org/es/news/catala-5a-edicio-del-taller-wearables-introduccio-a-lus-de-tecnologies-interactives-en-lambit-textil/","null","null","null","https://hangar.org/es/news/catala-5a-edicio-del-taller-wearables-introduccio-a-lus-de-tecnologies-interactives-en-lambit-textil/","https://hangar.org/webnou/wp-content/uploads/2014/07/wearables3-200x150.jpg"
