event_title1,event_title2,event_image-src,event_text,event_start,event_end,event_venue,event_link,event_link-href,event_organizer__MACBA,event_category__Actividad__MACBA,event_maplink__1,event_cost__10,event_id
The Museum is Closed,Nuevo ciclo de actividades Programa Abierto Amics,http://www.macba.cat/uploads/20151103/sonia_fernandez_pan.3.jpg,"Un martes al mes, cuando el museo permanece cerrado,  se abre el taller del MACBA para que artistas, colectivos y comisarios puedan presentar sus proyectos en curso con la única intención de dialogar y crear complicidades y retornos entre los asistentes. Cada martes estará liderado por un proyecto e invitados diferentes. Este funcionamiento reproduce procesos de trabajo comunes en las prácticas artísticas de colectivos independientes.



Sonia Fernández Pan escribe y comisaría exposiciones. De la escritura le interesa la posible autonomía del texto en relación con aquello de lo que habla y el cruce entre conocimiento teórico y experiencia subjetiva. De la exposición le interesa su potencial como proceso de investigación colectivo y de proximidad emocional. Es autora de esnorquel.es.",15 dic. 2015,null,Espai Taller  MACBA,,http://www.macba.cat/es/the-museum-is-closed/1/actividades/activ,null,null,null,null,/es/the-museum-is-closed/1/actividades/activ
©Viagra y Spleen. Estéticas de la euforia y el tedio,A cargo de Avalancha,http://www.macba.cat/uploads/20151030/horhoppervscoppola_2_copy.4.jpg,"El cine de Sofia Coppola, Edward Hopper, Lana del Rey, la bolsa de Nueva York y el Palacio de Versalles, la teoría de los afectos de Spinoza y un desfile de Chanel... Todo esto forma parte de la investigación del colectivo Avalancha para la Sala d’Art Jove 2015. ¿Son la euforia y el tedio dos afectos determinantes para comprender la tonalidad afectiva de nuestro tiempo? El colectivo dialogará sobre esta cuestión central para comprender nuestro presente, en una sesión de trabajo en la que pondrá de manifiesto algunos resultados de su investigación.



Avalancha está integrado por Cloe Masotta, Víctor Ramírez, Elena Blesa y Sergi Casero.



Actividad programada por la Sala d’Art Jove de la Generalitat de Catalunya y realizada con el apoyo del MACBA en el marco del convenio de colaboración entre ambas instituciones.",16 dic. 2015,null,Auditori Convent dels Àngels,,http://www.macba.cat/es/viagra-y-spleen/1/actividades/activ,null,null,null,null,/es/viagra-y-spleen/1/actividades/activ
MACBA ÉS MORT. Nos queremos vivas,Performance del equipo Jeleton,http://www.macba.cat/uploads/20151016/imatge_macba_es_mort.1.jpg,"Entre la noche de difuntos y el solsticio de invierno, proponemos un rito generoso en imágenes, palabras y sonidos, porque muchas son las que nos faltan y muchas las que queremos vivir.



La acción se estructura como una galaxia de pequeñas piezas de arte, e incluye tres técnicas distintas realizadas en directo: dibujos en tinta china sobre la piel, palabras declamadas y collages sonoros electrónicos. Con esta acción damos continuidad a las sesiones de dibujo sobre el cuerpo que el equipo Jeleton ha llevado a cabo este año (Hangar, Fundació Joan Miró, Penitenciaría de Santa Martha Acatitla), las intervenciones sobre discos de vinilo realizadas durante los últimos cinco años con el nombre de turntable pieces, y el uso escénico de la voz y la palabra de las acciones turntable, así como de las acciones «anotaciones al texto», de los últimos seis años.



El equipo Jeleton (Gelen Alcántara Sánchez y Jesús Arpal Moya) desarrolla prácticas artísticas en distintos medios, particularmente en dibujo y arte de acción, desde 1999. Ha presentado sus piezas en exposiciones, conciertos, editoriales, contextos de investigación, pedagogía, tanto en centros culturales y educativos públicos y privados, como en salas independientes y espacios autogestionados.



Más información: jeletonlinks.wordpress.com.",14 nov. 2015,null,MACBA,,http://www.macba.cat/es/macba-es-mort/1/actividades/activ,null,null,null,null,/es/macba-es-mort/1/actividades/activ
"Y en Navidad... ¡Ven a descubrir el fotolibro de Xavier Miserachs Barcelona, blanco y negro!",Actividad para niños y niñas de 6 a 12 años,http://www.macba.cat/uploads/20151111/Nadal_nens.1.2.jpg,"Te invitamos a entrar en el fotolibro Barcelona, blanco y negro de Xavier Miserachs y a explorar cómo las imágenes pueden contar historias sin ir acompañadas de un texto.



La exposición Miserachs Barcelona sirve de guía para este taller, en el que construiremos entre todos un fotocuaderno sobre la ciudad de nuestros días. Si Miserachs salía a la calle para captar imágenes de Barcelona y su gente, nosotros partiremos del inmenso material visual que internet nos ofrece para crear nuestros propios relatos visuales sobre la metrópolis.

 

¡NOVEDAD! Taller disponible en catalán e inglés.",23 dic. 2015,08 ene. 2016,MACBA,,http://www.macba.cat/es/navidad-xavier-miserachs/1/actividades/activ,null,null,null,null,/es/navidad-xavier-miserachs/1/actividades/activ
A.XMI,Conversación de presentación del Fondo Xavier Miserachs,http://www.macba.cat/uploads/20151014/miserachs_mediterrani_900.jpg,"Conversación abierta al público en la que Jorge Blasco, Enric Farrés-Duran y Maite Muñoz compartirán sus experiencias y visiones sobre el tratamiento, la clasificación y los usos del archivo en el contexto del museo de arte contemporáneo. Esta actividad abre la muestra A.XMI, que presenta una selección de materiales fotográficos y documentales del Fondo Xavier Miserachs y hace un recorrido por los procesos de incorporación, catalogación y difusión del Fondo realizados por el Centro de Estudios y Documentación MACBA (CED). A.XMI complementa la exposición Miserachs Barcelona, y se podrá visitar hasta el 27 de marzo de 2016.",12 nov. 2015,null,MACBA,,http://www.macba.cat/es/a-xmi/1/actividades/activ,null,null,null,null,/es/a-xmi/1/actividades/activ
El comisariado y la gestión de exposiciones,,http://www.macba.cat/uploads/20151111/especies_0132.jpg,"El curso es una introducción desde una perspectiva profesional al trabajo de comisariado y gestión de exposiciones. Aborda la noción de proyecto expositivo, revisa el propio concepto de exposición y también el estado de la cuestión. Se analizan las prácticas expositivas en el espacio público, los proyectos singulares y los distintos aspectos vinculados a la planificación, la gestión y la producción. También se tratan nociones de imagen y de públicos asociados a la práctica expositiva.



El curso está dirigido a profesionales y estudiantes que deseen formarse en el ámbito de las exposiciones, así como a artistas y otros agentes culturales.



Actividad organizada por ACCA, Associació Catalana de Crítics d’Art, www.acca.cat",23 nov.,30 nov. 2015,Auditori Convent dels Àngels,,http://www.macba.cat/es/comisariado-gestion-exposiciones/1/actividades/activ,null,null,null,null,/es/comisariado-gestion-exposiciones/1/actividades/activ
¡Minitecnólogos en acción!,Nuevo programa para familias con niños de 1 a 5 años,http://www.macba.cat/uploads/20151019/minitecnolegs.3.jpg,"En este taller invitamos a los más pequeños y no tan pequeños a crear sus propios móviles. Durante el proceso de creación experimentaremos con texturas y colores, y descubriremos otras propiedades como la electricidad y la conductividad. Los móviles se convertirán en una herramienta para jugar y manipular una proyección en el techo que interactuará con los sonidos del espacio. Una experiencia conjunta de estimulación a nivel físico y de exploración del mundo audiovisual a través de nuestras propias creaciones.



Taller a cargo de Mónica Rikic.",31 oct.,28 nov. 2015,MACBA,,http://www.macba.cat/es/familia-minitecnologos-en-accion/1/actividades/activ,null,null,null,null,/es/familia-minitecnologos-en-accion/1/actividades/activ
Nos comemos el Raval,A cargo de Nyam Nyam,http://www.macba.cat/uploads/20151019/NyamRval.4.jpg,"Este año Habitació 1418 será parte activa en el festival de la cultura... Y no hay mejor manera de empezar nuestra investigación cultural que adentrarnos en el universo gastronómico. Para pilotar esta experiencia contamos con Nyam Nyam, una asociación que fomenta la relación entre las distintas formas de arte y la comida para dinamizar y estrechar los lazos entre el tejido social. Es decir, cocinar y comer como excusa para hablar y darse a conocer. ¿Tienes hambre? ¿Nos comemos el Raval?



A cargo de Nyam Nyam",14 nov. 2015,null,CED,,http://www.macba.cat/es/nos-comemos-el-raval/1/actividades/activ,null,null,null,null,/es/nos-comemos-el-raval/1/actividades/activ
Blue and Red,de Zhou Tao,http://www.macba.cat/uploads/20151109/zaothao.2.jpg,"El próximo 24 de noviembre la Fundación Han Nefkens presentará, en el Auditorio Convent del Àngels del MACBA, el vídeo Blue and Red (2014) del artista chino Zhou Tao (Guangzhou, 1976), ganador del primer HNF / BACC Award for Contemporary Asian Art, otorgado por la FHN en Bangkok en enero de 2015.



Durante su estancia en Bangkok –en un momento turbulento, marcado por un intento de golpe de estado en el país– Zhou Tao realizó su vídeo Blue and Red. Se trata de un documento que ilustra de forma subjetiva y poética este confuso ambiente de guerra civil. El tiempo y los paisajes se mezclan de una manera fluida para contar una historia que, pese a su carácter semidocumental, destaca por su sensualidad.",24 nov.,30 nov. 2015,Auditori Convent dels Àngels,,http://www.macba.cat/es/blue-and-red-zhou-tao/1/actividades/activ,null,null,null,null,/es/blue-and-red-zhou-tao/1/actividades/activ
[Artefactos],Nuevo programa para familias con niños y niñas de 6 a 12 años,http://www.macba.cat/uploads/20151019/_Artefactes_.4.jpg,"¿Es posible acceder a mundos virtuales a través de una caja de cartón? ¿Están las nuevas tecnologías fuera de nuestro alcance creativo? En este taller crearemos nuestras propias máscaras de realidad virtual con cartón, cartulina y otros materiales reciclados, que combinaremos con elementos tecnológicos cotidianos. Así accederemos a esos mundos donde podremos experimentar y desarrollar nuestra creatividad. Dos horas en familia en las que aprenderemos que las manualidades con materiales tradicionales y las nuevas tecnologías son compatibles… ¡Y muy divertidas cuando las combinamos!



ATENCIÓN: Si soys usuarios de smartphone traedlo porqué  será una de vuestras herramientas de trabajo. Y si no tenéis, no pasa nada, desde el MACBA os prestaremos uno para realizar el taller. 



Taller a cargo de Mónica Rikic.",31 oct.,29 nov. 2015,,,http://www.macba.cat/es/familia-artefactos/1/actividades/activ,null,null,null,null,/es/familia-artefactos/1/actividades/activ
