event,event-href,event_link,event_link-href,event_title1,event_title2,event_image-src,event_start,event_end,event_text,event_venue,event_organizer,event_cost__0,event_maplink__1,event_category__Exposición__Galerías__galleryweekend,event_id
"Unidad Montada de la Guardia Urbana de Barcelona","http://www.barcelonagalleryweekend.com/es/espacio/caballerizas-de-la-guardia-urbana-de-barcelona/","Wilfredo Prieto						
												29.09.16 - 02.10.16
																			Proyecto site-specific
												...","http://www.barcelonagalleryweekend.com/es/exposiciones/proyecto-site-specific-wilfredo-prieto/","Wilfredo Prieto","Proyecto site-specific","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2016/04/03-low2.jpg","29.09.16 - 02.10.16","29.09.16 - 02.10.16","...","Unidad Montada de la Guardia Urbana de Barcelona","Unidad Montada de la Guardia Urbana de Barcelona","null","null","null","http://www.barcelonagalleryweekend.com/es/exposiciones/proyecto-site-specific-wilfredo-prieto/"
"RocioSantaCruz","http://www.barcelonagalleryweekend.com/es/espacio/rociosantacruz-es/","Pep Duran						
												29.09.16 - 02.10.16
																			Amorfa
												Estos últimos Ensamblajes intitulados MAGMA (S) / NUCLI (S) y que forman parte de la exposición AMORFA tienen que ser leídos como un mural secuencia, tienen que ser mirados como si lo hiciéramos a través de una...","http://www.barcelonagalleryweekend.com/es/exposiciones/amorfa/","Pep Duran","Amorfa","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2016/07/PEP-DURAN_SUITE-MAGMA-09-low.jpg","29.09.16 - 02.10.16","29.09.16 - 02.10.16","Estos últimos Ensamblajes intitulados MAGMA (S) / NUCLI (S) y que forman parte de la exposición AMORFA tienen que ser leídos como un mural secuencia, tienen que ser mirados como si lo hiciéramos a través de una...","RocioSantaCruz","RocioSantaCruz","null","null","null","http://www.barcelonagalleryweekend.com/es/exposiciones/amorfa/"
"ADN Galeria","http://www.barcelonagalleryweekend.com/es/espacio/adn-galeria-es/","Kendell Geers						
												29.09.16 - 02.10.16
																			ProPaganDaDa
												Texto por Pierre Olivier Rollin, «Corps-à-corps».

Para comprender una exposición del artista sudafricano Kendell Geers (Mayo de 1968) hay que renunciar a cualquier explicación y aceptar un cuerpo a cuerpo con las obras. Que el cuerpo movilice...","http://www.barcelonagalleryweekend.com/es/exposiciones/kendell-geers-es/","Kendell Geers","ProPaganDaDa","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2016/04/Geers2-PARA-WEB-JUNIO.jpg","29.09.16 - 02.10.16","29.09.16 - 02.10.16","Texto por Pierre Olivier Rollin, «Corps-à-corps».

Para comprender una exposición del artista sudafricano Kendell Geers (Mayo de 1968) hay que renunciar a cualquier explicación y aceptar un cuerpo a cuerpo con las obras. Que el cuerpo movilice...","ADN Galeria","ADN Galeria","null","null","null","http://www.barcelonagalleryweekend.com/es/exposiciones/kendell-geers-es/"
"Galeria Toni Tàpies","http://www.barcelonagalleryweekend.com/es/espacio/galeria-toni-tapies-es/","Antoni Tàpies						
												29.09.16 - 02.10.16
																			Roba blanca
												La Galeria Toni Tàpies propone para el Barcelona Gallery Weekend un proyecto expositivo, titulado Ropa blanca, que quiere reflexionar sobre el valor y el significado del objeto más íntimo dentro de la obra pictórica de Antoni T...","http://www.barcelonagalleryweekend.com/es/exposiciones/ropa-blanca/","Antoni Tàpies","Roba blanca","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2016/04/samarreta-blanca-low.jpg","29.09.16 - 02.10.16","29.09.16 - 02.10.16","La Galeria Toni Tàpies propone para el Barcelona Gallery Weekend un proyecto expositivo, titulado Ropa blanca, que quiere reflexionar sobre el valor y el significado del objeto más íntimo dentro de la obra pictórica de Antoni T...","Galeria Toni Tàpies","Galeria Toni Tàpies","null","null","null","http://www.barcelonagalleryweekend.com/es/exposiciones/ropa-blanca/"
"àngels barcelona","http://www.barcelonagalleryweekend.com/es/espacio/angels-barcelona-es/","Pep Agut						
												29.09.16 - 02.10.16
																			Penélope
												Pep Agut ha trabajado durante 30 años sobre modelos genéricos plásticos mientras Penélope tejía. Pep Agut como Ulises viajaba por el mundo con su obra. El resultado es el tejido de Penélope y no...","http://www.barcelonagalleryweekend.com/es/exposiciones/pep-agut/","Pep Agut","Penélope","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2016/04/angels-barcelona-pep_agut_las_horas_de_penelope_2016_detalle.jpg","29.09.16 - 02.10.16","29.09.16 - 02.10.16","Pep Agut ha trabajado durante 30 años sobre modelos genéricos plásticos mientras Penélope tejía. Pep Agut como Ulises viajaba por el mundo con su obra. El resultado es el tejido de Penélope y no...","àngels barcelona","àngels barcelona","null","null","null","http://www.barcelonagalleryweekend.com/es/exposiciones/pep-agut/"
"The Laboratory (Galeria Miquel Alzueta)","http://www.barcelonagalleryweekend.com/es/espacio/the-laboratory-es/","Bruno Ollé, Julia Mariscal						
												29.09.16 - 02.10.16
																			Sólids en un líquid
												""Una burbuja de jabón, generalmente se rompe mucho antes de que uno quiera. El proceso en el que la burbuja se rompe, es rápido y difícil de prever a simple vista."" Daston Lorraine, Things that talk, 2002...","http://www.barcelonagalleryweekend.com/es/exposiciones/solids/","Bruno Ollé, Julia Mariscal","Sólids en un líquid","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2016/04/Bruno-Olle-Archivo-ano--nimo-1.jpg","29.09.16 - 02.10.16","29.09.16 - 02.10.16","""Una burbuja de jabón, generalmente se rompe mucho antes de que uno quiera. El proceso en el que la burbuja se rompe, es rápido y difícil de prever a simple vista."" Daston Lorraine, Things that talk, 2002...","The Laboratory (Galeria Miquel Alzueta)","The Laboratory (Galeria Miquel Alzueta)","null","null","null","http://www.barcelonagalleryweekend.com/es/exposiciones/solids/"
"Ana Mas Projects","http://www.barcelonagalleryweekend.com/es/espacio/ana-mas-projects-es/","Laercio Redondo						
												29.09.16 - 02.10.16
																			Restauro / Restauración
												Ana Mas Projects presenta la obra del artista brasileño Laercio Redondo (Parnavaí, 1967). La muestra, que consta de dos instalaciones, Desvios (Desvíos) y Lembrança de Brasilia (Memoria de Brasil) insiste en el discurso conceptual y estético...","http://www.barcelonagalleryweekend.com/es/exposiciones/laercio-redondo-es/","Laercio Redondo","Restauro / Restauración","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2016/04/Ana-Mas-Projects-Laercio-Redondo-1-low.jpg","29.09.16 - 02.10.16","29.09.16 - 02.10.16","Ana Mas Projects presenta la obra del artista brasileño Laercio Redondo (Parnavaí, 1967). La muestra, que consta de dos instalaciones, Desvios (Desvíos) y Lembrança de Brasilia (Memoria de Brasil) insiste en el discurso conceptual y estético...","Ana Mas Projects","Ana Mas Projects","null","null","null","http://www.barcelonagalleryweekend.com/es/exposiciones/laercio-redondo-es/"
"3 Punts Galeria","http://www.barcelonagalleryweekend.com/es/espacio/3-punts-galeria-es/","Samuel Salcedo						
												29.09.16 - 02.10.16
																			Bewilderment (Desconcierto)
												Con esta instalación Samuel Salcedo nos habla de las relaciones humanas, el aislamiento, los grupos, las relaciones de pareja, de amistad, de violencia… Para ello colocará 16 esculturas esféricas de gran formato a las que les ha moldeado...","http://www.barcelonagalleryweekend.com/es/exposiciones/bewilderment-desconcierto-es/","Samuel Salcedo","Bewilderment (Desconcierto)","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2016/04/ALTA-3-Punts-Galeria-Samuel-Salcedo-1-LOW.jpg","29.09.16 - 02.10.16","29.09.16 - 02.10.16","Con esta instalación Samuel Salcedo nos habla de las relaciones humanas, el aislamiento, los grupos, las relaciones de pareja, de amistad, de violencia… Para ello colocará 16 esculturas esféricas de gran formato a las que les ha moldeado...","3 Punts Galeria","3 Punts Galeria","null","null","null","http://www.barcelonagalleryweekend.com/es/exposiciones/bewilderment-desconcierto-es/"
"Antigua fábrica textil Can Trinxet","http://www.barcelonagalleryweekend.com/es/espacio/antigua-fabrica-textil-can-trinxet/","Regina Giménez						
												29.09.16 - 02.10.16
																			Proyecto site-specific
												...","http://www.barcelonagalleryweekend.com/es/exposiciones/proyecto-site-specific-regina-gimenez-es/","Regina Giménez","Proyecto site-specific","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2016/04/imatge-2-low1.jpg","29.09.16 - 02.10.16","29.09.16 - 02.10.16","...","Antigua fábrica textil Can Trinxet","Antigua fábrica textil Can Trinxet","null","null","null","http://www.barcelonagalleryweekend.com/es/exposiciones/proyecto-site-specific-regina-gimenez-es/"
"Blueproject Foundation","http://www.barcelonagalleryweekend.com/es/espacio/blueproject-foundation-es/","Pieter Vermeersch						
												29.09.16 - 02.10.16
																		La Blueproject Foundation presenta Pieter Vermeersch, la exposición personal que alberga Il Salotto del 20 de mayo al 9 de octubre del 2016. El reconocido artista belga ha construido para la ocasión una instalación inédita, pensada...","http://www.barcelonagalleryweekend.com/es/exposiciones/exposicio-de-pieter-vermeersch/","Pieter Vermeersch","The Great Invisible Battle","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2016/06/IMG_0773-low.jpg","29.09.16 - 02.10.16","29.09.16 - 02.10.16","La Blueproject Foundation presenta Pieter Vermeersch, la exposición personal que alberga Il Salotto del 20 de mayo al 9 de octubre del 2016. El reconocido artista belga ha construido para la ocasión una instalación inédita, pensada...","Blueproject Foundation","Blueproject Foundation","null","null","null","http://www.barcelonagalleryweekend.com/es/exposiciones/exposicio-de-pieter-vermeersch/"
"Sala Dalmau","http://www.barcelonagalleryweekend.com/es/espacio/sala-dalmau-es/","Manuel Ángeles Ortiz						
												29.09.16 - 02.10.16
																			La magia de Granada
												Manuel Ángeles Ortiz (Jaén 1895 – París 1984) fue un destacado miembro de la vanguardia histórica española. Contemporáneo y amigo de Falla, Lorca o Picasso colaboró con todos ellos en diversas ocasiones.

La exposición, se...","http://www.barcelonagalleryweekend.com/es/exposiciones/magia-de-granada/","Manuel Ángeles Ortiz","La magia de Granada","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2016/04/albaycin1.jpg","29.09.16 - 02.10.16","29.09.16 - 02.10.16","Manuel Ángeles Ortiz (Jaén 1895 – París 1984) fue un destacado miembro de la vanguardia histórica española. Contemporáneo y amigo de Falla, Lorca o Picasso colaboró con todos ellos en diversas ocasiones.

La exposición, se...","Sala Dalmau","Sala Dalmau","null","null","null","http://www.barcelonagalleryweekend.com/es/exposiciones/magia-de-granada/"
"Nogueras Blanchard","http://www.barcelonagalleryweekend.com/es/espacio/gal-nogueras-blanchard-es/","Jacopo Miliani						
												29.09.16 - 02.10.16
																			A Slow Dance Without Name
												Jacopo Miliani trabaja mayoritariamente con fotografía, instalación y actuación. Estos medios de comunicación diferentes le han permitido desarrollar una búsqueda respecto a la manera en que el espectador crea imágenes personales y significados a...","http://www.barcelonagalleryweekend.com/es/exposiciones/expo-nogueras-blanchard/","Jacopo Miliani","A Slow Dance Without Name","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2016/04/1-LOW.jpg","29.09.16 - 02.10.16","29.09.16 - 02.10.16","Jacopo Miliani trabaja mayoritariamente con fotografía, instalación y actuación. Estos medios de comunicación diferentes le han permitido desarrollar una búsqueda respecto a la manera en que el espectador crea imágenes personales y significados a...","Nogueras Blanchard","Nogueras Blanchard","null","null","null","http://www.barcelonagalleryweekend.com/es/exposiciones/expo-nogueras-blanchard/"
"Galeria Carles Taché","http://www.barcelonagalleryweekend.com/es/espacio/galeria-carles-tache-3/","Alberto García-Alix, Antoine d'Agata, Bosco Sodi, Cornelia Parker, Javier Pérez, Jordi Colomer, Julio Vaquero, Keith Tyson, Michael Joo, Miguel Ángel Campano, Santi Moix, Sean Scully, Tony Cragg						
												29.09.16 - 02.10.16
																			International Art Paper
												Coincidiendo con la segunda edición del Barcelona Gallery Weekend, la Galería Carles Taché tiene el placer de presentar International Art Paper, una muestra que reúne obra de buena parte de los artistas representados por la galería...","http://www.barcelonagalleryweekend.com/es/exposiciones/international-art-paper-es/","Alberto García-Alix, Antoine d'Agata, Bosco Sodi, Cornelia Parker, Javier Pérez, Jordi Colomer, Julio Vaquero, Keith Tyson, Michael Joo, Miguel Ángel Campano, Santi Moix, Sean Scully, Tony Cragg","International Art Paper","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2016/04/Keith-Tyson-low.jpg","29.09.16 - 02.10.16","29.09.16 - 02.10.16","Coincidiendo con la segunda edición del Barcelona Gallery Weekend, la Galería Carles Taché tiene el placer de presentar International Art Paper, una muestra que reúne obra de buena parte de los artistas representados por la galería...","Galeria Carles Taché","Galeria Carles Taché","null","null","null","http://www.barcelonagalleryweekend.com/es/exposiciones/international-art-paper-es/"
"Galeria Barbié","http://www.barcelonagalleryweekend.com/es/espacio/galeria-barbie-es/","Alexander Calder, André Masson, Baltasar Lobo, Claudio Bravo, Domenico Gnoli, Fernand Léger, Gaston-Louis Roux, Giorgio de Chirico, Jean Arp, Jean Dubuffet, Joan Miró, Julio González, Óscar Domínguez, Salvador Dalí, Valerio Adami						
												29.09.16 - 02.10.16
																			El imaginario irracional
												El imaginario irracional reúne a una veintena de obras del siglo XX, desde los años veinte hasta finales de los setenta. ¿Denominador común? El componente surrealista que impera en todas ellas; bien sea porque los artistas fueron...","http://www.barcelonagalleryweekend.com/es/exposiciones/expo-galeria-barbie-es/","Alexander Calder, André Masson, Baltasar Lobo, Claudio Bravo, Domenico Gnoli, Fernand Léger, Gaston-Louis Roux, Giorgio de Chirico, Jean Arp, Jean Dubuffet, Joan Miró, Julio González, Óscar Domínguez, Salvador Dalí, Valerio Adami","El imaginario irracional","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2016/04/El-sue--o-de-la-razon_dormeuse.jpg","29.09.16 - 02.10.16","29.09.16 - 02.10.16","El imaginario irracional reúne a una veintena de obras del siglo XX, desde los años veinte hasta finales de los setenta. ¿Denominador común? El componente surrealista que impera en todas ellas; bien sea porque los artistas fueron...","Galeria Barbié","Galeria Barbié","null","null","null","http://www.barcelonagalleryweekend.com/es/exposiciones/expo-galeria-barbie-es/"
"Mayoral","http://www.barcelonagalleryweekend.com/es/espacio/mayoral-galeria-d-art-es/","Alexander Calder, Joan Miró, Julio González, Pablo Picasso						
												29.09.16 - 02.10.16
																			Art Revolutionaries. Homenaje al Pabellón de la República Española, 1937
												Comisariada por Juan Manuel Bonet.

La galería Mayoral presenta “Art revolutionaries”, un proyecto artístico de calidad museística, con obras de Pablo Picasso, Joan Miró, Alexander Calder y Julio González, en el Barcelona Gallery Weekend. Esta exposici...","http://www.barcelonagalleryweekend.com/es/exposiciones/el-reencuentro-homenaje-a-los-artistas-del-pabellon-de-la-republica-espanola-de-1937/","Alexander Calder, Joan Miró, Julio González, Pablo Picasso","Art Revolutionaries. Homenaje al Pabellón de la República Española, 1937","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2016/04/CALDER.The-red-base.-1969.jpg","29.09.16 - 02.10.16","29.09.16 - 02.10.16","Comisariada por Juan Manuel Bonet.

La galería Mayoral presenta “Art revolutionaries”, un proyecto artístico de calidad museística, con obras de Pablo Picasso, Joan Miró, Alexander Calder y Julio González, en el Barcelona Gallery Weekend. Esta exposici...","Mayoral","Mayoral","null","null","null","http://www.barcelonagalleryweekend.com/es/exposiciones/el-reencuentro-homenaje-a-los-artistas-del-pabellon-de-la-republica-espanola-de-1937/"
"Galeria Senda","http://www.barcelonagalleryweekend.com/es/espacio/senda-es/","Anthony Goicolea						
												29.09.16 - 02.10.16
																			Simulacrum
												Simulacrum es la segunda muestra individual de Anthony Goicolea en la Galeria Senda. Conocido por su perfil versátil, este artista emplea un amplio espectro de medios en sus creaciones que oscilan desde paisajes manipulados digitalmente hasta dibujos que reflejan...","http://www.barcelonagalleryweekend.com/es/exposiciones/anthony-goicolea/","Anthony Goicolea","Simulacrum","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2016/04/Anthony-Goicolea-FINAL-low.jpg","29.09.16 - 02.10.16","29.09.16 - 02.10.16","Simulacrum es la segunda muestra individual de Anthony Goicolea en la Galeria Senda. Conocido por su perfil versátil, este artista emplea un amplio espectro de medios en sus creaciones que oscilan desde paisajes manipulados digitalmente hasta dibujos que reflejan...","Galeria Senda","Galeria Senda","null","null","null","http://www.barcelonagalleryweekend.com/es/exposiciones/anthony-goicolea/"
"Galeria Trama","http://www.barcelonagalleryweekend.com/es/espacio/galeria-trama-esp/","Jan Monclús, Jerónimo Hagerman, José Díaz, José Ramón Ais, Rosa Amorós						
												29.09.16 - 02.10.16
																			Parque natural
												Comisariada por Frederic Montornés.

Dice Georges Perec que el campo es el espacio de recreo que rodea la segunda residencia de algunos de sus semblantes y allí donde hay más sitio que en la ciudad. Ahora bien, a...","http://www.barcelonagalleryweekend.com/es/exposiciones/parque-natural/","Jan Monclús, Jerónimo Hagerman, José Díaz, José Ramón Ais, Rosa Amorós","Parque natural","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2016/04/Jos---Ramon-Ais-LOW.jpg","29.09.16 - 02.10.16","29.09.16 - 02.10.16","Comisariada por Frederic Montornés.

Dice Georges Perec que el campo es el espacio de recreo que rodea la segunda residencia de algunos de sus semblantes y allí donde hay más sitio que en la ciudad. Ahora bien, a...","Galeria Trama","Galeria Trama","null","null","null","http://www.barcelonagalleryweekend.com/es/exposiciones/parque-natural/"
"Galeria Balaguer","http://www.barcelonagalleryweekend.com/es/espacio/galeria-balaguer-es/","Víctor Jaenada						
												29.09.16 - 02.10.16
																			Hacer cosas – Doing things
												Exposición-obra multidisciplinar aparentemente heterogénea y en distintos niveles de emisión, con el concepto de ""Tiempo"" como denominador común de todas las piezas. El “Tiempo” entendido ampliamente y sin complejos, desde el más superficial (rollo...","http://www.barcelonagalleryweekend.com/es/exposiciones/hacer-cosas-do-things-es/","Víctor Jaenada","Hacer cosas – Doing things","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2016/04/cartel-hacer-cosas-gallery-weekend-LOW.jpg","29.09.16 - 02.10.16","29.09.16 - 02.10.16","Exposición-obra multidisciplinar aparentemente heterogénea y en distintos niveles de emisión, con el concepto de ""Tiempo"" como denominador común de todas las piezas. El “Tiempo” entendido ampliamente y sin complejos, desde el más superficial (rollo...","Galeria Balaguer","Galeria Balaguer","null","null","null","http://www.barcelonagalleryweekend.com/es/exposiciones/hacer-cosas-do-things-es/"
"ProjecteSD","http://www.barcelonagalleryweekend.com/es/espacio/projectesd-es/","Ana Jotta						
												29.09.16 - 02.10.16
																			Abans que me n’oblidi
												Ana Jotta es una de las artistas portuguesas más destacadas de las últimas décadas. Objeto de creciente atención por parte de los circuitos artísticos internacionales, la artista ha logrado construir un espacio singular que, paradójicamente...","http://www.barcelonagalleryweekend.com/es/exposiciones/abans-que-me-noblidi/","Ana Jotta","Abans que me n’oblidi","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2016/04/Cloud-low1.jpg","29.09.16 - 02.10.16","29.09.16 - 02.10.16","Ana Jotta es una de las artistas portuguesas más destacadas de las últimas décadas. Objeto de creciente atención por parte de los circuitos artísticos internacionales, la artista ha logrado construir un espacio singular que, paradójicamente...","ProjecteSD","ProjecteSD","null","null","null","http://www.barcelonagalleryweekend.com/es/exposiciones/abans-que-me-noblidi/"
"Galeria Marlborough","http://www.barcelonagalleryweekend.com/es/espacio/galeria-marlborough-barcelona-es/","Blanca Muñoz						
												29.09.16 - 02.10.16
																			Recapitulación
												Marlborough se complace en presentar la primera exposición individual en Barcelona de Blanca Muñoz. La muestra reúne una docena de trabajos de acero inoxidable y cerámica, del año 2005 hasta la actualidad, en que la...","http://www.barcelonagalleryweekend.com/es/exposiciones/exposicion-de-blanca-munoz/","Blanca Muñoz","Recapitulación","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2016/04/Mu--oz-B-Buj--a-2013-low.jpg","29.09.16 - 02.10.16","29.09.16 - 02.10.16","Marlborough se complace en presentar la primera exposición individual en Barcelona de Blanca Muñoz. La muestra reúne una docena de trabajos de acero inoxidable y cerámica, del año 2005 hasta la actualidad, en que la...","Galeria Marlborough","Galeria Marlborough","null","null","null","http://www.barcelonagalleryweekend.com/es/exposiciones/exposicion-de-blanca-munoz/"
"Biblioteca Pública Arús","http://www.barcelonagalleryweekend.com/es/espacio/biblioteca-publica-arus/","Lola Lasurt						
												29.09.16 - 04.10.16
																			Proyecto site-specific
												...","http://www.barcelonagalleryweekend.com/es/exposiciones/proyecto-site-specific-lola-lausrt-es/","Lola Lasurt","Proyecto site-specific","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2016/04/13.jpg","29.09.16 - 04.10.16","29.09.16 - 04.10.16","...","Biblioteca Pública Arús","Biblioteca Pública Arús","null","null","null","http://www.barcelonagalleryweekend.com/es/exposiciones/proyecto-site-specific-lola-lausrt-es/"
"Víctor Lope Arte Contemporáneo","http://www.barcelonagalleryweekend.com/es/espacio/victor-lope-arte-contemporaneo-es/","Mario Dilitz, Salustiano						
												29.09.16 - 02.10.16
																			Diálogos desde el alma
												Comisariada por Julieta Luna.

La galería expondrá Diálogos desde el alma, una exposición comisariada de los ar­tistas Salustiano (Sevilla, 1965) y Mario Dilitz (Innsbruck, 1973).

La obra pictórica de Salustiano rinde homenaje a los grandes...","http://www.barcelonagalleryweekend.com/es/exposiciones/dialogos-del-alma/","Mario Dilitz, Salustiano","Diálogos desde el alma","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2016/04/Projecte-Victor-Lope-Arte-Contemporaneo1.jpg","29.09.16 - 02.10.16","29.09.16 - 02.10.16","Comisariada por Julieta Luna.

La galería expondrá Diálogos desde el alma, una exposición comisariada de los ar­tistas Salustiano (Sevilla, 1965) y Mario Dilitz (Innsbruck, 1973).

La obra pictórica de Salustiano rinde homenaje a los grandes...","Víctor Lope Arte Contemporáneo","Víctor Lope Arte Contemporáneo","null","null","null","http://www.barcelonagalleryweekend.com/es/exposiciones/dialogos-del-alma/"
"Galeria Marc Domènech","http://www.barcelonagalleryweekend.com/es/espacio/galeria-marc-domenech-es/","Xavier Escribà						
												29.09.16 - 02.10.16
																			D’on venim, on som
												Se trata de un proyecto pictórico único, efímero e irrepetible formado por cuarenta y siete unidades correlativas que resiguen en aparente continuidad todo el espacio expositivo de la galería.

La obra D’on venim, on som (De...","http://www.barcelonagalleryweekend.com/es/exposiciones/exposicion-de-xavier-escriba/","Xavier Escribà","D’on venim, on som","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2016/04/Foto-1-LOW.jpg","29.09.16 - 02.10.16","29.09.16 - 02.10.16","Se trata de un proyecto pictórico único, efímero e irrepetible formado por cuarenta y siete unidades correlativas que resiguen en aparente continuidad todo el espacio expositivo de la galería.

La obra D’on venim, on som (De...","Galeria Marc Domènech","Galeria Marc Domènech","null","null","null","http://www.barcelonagalleryweekend.com/es/exposiciones/exposicion-de-xavier-escriba/"
"Galeria Estrany – de la Mota","http://www.barcelonagalleryweekend.com/es/espacio/galeria-estrany-de-la-mota-es/","Patricia Esquivias						
												29.09.16 - 02.10.16
																			Rueda, repite, mujer
												El trabajo de Patricia Esquivias se centra en la construcción de relatos a partir de anécdotas. A partir de un proceso de investigación de elementos aparentemente secundarios, establece un seguido de relaciones con otros elementos que van...","http://www.barcelonagalleryweekend.com/es/exposiciones/exposicion-de-patricia-esquivies-es/","Patricia Esquivias","Rueda, repite, mujer","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2016/04/Patricia-Esquivias-----Walking-Still-----instalacio--n-low.jpg","29.09.16 - 02.10.16","29.09.16 - 02.10.16","El trabajo de Patricia Esquivias se centra en la construcción de relatos a partir de anécdotas. A partir de un proceso de investigación de elementos aparentemente secundarios, establece un seguido de relaciones con otros elementos que van...","Galeria Estrany – de la Mota","Galeria Estrany – de la Mota","null","null","null","http://www.barcelonagalleryweekend.com/es/exposiciones/exposicion-de-patricia-esquivies-es/"
