event_image-src,event_venue,event_link,event_link-href,event_title1,event_start,event_end,event_organizer,event_title2,event_text,event_cost__0,event_category__Exposición__Galerías__artnou,event_maplink__1,event_id
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/16_b113_70_70_Sint--tulo_acrilic-sobre-tela-i-70x70cm.jpg","Galeria N2","","http://www.artbarcelona.es/artnou/es/exposiciones/hic-stans/","Joan Saló","","30.06.16 – 30.07.16","Galeria N2","Hic-Stans","Hic-Stans es un término latín que podría traducirse como ""la grandeza infinita del espacio"". Partiendo de este concepto, que nos habla de una percepción ideal del infinito, el artista se interroga: desde el punto concreto y finito que ocupamos en el espacio ¿podríamos percibir toda su totalidad infinita? Tras sus lienzos respiran, tanto las meditaciones del filósofo inglés Thomas Hobbes en el Leviathan (1651), como la idea de infinito que plantea Borges en su famoso cuento, El Aleph.

En los cuadros de Saló se reconcilia lo abstracto y lo decorativo, la meditación y la espiritualidad. El lienzo diseña una red de significados desarrollados a partir de formas primarias que se repiten sin principio ni fin. La obra nos habla también del tiempo y del ritmo, de la relación entre la mano y el cerebro, creando así, un verdadero código, “un mapa mental”.","null","null","null","http://www.artbarcelona.es/artnou/es/exposiciones/hic-stans/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/TRAMA-Saturacion.jpg","Galeria Trama","","http://www.artbarcelona.es/artnou/es/exposiciones/joan-cabre-i-dila/","Joan Cabré i Di+La","","30.06.16 – 07.07.16","Galeria Trama","null","Se trata de una exposición fresca y llena de energía, que cuenta con la presencia de artistas emergentes seleccionados en nuestro concurso de fotografía y pintura Art<35. Tanto Di+lA como Joan Cabré son artistas que exploran las posibilidades del color desde perspectivas diferentes y a su vez complementarias en sus planteamientos","null","null","null","http://www.artbarcelona.es/artnou/es/exposiciones/joan-cabre-i-dila/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/2015_Riu-2-2_mireiaterrado.jpg","La Escocesa, Centre de Creació","","http://www.artbarcelona.es/artnou/es/exposiciones/acepciones-como-representar-una-idea/","Mireia Terrado","","30.06.16 – 17.07.16","La Escocesa, Centre de Creació","Acepciones. Cómo representar una idea.","Acepciones. Cómo representar una idea es una exposición en la que se muestran dibujos y fotografías que forman parte de un proyecto artístico multidisciplinar, un trabajo de campo en el río Llobregat. Estos trabajos parten de las imágenes que hemos aprendido para representar aquello que conocemos como río, la idea de río. Dejan entrever una voluntad de repensar la manera convencional de representar la corriente natural de agua que va a parar al mar, a un lago o a otro río, sin recorrer a las estrategias gráficas convencionales, a la vez que se hacen visible las limitaciones del lenguaje visual con las que la artista se encuentra para representar la realidad.

“A pesar de su carácter universal, la imagen es un producto cultural, hecho que hace que su significado pueda variar notablemente según quien lea la imagen y donde la lea. Inevitablemente formo parte de un contexto determinado en el que he aprendido a leer el lenguaje visual, las imágenes que representan el entorno. Como espectadora, las interpreto y les atribuyo significado, a la vez que me pregunto si estas tienen que ser las únicas. En mi trabajo artístico, me preocupo por entender los signos visuales que hemos aprendido para representar la realidad que conocemos, como se interpretan y como se generan otros nuevos. Parto de productos visuales que he aprendido para representar la realidad y creo otros nuevos intentado explorar los límites que los hacen compresibles para el espectador.”","null","null","null","http://www.artbarcelona.es/artnou/es/exposiciones/acepciones-como-representar-una-idea/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/vista-expo-Alex-college-des-Bernardins-Paris-2015.jpg","Joan Prats Warehouse","","http://www.artbarcelona.es/artnou/es/exposiciones/alex/","Pauline Bastard","","30.06.16 – 15.07.16","Joan Prats Warehouse","Alex","Alex es un personaje ficticio creado por la artista Pauline Bastard. Con la ayuda de una antropóloga, un abogado, una psicoanalista, una estilista, una decoradora y una guionista, Alex ha sido imaginado y seguido durante más de un año en su proceso de inserción en la vida real, enfrentado a la construcción de su existencia social, administrativa, afectiva…

El montaje expositivo evoca un interior doméstico, donde se disponen mobiliario y objetos personales de Alex, junto a seis videos que narran la vida del personaje, desde su génesis a sus ‘primeros pasos’.

El casting para escoger a Alex, las reuniones del equipo de profesionales, los momentos de la construcción de un personaje sin pasado…

Con este proyecto Pauline Bastard plantea una serie de preguntas.

¿Cómo manipular la forma creativa? ¿Cómo manipular lo natural y lo sobrenatural sin caer en el caos?

Alex habla de la construcción de la identidad, de nuestra sociedad. ¿Quién es Alex?","null","null","null","http://www.artbarcelona.es/artnou/es/exposiciones/alex/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/TRAMA-Saturacion.jpg","Galeria Trama","","","Joan Cabré i Di+La","30.06.16 – 07.07.16","30.06.16 – 07.07.16","Galeria Trama","null","","null","null","null","http://www.artbarcelona.es/artnou/es/exposiciones/joan-cabre-i-dila/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/NG-2016_Buenas-intenciones-Targeto_AR.jpg","ADN Galería","","","Núria Güell","30.06.16 – 09.09.16","30.06.16 – 09.09.16","ADN Galería","Buenas Intenciones","","null","null","null","http://www.artbarcelona.es/artnou/es/exposiciones/buenas-intenciones/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/Tiff_Tesia_detail.jpg","Victor Lope Arte Contemporáneo","","","Max Gärtner","30.06.16 – 30.07.16","30.06.16 – 30.07.16","Victor Lope Arte Contemporáneo","Land Of Gods","","null","null","null","http://www.artbarcelona.es/artnou/es/exposiciones/lords-of-gods/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/FUNDACIO-JOAN-MIRO-Rosana-Antoli.jpg","Fundación Joan Miró","","http://www.artbarcelona.es/artnou/es/exposiciones/rosana-antoli/","Rosana Antolí","","30.06.16 – 11.09.16","Fundación Joan Miró","null","Un espacio para un tiempo múltiple, un gesto, un movimiento, un contacto, un diálogo y una coreografía. La última exposición del ciclo Cuando las líneas son tiempo propone el trabajo de Rosana Antolí como posibilidad en la que moverse bajo unas normas que hay que aprender y desaprender constantemente.
Movimiento circular, retorno al principio, acción y repetición. Y vuelta a empezar. Rosana Antolí trabaja con dibujo, instalación, vídeo y acción desde un punto de vista coreográfico. El espacio pasa a ser gesto, el gesto nos acompaña y el momento se convierte en una continuación permanente. Rosana Antolí se aproxima al movimiento de cuerpos buscando aquel segundo antes de que todo caiga, intentando un imposible desde una proximidad empática, desde un compartir a flor de piel. Un gesto desde la confianza, un movimiento desde su historia.
En trabajos anteriores, Antolí se ha aproximado a gestos de la calle vistos desde una conciencia de clase y, también, a gestos con carga histórica en el arte: trabajar con desempleados para entender, a través del movimiento, el significado de un lugar; trabajar con gestos históricos para retomarlos críticamente. El proceso de Rosana Antolí incorpora elementos emocionales, riesgo y opciones de escapada en los que el contacto y el escapar del lenguaje llevan hacia otras maneras de concebir realidades.
Una exposición en movimiento en la que los visitantes se encuentran con un contexto inmersivo y de deseo por el diálogo. Como en un baile, Rosana Antolí quiere invitarles a ser su pareja de baile. Y es por ello que la Fundació Joan Miró establece un sistema de “reserva de espacios de acción” en el que todas aquellas personas que lo quieran podrán reservar un tiempo para traducir y dar una respuesta in situ delante y dentro de la obra de Rosana Antolí.
Martí Manen","null","null","null","http://www.artbarcelona.es/artnou/es/exposiciones/rosana-antoli/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/senda-31.jpg","Senda – LAB","","http://www.artbarcelona.es/artnou/es/exposiciones/fosforescencias/","Estefanía Urrutia","","30.06.16 – 08.07.16","Senda – LAB","Fosforescencias","La exposición Fosforescencias muestra una serie de pinturas que profundizan en el aislamiento del individuo en nuestra sociedad. La serie refleja situaciones de absoluta intimidad donde, en una soledad total, el sujeto se aísla de su entorno y se sumerge en la luz que emanan ciertos dispositivos electrónicos.
La luz adquiere una connotación espiritual. Si alguien ajeno al significado propio de la pantalla observase las escenas que forman Fosforescencias, pensaría que algo mágico o místico está aconteciendo.
El silencio, la quietud, la calma. Invadir el espacio íntimo.
Los personajes aparecen de las sombras y se sumergen en esa luz que les atrapa, la sutileza de la penumbra hace que sus rostros se muestren difusos, y pierdan su identidad, como metáfora de la despersonalización.
“Lo mismo que una piedra fosforescente en la oscuridad pierde toda su fascinante sensación de joya preciosa si fuese expuesta a plena luz, la belleza pierde toda su existencia si se suprimen los efectos de la sombra”. (Junichirō Tanizaki, El elogio de la sombra)","null","null","null","http://www.artbarcelona.es/artnou/es/exposiciones/fosforescencias/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/IMG_9059.jpeg","NoguerasBlanchard","","http://www.artbarcelona.es/artnou/es/exposiciones/cualquier-objeto-excepto-un-papel1/","Enric Farres Duran","","30.06.16 – 02.10.16","NoguerasBlanchard","Cualquier objeto excepto un papel","Cualquier objeto excepto un papel es un conjunto de objetos que se muestran dentro del espacio expositivo.
En este caso los objetos son los siguientes:
1 cuadro

1 escultura

1 mesa 4 taburetes

5 publicaciones

1 pisapapeles

1 cosa","null","null","null","http://www.artbarcelona.es/artnou/es/exposiciones/cualquier-objeto-excepto-un-papel1/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/ESPRONCEDA.jpg","Espronceda Center for Art and Culture","","","Christophe Constantin","30.06.16 – 09.07.16","30.06.16 – 09.07.16","Espronceda Center for Art and Culture","Pasar tiempo en barcelona","","null","null","null","http://www.artbarcelona.es/artnou/es/exposiciones/pasar-tiempo-en-barcelona/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/2015_Riu-2-2_mireiaterrado.jpg","La Escocesa, Centre de Creació","","","Mireia Terrado","30.06.16 – 17.07.16","30.06.16 – 17.07.16","La Escocesa, Centre de Creació","Acepciones. Cómo representar una idea.","","null","null","null","http://www.artbarcelona.es/artnou/es/exposiciones/acepciones-como-representar-una-idea/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/Tiff_Tesia_detail.jpg","Victor Lope Arte Contemporáneo","","http://www.artbarcelona.es/artnou/es/exposiciones/lords-of-gods/","Max Gärtner","","30.06.16 – 30.07.16","Victor Lope Arte Contemporáneo","Land Of Gods","La exposición 'Land Of Gods' ha sido ideada y concebida en la isla de Bali, un lugar conocido por las fuertes creencias espirituales de sus habitantes y por la intensa conexión entre las manifestaciones artísticas y su religión.
Max Gärtner considera que la energía creadora que aplicamos para expresarnos como individuos, en realidad, no proviene de nosotros, sino que 'únicamente' somos conductores de la misma.
'Mi forma de expresarme es mayormente visual. No soy especialmente partidario de explicar mi trabajo, porque opino que la energía invertida en una obra de arte hace que tenga vida propia y hable por sí sola. La interpretación, o simplemente el sentimiento que me pueda provocar su contemplación, puede ser muy distinto al de otro espectador, pero ambas versiones forman parte de una misma realidad.'
Parte de las obras creadas para esta muestra han sido producidas aplicando la técnica de talladura de madera con la cual los balineses producen las figuras que protagonizan sus ceremonias religiosas. La combinación entre el estilo de dibujo de Max Gärtner y la disciplina artesana tradicional de la también llamada 'isla de los dioses' es, además de una fusión de expresiones visuales de dos culturas muy distintas, una valoración de la importancia de la espiritualidad en el arte.
Al artista hispano-alemán le gusta escenificar sus exposiciones al estilo de un 'templo moderno’, con la idea de crear un espacio que aspire a relacionar la existencia humana y su conexión con lo divino, a través de la expresión artística.","null","null","null","http://www.artbarcelona.es/artnou/es/exposiciones/lords-of-gods/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/01pfluegerstr.jpg","Galería H2O","","","Berta Cusó","30.06.16 – 29.07.16","30.06.16 – 29.07.16","Galería H2O","Zu Verschenken","","null","null","null","http://www.artbarcelona.es/artnou/es/exposiciones/zu-verschenken/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/IMG_1344.jpg","etHALL","","","Antoni Hervás","30.06.16 – 30.07.16","30.06.16 – 30.07.16","etHALL","Agón","","null","null","null","http://www.artbarcelona.es/artnou/es/exposiciones/agon/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/ESPRONCEDA.jpg","Espronceda Center for Art and Culture","","http://www.artbarcelona.es/artnou/es/exposiciones/pasar-tiempo-en-barcelona/","Christophe Constantin","","30.06.16 – 09.07.16","Espronceda Center for Art and Culture","Pasar tiempo en barcelona","Spending time in Barcelona is a multidisciplinary work that mainly questions the notion of time. The city of Barcelona in this work isn't considered as a concrete and real space but as a photosensitive film in which are all marked by the tracks, measured with the notion of time and not with the distances. The main work will be an abstract map of the city that will occupy the wall, rooftop and floor on which are drawn with wires different journeys of the protagonist, adding watercolours and snapshots and other important items while traveling. During his stay, the artist always realize this notion of the city image, trans-disciplinary works, always based on the notion of time, placed the idea of image or consumption..","null","null","null","http://www.artbarcelona.es/artnou/es/exposiciones/pasar-tiempo-en-barcelona/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/NG-2016_Buenas-intenciones-Targeto_AR.jpg","ADN Galería","","http://www.artbarcelona.es/artnou/es/exposiciones/buenas-intenciones/","Núria Güell","","30.06.16 – 09.09.16","ADN Galería","Buenas Intenciones","Buenas Intenciones marca un itinerario a través de obras realizadas por Núria Güell a partir del año 2014 que refleja el proceso de trabajo específico de cada proyecto. Una de las características principales de la exposición es que, en todas obras seleccionadas, la artista asume un cierto riesgo o implica a su persona a un nivel integral: afectivo, físico, emocional, legal y político. Por ello, las obras funcionan por un lado como historias autónomas, pero por otro lado también se articulan entre ellas, estableciendo un diálogo que oscila entre lo personal y lo colectivo.
No obstante, Buenas Intenciones no plantea únicamente el valor de las acciones, sino también sus consecuencias, que en muchos casos se miden por oposición binaria: intención vs. efecto, ética vs. moral, acción vs. reacción, discurso vs. práctica, entre otros. En conjunto, la composición de la exposición lanza una serie de dilemas y de problemáticas globales mediante narrativas particulares, que a su vez interpelan e implican al espectador para que éste se posicione, deviniendo más que un observador pasivo.","null","null","null","http://www.artbarcelona.es/artnou/es/exposiciones/buenas-intenciones/"
