event_title,event_text,event_start,event_end,event_venue__Hangar,event_link,event_link-href,event_category__Actividad__Espacios alternativos__Taller,event_maplink__,event_cost__?,event_id,event_image-src
"Sesión abierta sobre “Arqueología de los Medios” del Máster de Investigación y Experimentación en Diseño","","28 ene. 2016","28 ene. 2016","null","","https://hangar.org/es/programa-hangar/formacio-continua/sesion-abierta-sobre-arqueologia-de-los-medios-del-master-de-investigacion-y-experimentacion-en-diseno/","null","null","null","https://hangar.org/es/programa-hangar/formacio-continua/sesion-abierta-sobre-arqueologia-de-los-medios-del-master-de-investigacion-y-experimentacion-en-diseno/","https://hangar.org/webnou/wp-content/uploads/2016/01/i%CC%81ndex-200x150.jpg"
"Taller: PUNTOS DE FUGA ENTRE CUERPOS, ENTORNO Y PRÁCTICAS ARTÍSTICAS","","18 - 19 marzo 2016","18 - 19 marzo 2016","null","","https://hangar.org/es/news/english-workshop-feedback-loops-between-environment-bodies-and-art-practices/","null","null","null","https://hangar.org/es/news/english-workshop-feedback-loops-between-environment-bodies-and-art-practices/","https://hangar.org/webnou/wp-content/uploads/2016/02/Jonathan-Reus-Satellite-Skin-web--200x150.jpg"
"TYPE:BITS: Taller de tipografia digital libre","","18 nov. 2015","18 nov. 2015","null","","https://hangar.org/es/workshops-artist2artists/typebits-taller-de-tipografia-digital-lliure/","null","null","null","https://hangar.org/es/workshops-artist2artists/typebits-taller-de-tipografia-digital-lliure/","https://hangar.org/webnou/wp-content/uploads/2015/09/typebits-200x150.jpg"
"Taller de Arduino Avanzado","","26, 27, 28 ene. 2016","26, 27, 28 ene. 2016","null","","https://hangar.org/es/news/taller-de-arduino-avancat/","null","null","null","https://hangar.org/es/news/taller-de-arduino-avancat/","https://hangar.org/webnou/wp-content/uploads/2015/07/arduino-I-200x150.jpg"
"Taller: Glitch audiovisual + Imagen 2D/3D: Estéticas del error digital.","","8, 9, 15, 16, 22, 23 julio","8, 9, 15, 16, 22, 23 julio","null","","https://hangar.org/es/news/taller-glitch-audiovisual-imagen-2d3d-esteticas-del-error-digital/","null","null","null","https://hangar.org/es/news/taller-glitch-audiovisual-imagen-2d3d-esteticas-del-error-digital/","https://hangar.org/webnou/wp-content/uploads/2016/03/CursoGlitchHANGARJulio2016-1-200x150.jpg"
"Sesión abierta sobre investigación artística con Mireia Sallarès","","10 feb. 2016","10 feb. 2016","null","","https://hangar.org/es/news/sessio-oberta-sobre-recerca-artistica-amb-mireia-sallares/","null","null","null","https://hangar.org/es/news/sessio-oberta-sobre-recerca-artistica-amb-mireia-sallares/","https://hangar.org/webnou/wp-content/uploads/2016/02/libro-7-web-ok-443x300-200x150.jpg"
"Programa de formació “Documental interactiu i la Fotografia Expandida” del CFD","","25 feb. 2016","25 feb. 2016","null","","https://hangar.org/es/news/26894/","null","null","null","https://hangar.org/es/news/26894/","https://hangar.org/webnou/wp-content/uploads/2016/02/banner-web-escuela-200x150.jpg"
"Taller:  La imagen militarizada","","","","null","","https://hangar.org/es/news/taller-la-imagen-militarizada/","null","null","null","https://hangar.org/es/news/taller-la-imagen-militarizada/","https://hangar.org/webnou/wp-content/uploads/2016/03/imagenmilitarizada-200x150.png"
"Autómatas Sonoros, introducción a la composición generativa.","","","","null","","https://hangar.org/es/programa-hangar/automatas-sonoros-introduccion-a-la-composicion-generativa/","null","null","null","https://hangar.org/es/programa-hangar/automatas-sonoros-introduccion-a-la-composicion-generativa/","https://hangar.org/webnou/wp-content/uploads/2016/03/IMAGEN-1-200x150.jpg"
"Workshop de computación interactiva aplicada a las artes performáticas y la danza","","","","null","","https://hangar.org/es/workshops-artist2artists/workshop-de-computacion-interactiva-aplicada-a-las-artes-performaticas-y-la-danza/","null","null","null","https://hangar.org/es/workshops-artist2artists/workshop-de-computacion-interactiva-aplicada-a-las-artes-performaticas-y-la-danza/","https://hangar.org/webnou/wp-content/uploads/2015/12/WORKSHOP-COMPUTACION-INTERACTIVA1-200x150.jpg"
