"EVENT NAME","VENUE NAME","ORGANIZER NAME","START DATE","START TIME","END DATE","END TIME","ALL DAY EVENT?","CATEGORIES","EVENT COST","EVENT WEBSITE","SHOW MAP LINK?","SHOW MAP?","EVENT DESCRIPTION","EVENT IMAGE"
"D'A Film Festival","CCCB","CCCB","04/28/2017","","05/07/2017","",1,"CCCB, Exposición","6","http://www.cccb.org/es/actividades/ficha/da-film-festival/226283",1,1,"<p><img src='http://www.cccb.org/rcs_gene/DA2017_horitzontal_web.jpg' width='228' height='182' alt='D'A Film Festival' />El D’A Film Festival de Barcelona llega a su séptima edición consolidando su apuesta por el cine independiente y de autor y acercando al público de la ciudad el mejor del cine contemporáneo.</p>","http://www.cccb.org/rcs_gene/DA2017_horitzontal_web.jpg"
"Poner el cuerpo. Activismos feministas y queer - Dirigido por Meri Torras y Miriam Solá","CCCB","CCCB","04/19/2003","","","",1,"CCCB, Exposición","6","http://www.cccb.org/es/actividades/ficha/poner-el-cuerpo-activismos-feministas-y-queer/226229",1,1,"<p><img src='http://www.cccb.org/rcs_gene/PosarElCosWebCCCB.png' width='228' height='182' alt='Poner el cuerpo. Activismos feministas y queer - Dirigido por Meri Torras y Miriam Solá' />Tanto en el pensamiento como en la acción feminista actual, el cuerpo ha dejado de ser el depositario originario de la diferencia sexual para convertirse él mismo en el cuestionador revulsivo del sistema binario de sexo-género.</p>","http://www.cccb.org/rcs_gene/PosarElCosWebCCCB.png"
"Retratos musicales (II): Let’s Get Lost - El cine del CCCB","CCCB","CCCB","04/16/2017","","","",1,"CCCB, Exposición","6","http://www.cccb.org/es/actividades/ficha/retratos-musicales-ii-lets-get-lost/225946",1,1,"<p><img src='http://www.cccb.org/rcs_gene/weber_web.jpg' width='228' height='182' alt='Retratos musicales (II): Let’s Get Lost - El cine del CCCB' />Xcèntric presenta dos sesiones dedicadas al documental musical. Dos largometrajes que profundizan en la creatividad y en los estados de ánimo de dos músicos geniales, el guitarrista Fred Frith y el cantante y trompetista de jazz Chet Baker, el primero de ellos en un momento de plenitud artística y el segundo, devastado, en el ocaso de su carrera y de su vida.</p>","http://www.cccb.org/rcs_gene/weber_web.jpg"
"El auge del humano - El cine del CCCB","CCCB","CCCB","04/30/2017","","","",1,"CCCB, Exposición","6","http://www.cccb.org/es/actividades/ficha/el-auge-del-humano/225948",1,1,"<p><img src='http://www.cccb.org/rcs_gene/williams_web.jpg' width='228' height='182' alt='El auge del humano - El cine del CCCB' />Xcèntric presenta, en colaboración con el D'A Film Festival, el estreno en Barcelona del último largometraje del director argentino Eduardo Williams. El documental y la ficción se entremezclan en este retrato de varios grupos jóvenes de diversas partes del mundo.</p>","http://www.cccb.org/rcs_gene/williams_web.jpg"
"Aula Oberta #12: Eudald Espluga - Saber, hacer, comprender","CCCB","CCCB","04/18/2017","","","",1,"CCCB, Exposición","6","http://www.cccb.org/es/actividades/ficha/aula-oberta-12-eudald-espluga/226431",1,1,"<p><img src='http://www.cccb.org/rcs_gene/ESPLUGA_ACTIVITAT_WEB.png' width='228' height='182' alt='Aula Oberta #12: Eudald Espluga - Saber, hacer, comprender' />Un aula, dirigida por Marina Garcés, desde donde actualizar el discurso, los referentes y las prácticas de las humanidades en nuestra sociedad.</p>","http://www.cccb.org/rcs_gene/ESPLUGA_ACTIVITAT_WEB.png"
"Cómo socializar los beneficios de la innovación - Conferencia de Mariana Mazzucato","CCCB","CCCB","04/27/2017","","","",1,"CCCB, Exposición","6","http://www.cccb.org/es/actividades/ficha/como-socializar-los-beneficios-de-la-innovacion/226011",1,1,"<p><img src='http://www.cccb.org/rcs_gene/mariana-mazzucato-1000.jpg' width='228' height='182' alt='Cómo socializar los beneficios de la innovación - Conferencia de Mariana Mazzucato' />La economista Mariana Mazzucato, autora del influyente libro El estado emprendedor. Mitos del sector público frente al privado, ha estudiado cómo las inversiones del sector público condujeron al modelo de crecimiento de Silicon Valley, una de las zonas del mundo donde se concentran el mayor número de grandes corporaciones y pequeñas empresas relacionadas con la tecnología e Internet.</p>","http://www.cccb.org/rcs_gene/mariana-mazzucato-1000.jpg"
"El arte de la novela. Novelas del siglo XXI - Curso dirigido por Jordi Llovet","CCCB","CCCB","03/14/2004","","","",1,"CCCB, Exposición","6","http://www.cccb.org/es/actividades/ficha/el-arte-de-la-novela-novelas-del-siglo-xxi/224280",1,1,"<p><img src='http://www.cccb.org/rcs_gene/Novela_webCCCB.png' width='228' height='182' alt='El arte de la novela. Novelas del siglo XXI - Curso dirigido por Jordi Llovet' />El Institut ofrece en este curso, en forma de seminario intensivo, cuatro series conjuntas de lecciones bajo el título general de El arte de la novela, dedicadas este año a la novela del siglo XXI  —la inglesa y americana, la francesa, la italiana, la castellana y la catalana—, que introducirán a los asistentes en una selección de las grandes novelas de este siglo.</p>","http://www.cccb.org/rcs_gene/Novela_webCCCB.png"
"Las raíces del odio - Persecución y represión en la Edad Media","CCCB","CCCB","04/20/2004","","","",1,"CCCB, Exposición","6","http://www.cccb.org/es/actividades/ficha/las-raices-del-odio/226180",1,1,"<p><img src='http://www.cccb.org/rcs_gene/imatgeperwebCCCB.png' width='228' height='182' alt='Las raíces del odio - Persecución y represión en la Edad Media' />Durante la edad media, Cataluña vivió el nacimiento de los mecanismos represivos que configuraron la persecución de minorías sociales y religiosas. ¿Cómo se llevó a cabo esta persecución? ¿Quiénes fueron los protagonistas? ¿Qué los motivó?</p>","http://www.cccb.org/rcs_gene/imatgeperwebCCCB.png"
"África: libertades culturales y descolonización - Conferencia de Ngũgĩ wa Thiong'o","CCCB","CCCB","05/10/2017","","","",1,"CCCB, Exposición","6","http://www.cccb.org/es/actividades/ficha/africa-libertades-culturales-y-descolonizacion/226310",1,1,"<p><img src='http://www.cccb.org/rcs_gene/ngugi-wa-thiongo-1000-cccb.jpg' width='228' height='182' alt='África: libertades culturales y descolonización - Conferencia de Ngũgĩ wa Thiong'o' />Durante los últimos siglos los estados occidentales se han erigido como el centro del poder cultural del planeta. El reconocido escritor y académico keniano Ngũgĩ wa Thiong'o propone desplazar este centro hacia las distintas esferas culturales del mundo, y propone, para conseguirlo, entender el papel del imaginario, las literaturas y las lenguas sobrevenidas y autóctonas tanto en la dominación como en la emancipación del mundo postcolonial africano.</p>","http://www.cccb.org/rcs_gene/ngugi-wa-thiongo-1000-cccb.jpg"
"Saber, hacer, comprender - Aula abierta dirigida por Marina Garcés","CCCB","CCCB","01/18/2014","","","",1,"CCCB, Exposición","6","http://www.cccb.org/es/actividades/ficha/saber-hacer-comprender/224449",1,1,"<p><img src='http://www.cccb.org/rcs_gene/AulaOberta_WebCCCB.jpg' width='228' height='182' alt='Saber, hacer, comprender - Aula abierta dirigida por Marina Garcés' />En el marco del 30º aniversario del Institut d'Humanitats, queremos abrir un aula desde donde actualizar el discurso, los referentes y las prácticas de las humanidades en nuestra sociedad.</p>","http://www.cccb.org/rcs_gene/AulaOberta_WebCCCB.jpg"
