"EVENT NAME","VENUE NAME","ORGANIZER NAME","START DATE","START TIME","END DATE","END TIME","ALL DAY EVENT?","CATEGORIES","EVENT COST","EVENT WEBSITE","SHOW MAP LINK?","SHOW MAP?","EVENT DESCRIPTION","EVENT IMAGE"
"Fira d'Art en Pedralbes","Plaça de Pedralbes, 08034 Barcelona (Barcelona), Espanya","Associació Veïns Pedralbes","05/07/2017","","","",1,"Exposición, Espacios alternativos","0","https://www.facebook.com/events/1697568723875658/",1,1,"Se trata de una FIRA en la que se expondrán creaciones artisticas (pinturas, esculturas y esmales), donde pondreis disfrutar de un agradable día en buena compañía y tomar un aperitivo.","https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/17546677_1914515988778682_8852370177956965071_o.jpg?oh=d1342d9aa7c0ae6aa9551c1a5e4f2497&oe=598E6B4A"
"Taller Encuadernación Bradel","Nau Bostik","The Tin Book","05/18/2017","","","",1,"Exposición, Espacios alternativos","0","https://www.facebook.com/events/1832104210449333/",1,1,"En éste taller realizaremos una encuadernación estilo Bradel.<br /><br />Es una encuadernación de tapas rígidas, de origen alemán.<br />Se caracteriza por el uso de tres piezas independientes<br />1 lomera y 2 tapas, que se ensamblan por el canald ejado<br />entre las tapas y el lomo.<br />En un principio, fue ideada como una forma provisional,  pero ha ido evolucionado a lo largo de los años y hoy en día la podemos ya considerar como una de las formas clásicas en las técnicas de encuadernación<br /><br />Dirigido a cualquier persona con sensibilidad hacia el mundo de la encuadernación o con interés de crear material gráfico en variedad de formatos: libro, portafolio, cuaderno de viaje o de fotografías... de una forma creativa y original.<br /><br />Jueves 18 de mayo de 16:30h a 20.30h<br />Nau Bostik<br />Carrer de Ferran Turné, 11 (La sagrera)<br />40€ Se proporcionan todos los materiales y herramientas.<br />No se requiere experiencia previa.<br /><br />RESERVAS: thetinbook@gmail.com","https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/17621846_687579141448746_5126281906665200356_o.jpg?oh=3b30f7d9a65b12dbabe037f166cb3533&oe=598D7963"
"Presentación Publicación proyecto Polaritats 2015-16","MACBA Museu d'Art Contemporani de Barcelona","HOMESESSION","04/24/2017","","","",1,"Exposición, Espacios alternativos","0","https://www.facebook.com/events/113425462541960/",1,1,"PRESENTACIÓN: POLARITATS. 2015-2016.<br />UN AÑO DE MEDIACIÓN ARTÍSTICA<br /><br />Homesession le invita a la presentación de la publicación<br />Polaritats 2015-2016. Un año de mediación artística, que recoge las diferentes actividades realizadas en el marco del programa de mediación Polaritats, llevado a cabo con la colaboración del grupo de investigación Art, Professió i Docència de la Facultad de Bellas Artes de la Universidad de Barcelona y gracias al soporte de las fundaciones Edmond de Rothschild.<br /><br />Aula 0, MACBA el lunes 24 de abril a las 18:30h.<br />Entrada por plaza Joan Coromines.<br /><br />El acto contará con la presencia de Olivier Collet y Jérôme Lefaure, cofundadores de Homesession; los docentes miembros del grupo de innovación Art, Professió i Docència de la Facultad de Bellas Artes de la UB: Joaquim Cantalozella, Marta Negre, Jordi Morell y Oscar Padilla; y el curador y crítico de arte Oriol Fontdevila, autor de uno de los textos del libro presentado.<br /><br />La presentación será seguida de un piscolabis.<br />Durante el acto se podrá comprar un ejemplar de la publicación<br /><br /><br />*Aforo limitado, confirmar asistencia a:<br />danilo@homesession.org o 655 178 868<br />-------------------------------------------<br />www.homesession.org","https://scontent.xx.fbcdn.net/v/t1.0-9/17759726_10155674569149796_2751516255746307854_n.jpg?oh=ba676537b2d58d6cda820b2fa2eea74c&oe=59972314"
"Encuentro de ilustrador@s en beneficio de los animales","Espai Jove la Fontana","Draw for Animals","04/22/2017","","","",1,"Exposición, Espacios alternativos","0","https://www.facebook.com/events/1691604847798940/",1,1,"Por fín volvemos a reunirnos :) ¡Yuju! <br /><br />Esta vez el horario será de 16:00 a 22:00. ¡Pásate cuando quieras que aquí estaremos!<br /><br />Y más cosas: <br /><br />● Tendremos originales, láminas, puntos de libro, postales, tazas y muchos más tesoros a la venta.<br />● Habrá pica-pica vegano bien rico.<br /><br />¡Y cómo no! tendremos un espacio con mesas para dibujar juntas, 🎨 ¡Acuérdate de traerte tus materiales preferidos! ✏️<br /><br />La entrada es libre y sois tod@s bienvenid@s, ya sea a dibujar sobre el respeto a los animales o a saludar, comer algo, comprar alguna cosa de la que os enamoréis...<br /><br />¿Te apetece ver fotos de eventos pasados? este es tu álbum: https://www.facebook.com/media/set/?set=a.1032113503470733.1073741834.833131066702312&type=3<br /><br />Con las obras que salgan del encuentro seguiremos haciendo exposiciones y reproducciones cuya recaudación íntegra se destinará a animales en proceso de recuperación ♥","https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/17855551_1694116657270411_5068217338850437831_o.jpg?oh=86fd17d930b71a6602a49e7d7d8ebdda&oe=594E1256"
"III edición del Mercado de Ilustradores","","SUBLIMe Art Fest","05/07/2017","","","",1,"Exposición, Espacios alternativos","0","https://www.facebook.com/events/1282667981817806/",1,1,"SUBLIMe Art Fest está de vuelta para la edición de primavera.<br />Más de 50 artistas, un entorno lleno de arte urbano, un evento hecho a medida de los amantes de la ilustración.<br />ENTRADA GRATUITA<br /><br />Artistas participantes:<br />Garbancita Alicia - Ilustración<br />Ana Tuda<br />ANN & RO<br />Belhicca Ilustración<br />Bianca Yespica Illustration<br />Blanca Vidal Tees<br />Bonaria Staffetta<br />Carla Pinheiro Artwork<br />Carola Sol Illustration<br />Cecília Santanach<br />Daniel Páez Fernández Ilustrador<br />El galgo azul<br />Erika.<br />Eva Zurita<br />Forjadora d'hores illustration<br />Gallina Rara<br />Georginalette<br />Helena Morais Soares<br />Javier Rubín Grassa<br />Jordi Jover Retrats D'animals<br />Jorge Gallardo<br />Judith Con H. Illustration&Artwork<br />Juligut<br />Victoria Peral · Ilustración<br />Laufer Ilustración<br />Loreto Sepúlveda<br />Mariadiasillustration<br />Maristella Mangipinto<br />Marlene Monterrubio<br />Marta Bellvehí Illustration<br />Marta Castro Illustration<br />Marta Chojnacka<br />Marta Waterme Ilustración<br />Montse Bugatell<br />mr.mimi shop<br />Mr. Sis<br />Natalia Madoery<br />Nayade Illustration<br />Nayat Kaid Ferron<br />Origami Studio<br />Dibujos RicART<br />Sadie Sitges<br />Sara Moreira Costa<br />Sandra de la Cruz<br />Silvia Cano Herrera<br />Spinelli<br />Teresa Such Illustration<br />Tomas Langarita<br />Vektorama<br />Monterde<br />Victoria Crespo pintura e ilustración<br />Victoria Inglés<br />Xènia Sorigué Illustration","https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/17879965_796155787209176_7192430866354562553_o.jpg?oh=e65b5ce0aa1e399cc7120d7dc6295386&oe=5957181A"
"Performance Alicia Framis","Blueproject Foundation","Blueproject Foundation","04/20/2017","","","",1,"Exposición, Espacios alternativos","0","https://www.facebook.com/events/191722401338726/",1,1,"CAST<br />Dentro del marco de la exposición “La habitación de los libros prohibidos”, que se puede ver hasta el próximo 14 de mayo del 2017, la artista Alicia Framis realizará una performance el próximo jueves 20 de abril a las 18h en Il Salotto.<br /><br />La acción, que sirve de complemento al proyecto expositivo presentado por la Blueproject Foundation, se enmarca dentro de las actividades de la Feria Internacional de Edición Contemporánea ArtsLibris Barcelona que tendrá lugar en el centro Arts Santa Mònica del 21 al 23 de abril del 2017. <br />La performance dará comienzo a las 18h y tendrá una duración aproximada de tres horas. Contará con la participación especial de Anna Dot, Cloe Masotta y Anna Pahissa. El acto propone una reflexión sobre la obra exhibida en la fundación a través de la lectura completa, a cargo de las tres participantes, de los textos que se pueden ver en las portadas de los diversos libros que componen la obra. En ellos descubrimos, en cada caso, las causas o explicaciones que rodean la censura o prohibición de dicha publicación.<br />Esa misma tarde, la fundación Foto Colectania, situada al lado de la Blueproject Foundation, ofrecerá una actividad complementaria, ofreciendo una mesa redonda sobre fotolibros con la participación de Michael Mack y Ramón Reverté a las 19h. <br />La fundación ofrecerá posteriormente, a las 21h, un cóctel de pre-inauguración con motivo de la 8ª edición de la Feria Internacional de la Edición Contemporánea ArtsLibris Barcelona.<br /><br />CAT<br />Dins el marc de l'exposició ""L'habitació dels llibres prohibits"", que es pot veure fins al proper 14 de maig del 2017, l'artista Alicia Framis realitzarà una performance el proper dijous 20 d'abril a les 18h a Il Salotto.<br /><br />L'acció, que serveix de complement al projecte expositiu presentat per la Blueproject Foundation, s'emmarca dins de les activitats de la Fira Internacional d'Edició Contemporània ArtsLibris Barcelona que tindrà lloc a l'Arts Santa Mònica del 21 al 23 d'abril del 2017.<br />La performance donarà començament a les 18h i tindrà una durada aproximada de tres hores. Comptarà amb la participació especial d'Anna Dot, Cloe Masotta i Anna Pahissa. L'acte proposa una reflexió sobre l'obra exhibida en la fundació a través de la lectura completa, a càrrec de les tres participants, dels textos que es poden veure en les portades dels diversos llibres que componen l'obra. En ells descobrim, en cada cas, les causes o explicacions que envolten la censura o prohibició d'aquesta publicació.<br />Aquesta mateixa tarda, la fundació Foto Colectania, situada al costat de la Blueproject Foundation, oferirà una activitat complementària, oferint una taula rodona sobre fotollibres amb la participació de Michael Mack i Ramon Reverté a les 19h. <br />La fundació oferirà posteriorment, a les 21h, un còctel de pre-inauguració amb motiu de la 8a edició de la Fira Internacional de l'Edició Contemporània ArtsLibris Barcelona.<br /><br />ENG<br />Within the context of the exhibition ""The Room Of  Forbidden Books"", which can be seen until next May 14th, 2017, the artist Alicia Framis will present a performance on Thursday, April 20 at 6pm in Il Salotto.<br /><br />The action, which complements the exhibition project presented by the Blueproject Foundation, is part of the activities of the International Contemporary Edition Fair ArtsLibris Barcelona, which will take place at Arts Santa Mònica center from 21 to 23 April 2017.<br />The performance will start at 6pm and will last approximately three hours. It will feature the special participation of Anna Dot, Cloe Masotta and Anna Pahissa. The act proposes a reflection on the work exhibited in the foundation through the complete reading, by the three participants, of the texts that can be seen on the covers of the various books that compose the work. In them we discover, in each case, the causes or explanations that surround the censorship or prohibition of such publication.<br />That same afternoon, Foto Colectania Foundation, located next to the Blueproject Foundation, will offer a complementary activity, offering a round table on photobooks with the special participation of Michael Mack and Ramón Reverté at 7pm. The foundation will then offer a cocktail at 9pm that serve as a pre-opening for the 8th edition of the International Contemporary Art Fair ArtsLibris Barcelona.","https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/17834352_1929661243920139_3011784345754157109_o.jpg?oh=499d8dbdc1621178e105d776c9eb6fb2&oe=59853EB2"
"Cicle de cinema (II). La dissidència nostàlgica","Zumzeig Cinema","La Capella","04/27/2017","","","",1,"Exposición, Espacios alternativos","0","https://www.facebook.com/events/187627875083750/",1,1,"Dijous 27 d’abril, 19 h<br /><br />Zumzeig Cinema<br /><br />Chris Marker, <br />La Jetee, 28’, 1962<br /><br />Kelly Reichardt, <br />Meek’s Cutoff, 104’, 2010","https://scontent.xx.fbcdn.net/v/t1.0-9/17757188_1495152970496936_3411838841264961680_n.jpg?oh=3542b62bbe79cf8ddc2e700c29bbceae&oe=59923AE0"
"Dissenyar l'escena: Vestuari","Biblioteca El Clot - Josep Benet","Museu del Disseny de Barcelona","04/24/2017","","","",1,"Exposición, Espacios alternativos","0","https://www.facebook.com/events/202915273543624/",1,1,"Conversa a propòsit de l'obra teatral A tots els que heu vingut de Marc Rosich que es pot veure a Sala Petita del TNC des del 6 d'abril al 7 de maig.<br /><br />Marc Rosich (autor i director de l’obra) conversarà amb Mercè Paloma (figurinista de l’obra) i amb Ester Barón, historiadora de l’art, sobre el vestuari i el procés creatiu de l’espectacle.<br />Cicle organitzat pel Teatre Nacional de Catalunya, el Museu del Disseny i la Biblioteca El Clot-Josep Benet","https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/17835164_1477218872310379_8022624388779811680_o.jpg?oh=851e776f734af8e05808554db2cfd8ad&oe=598DC762"
"Inside Blanca Haddad's Studio- DADA night!","Nau Bostik","Alternative Barcelona","04/21/2017","","","",1,"Exposición, Espacios alternativos","0","https://www.facebook.com/events/440667986283495/",1,1,"Join us for the second version of Inside Blanca Haddad's studio at the Nau Bostik.  At this event we will get to spend some time with the contemporary artist and discuss the importance and influence of Dada on her art! We'll also have an aperitif including wine, vermut and light tapas!<br /><br />Blanca is a Venezuelan artist and poet living in Barcelona. Her studio at the Nau Bostik is a wondrous place that has undergone a beautiful transformation. Her work is moving, is out there, it is a reflection of contemporary society that invites us to discuss the world we live in today! <br /><br />She is also very active on her blog TropiPunk that you can read here ---> https://tropipunk.wordpress.com/ and recommended by the magazine Travel and Leisure -->http://www.travelandleisure.com/trip-ideas/the-new-barcelona<br /><br />This event includes (€20.00):<br /><br />- Guided tour of the Nau Bostik (former glue factory turned into a Cultural Center)<br />- Discussion with Blanca Haddad in her studio on the influence of the Dada movement on her art!<br />- A curated series of videos from influential Dada artists such as Luis Buñuel, Marcel Duchamp, Jean Cocteau and Salvador Dalí. <br />- Food & Beverages<br /><br />Send us a direct message to reserve your spot!","https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/17880228_214001252418440_3775708337744357198_o.jpg?oh=767b79e6c92a715174ae642bafa44c5b&oe=5983E2B3"
"Taller de Encuadernación Puntada Larga (Long Stitch)","Nau Bostik","The Tin Book","05/04/2017","","","",1,"Exposición, Espacios alternativos","0","https://www.facebook.com/events/1350619038317631/",1,1,"En éste taller realizaremos una encuadernación con puntada larga vista en el lomo. <br /><br />Existen diferentes tipos de cosido. La propia costura crea una puntada larga y visible en el lomo, que se enlaza en los extremos con el punto de cadeneta. <br />És una encuadernación divertida y versátil.<br /><br />Dirigido a cualquier persona con sensibilidad hacia el mundo de la encuadernación o con interés de crear material gráfico en variedad de formatos: libro, portafolio, cuaderno de viaje o de fotografías... de una forma creativa y original.<br /><br />Jueves 04 de mayo de 16:30h a 20.30h<br />Nau Bostik<br />Carrer de Ferran Turné, 11 (La sagrera)<br />40€ Se proporcionan todos los materiales y herramientas.<br />No se requiere experiencia previa.<br /><br />RESERVAS: thetinbook@gmail.com","https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/17621911_687573088116018_5649325521019854444_o.jpg?oh=8d6ce44d053d80bfdd2ef737f8c1631e&oe=5954CE0F"
