"EVENT NAME","VENUE NAME","ORGANIZER NAME","START DATE","START TIME","END DATE","END TIME","ALL DAY EVENT?","CATEGORIES","EVENT COST","EVENT WEBSITE","SHOW MAP LINK?","SHOW MAP?","EVENT DESCRIPTION","EVENT IMAGE"
"Patrik Grijalvo - Gravitación Visual","Victor Lope Arte Contemporáneo","Victor Lope Arte Contemporáneo","03/16/2017","","05/13/2017","",1,"Exposición, Galerías","0","http://www.artbarcelona.es/es/exposiciones/gravitacion-visual/",1,1,"<p><img src='http://www.artbarcelona.es/wp-content/uploads/2017/03/Gravitacion-visual_150x150x10_low.jpg' width='228' height='182' alt='Patrik Grijalvo - Gravitación Visual' />En la serie “Gravitación visual”, que presentamos en la Galería Víctor Lope, Patrik Grijalvo (Bilbao, 1984) da un paso más en su proceso de esculturización de la fotografía que comenzó hace ya varios años (2010) con su larga serie recogida bajo el título general de “Photography as object”. Si en aquellos comienzos quería desarrollar un juego cercano al de las “Gravitaciones” de Eduardo Chillida o el de los estudios con fotografía recortada de Jerry McMillan (con su famosa pregunta “¿Debe la fotografía ser plana?”), pero con el matiz de que la materia prima eran fotografías de arquitectura realizadas por él mismo, ahora trasciende lo retratado para utilizarlo prácticamente como planos de color. Esto es algo que ya estaba presente en su última serie “Rotten Apples” (que será expuesta el próximo abril en el Museo Guggenheim Bilbao), en la que solo si nos acercábamos a la obra podíamos apreciar que lo que aparentemente eran manchas planas de color negro escondían en realidad una celosía vegetal. Ahora, en “Gravitación visual”, sucede lo mismo. Aquí la materia prima está manipulada de tal manera que apenas queda ya rastro de lo que esas fotografías primigenias retrataban y el registro de la obra se arrima ya definitivamente a lo escultórico, casi dejando al espectador sin argumentos para hablar en propiedad de fotografías.</p>","http://www.artbarcelona.es/wp-content/uploads/2017/03/Gravitacion-visual_150x150x10_low.jpg"
"David Moreno - David Moreno. Obra reciente","Galería N2","Galería N2","03/30/2017","","04/28/2017","",1,"Exposición, Galerías","0","http://www.artbarcelona.es/es/exposiciones/david-moreno-obra-reciente/",1,1,"<p><img src='http://www.artbarcelona.es/wp-content/uploads/2017/03/W-de-los-pequenos-al-grande-160x80x35.jpg' width='228' height='182' alt='David Moreno - David Moreno. Obra reciente' />En sus esculturas, David Moreno construye arquitecturas imaginarias. Contemplar sus piezas es perderse en ellas. A la experiencia estética hay que añadir la reflexiva. Las arquitecturas de Moreno nos hablan de las relaciones humanas: los lazos que establecemos, la interconexión, los flujos de energía, de amor o de poder entre las personas. Moreno visibiliza nuestros vínculos, filias y fobias con esas delgadas líneas que nos unen a los otros o a nosotros mismos.<br />Esa es mi interpretación, por supuesto, cada uno encontrará su propia significación para esas cuerdas de piano, flexibles, pero fuertes, interconectando los elementos entre sí. Su trabajo es minucioso: cada línea soldada con un punto de hilo de plata. Punto a punto como se construyen los vínculos humanos. Aunque la mía no es una interpretación caprichosa, los títulos de sus piezas nos dicen algo de ellas en este sentido: Entre uno y otro, Vamos de uno a otro, Juntos o Del pequeño al grande, por citar solo algunos ejemplos.<br />Se podría decir que sus espacios, esas pequeñas casas dibujadas en el aire con cuerdas de piano y varillas de acero, son espacios que nos representan, con los que podemos identificarnos. Estamos dentro de la casa y somos la casa, al mismo tiempo: lo habitado se vuelve habitante.<br />En esta exposición, David Moreno explora nuevos territorios. Por un lado, la experimentación con el color para añadir otra dimensión a su escultura.  Por otro lado, va un poco más allá en la construcción de espacios imaginarios. En una de sus nuevas series, Conexión de catedral, desaparece la casa y en su lugar aparecen las escaleras y los pórticos románicos. Los nexos flexibles se ven sustituidos por peldaños rígidos. La relación es otra. Los descensos y ascensos pueden tener múltiples interpretaciones: desde la experiencia mística hasta las estructuras de poder. Otra novedad de esta muestra es la serie Favelas, donde por primera construye sus arquitecturas imaginarias sin dibujar en el aire. Sus favelas están construidas con resina, como parte de sus últimas investigaciones sobre las posibilidades artísticas de la impresión en 3D.</p>","http://www.artbarcelona.es/wp-content/uploads/2017/03/W-de-los-pequenos-al-grande-160x80x35.jpg"
"Ana Garcia-Pineda - El rojo es el color de la sangre y de algunas manzanas","PALMADOTZE","PALMADOTZE","03/25/2017","","07/02/2017","",1,"Exposición, Galerías","0","http://www.artbarcelona.es/es/exposiciones/el-rojo-es-el-color-de-la-sangre-y-de-algunas-manzanas/",1,1,"<p><img src='http://www.artbarcelona.es/wp-content/uploads/2017/03/Vista-espai-cenral-expo-AGP-MR.JPG' width='228' height='182' alt='Ana Garcia-Pineda - El rojo es el color de la sangre y de algunas manzanas' />Para su primera exposición individual en Palmadotze, Ana Garcia-Pineda presenta una selección de trabajos escogidos para el contexto específico de Mas Pujó, la sede de la galería.<br />La exposición estará formada por una selección de dibujos muy directos. También podremos ver diferentes esculturas: unas que combina con globos de helio, dibujo y piedras y otras hechas con objetos cotidianos. La videoproyección también estará presente. Obras todas ellas que incorporan a menudo el lenguaje escrito, origen de toda su obra, y que le permiten una comunicación inmediata con el espectador o interlocutor. Pues comunicar es el principal objetivo de Garcia-Pineda; Comunicar por una parte, sus particulares ideas sobre el funcionamiento del mundo y por el otro las posibles soluciones a problemas y luchas con los que nos encontramos.<br />Así, en la serie de dibujos ""Globos y Piedras"", reformula el planteamiento del mundo a través de dos fuerzas básicas y opuestas: la gravedad y flotar. Con el intento de explicar las cosas de una manera, logra mostrar lo ilógico de la lógica que rige la realidad cotidiana, al tiempo que une dos polos contradictorios y complementarios, donde lo naïf e inocente se mezcla con lo cruel. Asimismo, en el vídeo ""La curva del olvido"" narra la historia de su abuela desde un punto de vista personal para hablar de los recuerdos y el olvido. Ambos trabajos, muestran su cosmogonía personal construida a partir de experiencias propias y referentes literarios, cinematográficos o científicos. Por otra parte, en trabajos como ""Máquinas y maquinaciones"", insiste en ""salvar al mundo"" con una colección de inventos, propuestas y remedios a menudo poco prácticos y sólo posibles en el plano textual y teórico.<br />En sus propias palabras: ""Recojo historias reales y conecto hechos inesperados para construir narraciones que ofrecen otra perspectiva del funcionamiento de las cosas. También propongo soluciones poéticas (como ""Máquina para acero que el Alzheimer solo afecto Nuestros recuerdos tristes"") que sólo funcionan de forma abstracta y poco realista. A veces doy consejos absurdos (como ""Si rompen promesas, compra pegamento"") que sólo tienen sentido dentro de los propios mecanismos del lenguaje. Me interesa abordar nuestros pequeños dramas y tragedias cotidianas utilizando la ironía y el sentido del humor. Todo ello, para crear un espacio (aunque sea intangible) donde la vida parezca un poco más fácil. Todo bastante utópico, algo chalado pero casi todo el tiempo en serio"".</p>","http://www.artbarcelona.es/wp-content/uploads/2017/03/Vista-espai-cenral-expo-AGP-MR.JPG"
"JAS - Portraits Generation","3 Punts Galería","3 Punts Galería","04/12/2017","","05/13/2017","",1,"Exposición, Galerías","0","http://www.artbarcelona.es/es/exposiciones/portraits-generation/",1,1,"<p><img src='http://www.artbarcelona.es/wp-content/uploads/2017/04/1.Under-the-sky_2017_acrylic-on-canvas_160x130.jpg' width='228' height='182' alt='JAS - Portraits Generation' />JAS quiere jugar con todos los planos. Figuración y abstracción, simbolismo y gratuidad, manchas y trazos, esbozo y firma, inconclusión y exposición, técnicidad y espontaneidad, memoria histórica y contemporaneidad. Las pinturas de JAS están pobladas. Sin embargo, las figuras solamente tienen valor de signos. El ojo domina: el espectador es observado por el lienzo. JAS nos ofrece una génesis en pleno nacimiento, una pintura más fetal que acabada. La paleta de colores, reducida a dos o tres colores por lienzo, no se ha terminado de desplegar. No llenan los contornos, por lo que las siluetas parecen vacías de carne, como formas que sobreviven a los seres que fueron, igual que la luz sobrevive después de las estrellas.</p>","http://www.artbarcelona.es/wp-content/uploads/2017/04/1.Under-the-sky_2017_acrylic-on-canvas_160x130.jpg"
"Asier Mendizabal - Asier Mendizabal. Concavitat","ProjecteSD","ProjecteSD","03/24/2017","","05/17/2017","",1,"Exposición, Galerías","0","http://www.artbarcelona.es/es/exposiciones/asier-mendizabal-concavitat/",1,1,"<p><img src='http://www.artbarcelona.es/wp-content/uploads/2017/03/DSCF2362.JPG' width='228' height='182' alt='Asier Mendizabal - Asier Mendizabal. Concavitat' />El cuerpo de trabajo que configura Concavitat, la tercera exposición de Asier Mendizabal en ProjecteSD, surge de la investigación que el artista desarrolló en el contexto del proyecto Zarigüeya/Alabado Contemporáneo que concluyó con su exposición individual Problemas de estilo y vasijas de barro presentada en el Museo de Arte Precolombino Casa del Alabado en Quito en abril de 2016.<br />Continúa Mendizabal con el proceso de análisis de las relaciones entre forma, discurso e ideología a través de la historia de la modernidad. En esta ocasión el autor centra su interés en los orígenes de colecciones arqueológicas y etnográficas desarrolladas durante el periodo colonial y poscolonial en los siglos XIX y XX, en territorio latinoamericano. Mendizabal utiliza como fuente para generar su nuevo corpus de obra, una serie de trabajos realizados por el científico francés Paul Rivet en la expedición conocida como la Segunda Misión Geodésica Francesa a lo largo de Ecuador en los inicios del siglo XX, posteriormente compilados en la monumental publicación Ethnographie Ancienne de l’Equateur de 1922. Mendizabal trabaja, por un lado, a partir de una serie de fotograbados en los que se reunían cientos de vasijas cerámicas precolombinas, y por otro lado con material resultante de estudios antropométricos de cráneos humanos.<br />Los grabados de Rivet reunían vasijas clasificadas, no tanto por origen o datación, sino por sus similitudes formales. Las imágenes se disponían sobre el fondo blanco de la plancha configurando constelaciones arbitrarias, producto de aprovechar el formato de la lámina para su impresión. Un tratamiento parecido puede verse en las recopilaciones visuales de cráneos de individuos de diversas culturas, en grabados o fotograbados, y también dispuestos sobre fondo blanco. Estas eran publicaciones habituales hasta bien entrado el siglo XX, en el contexto de la antropología del momento, antes de que la etnografía hiciera del artefacto cultural y no de las diferencias físicas el sujeto de su estudio.<br /> <br />Mendizabal reutiliza varios de estos fotograbados de vasijas y de cráneos para crear una nueva serie de collages y dibujos lineales, en los que, bien descompone y desordena las imágenes, redibuja y distorsiona los contornos de los “cráneos”, para así acentuar la ineficacia de estas formas de clasificación y representación como indicadores de evidencias culturales: tanto vasijas como cráneos, contenedores, aparecen clasificados siguiendo los cánones historiográficos y etnográficos clásicos, sin importar sus referentes culturales, sociales o colectivos.<br /> <br />Estas obras en papel se acompañan de varias esculturas agrupadas con el título genérico Stilfragen* (crania). Se trata de varias piezas de pequeño tamaño, que tanto pueden parecer cabezas como vasijas, contenedores o recipientes, en las que Mendizabal ha imprimido a la superficie del hormigón la huella del entrelazado de la urdimbre de cestos. Una vez más el artista cuestiona la narración histórica occidental de las tecnologías como vehículos significantes, que ha privilegiado los gestos y habilidades técnicas asociados a la expresión del individuo (la talla, el corte, el vaciado el moldeado, el fundido) para dejar en un segundo plano el rudimentario entrelazado de fibras flexibles, técnica que parece asociarse más a un acto social, a un saber colectivo.</p>","http://www.artbarcelona.es/wp-content/uploads/2017/03/DSCF2362.JPG"
"Marta Marcè - Further Reaches","PALMADOTZE","PALMADOTZE","03/25/2017","","07/02/2017","",1,"Exposición, Galerías","0","http://www.artbarcelona.es/es/exposiciones/further-reaches/",1,1,"<p><img src='http://www.artbarcelona.es/wp-content/uploads/2017/03/Vista-gral-expo-Marta-Marc---AR.JPG' width='228' height='182' alt='Marta Marcè - Further Reaches' />Marta Marcé presenta su segunda exposición individual en Palmadotze, la primera en la nueva sede de la galería en Mas Pujó. En los últimos años la artista se ha instalado en Berlín donde sigue reinventando el medio de la pintura con un incesante ánimo y originalidad, y como algo susceptible de convertirse en parte activa de nuestra vida cotidiana.<br />Desde sus inicios Marcé ha encontrado en la geometría un camino para sintonizar con ideas tanto universales como metafísicas. Recordemos como enriquecía su práctica artística con elementos propios tanto de la apariencia como de los procesos de los juegos. Este es el caso de series inspiradas en el domino, la ruleta, el mikado, los puzzles, el tangram o ciertos juegos de ordenador, donde hace patente las relaciones entre cualidades del juego, pintura y vida misma, y ​​donde las pinturas adquieren gran energía y vitalidad. Este enfoque, más allá de lo visual, se convirtió en un marco perfecto para experimentar, tomar riesgos y decidir finalmente formas y colores. Estas series, donde ya se ponían de manifiesto las relaciones entre orden y caos, energía psíquica y energía material, certeza matemática y azar (presentes en los juegos), pusieron la mirada de la artista en el horizonte del diálogo entre las Formas y la Energía.<br />Recientemente, como se plasma en su última serie ""Now & Ever"" que presenta en la exposición, Marcé ha ido en busca de esta energía viva en su obra para profundizar en un universo cada vez más místico. Progresivamente, y especialmente a raíz de un viaje a Guatemala donde conoció la cosmogonía Maya, y en sintonía con la obra de artistas como Pablo Palazuelo, Bridgit Riley o Hilma af Klimt o de filósofos y místicos como Ibn Arabi, Gurdjieff o Castaneda , Marcé abraza con su pintura esta energía omnipresente y creadora, que conecta toda forma de vida. Se trata de un diálogo que pretende expresar a través de obras conformadas por ritmos visuales de color y patrones geométricos. Asimismo, como nos recuerda ""La pintura da también un momento de lentitud, silencio y meditación a través de la observación paciente."" Una vez más el arte en conexión con la vida e incluso al servicio de ésta... Un regalo de Marcé para reflexionar y también disfrutar de la existencia.</p>","http://www.artbarcelona.es/wp-content/uploads/2017/03/Vista-gral-expo-Marta-Marc---AR.JPG"
"Antoni Tàpies - Obra gráfica. Grandes formatos","Galería Toni Tàpies","Galería Toni Tàpies","02/02/2017","","05/18/2017","",1,"Exposición, Galerías","0","http://www.artbarcelona.es/es/exposiciones/obra-grafica-grandes-formatos/",1,1,"<p><img src='http://www.artbarcelona.es/wp-content/uploads/2017/03/Expo-gravats-gran-format-11_ab.jpg' width='228' height='182' alt='Antoni Tàpies - Obra gráfica. Grandes formatos' />La Galeria Toni Tàpies presenta una exposición de obra gráfica de Antoni Tàpies. Se trata de una selección de grabados realizados entre 1990 y 2009, algunos de ellos se muestran por primera vez en Barcelona. La exposición se titula Obra gráfica. Grandes formatos y se podrá visitar hasta mediados de mayo de 2017.</p>","http://www.artbarcelona.es/wp-content/uploads/2017/03/Expo-gravats-gran-format-11_ab.jpg"
"Julia Spínola - Cien Rostros Iguales","etHALL","etHALL","11/25/2016","","01/21/2018","",1,"Exposición, Galerías","0","http://www.artbarcelona.es/es/exposiciones/cien-rostros-iguales/",1,1,"<p><img src='http://www.artbarcelona.es/wp-content/uploads/2016/11/CienRostrosColorDef-color-copia2.jpg' width='228' height='182' alt='Julia Spínola - Cien Rostros Iguales' />Cien Rostros Iguales<br />Una frase apuntada al aire que se queda en la cabeza.<br />Julia Spínola presenta en etHALL un grupo de trabajos que continúan su investigación acerca de la construcción de una imagen de lo cercano, de lo que se pone en movimiento cuando uno también se pone en movimiento. Ciudad desplegada en dos gestos, a lo largo y de frente. El encuentro fortuito durante el proceso de trabajo con Poeta en Nueva York de Lorca sirve a la artista como referencia para esta exposición, a la manera de conversación imaginada con el autor, que interroga en este libro a una ciudad e intenta abrirla con las palabras, desde la escritura.<br />El grupo de dibujos Cien rostros iguales conforman una reconstrucción, un proceso de montaje y desmontaje de un mismo motivo. El dibujo de una calle que se abre en perspectiva, una trama, con la presencia interpuesta de una figura, unos pies, se mezclan con este fondo y con algunos detalles aislados de los dibujos que Lorca realizó en su estancia en Nueva York.<br />En diálogo con los dibujos se presenta la pieza Arpas de la saliva, doce barras horizontales de sal aglutinada. Un homenaje al verso de Lorca que da título a la pieza.</p>","http://www.artbarcelona.es/wp-content/uploads/2016/11/CienRostrosColorDef-color-copia2.jpg"
"Ana Riaño - RRSS","Victor Lope Arte Contemporáneo","Victor Lope Arte Contemporáneo","03/16/2017","","05/13/2017","",1,"Exposición, Galerías","0","http://www.artbarcelona.es/es/exposiciones/rrss/",1,1,"<p><img src='http://www.artbarcelona.es/wp-content/uploads/2017/03/Ana-Ria--o-Ingres-2017.-Acr--lico-sobre-papel.-110--160-cm.jpg' width='228' height='182' alt='Ana Riaño - RRSS' />En el proyecto RRSS (Redes Sociales) la artista Ana Riaño (Bilbao, 1985) investiga la confluencia de dos fenómenos diferentes: la construcción de la identidad en cuanto a artista y su cruce con la nueva moda de las llamadas Redes Sociales. Así pues, el proyecto consta de diferentes piezas pictóricas en las que Riaño retrata estados de redes sociales de artistas, galeristas, directores de museo, críticos de arte, y otros agentes sociales de su entorno. A veces la admiración por un artista procede también de su biografía, por lo que la serie RRSS muestra, a su vez, pantallazos inexistentes de la vida de artistas anteriores a la era contemporánea (Ingres, Dora Maar) como si convivieran con las nuevas tecnologías y las redes sociales. Como consecuencia, el espectador se encuentra delante de obras donde la realidad y la ficción se funden en un mismo plano de significado.</p>","http://www.artbarcelona.es/wp-content/uploads/2017/03/Ana-Ria--o-Ingres-2017.-Acr--lico-sobre-papel.-110--160-cm.jpg"
"Catarina Botelho - Cidade Partida","Galeria silvestre","Galeria silvestre","02/04/2017","","04/19/2017","",1,"Exposición, Galerías","0","http://www.artbarcelona.es/es/exposiciones/cidade-partida/",1,1,"<p><img src='http://www.artbarcelona.es/wp-content/uploads/2017/02/DSC4114.jpg' width='228' height='182' alt='Catarina Botelho - Cidade Partida' />Los he notado en el día en que he llegado<br />Acostados, inmóviles, en las aceras y esquinas de las calles, como si fueran su casa<br />Me parecen esculturas, con los mismos colores de los lugares  donde duermen<br />Como si quisieran camuflar su presencia, perros-camaleones. <br />Catarina Botelho<br />Durante la residencia artística que Catarina Botelho desarrolló en Mindelo /Cabo Verde, la artista deambuló por la ciudad, cámara en mano.<br />A lo largo de estos recorridos, su cámara actuaba como una herramienta transformadora gracias a la cual se generaron lugares liminales entre la ordenación real del espacio y la experiencia conceptual del mismo. Se trataba, pues, de un proceso de reconstrucción estructural de nuestro imaginario urbano llevada a cabo a través del filtro generado por el objetivo fotográfico. De este modo, Catarina Botelho conmutaba lo vivido por lo contemplado, generando reflexión a través de la observación de lo cotidiano.<br />Al deambular conscientemente a través de diferentes espacios, la artista observó la presencia continua y silenciosa de unos seres que habitaban las aceras, esquinas y rincones de las calles de Mindelo… perros anónimos que, en su quietud, se tornaban parte del entorno; fundiéndose en él, llegando, incluso, a perder su entidad para ser percibidos como parte del paisaje urbano.<br />Catarina Botelho, fijó su objetivo en ellos: los significó.<br />Citando la reflexión que Nuno Crespo realizó sobre la obra de Catarina Botelho en Entre nosotros y las palabras, “las fotografías de esta artista no reclaman el estatus de objetividad, frontalidad y el rigor del documento fotográfico, así como tampoco persiguen la veracidad figurativa.(…) Lo que está en juego aquí no es una especie de moralismo o ética de la fotografía, sino el conocimiento de que la imagen es una síntesis de las diferentes y posibles aproximaciones a la realidad (visual, auditiva, táctil, emocional, racional). Esto implica la identificación inmediata, el poder de provocar todo tipo de síntesis intelectuales y sensitivas, así como también el poder evocador de la imagen. Una imagen, como una palabra, evoca sonidos, olores, texturas e intensidades; tal es el poder de intensidad “imagética” que Catarina Botelho busca en cada nuevo trabajo.”<br />En el caso de “Cidade Partida”, la artista fijó su atención en los diferentes perros callejeros con los que se encontró en su deambular por las calles de Mindelo. Este acto desencadenó automáticamente una transformación provocada por la proyección de su mirada sobre el entorno: siguiendo con los pasos dados en series anteriores, al intentar reflexionar sobre la esencia latente y orgánica de lo urbano, una vez más la artista se ha resituado frente al espacio, replanteando nuestra percepción sobre la influencia del  imaginario (a nivel físico y conceptual) a la hora de sentir, habitar, convivir y proyectar dicho espacio.</p>","http://www.artbarcelona.es/wp-content/uploads/2017/02/DSC4114.jpg"
