"EVENT NAME","VENUE NAME","START DATE","START TIME","END DATE","END TIME","ALL DAY EVENT?","CATEGORIES","EVENT COST","EVENT WEBSITE","SHOW MAP LINK?","SHOW MAP?","EVENT DESCRIPTION","EVENT IMAGE"
"Taller de VJ y video mapping en Processing","Hangar","01/09/2017","","","",1,"Actividad, Espacios alternativos, Taller","","https://hangar.org/es/workshops-artist2artists/espanol-taller-de-vj-y-video-mapping-programando-en-processing-4-7-11-14-18-21-enero-2017/",1,1,"<p><img src='http://hangar.org/webnou/wp-content/uploads/2016/10/mapping-e-200x150.jpg' width='228' height='182' alt='Taller de VJ y video mapping en Processing' /></p>","https://hangar.org/webnou/wp-content/uploads/2016/10/mapping-e-200x150.jpg"
"Brioclaje para New Artesans. Curso de introducción a la construcción y al montaje","Hangar","01/17/2017","","02/14/2017","",1,"Actividad, Espacios alternativos, Taller","","https://hangar.org/es/programa-hangar/formacio-continua/bricolatge-per-a-new-artesans-curs-dintroduccio-a-la-construccio-i-al-muntatge/",1,1,"<p><img src='http://hangar.org/webnou/wp-content/uploads/2016/10/taller-newartesans-1-200x150.png' width='228' height='182' alt='Brioclaje para New Artesans. Curso de introducción a la construcción y al montaje' /></p>","https://hangar.org/webnou/wp-content/uploads/2016/10/taller-newartesans-1-200x150.png"
"Laboratorio del No Hacer. Una propuesta experimental contra el trabajo, a cargo de Christina Schultz.","Hangar","04/08/2005","","","",1,"Actividad, Espacios alternativos, Taller","","https://hangar.org/es/news/espanol-laboratorio-del-no-hacer-una-propuesta-experimental-contra-el-trabajo-de-christina-schultz/",1,1,"<p><img src='http://hangar.org/webnou/wp-content/uploads/2017/01/AbolishWork-200x150.jpg' width='228' height='182' alt='Laboratorio del No Hacer. Una propuesta experimental contra el trabajo, a cargo de Christina Schultz.' /></p>","https://hangar.org/webnou/wp-content/uploads/2017/01/AbolishWork-200x150.jpg"
"Workshop práctico de utilización de las herramientas de Systorgy","Hangar","02/02/2017","","02/04/2017","",1,"Actividad, Espacios alternativos, Taller","","https://hangar.org/es/news/sytorgy-de-marcelli-antunez/",1,1,"<p><img src='http://hangar.org/webnou/wp-content/uploads/2016/10/PSEUDO_COTRONE_MAntunezPh_CRodriguez-200x150.jpg' width='228' height='182' alt='Workshop práctico de utilización de las herramientas de Systorgy' /></p>","https://hangar.org/webnou/wp-content/uploads/2016/10/PSEUDO_COTRONE_MAntunezPh_CRodriguez-200x150.jpg"
"Taller sobre la adquisición y el uso crítico del inglés para artistas y trabajadores de la cultura","Hangar","01/30/2016","","03/01/2016","",1,"Actividad, Espacios alternativos, Taller","","https://hangar.org/es/workshops-artist2artists/investigant-el-llenguatge-i-les-dinamiques-de-poder-taller-sobre-ladquisicio-i-lus-critic-dangles-per-als-artistes-i-treballadors-de-la-cultura/",1,1,"<p><img src='http://hangar.org/webnou/wp-content/uploads/2016/10/05gr2006SURVIVALENGLISH-1-200x150.jpg' width='228' height='182' alt='Taller sobre la adquisición y el uso crítico del inglés para artistas y trabajadores de la cultura' /></p>","https://hangar.org/webnou/wp-content/uploads/2016/10/05gr2006SURVIVALENGLISH-1-200x150.jpg"
"El cine-ensayo (o la forma peligrosa de mezclar lo personal con el presente) a cargo de Andrés Duque","Hangar","02/13/2017","","03/27/2017","",1,"Actividad, Espacios alternativos, Taller","","https://hangar.org/es/news/curs-el-cinema-assaig-o-la-forma-perillosa-de-barrejar-allo-personal-amb-el-present-a-carrec-dandres-duque/",1,1,"<p><img src='http://hangar.org/webnou/wp-content/uploads/2015/07/IMG_0696-200x150.jpg' width='228' height='182' alt='El cine-ensayo (o la forma peligrosa de mezclar lo personal con el presente) a cargo de Andrés Duque' />Este taller de creación audiovisual impulsado desde la colaboración entre HAMACA y HANGAR está dirigido a quienes deseen trabajar la forma del cine-ensayo como medio de expresión. El arte digital incita a preguntarnos ¿Qué hace el cine en estos tiempos? ¿Qué queda de su relación con lo real? ¿Por qué y para qué acumulo imágenes compulsivamente en el ordenador? ¿Qué puedo hacer con ellas?</p>","https://hangar.org/webnou/wp-content/uploads/2015/07/IMG_0696-200x150.jpg"
"Piel emocional. Performance y espacios performativos","Hangar","03/17/2017","","","",1,"Actividad, Espacios alternativos, Taller","","https://hangar.org/es/workshops-artist2artists/english-emotional-skin-performance-and-performative-spaces/",1,1,"<p><img src='http://hangar.org/webnou/wp-content/uploads/2016/10/2.-S-Cillari_Piel-Emocional-1-200x150.jpg' width='228' height='182' alt='Piel emocional. Performance y espacios performativos' />Taller a cargo de Sonia Cillari (en colaboración con Anna Carreras)</p>","https://hangar.org/webnou/wp-content/uploads/2016/10/2.-S-Cillari_Piel-Emocional-1-200x150.jpg"
"Taller de dibujo “Exótica” con Andrea Gomez","Hangar","03/11/2017","","","",1,"Actividad, Espacios alternativos, Taller","","https://hangar.org/es/workshops-artist2artists/taller-de-dibujo-exotica-con-andrea-gomez/",1,1,"<p><img src='http://hangar.org/webnou/wp-content/uploads/2016/11/cartel-exoti-hang-1-200x150.jpg' width='228' height='182' alt='Taller de dibujo “Exótica” con Andrea Gomez' /></p>","https://hangar.org/webnou/wp-content/uploads/2016/11/cartel-exoti-hang-1-200x150.jpg"
"Taller de sistemas interactivos: Visión artificial con C++ y OpenFrameworks","Hangar","04/18/2003","","","",1,"Actividad, Espacios alternativos, Taller","","https://hangar.org/es/workshops-artist2artists/espanol-taller-de-sistemas-interactivos-vision-artificial-con-c-y-openframeworks-aplicada-a-las-artes-performaticas-y-a-la-instalacion/",1,1,"<p><img src='http://hangar.org/webnou/wp-content/uploads/2016/11/172-inter-200x150.jpg' width='228' height='182' alt='Taller de sistemas interactivos: Visión artificial con C++ y OpenFrameworks' /></p>","https://hangar.org/webnou/wp-content/uploads/2016/11/172-inter-200x150.jpg"
"Taller de diseño algorítmico y arte generativo","Hangar","05/15/2017","","","",1,"Actividad, Espacios alternativos, Taller","","https://hangar.org/es/workshops-artist2artists/espanol-taller-de-diseno-algoritmico-y-arte-generativo/",1,1,"<p><img src='http://hangar.org/webnou/wp-content/uploads/2017/04/promogen002-200x150.jpg' width='228' height='182' alt='Taller de diseño algorítmico y arte generativo' /></p>","https://hangar.org/webnou/wp-content/uploads/2017/04/promogen002-200x150.jpg"
