event_link,event_link-href,event_title1,event_image-src,event_text,event_organizer__CCCB,event_maplink__1,event_cost__6,event_venue__CCCB,event_category__CCCB__Exposición,event_id,event_title2,event_start,event_end
"Serielizados Fest","http://www.cccb.org/es/actividades/ficha/serielizados-fest/226182","Serielizados Fest","http://www.cccb.org/rcs_gene/szsfest_logo.jpg","El CCCB es una de las sedes principales de uno de los festivales de referencia sobre el fenómeno cultural y social que representan las series de televisión.Serielizados Fest documentales inéditos, proyecciones de capítulos, conferencias de profesionales del sector audiovisual y espectáculos de humor y música.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/serielizados-fest/226182","Festival Internacional de Series de Barcelona","21 - 22 abril 2017","21 - 22 abril 2017"
"Realidades de la ilusión","http://www.cccb.org/es/actividades/ficha/realidades-de-la-ilusion/226177","Realidades de la ilusión","http://www.cccb.org/rcs_gene/RealitatsIl_lusio_webCCCB.png","De fuente de burla e inevitable desilusión a esperanza de realización de algo intuido o anhelado, la ilusión se precipita siempre en caleidoscopios dobles y perpetuamente ambiguos. Aparentemente urdida en torno a la percepción, invierte los valores de lo real, algunas veces para promover el ridículo, otras para permitirnos vivir con alegría en un mundo lleno de penurias. Pero, ¿qué pasa cuando lo que conocemos como real no es sino una ilusión? O, al revés, ¿cuándo aquello ilusorio es el último anclaje de una realidad?","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/realidades-de-la-ilusion/226177","Con Víctor Molina, Pere Saborit, Sonia Fernández-Vidal, Roberto Fratini, Òscar Vilarroya, Mag Lari","24 abril, 8, 15, 22 y 29 mayo 2017","24 abril, 8, 15, 22 y 29 mayo 2017"
"20 % de descuento  la «Novena» de Beethoven con la Orquesta Sinfónica del Vallès","http://www.cccb.org/es/actividades/ficha/20-de-descuento-la-novena-de-beethoven-con-la-orquesta-sinfonica-del-valles/225792","20 % de descuento  la «Novena» de Beethoven con la Orquesta Sinfónica del Vallès","http://www.cccb.org/rcs_gene/22-abril.jpg","La sinfonía más universal y un canto a la hermandad entre personas y culturas de todo el mundo.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/20-de-descuento-la-novena-de-beethoven-con-la-orquesta-sinfonica-del-valles/225792","Oferta exclusiva para Amigos del CCCB","22 abril 2017","22 abril 2017"
"Una propuesta filosófica sobre la vida humana","http://www.cccb.org/es/actividades/ficha/una-propuesta-filosofica-sobre-la-vida-humana/226143","Una propuesta filosófica sobre la vida humana","http://www.cccb.org/rcs_gene/esquirolweb.png","El curso presentará una filosofía de la condición y de la vida humana a través de los conceptos «afueras», «pliegue del sentir», «deseo infinito» y «capaz de vida».","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/una-propuesta-filosofica-sobre-la-vida-humana/226143","Seminario a cargo de Josep Maria Esquirol","3, 10, 17 y 24 mayo 2017","3, 10, 17 y 24 mayo 2017"
"Crisis del lenguaje, café literario y vanguardias","http://www.cccb.org/es/actividades/ficha/crisis-del-lenguaje-cafe-literario-y-vanguardias/226142","Crisis del lenguaje, café literario y vanguardias","http://www.cccb.org/rcs_gene/Kurt_Schwitters_by_Lissitzky__1925__webCCCB.png","Hace casi 100 años que las vanguardias literarias supusieron un cambio radical en el mundo del arte y plantearon una renovación del lenguaje que ha asentado las bases de la modernidad literaria. ¿Por qué  y de dónde surge este impulso? ¿Cómo se concreta? ¿Cómo cambia el lenguaje? El curso se centrará principalmente en la literatura en lengua alemana.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/crisis-del-lenguaje-cafe-literario-y-vanguardias/226142","Seminario a cargo de Marisa Siguan","26 abril, 3, 10, 17 y 31 mayo 2017","26 abril, 3, 10, 17 y 31 mayo 2017"
"Fenómeno Fotolibro en familia","http://www.cccb.org/es/actividades/ficha/fenomeno-fotolibro-en-familia/226383","Fenómeno Fotolibro en familia","http://www.cccb.org/rcs_gene/fotollibre.jpg","¡Conviértete en un fotonarrador y atrévete a construir tu relato a través de imágenes!","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/fenomeno-fotolibro-en-familia/226383","¡Construye tu relato con fotografías!","17 marzo - 27 agosto 2017","17 marzo - 27 agosto 2017"
"Flexo 5/6: La transformación. Seminario a cargo de Ester Jordana","http://www.cccb.org/es/actividades/ficha/flexo-5-6-la-transformacion-seminario-a-cargo-de-ester-jordana/225974","Flexo 5/6: La transformación. Seminario a cargo de Ester Jordana","http://www.cccb.org/rcs_gene/fire-1905608_960_720.jpg","Permanentemente apelamos a la transformación como un horizonte del arte, la filosofía o la política. Sin embargo ¿a qué nos referimos cuando utilizamos esta noción? ¿Qué es lo que se transforma y cómo? ¿Es la transformación un objetivo en sí mismo?","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/flexo-5-6-la-transformacion-seminario-a-cargo-de-ester-jordana/225974","De «El nacimiento de la tragedia» de Friedrich Nietzsche a «El coraje de la verdad» de Michel Foucault","3, 10 y 24 abril 2017","3, 10 y 24 abril 2017"
"«La influencia de los lugares en la mente y el corazón» de Colin Ellard","http://www.cccb.org/es/actividades/ficha/la-influencia-de-los-lugares-en-la-mente-y-el-corazon-de-colin-ellard/224179","«La influencia de los lugares en la mente y el corazón» de Colin Ellard","http://www.cccb.org/rcs_gene/Klub-lectura-fitxa_9.jpg","Colin Ellard, neurocientífico cognitivo en la Universidad de Waterloo que colabora estrechamente con planificadores, arquitectos y diseñadores urbanos, es uno de los grandes expertos mundiales a la hora de dictaminar cómo reaccionará un individuo en un lugar, es decir, los pensamientos, las emociones, los sentimientos y las acciones que pondrá en marcha su presencia en un entorno concreto. Lectura ligada a la exposición «1000 m2 de deseo».","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/la-influencia-de-los-lugares-en-la-mente-y-el-corazon-de-colin-ellard/224179","Club de lectura de los Amigos del CCCB","19 abril 2017","19 abril 2017"
"Visita el Mirador del CCCB","http://www.cccb.org/es/actividades/ficha/visita-el-mirador-del-cccb/222634","Visita el Mirador del CCCB","http://www.cccb.org/rcs_gene/mirador_4.jpg","El primer domingo de cada mes, abrimos el espacio Mirador situado en la quinta planta. A través de la fachada de cristal se puede contemplar Barcelona desde una perspectiva poco usual: el mar, el Barrio Gótico y Ciutat Vella, Montjuïc, el Tibidabo y la torre Collserola. Entrada libre.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/visita-el-mirador-del-cccb/222634","Un espacio emblemático que permite disfrutar de magníficas vistas sobre la ciudad de Barcelona","5 febrero, 5 marzo, 2 abril, 7 mayo, 4 junio, 2 julio, 6 agosto, 3 septiembre, 1 octubre, 5 noviembre, 3 diciembre 2017","5 febrero, 5 marzo, 2 abril, 7 mayo, 4 junio, 2 julio, 6 agosto, 3 septiembre, 1 octubre, 5 noviembre, 3 diciembre 2017"
"50% de descuento a los primeros 10 inscritos a INDI+I 2017","http://www.cccb.org/es/actividades/ficha/50-de-descuento-a-los-primeros-10-inscritos-a-indi-i-2017/226163","50% de descuento a los primeros 10 inscritos a INDI+I 2017","http://www.cccb.org/rcs_gene/INDI.jpg","Vuelve el encuentro anual sobre industria e innovación de Cataluña. Este año en el IND+I hablaremos de innovación orientada a misiones sociales y medioambientales.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/50-de-descuento-a-los-primeros-10-inscritos-a-indi-i-2017/226163","Oferta exclusiva para los Amigos del CCCB","26 abril 2017","26 abril 2017"
