event_title,event_text,event_start,event_end,event_venue__Hangar,event_link,event_link-href,event_category__Actividad__Espacios alternativos__Taller,event_maplink__1,event_cost__,event_id,event_image-src
"NOCTURNAL EMISSIONS  Taller con Francesc Ruiz","","27 y 28 de mayo","27 y 28 de mayo","null","","https://hangar.org/es/workshops-artist2artists/nocturnal-emissions-taller-amb-francesc-ruiz/","null","null","null","https://hangar.org/es/workshops-artist2artists/nocturnal-emissions-taller-amb-francesc-ruiz/","https://hangar.org/webnou/wp-content/uploads/2017/03/nocturnal-emissions-200x150.jpg"
"Taller de Net art y diseño interactivo para la web","","15, 17, 22, 24 febrero 2017","15, 17, 22, 24 febrero 2017","null","","https://hangar.org/es/news/espanol-taller-de-net-art-y-diseno-interactivo-para-la-web/","null","null","null","https://hangar.org/es/news/espanol-taller-de-net-art-y-diseno-interactivo-para-la-web/","https://hangar.org/webnou/wp-content/uploads/2016/10/netart-200x150.jpg"
"EL Joc Ideal. Taller a càrrec de Constanza Mendoza","","5, 6, 7 mayo 2017","5, 6, 7 mayo 2017","null","","https://hangar.org/es/workshops-artist2artists/el-juego-ideal-taller-a-cargo-de-constanza-mendoza/","null","null","null","https://hangar.org/es/workshops-artist2artists/el-juego-ideal-taller-a-cargo-de-constanza-mendoza/","https://hangar.org/webnou/wp-content/uploads/2016/07/Hieronymus_Bosch-_The_Seven_Deadly_Sins_and_the_Four_Last_Things-200x150.jpg"
"Taller  “Gabinete artesanal de etnografías imaginarias:  metodologías de observación e investigación (artística)”","","8, 9, 10 mayo 2017","8, 9, 10 mayo 2017","null","","https://hangar.org/es/news/espanol-taller-gabinete-artesanal-de-etnografias-imaginarias-metodologias-de-observacion-e-investigacion-estetica/","null","null","null","https://hangar.org/es/news/espanol-taller-gabinete-artesanal-de-etnografias-imaginarias-metodologias-de-observacion-e-investigacion-estetica/","https://hangar.org/webnou/wp-content/uploads/2016/12/etno-200x150.jpg"
"“Rítmico y melódico. Sonata de abril”. Taller a cargo de Francisco Ruíz de Infante","… En torno a la activación de dispositivos audiovisuales (más o menos performativos, más o menos literarios, más o menos musicales, más o menos espectaculares)…","19, 20, 21 abril 2017","19, 20, 21 abril 2017","null","","https://hangar.org/es/news/ritmic-i-melodic-sonata-per-algunes-tardors-taller-a-carrec-de-francisco-ruiz-de-infante/","null","null","null","https://hangar.org/es/news/ritmic-i-melodic-sonata-per-algunes-tardors-taller-a-carrec-de-francisco-ruiz-de-infante/","https://hangar.org/webnou/wp-content/uploads/2016/07/vueGeneraleOK-1-200x150.jpg"
"Programa de formación enero – mayo 2017","","enero - mayo 2017","enero - mayo 2017","null","","https://hangar.org/es/news/31619/","null","null","null","https://hangar.org/es/news/31619/","https://hangar.org/webnou/wp-content/uploads/2016/12/Formacio-200x150.jpg"
"Estéticas del error digital: Taller de arte glitch.","","15, 17, 22, 24, 29, 31 de marzo 2017","15, 17, 22, 24, 29, 31 de marzo 2017","null","","https://hangar.org/es/news/estetiques-del-error-digital-taller-dart-glitch/","null","null","null","https://hangar.org/es/news/estetiques-del-error-digital-taller-dart-glitch/","https://hangar.org/webnou/wp-content/uploads/2016/12/glitch03174-200x150.jpg"
"Taller de diseño algorítmico y arte generativo","","15, 17, 22, 24, 29, 31  mayo","15, 17, 22, 24, 29, 31  mayo","null","","https://hangar.org/es/workshops-artist2artists/espanol-taller-de-diseno-algoritmico-y-arte-generativo/","null","null","null","https://hangar.org/es/workshops-artist2artists/espanol-taller-de-diseno-algoritmico-y-arte-generativo/","https://hangar.org/webnou/wp-content/uploads/2017/04/promogen002-200x150.jpg"
"Taller de sistemas interactivos: Visión artificial con C++ y OpenFrameworks","","18, 19, 21, 25, 26, 28 de abril, 3, 5 de mayo","18, 19, 21, 25, 26, 28 de abril, 3, 5 de mayo","null","","https://hangar.org/es/workshops-artist2artists/espanol-taller-de-sistemas-interactivos-vision-artificial-con-c-y-openframeworks-aplicada-a-las-artes-performaticas-y-a-la-instalacion/","null","null","null","https://hangar.org/es/workshops-artist2artists/espanol-taller-de-sistemas-interactivos-vision-artificial-con-c-y-openframeworks-aplicada-a-las-artes-performaticas-y-a-la-instalacion/","https://hangar.org/webnou/wp-content/uploads/2016/11/172-inter-200x150.jpg"
"Taller de dibujo “Exótica” con Andrea Gomez","","11 marzo 2017","11 marzo 2017","null","","https://hangar.org/es/workshops-artist2artists/taller-de-dibujo-exotica-con-andrea-gomez/","null","null","null","https://hangar.org/es/workshops-artist2artists/taller-de-dibujo-exotica-con-andrea-gomez/","https://hangar.org/webnou/wp-content/uploads/2016/11/cartel-exoti-hang-1-200x150.jpg"
