event_link,event_link-href,event_title1,event_image-src,event_text,event_organizer__CCCB,event_maplink__1,event_cost__6,event_venue__CCCB,event_category__CCCB__Exposición,event_id,event_title2,event_start,event_end
"Fenómeno Fotolibro en familia","http://www.cccb.org/es/actividades/ficha/fenomeno-fotolibro-en-familia/226383","Fenómeno Fotolibro en familia","http://www.cccb.org/rcs_gene/fotollibre.jpg","¡Conviértete en un fotonarrador y atrévete a construir tu relato a través de imágenes!","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/fenomeno-fotolibro-en-familia/226383","¡Construye tu relato con fotografías!","17 marzo - 27 agosto 2017","17 marzo - 27 agosto 2017"
"Las raíces del odio","http://www.cccb.org/es/actividades/ficha/las-raices-del-odio/226180","Las raíces del odio","http://www.cccb.org/rcs_gene/imatgeperwebCCCB.png","Durante la edad media, Cataluña vivió el nacimiento de los mecanismos represivos que configuraron la persecución de minorías sociales y religiosas. ¿Cómo se llevó a cabo esta persecución? ¿Quiénes fueron los protagonistas? ¿Qué los motivó?","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/las-raices-del-odio/226180","Persecución y represión en la Edad Media","20 y 27 abril, 4 y 11 mayo 2017","20 y 27 abril, 4 y 11 mayo 2017"
"Realidades de la ilusión","http://www.cccb.org/es/actividades/ficha/realidades-de-la-ilusion/226177","Realidades de la ilusión","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","De fuente de burla e inevitable desilusión a esperanza de realización de algo intuido o anhelado, la ilusión se precipita siempre en caleidoscopios dobles y perpetuamente ambiguos. Aparentemente urdida en torno a la percepción, invierte los valores de lo real, algunas veces para promover el ridículo, otras para permitirnos vivir con alegría en un mundo lleno de penurias. Pero, ¿qué pasa cuando lo que conocemos como real no es sino una ilusión? O, al revés, ¿cuándo aquello ilusorio es el último anclaje de una realidad?","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/realidades-de-la-ilusion/226177","Con Víctor Molina, Pere Saborit, Sonia Fernández-Vidal, Roberto Fratini, Òscar Vilarroya, Mag Lari","24 abril, 8, 15, 22 y 29 mayo 2017","24 abril, 8, 15, 22 y 29 mayo 2017"
"Poner el cuerpo. Activismos feministas y queer","http://www.cccb.org/es/actividades/ficha/poner-el-cuerpo-activismos-feministas-y-queer/226229","Poner el cuerpo. Activismos feministas y queer","http://www.cccb.org/rcs_gene/PosarElCosWebCCCB.png","Tanto en el pensamiento como en la acción feminista actual, el cuerpo ha dejado de ser el depositario originario de la diferencia sexual para convertirse él mismo en el cuestionador revulsivo del sistema binario de sexo-género.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/poner-el-cuerpo-activismos-feministas-y-queer/226229","Dirigido por Meri Torras y Miriam Solá","19 y 26 abril, 3, 10, 17, 24 y 26 mayo 2017","19 y 26 abril, 3, 10, 17, 24 y 26 mayo 2017"
"D'A Film Festival","http://www.cccb.org/es/actividades/ficha/da-film-festival/226283","D'A Film Festival","http://www.cccb.org/rcs_gene/DA2017_horitzontal_web.jpg","El D’A Film Festival de Barcelona llega a su séptima edición consolidando su apuesta por el cine independiente y de autor y acercando al público de la ciudad el mejor del cine contemporáneo.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/da-film-festival/226283","","28 abril - 7 mayo 2017","28 abril - 7 mayo 2017"
"Flexo 6/6: La extracción. Seminario a cargo de Jorge Luis Marzo","http://www.cccb.org/es/actividades/ficha/flexo-6-6-la-extraccion-seminario-a-cargo-de-jorge-luis-marzo/225976","Flexo 6/6: La extracción. Seminario a cargo de Jorge Luis Marzo","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","¿Pueden las manos de Hulk sacar una astilla de la pata de una hormiga? ¿Qué tenemos que hacer nosotros con nuestras manos enormes cuando queremos tener cuidado de una realidad desmenuzada en pedazos pequeñitos? ¿Cómo extraer la verdad? ¿Cómo extraernos de la verdad?","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/flexo-6-6-la-extraccion-seminario-a-cargo-de-jorge-luis-marzo/225976","De «El corazón de las tinieblas» de Joseph Conrad a «La pulga de acero» de Nikolai Leskov","11, 18 y 25 mayo 2017","11, 18 y 25 mayo 2017"
"50% de descuento a los primeros 10 inscritos a INDI+I 2017","http://www.cccb.org/es/actividades/ficha/50-de-descuento-a-los-primeros-10-inscritos-a-indi-i-2017/226163","50% de descuento a los primeros 10 inscritos a INDI+I 2017","http://www.cccb.org/rcs_gene/INDI.jpg","Vuelve el encuentro anual sobre industria e innovación de Cataluña. Este año en el IND+I hablaremos de innovación orientada a misiones sociales y medioambientales.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/50-de-descuento-a-los-primeros-10-inscritos-a-indi-i-2017/226163","Oferta exclusiva para los Amigos del CCCB","26 abril 2017","26 abril 2017"
"Saber, hacer, comprender","http://www.cccb.org/es/actividades/ficha/saber-hacer-comprender/224449","Saber, hacer, comprender","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","En el marco del 30º aniversario del Institut d'Humanitats, queremos abrir un aula desde donde actualizar el discurso, los referentes y las prácticas de las humanidades en nuestra sociedad.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/saber-hacer-comprender/224449","Aula abierta dirigida por Marina Garcés","18 octubre, 15 y 29 noviembre, 13 diciembre 2016
31 enero, 14 y 21 febrero, 7, 14 y 28 marzo, 4, 18 y 25 abril, 9 mayo 2017","18 octubre, 15 y 29 noviembre, 13 diciembre 2016
31 enero, 14 y 21 febrero, 7, 14 y 28 marzo, 4, 18 y 25 abril, 9 mayo 2017"
"Proyección de los premios del concurso de narrativa digital WPP17","http://www.cccb.org/es/actividades/ficha/proyeccion-de-los-premios-del-concurso-de-narrativa-digital-wpp17/226485","Proyección de los premios del concurso de narrativa digital WPP17","http://www.cccb.org/rcs_gene/WPP17_digitalstoritelling_fitxa.jpg","Sesión abierta en la que se proyectarán los trabajos audiovisuales premiados en las categorías de Formato corto y Formato largo del Concurso Narrativa Digital.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/proyeccion-de-los-premios-del-concurso-de-narrativa-digital-wpp17/226485","","17 mayo 2017","17 mayo 2017"
"Cómo socializar los beneficios de la innovación","http://www.cccb.org/es/actividades/ficha/como-socializar-los-beneficios-de-la-innovacion/226011","Cómo socializar los beneficios de la innovación","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","La conferencia de la economista Mariana Mazzucato, autora del influyente libro El estado emprendedor. Mitos del sector público frente al privado (RBA, 2014), se centrará en las inversiones del sector público que condujeron al modelo de crecimiento de Silicon Valley, una de las zonas del mundo con una mayor concentración de grandes corporaciones y pequeñas empresas relacionadas con la tecnología e Internet.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/como-socializar-los-beneficios-de-la-innovacion/226011","Conferencia de Mariana Mazzucato, diálogo con Evgeny Morozov","27 abril 2017","27 abril 2017"
