event_image-src,event_venue,event_link,event_link-href,event_title1,event_start,event_end,event_organizer,event_title2,event_text,event_cost__0,event_category__Exposición__Galerías,event_maplink__1,event_id
"http://www.artbarcelona.es/wp-content/uploads/2017/03/Vista-gral-expo-Marta-Marc---AR.JPG","PALMADOTZE","","http://www.artbarcelona.es/es/exposiciones/further-reaches/","Marta Marcè","","25.03.17 – 02.07.17","PALMADOTZE","Further Reaches","Marta Marcé presenta su segunda exposición individual en Palmadotze, la primera en la nueva sede de la galería en Mas Pujó. En los últimos años la artista se ha instalado en Berlín donde sigue reinventando el medio de la pintura con un incesante ánimo y originalidad, y como algo susceptible de convertirse en parte activa de nuestra vida cotidiana.
Desde sus inicios Marcé ha encontrado en la geometría un camino para sintonizar con ideas tanto universales como metafísicas. Recordemos como enriquecía su práctica artística con elementos propios tanto de la apariencia como de los procesos de los juegos. Este es el caso de series inspiradas en el domino, la ruleta, el mikado, los puzzles, el tangram o ciertos juegos de ordenador, donde hace patente las relaciones entre cualidades del juego, pintura y vida misma, y ​​donde las pinturas adquieren gran energía y vitalidad. Este enfoque, más allá de lo visual, se convirtió en un marco perfecto para experimentar, tomar riesgos y decidir finalmente formas y colores. Estas series, donde ya se ponían de manifiesto las relaciones entre orden y caos, energía psíquica y energía material, certeza matemática y azar (presentes en los juegos), pusieron la mirada de la artista en el horizonte del diálogo entre las Formas y la Energía.
Recientemente, como se plasma en su última serie ""Now & Ever"" que presenta en la exposición, Marcé ha ido en busca de esta energía viva en su obra para profundizar en un universo cada vez más místico. Progresivamente, y especialmente a raíz de un viaje a Guatemala donde conoció la cosmogonía Maya, y en sintonía con la obra de artistas como Pablo Palazuelo, Bridgit Riley o Hilma af Klimt o de filósofos y místicos como Ibn Arabi, Gurdjieff o Castaneda , Marcé abraza con su pintura esta energía omnipresente y creadora, que conecta toda forma de vida. Se trata de un diálogo que pretende expresar a través de obras conformadas por ritmos visuales de color y patrones geométricos. Asimismo, como nos recuerda ""La pintura da también un momento de lentitud, silencio y meditación a través de la observación paciente."" Una vez más el arte en conexión con la vida e incluso al servicio de ésta... Un regalo de Marcé para reflexionar y también disfrutar de la existencia.","null","null","null","http://www.artbarcelona.es/es/exposiciones/further-reaches/"
"http://www.artbarcelona.es/wp-content/uploads/2017/04/305417.jpg","Galería Trama","","http://www.artbarcelona.es/es/exposiciones/interiores-y-secciones-transversales/","Gonzalo Sicre","","06.04.17 – 16.05.17","Galería Trama","Interiores y secciones transversales","“Siempre me interesó la obra de Lucian Freud y el personaje. Creo que su trabajo trasciende la realidad de lo representado y consigue eso que es tan difícil de explicar al menos pera mi por ser tan sorprendente. Igualmente sorprendente es la colección de arte que tenía en su casa de Kensington. Obras de Francis Bacon, Frank Auerbach (ambos eran amigos de Lucian) Camille Corot, bronces de Rodin, Degas.
Normalmente solemos ver estas obras en museos, perfectamente ordenadas  y con una buena iluminación. Al verlas en un ambiente doméstico con montañas de libros por los suelos al pie del cuadro “Two Figures” de Bacon, o “Balzac desnudo con los brazos cruzados” de Rodin sobre una mesa rodeado de platos, trapo de cocina y apenas iluminación, me decidí a pintar una gran panorámica de 140 x 800cm sobre algunas habitaciones de la casa. Comienza con una habitación que tiene un Corot sobre la chimenea y un bronce de Degas, un Auerbach en la pared contigua. Continua con dos cuadros del dormitorio de Lucian de diferentes ángulos. Aquí hay un Bacon un Auerbach, sobre la mesa un bronce de Rodin “Isis” y un caballo en broce de Degas sobre el aparador. El último cuadro es una sala que tiene el Balzac desnudo sobre una mesa redonda y como punto final de este recorrido hay un caballete en un rincón de la habitación en la penumbra. Me pareció que era el mejor final ya que la casa pertenece a un artista y este rincón en penumbra me recordaba al Cristo de Velázquez sin tener nada que ver pero el caballete tiene algo de forma de cruz esa cruz que llevamos a cuestas los artistas. En palabras de Truman Capote, “Cuando Dios le entrega a uno un don, también le da un látigo; y el látigo es únicamente para autoflagelarse”.
Al hilo de estas asociaciones como la del Cristo de Velázquez, también vi a Vermeer, Mark Rothko…. Y esto siempre me parece un buen punto de partida para comenzar un cuadro que luego no tendrá nada que ver con ellos, como debe ser.
Sección transversal es la parte científica del arte. En este caso de la pintura italiana hasta 1400. El análisis científico permite identificar la gama de pigmentos usados por los pintores del trecento en Florencia y Siena, Cennino Cennini, Giotto, Ugolino di Nerio, Duccio, etc. La acumulación de capas de pintura para conseguir el color adecuado, son analizadas para averiguar espesores y el tipo de pigmento utilizado.
Yo he usado las imágenes de manera que guardaran una relación con el tema representado. El resultado es una abstracción que parte de una micro realidad que conformaba un arte profundamente religioso, y a mi modo de ver acaba siendo una abstracción profundamente religiosa.”
 
Gonzalo Sicre","null","null","null","http://www.artbarcelona.es/es/exposiciones/interiores-y-secciones-transversales/"
"http://www.artbarcelona.es/wp-content/uploads/2017/01/harrisserving.jpg","ADN Galería","","","Democracia","09.02.17 – 27.04.17","09.02.17 – 27.04.17","ADN Galería","ORDER. Act III. Dinner at The Dorchester.","","null","null","null","http://www.artbarcelona.es/es/exposiciones/order-act-iii-dinner-at-the-dorchester/"
"http://www.artbarcelona.es/wp-content/uploads/2017/04/20.Melancholia.jpg","Galería Valid Foto Bcn","","","Taichi Gondaira","06.04.17 – 15.05.17","06.04.17 – 15.05.17","Galería Valid Foto Bcn","Taichi Gondaira-  Obras seleccionadas","","null","null","null","http://www.artbarcelona.es/es/exposiciones/taichi-gondaira-obras-seleccionadas/"
"http://www.artbarcelona.es/wp-content/uploads/2017/04/Norte-4-2017-t--cnica-mixta-sobre-lienzo-195x220cm.jpg.jpg.jpg","Galería Marlborough","","http://www.artbarcelona.es/es/exposiciones/norte/","Hugo Fontela","","20.04.17 – 20.05.17","Galería Marlborough","Norte","Hugo Fontela, el artista más joven de la Galería Marlborough, expone sus obras por primera vez en la sede de Barcelona
 
Marlborough Barcelona se complace en presentar NORTE, la muestra que reunirá la última producción del pintor asturiano Hugo Fontela (Grado, 1986), el artista más joven de la galería y que expone por primera vez en la sede de Barcelona.
En NORTE, la muestra que presentamos en la Galería Marlborough Barcelona, Fontela explora la memoria del paisaje costero de su Asturias natal siguiendo la línea de minimalismo estético de su última exposición, al mismo tiempo que evoluciona en sus temáticas. Si en sus anteriores creaciones fueron protagonistas los postes flotantes sobre el agua inspirados por los muelles abandonados del East River de Nueva York o los mares de residuos que dan lugar a sus impactantes vertederos, en sus recientes lienzos son las rocas marinas de las tierras del norte las protagonistas indiscutibles. Las rocas solitarias asoman, enigmáticas, sobre mares de azules intensos expresados en distintos estados de actividad: la mar llana, rizada o marejada.
Como indica Enrique Juncosa en el texto introductorio del catálogo, Fontela no busca la representación fidedigna de la realidad, sino su vivencia: “Fontela convierte el paisaje que recuerda, o la memoria de la emoción que este paisaje le produjo, en el acto mismo de pintar. Las rocas o islotes son distintos, de lo que se desprende que no le interesa la representación en sí de una vista determinada, ni tampoco persigue una visión épica de lo sublime.” Por tanto, la obra del joven artista podría considerarse neo-tradicionalista, ya que demuestra haber conocido los movimientos de la action painting y del pop, así como el informalismo y el minimal. De ese modo, sus pinturas parten de lo figurativo para viajar hacia lo abstracto, es decir, de-construye una imagen que parte de lo real hacia lo pictórico y son las relaciones entre las formas, las figuras, los volúmenes y los colores los que constituyen el medio de expresión que provoca la sensación pictórica más que el propio objeto representado.
Hugo Fontela nace en Grado (Principado de Asturias, España) en 1986. Su formación pictórica estuvo en sus inicios vinculada, por un lado a la Escuela de Artes y Oficios de Avilés, donde aprendió a pintar de una forma académica, y por otro a la  Escuela de Arte de Oviedo, donde prepara su ingreso en Bellas Artes. Decide entonces trasladarse a vivir a Nueva York con sólo dieciocho años. Allí ampliaría sus estudios en The Arts Students League, e instalaría su estudio-taller. Desde el año 2005 vive y trabaja en Manhattan, alternando estudios en Madrid y Nueva York.
En 2005 recibe en España el XX Premio BMW de Pintura, y en 2007 el Premio al mejor artista de la Feria de Arte Gráfico ESTAMPA, concedido por la Asociación de Críticos de Madrid. En el año 2006 participa junto a Juan Hidalgo como artista invitado a la XVIII Bienal de Pintura de Zamora. En el 2011 el Museo de la Abadía de Montserrat de Barcelona organiza una amplia muestra de sus trabajos realizados en América. Ese mismo año, fruto de dos estancias en Río de Janeiro junto a Oscar Niemeyer (2009 y 2011), realiza la muestra Niemeyer by Fontela en el centro proyectado por el propio arquitecto en Avilés. En el año 2014 recibe el Premio Príncipe de Girona de las Artes por su precoz pero intensa trayectoria artística y expone White Paintings en la Galería Hispánica Contemporánea en México D.F.. En el mismo año entra a formar parte de la Galería Marlborough y en 2016 realiza su primera exposición individual en la sede de Madrid titulada Pinturas Extrañas.
Su obra se encuentra en museos y colecciones públicas como en la Biblioteca Nacional, Madrid; Calcografía Nacional, Madrid; Colección Ars Citerior, Valencia; Colección Ayuntamiento de Zamora; Colección Banco Bilbao Vizcaya, Argentaria, Madrid; Colección BMW, Madrid; Colección Cajastur-Liberbank, Asturias; Colección Caja de Ahorros del Mediterráneo, Murcia; Colección Centro Asturiano de Madrid; Colección DKV, Barcelona; Colección Fundación Banco Sabadell; Colección Fundación Cruzcampo, Sevilla; Colección Fundación Príncipe de Asturias, Oviedo; Colección Fundación Universidad Rey Juan Carlos; Colección Gabarron Foundation, Nueva York, EE.UU; Colección Junta General del Principado de Asturias, Oviedo; Colección Himalaya; Colección Instituto Cervantes; Colección Masaveu, España; Colección Pérez Simón, México y Museo de Bellas Artes de Asturias, Oviedo, entre otras.","null","null","null","http://www.artbarcelona.es/es/exposiciones/norte/"
"http://www.artbarcelona.es/wp-content/uploads/2017/03/Gravitacion-visual_150x150x10_low.jpg","Victor Lope Arte Contemporáneo","","","Patrik Grijalvo","16.03.17 – 13.05.17","16.03.17 – 13.05.17","Victor Lope Arte Contemporáneo","Gravitación Visual","","null","null","null","http://www.artbarcelona.es/es/exposiciones/gravitacion-visual/"
"http://www.artbarcelona.es/wp-content/uploads/2017/04/image3_mabel_missing_link_baja.jpg","àngels barcelona","","","Mabel Palacín","04.04.17 – 09.06.17","04.04.17 – 09.06.17","àngels barcelona","The missing link","","null","null","null","http://www.artbarcelona.es/es/exposiciones/the-missing-link/"
"http://www.artbarcelona.es/wp-content/uploads/2017/04/pcg049.jpg","RocioSantaCruz","","","Marcel Giró","30.03.17 – 20.05.17","30.03.17 – 20.05.17","RocioSantaCruz","Marcel Giró: Luz e força","","null","null","null","http://www.artbarcelona.es/es/exposiciones/marcel-giro-luz-e-forca/"
"http://www.artbarcelona.es/wp-content/uploads/2017/04/20.Melancholia.jpg","Galería Valid Foto Bcn","","http://www.artbarcelona.es/es/exposiciones/taichi-gondaira-obras-seleccionadas/","Taichi Gondaira","","06.04.17 – 15.05.17","Galería Valid Foto Bcn","Taichi Gondaira-  Obras seleccionadas","Obra reciente, copias al platino paladio, documentando la tradición japonesa.","null","null","null","http://www.artbarcelona.es/es/exposiciones/taichi-gondaira-obras-seleccionadas/"
"http://www.artbarcelona.es/wp-content/uploads/2017/04/image3_mabel_missing_link_baja.jpg","àngels barcelona","","http://www.artbarcelona.es/es/exposiciones/the-missing-link/","Mabel Palacín","","04.04.17 – 09.06.17","àngels barcelona","The missing link","àngels barcelona presenta “The missing link”, el último proyecto de Mabel Palacín y su segunda exposición individual en la galería, con el que prosigue su investigación alrededor de la relación que mantenemos con las imágenes, su funcionamiento y la mediación que éstas suponen para la realidad en la que habitamos; o lo que también se conoce como “la cinematización de la sociedad en lo cotidiano”.","null","null","null","http://www.artbarcelona.es/es/exposiciones/the-missing-link/"
