event_title,event_start,event_end,event_image-src,event_text,event_link,event_link-href,event_id,event_maplink__1,event_organizer__Fundación Joan Miró,event_venue__Fundación Joan Miró,event_cost__7,event_category__Exposición__Fundación Joan Miró
"Casa Bloc","19/01/2016","08/05/2016","https://www.fmirobcn.org/media/upload/cache/foto_bona_objectes_10x15_1449229550_255.jpg","La Casa Bloc es un edificio racionalista de viviendas sociales previstas para los trabajadores de las fábricas de Sant Andreu, proyectado por los arquitectos del GATCPAC a finales de la Segunda República.","sobre ""Casa Bloc""","https://www.fmirobcn.org/es/exposiciones/5703/casa-bloc","/es/exposiciones/5703/casa-bloc","null","null","null","null","null"
"Recortes urbanos","20/09/2016","15/01/2017","https://www.fmirobcn.org/media/upload/cache/detalls_urbans_lluis_m_riera_1473160253_255.jpg","Lluís Maria Riera, fotógrafo amateur estrechamente vinculado a la Fundació Joan Miró y a la Galeria Joan Prats, fue amigo de Miró, Tàpies y Brossa, entre otros artistas.","sobre ""Recortes urbanos""","https://www.fmirobcn.org/es/exposiciones/5716/recortes-urbanos","/es/exposiciones/5716/recortes-urbanos","null","null","null","null","null"
"purailusióndura","02/12/2016","08/01/2017","https://www.fmirobcn.org/media/upload/cache/mosaico_nadala_bisbe_1479721635_255.jpg","La Fundación Joan Miró invita cada año a un artista a realizar una instalación para que haga en ella su interpretación de alguno de los temas propios de las fiestas de Navidad.","sobre ""purailusióndura""","https://www.fmirobcn.org/es/exposiciones/5718/purailusiondura","/es/exposiciones/5718/purailusiondura","null","null","null","null","null"
"Éluard, Cramer, Miró — «À toute épreuve», más que un libro","31/03/2017","02/07/2017","https://www.fmirobcn.org/media/upload/cache/imatges_del_llibre_a_toute_epreuve_i_de_la_maqueta_v_2_foto_gasull_1486984174_255.jpg","Éluard, Cramer, Miró - «À toute épreuve», más que un libro reconstruye la historia de la creación del libro de Miró hecho a partir de una recopilación de poemas de Paul Éluard con el mismo título. La muestra se incluye dentro de la serie Miró. Documentos, que tiene por objetivo profundizar en algunos aspectos de la obra de Miró a partir del fondo del Archivo de la Fundación.","sobre ""Éluard, Cramer, Miró — «À toute épreuve», más que un libro""","https://www.fmirobcn.org/es/exposiciones/5721/eluard-cramer-miro-a-toute-epreuve-mas-que-un-libro","/es/exposiciones/5721/eluard-cramer-miro-a-toute-epreuve-mas-que-un-libro","null","null","null","null","null"
"Secuencia infinita","01/07/2016","02/10/2016","https://www.fmirobcn.org/media/upload/cache/ignasiaballi2jpg_1451294615_255.jpg","Secuencia infinita es una exposición dedicada al trabajo de Ignasi Aballí, ganador del Premi Joan Miró en su quinta edición. La muestra propone un recorrido a lo largo de una selección de obras del artista conceptual catalán que permite al público el descubrimiento gradual de algunos aspectos clave de su producción.","sobre ""Secuencia infinita""","https://www.fmirobcn.org/es/exposiciones/5704/secuencia-infinita","/es/exposiciones/5704/secuencia-infinita","null","null","null","null","null"
"Un pie fuera. Expediciones y diásporas","24/09/2016","11/09/2017","https://www.fmirobcn.org/media/upload/cache/peu_a_fora_cat_1474022772_255.png","El ciclo de exposiciones de la temporada 2016-2017 en el Espai 13 muestra seis proyectos de artistas que trabajan desde la periferia de los circuitos habituales del arte contemporáneo en Barcelona.","sobre ""Un pie fuera. Expediciones y diásporas""","https://www.fmirobcn.org/es/exposiciones/5709/un-pie-fuera-expediciones-y-diasporas","/es/exposiciones/5709/un-pie-fuera-expediciones-y-diasporas","null","null","null","null","null"
"Fundición Gimeno","10/05/2016","18/09/2016","https://www.fmirobcn.org/media/upload/cache/vestibul_gomis_alta_1462273424_255.jpg","A mediados de los años cuarenta, Joaquim Gomis, amigo de Joan Miró y fotógrafo amateur, visitó la Fundición Gimeno con el artista. En la fundición, Gomis halló material alusivo al culto a los líderes de la dictadura franquista y restos de etapas artísticas anteriores a la República.","sobre ""Fundición Gimeno""","https://www.fmirobcn.org/es/exposiciones/5706/fundicion-gimeno","/es/exposiciones/5706/fundicion-gimeno","null","null","null","null","null"
"The Way Things Do","30/06/2017","01/10/2017","https://www.fmirobcn.org/media/upload/cache/7_20170322130658236_149302987362_255.jpg","La exposición es un homenaje a The Way Things Go, el filme legendario de Peter Fischli y David Weiss, en el marco del 30º aniversario de su creación. La muestra incluye tres instalaciones de artistas emergentes y la proyección de la película del dúo suizo.","sobre ""The Way Things Do""","https://www.fmirobcn.org/es/exposiciones/5723/the-way-things-do","/es/exposiciones/5723/the-way-things-do","null","null","null","null","null"
"Fin de partida: Duchamp, el ajedrez y las vanguardias","29/10/2016","22/01/2017","https://www.fmirobcn.org/media/upload/cache/sonia_delaunay_1472816255_255.jpg","Fin de partida: Duchamp, el ajedrez y las vanguardias presenta un análisis de las vanguardias del siglo xx hasta la eclosión del arte conceptual desde la perspectiva de lo que parece una anécdota sin importancia: el juego del ajedrez.","sobre ""Fin de partida: Duchamp, el ajedrez y las vanguardias""","https://www.fmirobcn.org/es/exposiciones/5708/fin-de-partida-duchamp-el-ajedrez-y-las-vanguardias","/es/exposiciones/5708/fin-de-partida-duchamp-el-ajedrez-y-las-vanguardias","null","null","null","null","null"
"Brossa en La Ricarda","17/01/2017","14/05/2017","https://www.fmirobcn.org/media/upload/cache/suitebufa_1484134498_255.jpg","Una selección de imágenes recupera el reportaje fotográfico que Joaquim Gomis realizó de dos representaciones que se hicieron en La Ricarda en los años sesenta, concebidas conjuntamente por Joan Brossa y Josep Maria Mestres Quadreny: Suite bufa y Concert per a representar.","sobre ""Brossa en La Ricarda""","https://www.fmirobcn.org/es/exposiciones/5720/brossa-en-la-ricarda","/es/exposiciones/5720/brossa-en-la-ricarda","null","null","null","null","null"
