"EVENT NAME","VENUE NAME","ORGANIZER NAME","START DATE","START TIME","END DATE","END TIME","ALL DAY EVENT?","CATEGORIES","EVENT COST","EVENT WEBSITE","SHOW MAP LINK?","SHOW MAP?","EVENT DESCRIPTION","EVENT IMAGE"
"Día y Noche de los Museos 2017 - Entrada gratuita a las exposiciones «Fenómeno Fotolibro» y «World Press Photo 2017»","CCCB","CCCB","05/18/2017","","","",1,"CCCB, Exposición","6","http://www.cccb.org/es/actividades/ficha/dia-y-noche-de-los-museos-2017/226716",1,1,"<p><img src='http://www.cccb.org/rcs_gene/nitmuseus_web.jpg' width='228' height='182' alt='Día y Noche de los Museos 2017 - Entrada gratuita a las exposiciones «Fenómeno Fotolibro» y «World Press Photo 2017»' />¡Celebra con nosotros el Día y la Noche de los Museos! Tendrás entrada libre a las exposiciones fotográficas «Fenómeno Fotolibro» y «World Press Photo 2017», podrás conseguir libros y catálogos del CCCB a muy buen precios y acabarás las noche del sábado disfrutando de una Poetry Slam, poesía en vivo y diversión asegurada.</p>","http://www.cccb.org/rcs_gene/nitmuseus_web.jpg"
"Las políticas de innovación y la seguridad nacional - Conferencia de Linda Weiss","CCCB","CCCB","05/25/2017","","","",1,"CCCB, Exposición","6","http://www.cccb.org/es/actividades/ficha/las-politicas-de-innovacion-y-la-seguridad-nacional/226014",1,1,"<p><img src='http://www.cccb.org/rcs_gene/linda-weiss-1000.jpg' width='228' height='182' alt='Las políticas de innovación y la seguridad nacional - Conferencia de Linda Weiss' />¿Qué efectos tendrán las políticas de innovación de los Estados Unidos en el escenario global? ¿Cuáles serán las consecuencias de la presidencia de Donald Trump en la hegemonía tecnológica estadounidense, el comercio internacional y la libre circulación de datos?</p>","http://www.cccb.org/rcs_gene/linda-weiss-1000.jpg"
"Flexo 6/6: La extracción. Seminario a cargo de Jorge Luis Marzo - De «El corazón de las tinieblas» de Joseph Conrad a «La pulga de acero» de Nikolai Leskov","CCCB","CCCB","05/11/2017","","","",1,"CCCB, Exposición","6","http://www.cccb.org/es/actividades/ficha/flexo-6-6-la-extraccion-seminario-a-cargo-de-jorge-luis-marzo/225976",1,1,"<p><img src='http://www.cccb.org/rcs_gene/extraccio_web.png' width='228' height='182' alt='Flexo 6/6: La extracción. Seminario a cargo de Jorge Luis Marzo - De «El corazón de las tinieblas» de Joseph Conrad a «La pulga de acero» de Nikolai Leskov' />El seminario desarrollará una reflexión sobre la forma de pensar nuevas herramientas críticas en la era de la posverdad, dominada por las apariencias de sinceridad y emoción, en detrimento de las de certeza y veracidad. Ante la potencia de la mentira como discurso político ¿qué potencial papel constructivo tiene la falsedad? Mediante diversas lecturas y ejercicios se presentarán las figuras del fantasma y del impostor como activadores de otra esfera pública posible.</p>","http://www.cccb.org/rcs_gene/extraccio_web.png"
"El arte de la novela. Novelas del siglo XXI - Curso dirigido por Jordi Llovet","CCCB","CCCB","03/14/2004","","","",1,"CCCB, Exposición","6","http://www.cccb.org/es/actividades/ficha/el-arte-de-la-novela-novelas-del-siglo-xxi/224280",1,1,"<p><img src='http://www.cccb.org/rcs_gene/Novela_webCCCB.png' width='228' height='182' alt='El arte de la novela. Novelas del siglo XXI - Curso dirigido por Jordi Llovet' />El Institut ofrece en este curso, en forma de seminario intensivo, cuatro series conjuntas de lecciones bajo el título general de El arte de la novela, dedicadas este año a la novela del siglo XXI  —la inglesa y americana, la francesa, la italiana, la castellana y la catalana—, que introducirán a los asistentes en una selección de las grandes novelas de este siglo.</p>","http://www.cccb.org/rcs_gene/Novela_webCCCB.png"
"Poner el cuerpo. Activismos feministas y queer - Dirigido por Meri Torras y Miriam Solá","CCCB","CCCB","04/19/2003","","","",1,"CCCB, Exposición","6","http://www.cccb.org/es/actividades/ficha/poner-el-cuerpo-activismos-feministas-y-queer/226229",1,1,"<p><img src='http://www.cccb.org/rcs_gene/PosarElCosWebCCCB.png' width='228' height='182' alt='Poner el cuerpo. Activismos feministas y queer - Dirigido por Meri Torras y Miriam Solá' />Tanto en el pensamiento como en la acción feminista actual, el cuerpo ha dejado de ser el depositario originario de la diferencia sexual para convertirse él mismo en el cuestionador revulsivo del sistema binario de sexo-género.</p>","http://www.cccb.org/rcs_gene/PosarElCosWebCCCB.png"
"20% de descuento para el concierto «Pompa británica», de Edward Elgar, con la Orquestra Simfònica del Vallès - Oferta exclusiva para Amigos del CCCB","CCCB","CCCB","05/20/2017","","","",1,"CCCB, Exposición","6","http://www.cccb.org/es/actividades/ficha/20-de-descuento-para-el-concierto-pompa-britanica-de-edward-elgar-con-la-orquestra-simfonica-del-valles/226115",1,1,"<p><img src='http://www.cccb.org/rcs_gene/OSV-maig.jpg' width='228' height='182' alt='20% de descuento para el concierto «Pompa británica», de Edward Elgar, con la Orquestra Simfònica del Vallès - Oferta exclusiva para Amigos del CCCB' />La composición más celebrada y popular de la Gran Bretaña.</p>","http://www.cccb.org/rcs_gene/OSV-maig.jpg"
"Proyección de los premios del concurso de narrativa digital WPP17","CCCB","CCCB","05/17/2017","","","",1,"CCCB, Exposición","6","http://www.cccb.org/es/actividades/ficha/proyeccion-de-los-premios-del-concurso-de-narrativa-digital-wpp17/226485",1,1,"<p><img src='http://www.cccb.org/rcs_gene/WPP17_digitalstoritelling_fitxa.jpg' width='228' height='182' alt='Proyección de los premios del concurso de narrativa digital WPP17' />Sesión abierta en la que se proyectarán los trabajos audiovisuales premiados en las categorías de Formato corto y Formato largo del Concurso Narrativa Digital.</p>","http://www.cccb.org/rcs_gene/WPP17_digitalstoritelling_fitxa.jpg"
"DocsBarcelona 2017 - Festival Internacional de Cine Documental","CCCB","CCCB","05/18/2017","","05/28/2017","",1,"CCCB, Exposición","6","http://www.cccb.org/es/actividades/ficha/docsbarcelona-2017/226669",1,1,"<p><img src='http://www.cccb.org/rcs_gene/docs17.jpg' width='228' height='182' alt='DocsBarcelona 2017 - Festival Internacional de Cine Documental' />El Festival Internacional de Cine Documental de Barcelona celebra dos décadas de historia doblando su duración. Del 18 al 28 de mayo, ofrecerá 94 películas de 30 países y un mercado de financiación de proyectos de referencia, que convocará más de 500 profesionales.</p>","http://www.cccb.org/rcs_gene/docs17.jpg"
"Fenómeno Fotolibro en familia - ¡Construye tu relato con fotografías!","CCCB","CCCB","03/17/2017","","08/27/2017","",1,"CCCB, Exposición","6","http://www.cccb.org/es/actividades/ficha/fenomeno-fotolibro-en-familia/226383",1,1,"<p><img src='http://www.cccb.org/rcs_gene/fotollibre.jpg' width='228' height='182' alt='Fenómeno Fotolibro en familia - ¡Construye tu relato con fotografías!' />¡Conviértete en un fotonarrador y atrévete a construir tu relato a través de imágenes!</p>","http://www.cccb.org/rcs_gene/fotollibre.jpg"
"Bricolaje sonoro. Nuevas prácticas para una nueva música - Seminario y taller a cargo de Ferran Fages","CCCB","CCCB","05/16/2006","","","",1,"CCCB, Exposición","6","http://www.cccb.org/es/actividades/ficha/bricolaje-sonoro-nuevas-practicas-para-una-nueva-musica/226187",1,1,"<p><img src='http://www.cccb.org/rcs_gene/imatgebricolatgeweb.png' width='228' height='182' alt='Bricolaje sonoro. Nuevas prácticas para una nueva música - Seminario y taller a cargo de Ferran Fages' />¿En qué momento los objetos devienen instrumentos musicales? ¿Cómo se integran estos nuevos timbres? ¿Cuándo el ruido deviene música? A lo largo del siglo XX, el concepto de ruido y la producción del sonido con elementos no musicales devienen un nuevo paradigma para la práctica y la escucha musical.</p>","http://www.cccb.org/rcs_gene/imatgebricolatgeweb.png"
"Las raíces del odio - Persecución y represión en la Edad Media","CCCB","CCCB","04/20/2004","","","",1,"CCCB, Exposición","6","http://www.cccb.org/es/actividades/ficha/las-raices-del-odio/226180",1,1,"<p><img src='http://www.cccb.org/rcs_gene/imatgeperwebCCCB.png' width='228' height='182' alt='Las raíces del odio - Persecución y represión en la Edad Media' />Durante la edad media, Cataluña vivió el nacimiento de los mecanismos represivos que configuraron la persecución de minorías sociales y religiosas. ¿Cómo se llevó a cabo esta persecución? ¿Quiénes fueron los protagonistas? ¿Qué los motivó?</p>","http://www.cccb.org/rcs_gene/imatgeperwebCCCB.png"
"Una propuesta filosófica sobre la vida humana - Seminario a cargo de Josep Maria Esquirol","CCCB","CCCB","05/03/2017","","","",1,"CCCB, Exposición","6","http://www.cccb.org/es/actividades/ficha/una-propuesta-filosofica-sobre-la-vida-humana/226143",1,1,"<p><img src='http://www.cccb.org/rcs_gene/esquirolweb.png' width='228' height='182' alt='Una propuesta filosófica sobre la vida humana - Seminario a cargo de Josep Maria Esquirol' />El curso presentará una filosofía de la condición y de la vida humana a través de los conceptos «afueras», «pliegue del sentir», «deseo infinito» y «capaz de vida».</p>","http://www.cccb.org/rcs_gene/esquirolweb.png"
"Primera Persona 2017 - Dos jornadas de autobiografía en directo: conciertos de música pop, monólogos tragicómicos, teatro y narrativa","CCCB","CCCB","05/12/2017","","05/13/2017","",1,"CCCB, Exposición","6","http://www.cccb.org/es/actividades/ficha/primera-persona-2017/226021",1,1,"<p><img src='http://www.cccb.org/rcs_gene/primera-persona-1000x650.jpg' width='228' height='182' alt='Primera Persona 2017 - Dos jornadas de autobiografía en directo: conciertos de música pop, monólogos tragicómicos, teatro y narrativa' />Este año Primera Persona celebra su sexta edición y presenta una nueva ronda de relatos de vida en el Teatro CCCB: monólogos, conciertos, lecturas y espectáculos de lo más variados. El festival también celebra su segunda edición en La Casa Encendida de Madrid.</p>","http://www.cccb.org/rcs_gene/primera-persona-1000x650.jpg"
