event_link,event_link-href,event_title1,event_image-src,event_text,event_organizer__CCCB,event_maplink__1,event_cost__6,event_venue__CCCB,event_category__CCCB__Exposición,event_id,event_title2,event_start,event_end
"«Antibiòtic»","http://www.cccb.org/es/actividades/ficha/antibiotic/226633","«Antibiòtic»","http://www.cccb.org/rcs_gene/BarriBrossa-Antibiotic_Sergi_Mari_1000x560_1.jpg","Llega la nueva edición de BarriBrossa, el encuentro de actividades en torno a la figura de Joan Brossa organizada por La Seca Espai Brossa. En esta ocasión, el CCCB acoje un espectáculo performativo dirigido por Sergi Marí a cargo de la Cia. La Trup. que está basado en la obra Antibiòtic. Aforismes per a un temps de crisi de Ricard Ripoll.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/antibiotic/226633","Espectáculo performativo en el marco de BarriBrossa 2017","16 mayo 2017","16 mayo 2017"
"Crisis del lenguaje, café literario y vanguardias","http://www.cccb.org/es/actividades/ficha/crisis-del-lenguaje-cafe-literario-y-vanguardias/226142","Crisis del lenguaje, café literario y vanguardias","http://www.cccb.org/rcs_gene/Kurt_Schwitters_by_Lissitzky__1925__webCCCB.png","Hace casi 100 años que las vanguardias literarias supusieron un cambio radical en el mundo del arte y plantearon una renovación del lenguaje que ha asentado las bases de la modernidad literaria. ¿Por qué  y de dónde surge este impulso? ¿Cómo se concreta? ¿Cómo cambia el lenguaje? El curso se centrará principalmente en la literatura en lengua alemana.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/crisis-del-lenguaje-cafe-literario-y-vanguardias/226142","Seminario a cargo de Marisa Siguan","26 abril, 3, 10, 17 y 31 mayo 2017","26 abril, 3, 10, 17 y 31 mayo 2017"
"«Alex» de Pierre Lemaitre","http://www.cccb.org/es/actividades/ficha/alex-de-pierre-lemaitre/225389","«Alex» de Pierre Lemaitre","http://www.cccb.org/rcs_gene/Klub-lectura-fitxa_10.jpg","La lectura de la novela Alex —probablemente la más entretenida y popular (en el mejor sentido de la palabra) de las analizadas en el Klub— nos permitirá discutir cómo se genera una intriga, la figura del detective y la capacidad de manipulación del lector, entre otros temas.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/alex-de-pierre-lemaitre/225389","Club de lectura de los Amigos del CCCB","17 mayo 2017","17 mayo 2017"
"Poetry Slam Barcelona","http://www.cccb.org/es/actividades/ficha/poetry-slam-barcelona/226368","Poetry Slam Barcelona","http://www.cccb.org/rcs_gene/cccb_poetry-slam_MAIG.jpg","Palabra y escena. Poetry Slam Barcelona es un campeonato mensual de poesía, pero también una plataforma de formación, creación y difusión de la literatura oral contemporánea.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/poetry-slam-barcelona/226368","Creación a partir de la palabra y la escena","20 mayo 2017","20 mayo 2017"
"Visita comentada a la exposición  «Pere Torné Esquius» en el Museu Nacional d’Art de Catalunya a cargo de los comisarios","http://www.cccb.org/es/actividades/ficha/visita-comentada-a-la-exposicion-pere-torne-esquius-en-el-museu-nacional-dart-de-catalunya-a-cargo-de-los-comisarios/226118","Visita comentada a la exposición  «Pere Torné Esquius» en el Museu Nacional d’Art de Catalunya a cargo de los comisarios","http://www.cccb.org/rcs_gene/Balanci-ok.jpg","Exposición sobre la singular obra del pintor y dibujante Pere Torné Esquius (Barcelona 1879- Flavancourt, Francia, 1936).","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/visita-comentada-a-la-exposicion-pere-torne-esquius-en-el-museu-nacional-dart-de-catalunya-a-cargo-de-los-comisarios/226118","Oferta exclusiva para los Amigos del CCCB","30 mayo 2017","30 mayo 2017"
"«Photography as a business» Márqueting para fotógrafos","http://www.cccb.org/es/actividades/ficha/photography-as-a-business-marqueting-para-fotografos/226488","«Photography as a business» Márqueting para fotógrafos","http://www.cccb.org/rcs_gene/imagen-de-campana_fitxaweb.jpg","¡Sácale partido a tus fotorreportajes con esta Masterclass! El experto Marc Prüst viene a Bcn para ayudarte a definir el valor de tu marca, tu audiencia, clientes potenciales y modelos de negocio efectivos.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/photography-as-a-business-marqueting-para-fotografos/226488","Actividad para profesionales","18 mayo 2017","18 mayo 2017"
"Realidades de la ilusión","http://www.cccb.org/es/actividades/ficha/realidades-de-la-ilusion/226177","Realidades de la ilusión","http://www.cccb.org/rcs_gene/RealitatsIl_lusio_webCCCB.png","De fuente de burla e inevitable desilusión a esperanza de realización de algo intuido o anhelado, la ilusión se precipita siempre en caleidoscopios dobles y perpetuamente ambiguos. Aparentemente urdida en torno a la percepción, invierte los valores de lo real, algunas veces para promover el ridículo, otras para permitirnos vivir con alegría en un mundo lleno de penurias. Pero, ¿qué pasa cuando lo que conocemos como real no es sino una ilusión? O, al revés, ¿cuándo aquello ilusorio es el último anclaje de una realidad?","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/realidades-de-la-ilusion/226177","Con Víctor Molina, Pere Saborit, Sonia Fernández-Vidal, Roberto Fratini, Òscar Vilarroya, Mag Lari","24 abril, 8, 15, 22 y 29 mayo 2017","24 abril, 8, 15, 22 y 29 mayo 2017"
"Primavera","http://www.cccb.org/es/actividades/ficha/primavera/223542","Primavera","http://www.cccb.org/rcs_gene/Sedmikrasky_de_V_ra_Chytilova.jpg","Llegada la primavera, salimos de nuestros refugios. Es la estación del redescubrimiento de la luz. He aquí una degustación de títulos que tratan de crear una nueva mirada hacia el mundo exterior.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/primavera/223542","Archivo Xcèntric","28 abril - 31 mayo 2017","28 abril - 31 mayo 2017"
"Visita comentada a la exposición «Fenómeno Fotolibro» a cargo de Moritz Neumüller","http://www.cccb.org/es/actividades/ficha/visita-comentada-a-la-exposicion-fenomeno-fotolibro-a-cargo-de-moritz-neumuller/225775","Visita comentada a la exposición «Fenómeno Fotolibro» a cargo de Moritz Neumüller","http://www.cccb.org/rcs_gene/fotollibreimatgewebok_1.jpg","La exposición Fenómeno Fotolibro contribuye a ofrecer nuevas perspectivas sobre la importancia y el impacto que ha tenido el fotolibro en la cultura visual de nuestro tiempo, trazando un recorrido que va desde sus inicios hasta la gran producción contemporánea. Ofrece la visita Moritz Neümuller, que ha que ha sido el comisario ejecutivo de todo el proyecto.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/visita-comentada-a-la-exposicion-fenomeno-fotolibro-a-cargo-de-moritz-neumuller/225775","Actividad exclusiva para los Amigos CCCB","21 marzo, 25 mayo 2017","21 marzo, 25 mayo 2017"
"«Fenómeno Fotolibro» para personas sordas","http://www.cccb.org/es/actividades/ficha/fenomeno-fotolibro-para-personas-sordas/226496","«Fenómeno Fotolibro» para personas sordas","http://www.cccb.org/rcs_gene/Fenomen_Fotollibre_imatge.jpg","Domingo 21 de mayo y sábado 10 de junio, además del servicio habitual de visitas comentadas de fin de setmana, se ofrecerá un servicio de interepretación  en Lengua de Signos Catalana a la exposición Fenómeno Fotolibro.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/fenomeno-fotolibro-para-personas-sordas/226496","Visita comentada con traducción en Lengua Catalana de signos","21 mayo - 10 junio 2017","21 mayo - 10 junio 2017"
