event_title1,event_title2,event_image-src,event_text,event_start,event_end,event_venue,event_link,event_link-href,event_organizer__MACBA,event_category__Actividad__MACBA,event_maplink__1,event_cost__,event_id
"Videoclip’ME","null","http://www.macba.cat/uploads/20170511/VVITCH_01_Color_compressor__habitacini_1418_13_maig.2.jpg","Nuestra atracción por investigar, cuestionar y reubicar nos ha llevado por muchos caminos. Nos gusta el trap y nos gusta la calle, pero nosotras ponemos las reglas del juego. Las VVitch nos visitaron hace unos meses y nos abrieron a todas un mundo de posibilidades, un mundo que reivindica y se piensa. Hemos ido siguiendo y apoyando a las VVitch en cada uno de sus temas y ahora... Ha llegado el momento... (redoble de tambores)

Este sábado (en horario especial) nos visita Matroska Productions, productora creada por el roomer Guiu Gámiz, que se atreve con el universo videoclip. Guiu Gámiz, junto con Lucas Hernández y Júlia Boixader (productores), comienzan con el apoyo de Habitació 1418 el rodaje de un videoclip para nuestra banda de trap favorita. 



Amigas todas invitadas a nuestro espacio el sábado 13 a las 11.30 h.

Las VVitch + Matroska Productions","13 mayo 2017","null","Aula 0","","http://www.macba.cat/es/videoclip-me-las-vvitch/1/actividades/activ","null","null","null","null","/es/videoclip-me-las-vvitch/1/actividades/activ"
"Jon Mikel Euba, Miren Jaio + Itziar Okariz i Chico y Chica","Idiorritmias","http://www.macba.cat/uploads/20170407/NOTARIO_portada_1500.3.jpg","JON MIKEL EUBA, conferencia en relación con el libro Writing Out Loud

Writing Out Loud es una publicación que recoge las transcripciones de ocho clases de Jon Mikel Euba traducidas del castellano al inglés en directo durante el seminario Action Unites, Words Divide (On praxis, an unstated theory) que este impartió en el DAI de Ámsterdam. Estos textos forman parte de un proyecto más amplio centrado en la escritura que Euba ha desarrollado durante la última década, y su objetivo es definir una praxis que devenga teoría técnica.



En este proyecto, Jon Mikel Euba experimenta con diferentes estrategias de distanciamiento de la escritura con el objetivo de liberarse de cualquier sometimiento a la forma por medio de una aproximación performativa. Con sus escritos desde su posición como artista, Euba pretende producir y comunicar una metodología firmemente situada en la práctica artística. Para ello, parte de considerar el texto como notación (experimento de escritura). El anhelo de forma genera la mayoría de bloqueos en el acto de escribir. Técnicamente, definir la escritura como notación posibilita concentrarse en los contenidos sin considerar aparentemente la forma. Escribir pensando en el efecto que cada frase podría provocar al ser traducida en directo. Dicha proyección hacia posibles sucesos futuros que podrán acontecer en la puesta en acto del texto en vivo afecta a la creación misma de contenidos. A partir de una proyección hacia el futuro se genera la forma presente.



Jon Mikel Euba. Su trabajo está fundamentado en el dibujo como procedimiento y la escultura como programa resueltos en diferentes medios. Desde finales de los noventa va desarrollando una práctica guiada por la necesidad de generar sistemas de producción propios a través del desarrollo de una «técnica económica». Una búsqueda que es también una forma de resistencia, que implica la inmersión en procesos que involucran a otras personas y en los que el artista funciona como mediador o filtro. A partir de 2006, realiza una serie de trabajos de carácter performativo cuyo resultado se condensa en la serie de performances en las que incluye un planteamiento didáctico para los diferentes participantes con los que colabora. En 2010 participa en el proyecto pedagógico experimental Primer Proforma 2010 en el Musac. En 2015, junto con los artistas Itziar Okariz, Asier Mendizabal y Sergio Prego, lleva a cabo el proyecto de escuela Kalostra en San Sebastián.



MIREN JAIO + ITZIAR OKARIZ, TRABAJAR CON MATERIAL

En el prefacio de Conversing with Cage, Richard Kostelanetz cuenta cómo fue el proceso de realización del libro. Este está estructurado como una larga entrevista, en la que a lo largo de 328 páginas Cage responde extensamente a distintas preguntas. El libro se divide en trece capítulos temáticos. Kostelanetz no es quien formula las preguntas. Las palabras están tomadas de las entrevistas que el artista concedió a lo largo de su vida. La tarea de Kostelanetz, que figura como autor del libro, fue editar el material. Las preguntas son excusas para que Cage hable. El artista participó en las tareas de edición. Realizó tres revisiones de la versión final en busca de errores. Anteayer me topé con el libro, que no conocía.



Miren Jaio es crítica de arte e integrante de Bulegoa z/b. Ha escrito en medios de comunicación y en publicaciones de artistas. Ha traducido y editado. Ha colaborado en proyectos comisariales. Ha dado clases de historia del arte contemporáneo. Ha participado en talleres y seminarios. Ha leído conferencias.



CHICO Y CHICA, NOTARIO (ENCADENADO)

Notario (Encadenado) de Chico y Chica es la puesta en escena de su disco-libro Notario. Cuaderno de apreciaciones, una propuesta entre la ficción sonora, el libro hablado y la canción leída. En este espectáculo, mitad cantado mitad narrado, Chico y Chica adaptan su sonido a un formato más íntimo y doméstico, sin programaciones ni ritmos, intercalando las canciones con la lectura del relato Cuaderno de apreciaciones de Raquel, la sensación de Calisto. Durante la narración, la voz de Alicia va acompañada de tonalidades electrónicas y grabaciones registradas en la naturaleza y en el entorno urbano de Bilbao.



Chico y Chica es un grupo musical de estilo tecno pop formado en Bilbao por Alicia San Juan y José Luis Rebollo en la segunda mitad de los años noventa. Han publicado cinco álbumes: Si (2001), Status (2004), Los estudiosos (2012), Rapsodia de los estudiosos (2012) y Arcoiris (2013); y tres EP: No me preguntes la hora (2000), Bomba latina (2007) y La joven investigadora (2011). Más allá de un grupo musical al uso, Chico y Chica funciona como un equipo de trabajo que desarrolla un universo propio a través de canciones, vídeos, radionovelas, seriales de acción y todo tipo de manifestaciones artísticas, que van desde la creación de recetarios de cocina a performances y eventos no necesariamente musicales.","13 mayo 2017","null","","","http://www.macba.cat/es/idiorritmias-jon-mikel-euba-miren-jaio-itziar-okariz-chico-chica/1/actividades/activ","null","null","null","null","/es/idiorritmias-jon-mikel-euba-miren-jaio-itziar-okariz-chico-chica/1/actividades/activ"
"Límites sobrepasados","Petróleo (1ª sesión)","http://www.macba.cat/uploads/20170502/The_Bauxite_refinery_that_the_Niyamgiri_mine_will_feed.1.2.jpg","Esta actividad podrá seguirse en streaming.



VIERNES 26 DE MAYO DE 2017

Lugar: Auditorio Meier



16.30 h Presentación: Pablo Martínez, jefe de Programas del MACBA, y Emilio Santiago Muíño, director del seminario y doctor en Antropología Social, activista y fundador del Instituto de Transición Rompe el Círculo+



17 h Antonio Turiel - El ocaso del petróleo

Desde hace décadas se conoce que el petróleo barato, el que es fácil de explotar, tenía fecha de caducidad, y que pasada esta entraríamos en una nueva era caracterizada por la volatilidad: volatilidad de precios, política y social. Esta nueva época, la de la energía poco asequible, ya ha comenzado. En esta charla se abordará qué está pasando con el petróleo y con la energía en general, y explicaremos hacia donde nos conducen las actuales tendencias.



18 h Pausa



18.30 h Alicia Valero - Límites minerales a la tercera revolución industrial

¿De qué está hecho un panel fotovoltaico? ¿Y un aerogenerador? ¿Qué materiales contienen las baterías que permitirán electrificar los vehículos? ¿De dónde provienen estas materias primas? ¿Hay suficientes materiales en la corteza terrestre para abastecer el crecimiento necesario de las renovables y frenar así el cambio climático? ¿Cuál es la relación energía-materiales-medio ambiente? ¿Qué porcentaje de materiales se está reciclando actualmente, es suficiente? Estas y otras preguntas se abordarán en esta ponencia. 



19.30 h Leah Temper - Una historia de la patología sociometabólica global vista desde los conflictos socioecológicos

En esta presentación Leah Temper desenmascara, a través de un mapeo, los conflictos socioecológicos y narra la historia de la creciente ruptura metabólica entre los seres humanos y la naturaleza. Una descripción que comienza con la separación del campo y la ciudad que ya observara Marx y llega hasta los conflictos contemporáneos globales sobre el acaparamiento de tierras, la minería a cielo abierto y las nuevas formas de extracción extrema de energía. 



Estas historias son presentadas mediante el uso de conceptos de la economía ecológica, así como de testimonios capturados en campo a través de vídeos multimedia. Su presentación argumenta que, a la luz de este colapso inevitable del sistema, las curas propuestas desde el marco de la «economía verde» no desafían las causas esenciales de este desequilibrio, sino que sirven para desplazar los impactos a las periferias del planeta, a las poblaciones más vulnerables.



Por el contrario, esta presentación culmina preguntando acerca de la tan necesaria transformación para subsanar la brecha metabólica, y pone de manifiesto las alternativas existentes que muestran los posibles caminos a seguir.



BIOGRAFÍAS

Emilio Santiago Muíño

Doctor en Antropología Social con una tesis sobre la transición sistémica en Cuba tras la caída de la URSS. Ha sido investigador doctoral y docente en el departamento de Antropología Social y Pensamiento Filosófico Español de la Universidad Autónoma de Madrid. Miembro del Grupo de Investigación Transdisciplinar sobre Transiciones Socioecológicas (formando parte del proyecto HUAMECO: Humanidades ambientales. Estrategias para la empatía ecológica y la transición hacia sociedades sostenibles) y del Consejo del Instituto Universitario DEMOS-PAZ (Universidad Autónoma de Madrid). Partícipe en el grupo motor del manifiesto Última Llamada (2013). A sus publicaciones científicas se suma el libro ¡No es una estafa! Es una crisis (de civilización) (Enclave, 2015) y Rutas sin mapa (II Premio Catarata de Ensayo 2015). Fundador del proyecto de transformación social Rompe el Círculo (Móstoles) y activista del Instituto de Transición Rompe el Círculo. Actualmente trabaja como director de Medio Ambiente del Ayuntamiento de Móstoles.



Leah Temper

Doctora en Ciencias Ambientales (2015), máster en Historia de la Economía (2008) y licenciada en Comunicación y Periodismo (2005). Académica y activista multidisciplinaria, especializada en economía ecológica y ecología política. Fundadora y directora del Global Atlas of Environmental Justice y antigua coordinadora del EJOLT Project. Fue también directora del USC Canada Seeds of Survival Program International, organización que promueve la investigación por los propios campesinos de los recursos genéticos, la agrobiodiversidad y la agroecología en diez países. En la actualidad es directora del proyecto ACKknowl-EJ (Activist-academic Co-production of Knowledge for Environmental Justice). Ha dirigido cortos documentales sobre la justicia social y en ocasiones ejerce de periodista.



Antonio Turiel

Licenciado en Físicas y en Matemáticas y doctor en Física Teórica por la Universidad Autónoma de Madrid. Actualmente es científico titular en el Instituto de Ciencias del Mar (ICM) de Barcelona, del CSIC. Es especialista en procesamiento de la señal, teledetección satelital, oceanografía y recursos naturales, aunque ha trabajado también en campos tan diversos como la caracterización de la imagen microscópica con aplicación en la nanotecnología, el estudio climatológico de las glaciaciones o el comportamiento del cerebro visual de los mamíferos. Fue jefe del Departamento de Oceanografía Física del ICM. Es presidente del Barcelona Expert Center (BEC), un laboratorio experto de apoyo de la Agencia Espacial Europea para la misión SMOS. Además de su actividad académica, es editor y principal redactor del blog The Oil Crash, que con más de 7.500.000 páginas vistas es una de las referencias más importantes en castellano sobre el problema del agotamiento de los combustibles fósiles, y preside el Oil Crash Observatory, organización sin ánimo de lucro mayoritariamente integrada por científicos y cuyo objetivo es hacer divulgación sobre los problemas de la sostenibilidad.



Alicia Valero 

Ingeniera química, obtuvo un doctorado europeo de la Universidad de Zaragoza en 2008. Actualmente es investigadora en el grupo de Ecología Industrial en el Instituto CIRCE y profesora asociada del área de Máquinas y Motores Térmicos de la Universidad de Zaragoza. Su actividad investigadora se ha centrado en la evaluación exergética del capital mineral de la Tierra, trabajo por el que ha recibido tres reconocimientos internacionales. Entre sus publicaciones, destaca su libro Thanatia: The Destiny of the Earth’s Mineral Resources (WSP, 2014), en coautoría con Antonio Valero. Es autora de una treintena de publicaciones en revistas científicas y capítulos de libro, así como de numerosas comunicaciones en congresos internacionales. Ha participado en una veintena de proyectos nacionales e internacionales, todos relacionados con el estudio y la optimización de energía y materiales.","26 mayo 2017","null","Auditori Meier","","http://www.macba.cat/es/petroleo-limites-sobrepasados/1/actividades/activ","null","null","null","null","/es/petroleo-limites-sobrepasados/1/actividades/activ"
"Miro en el espejo y me veo","Obras tempranas de videoarte realizadas por mujeres de la colección del Video Data Bank","http://www.macba.cat/uploads/20170309/ArbitraryFragments_Latham_1978.0.jpg","Presentación a cargo de Abina Manning, directora ejecutiva de Video Data Bank



Hoy en día está más que demostrado que la aparición de los recursos del videoarte a finales de los sesenta y principios de los setenta abrió el camino a un número extraordinario de destacadas obras de videoarte realizadas por mujeres. Seducidas por la relativa accesibilidad, portabilidad e inmediatez del Portapack Sony, una cantidad significativa de artistas mujeres comenzaron a experimentar con el formato videográfico. Adoptando a menudo un enfoque directo a cámara, muchas de las obras resultantes son un reflejo del movimiento feminista que triunfaba en aquella época en Estados Unidos.



Pueden rastrearse otras tendencias fascinantes: la reivindicación de la propia imagen frente al secuestro del cuerpo femenino por el mundo comercial; el vídeo como un medio que permitía a las mujeres opinar directamente en un mundo en gran medida dominado por los hombres; el vídeo como herramienta con la que interrumpir y cuestionar las nociones de originalidad, «verdad» e identidad a través del feedback, el looping y la toma estática; y finalmente, el vídeo como vehículo de humor y parodia, ya fuera para ironizar sobre aspectos de la jerarquía social machista o sobre una misma.



Las obras de este programa, todas realizadas por mujeres artistas que trabajaban en los años setenta ‒la primera década del vídeo‒, representan varias posiciones y puntos de vista en relación con el rol de la mujer en la sociedad.","24 mayo 2017","null","Auditori Meier","","http://www.macba.cat/es/miro-en-el-espejo-y-me-veo-loop-2017/1/actividades/activ","null","null","null","null","/es/miro-en-el-espejo-y-me-veo-loop-2017/1/actividades/activ"
"Día Internacional de los Museos","Jornada especial de Puertas Abiertas","http://www.macba.cat/uploads/20170427/reserves.3.jpg","Entrada libre a las exposiciones:

Akram Zaatari. Contra la fotografía. Historia anotada de la Arab Image Foundation

Forensic Architecture. Hacia una estética investigativa

Colección MACBA. Martha Rosler: God Bless America!

Colección MACBA 31



Visitas a los espacios y procesos más desconocidos del museo:

15 h Visita a las reservas, a cargo del equipo de registro

16 h Visita a la exposición de Akram Zaatari, a cargo del equipo de restauración

17 h Visita al Archivo y Biblioteca, a cargo del Centro de Estudios y Documentación

Estas visitas requieren inscripción previa:

InscripciónLa entrada es gratuita, pero debes inscribirte previamente. Accede directamente haciendo clic en el botón.","18 mayo 2017","null","MACBA","","http://www.macba.cat/es/dia-internacional-de-los-museos-2017/1/actividades/activ","null","null","null","null","/es/dia-internacional-de-los-museos-2017/1/actividades/activ"
"Arquitectura forense","Seminario","http://www.macba.cat/uploads/20170316/forensics.3.jpg","Esta actividad podrá seguirse en streaming.



El adjetivo forense ‒del latín «exponer ante el fórum»‒ se refiere a la práctica de articular en público un discurso. Pero más allá de la retórica, la ciencia forense se ocupa de aquello que los griegos denominaban prosopopeya: el arte de hacer hablar a las cosas. Los objetos y la información que contienen como testigos materiales de los acontecimientos. En paralelo a la exposición Forensic Architecture. Hacia una estética investigativa, este seminario profundiza en el sentido de las investigaciones artísticas para la reivindicación de la defensa de los derechos humanos, así como en la introducción de temas de importancia crucial en la esfera pública como es el del ecocidio. En el seminario se aborda la metodología desarrollada por el grupo y se presentan diversos casos de estudio realizados por artistas que ponen en evidencia la relevancia del arte en la investigación para hacer visible lo invisible.





Con el apoyo del Programa Cultura de la Unión Europea","14 jun. 2017","null","Auditori Meier","","http://www.macba.cat/es/arquitectura-forense-seminario/1/actividades/activ","null","null","null","null","/es/arquitectura-forense-seminario/1/actividades/activ"
"Noche de los Museos","Puertas Abiertas","http://www.macba.cat/uploads/20170502/nit.3.jpg","EXPOSICIONES

Presentación de las exposiciones: a cada hora en punto, una introducción de 30 minutos a cargo del equipo de educadores.



Akram Zaatari. Contra la fotografía. Historia anotada de la Arab Image Foundation

Forensic Architecture. Hacia una estética investigativa

Colección MACBA. Martha Rosler: God Bless America!

Colección MACBA 31



De 20 a 22 h, servicio de intérprete en lengua de signos catalana (LSC).



PARLEM DE…

El programa Parlem de... quiere generar espacios de debate, a partir de las exposiciones del museo, entre distintos agentes y artistas de la ciudad y el público que nos visita. Es un espacio de encuentro que entiende las exposiciones como poderosos dispositivos activadores de la imaginación y generadores de discursos que a menudo exceden aquellos previstos por la institución o preconcebidos por el equipo curatorial.

19 h Decolonialidad, con Nancy Garín

19 h El rol del documento: movilizando archivos, con Julia Ramírez Blanco



MACBA BOOKS

Venta especial de publicaciones del MACBA en MACBA Store Laie a un precio único de 6 euros.

Sábado 20 de 10 de la mañana a 1 de la madrugada

Domingo 21 de 10 de la mañana a 15 h



BAR – TERRAZA EN LA PLAZA CON MORRO FI

De 17 h a 1 h disfruta de nuestra terraza al aire libre en la Plaça dels Àngels, a cargo de Morro Fi.","20 mayo 2017","null","MACBA","","http://www.macba.cat/es/noche-de-los-museos-2017/1/actividades/activ","null","null","null","null","/es/noche-de-los-museos-2017/1/actividades/activ"
"Cosas que pasan","Taller dirigido a esplais y casales de verano","","40 euros/grupo (máximo 15 niños)","26 jun.","28 jul. 2017","Sales exposició i Espai taller","","http://www.macba.cat/es/activitat-cosas-que-pasan/1/actividades/activ","null","null","null","null","/es/activitat-cosas-que-pasan/1/actividades/activ"
"Itziar Okariz y Alice Chauchat","Idiorritmias","http://www.macba.cat/uploads/20170407/alicechauchat.4.jpg","ITZIAR OKARIZ, IRRINTZI REPETITIO (2007) 

El irrintzi es un grito vasco tradicional que se realiza a menudo en ocasiones especiales como fiestas para expresar alegría. Se cree que tiene sus orígenes en un sistema de comunicación a través de las grandes distancias de los valles vascos. En este sentido, el grito se convierte en una sintaxis básica dentro de los límites del lenguaje.



La obra consiste en la ejecución de irrintzis usando un dispositivo de audio para reproducir el sonido de un altavoz ante el intérprete con un retraso variable. La artista establece un diálogo con el eco del irrintzi al altavoz, donde los sonidos se alternan y a veces se superponen.



ALICE CHAUCHAT, TOGETHERING (2014) 

El solo grupal Togethering concibe la danza como una expresión, una actividad social y un proceso colectivo. Se trata de una serie de propuestas en las que la danza es a la vez un medio y un fin para la unión solidaria, y que incluyen una lección sobre la discusión y el acuerdo dentro de un grupo, una danza telepática y una lectura poética. Alice Chauchat comparte algunos aspectos de la imaginación colectiva que ha desarrollado durante los últimos quince años en el campo de la danza y la coreografía. Son relatos sobre coexistir y compartir. Pese a mantenerse en sus territorios formales (los espectadores mirando, los bailarines bailando), unos y otros comparten roles: de asistente, compañero, colaborador o anfitrión, como protagonistas del evento teatral. Considerando nuestro tiempo/espacio compartido como realidad y también como espacio de proyección para otras ocasiones de encuentro solidario, Togethering es una invitación a abordar esas ocasiones como experimentos que se reformulan y que inventamos juntos en cada nueva oportunidad.

Producido por la artista con el apoyo de Theaterschool (Ámsterdam).



Alice Chauchat vive en Berlín, donde trabaja como coreógrafa, performer, profesora, editora y otras actividades relacionadas con la coreografía. Ha trabajado en numerosas iniciativas colaborativas: desde la fundación de B.D.C. con Thomas Plischke, Hendrik Laevens y Martin Nachbar, hasta la creación de performances con Alix Eynaudi, Frédéric Gies, Anne Juren y Louise Trueheart. También ha colaborado en proyectos de Jennifer Lacey, Xavier le Roy, Mårten Spångberg o Juan Domínguez. Chauchat ha desarrollado numerosas plataformas y proyectos coreográficos para la producción y el intercambio de conocimientos en el campo de las artes performativas (everybodystoolbox.net, teachback vienna, praticable, special issue...), además de ejercer regularmente como profesora y dirigir proyectos de investigación. Entre 2010 y 2012 formó parte de la dirección artística de Les Laboratoires d’Aubervilliers.","12 mayo 2017","null","","","http://www.macba.cat/es/idiorritmias-itziar-okariz-alice-chauchat/1/actividades/activ","null","null","null","null","/es/idiorritmias-itziar-okariz-alice-chauchat/1/actividades/activ"
"Petróleo","Seminario PEI Obert","http://www.macba.cat/uploads/20170427/petroleo.jpg","Esta actividad podrá seguirse en streaming. 



Horas antes de ser asesinado, Pier Paolo Pasolini nos legaba un visionario y lúcido testimonio que hoy resuena casi como un oráculo: «Estamos todos en peligro». Era 1975 y la sensación de tragedia inminente no se circunscribía a una Italia socavada por un rumor incesante de guerra civil, sino que alcanzaba el conjunto del mundo occidental: la crisis económica provocada por el embargo petrolero de la OPEP, el informe al Club de Roma sobre Los límites del crecimiento, el fin del patrón oro-dólar o la oleada de conflictividad social que despertó el 68 global eran algunos de los síntomas de una gran conmoción en curso. La historia no se repite, pero rima, decía Mark Twain; y ahora, cuarenta años más tarde, no es el keynesianismo sino el neoliberalismo que lo sucedió el que se resquebraja. Y con su implosión, la civilización capitalista adquiere un tono crepuscular, de suceso histórico terminal. Entre otras razones, porque esta vez el sobrepasamiento ecológico ha estrechado enormemente los márgenes de maniobra.



Petróleo toma el nombre, a modo de homenaje, de la novela póstuma homónima que dejó inconclusa Pier Paolo Pasolini. En ella avanza la crisis del fuel a través del relato de la estructura corrupta del poder italiano y del «accidente» sufrido por Enrico Mattei, empresario de la ENI (Ente Nazionale Idrocarburi), en su intento de desvincular al Estado de las grandes multinacionales del petróleo.  Hoy la perforación del poder estatal por intereses económicos corporativos, que responden a un programa de acumulación compulsiva de capital, y la conversión de una energía cada vez más escasa en obsesión geopolítica, determinan como ninguna otra cosa el signo de los tiempos.



En Petróleo queremos abordar el modo en que la colisión contra los límites biofísicos del crecimiento económico, a la que tenemos conciencia de estar dirigiéndonos aceleradamente desde los años setenta y que no hemos sabido revertir, ha encontrado en la energía y concretamente en los combustibles líquidos su primer gran punto de impacto, aunque no el único ni el más importante.



El presente seminario quiere conformarse como un espacio de aprendizaje, reflexión, debate y acción poética y política sobre la excepcionalidad de nuestro tiempo. Para ello entrecruzará cuatro rutas de exploración teórica y política: el diagnóstico preciso de nuestra extralimitación; el debate sobre el futuro del crecimiento económico; la disolución de los regímenes políticos y de producción de subjetividades propios del posfordismo; y el mapeo de formas embrionarias que prefiguran relaciones ecosociales adaptadas a un mundo sin energía fósil. El objetivo es hacer un diagnóstico penetrante de lo que la crisis civilizatoria pone en juego y redefinir los márgenes de la acción política emancipatoria como arte de lo posible.","26 mayo","27 mayo 2017","Auditori Meier","","http://www.macba.cat/es/pei-obert-petroleo/1/actividades/activ","null","null","null","null","/es/pei-obert-petroleo/1/actividades/activ"
