event_image-src,event_venue,event_link,event_link-href,event_title1,event_start,event_end,event_organizer,event_title2,event_text,event_cost__0,event_category__Exposición__Galerías__artnou,event_maplink__1,event_id
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2017/06/W-youngladyonaboat.jpg","N2 Galeria","","http://www.artbarcelona.es/artnou/exposicions/els-meus-morts/","Uriginal","","06.07.17 – 22.09.17","N2 Galeria","Mis Muertos / Dead Relations","El treball de Uriginal (Uri Martínez) distorsiona i reimagina temes icònics, obres mestres clàssiques i tresors perduts, qüestionant els preconceptes entorn del bon gust i la bellesa al món contemporani.
Mis muertos. Dead Relations, l’exposició individual que presenta en N2 Galeria, fa referència a la necessitat de conèixer el nostre passat per poder continuar construint el nostre futur. L’emoció i el vincle personal és fonamental a l’hora d’escollir els motius de les seves obres. En Els meus morts construeix la seva genealogia personal. Reivindica la connexió amb obres que constitueixen per a ell una visió del món que ens pertany a tots i que formen part de la història de la humanitat.
Dead Relations es relaciona també amb un esdeveniment biogràfic que ha canviat la manera de veure el món per aquest artista. En 2016 sofreix una aparatosa caiguda que li causa un traumatisme i destapa una malaltia especialment greu per a algú que dedica la seva vida a pintar en els murs del carrer: vertigen perifèric. Aquesta condició es manifesta de manera imprevisible i provoca una pèrdua sobtada de l’equilibri. A més del perill d’una caiguda inesperada, impedeix que els seus ulls puguin enfocar correctament. L’experiència de l’error visual li ha portat a explorar en aquest camp. Per aquest motiu vegem un abandó gradual del mosaic, tan distintiu de Uriginal, cap a l’experimentació amb el glitch, terme que en informàtica es refereix a les imatges errònies que es formen com a conseqüència de fitxers mal codificats o danyats. En un intent de traslladar a l’espectador el desajustament entre els seus ulls i el seu cervell al moment del vertigen, equipara la fallada en la visió amb el glitch visual que produeix imatges sorprenents.
Uriginal utilitza l’art per indagar en allò que manté a la humanitat unida i allò que obliga a les persones a separar-se. En el seu estil combina elements d’abstracció, pop art i postsurrealisme amb una sèrie de tècniques apreses als carrers, que col•lisionen en diferents superfícies per explorar els límits estètics.
En aquesta exposició, a més a més, Uri ha demanat la col·laboració de reconeguts artistes de la talla de Miss Van o Cinta Vidal, entre uns altres, perquè participessin en algunes de les obres, aportant petites pinzellades que se sortissin de les seves pròpies zones de confort, com una invitació a explorar nous camins junts.","null","null","null","http://www.artbarcelona.es/artnou/exposicions/els-meus-morts/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2017/07/blob.png","Espronceda Center for Art and Culture","","http://www.artbarcelona.es/artnou/exposicions/la-vida-real/","Sanja Milenkovic, Zhuang Xueying","","05.09.17 – 23.09.17","Espronceda Center for Art and Culture","La vida real","La vida real és una exposició doble basat en una experiència personal de viure Barcelona de l'artista sèrbia Sanja Milenkovic, guanyadors del Premi Internacional d'Art Laguna, Venècia i l'artista xinès Zhuang Xueying, seleccionat artista amb el programa d'Espronceda a les pràctiques contemporànies amb fins Rufa Universitat arts de Roma.

L'exposició principal es basa en l'obra de Sanja Melaconvich. El projecte estarà a la vida que tan comú, l'experiència humana, la gent, la natura pot convertir en una història narrativa, una experiència humana a través d'una visió imaginària poètica de la gent comuna i el paisatge, en el qual el llenguatge artístic principal és l'art figuratiu. A mesura que l'artista va escriure: ""La meva inspiració ve de diferents escenes de constància i situacions de la vida real. M'agrada el moment en què la pintura està canviant i de sobte hi ha un desordre perfecte i una mica de conversa imaginària entre les persones. """" I Sanja explora la condició humana en les seves pintures vibrants. El seu treball se centra en el paper d'un individu en l'entorn urbà, la juxtaposició d'escenes de trànsit metropolità quotidiana, vianants, i les multituds amb elements naturals com parcs i arbustos. Saatchi curador d'art, Jessica McQueen "". El projecte serà en col·laboració amb Art Llacuna premi, Venècia i curada per Savina Tarsitano.
Per contra el jove artista xinesa Zhuang Xueying explorarà la seva percepció personal de la ciutat, l'espai, la gent, la identitat, les cultures, a través del so, vídeo, la fotografia. El seu treball serà el resultat de la seva experiència personal en relació amb la ciutat de Barcelona, ​​a la recerca de la forma de noves cultures, ciutat, colors, moviments poden influir en el seu procés artístic. Els principals resultats seran un treball multidisciplinari. El projecte estarà en cooperació amb RUFA- Roma Universitat de Belles Arts i curada per Savina Tarsitano i Magali Moulinier.","null","null","null","http://www.artbarcelona.es/artnou/exposicions/la-vida-real/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2017/07/de_sucre.jpg","Bombon projects","","http://www.artbarcelona.es/artnou/exposicions/aldo-urbano/","Aldo Urbano","","05.09.17 – 21.09.17","Bombon projects","null","Bombon projects proposa una exposició de dos artistes que, encara que de generacions molt diferents, es poden considerar emergents; una categoria en la que artistes joves i no tan joves s’hi troben repetidament.
Josep Maria de Sucre (1986-1969), pintor, escriptor, promotor artístic i oficial criminalista de professió va gaudir, en moments puntuals de la seva carrera, de cert reconeixement com a artista, encara que el desconeixement actual de la seva obra ens el fa ressituar en la emergència. Juntament amb Aldo Urbano (1991), artista emergent, categoria de la qual no en té escapatòria, entraran en un diàleg intergenaracional que promet emocions fortes.","null","null","null","http://www.artbarcelona.es/artnou/exposicions/aldo-urbano/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2017/07/monica_planes_artnou_2017-1.jpg","àngels barcelona","","http://www.artbarcelona.es/artnou/exposicions/lobjectualitzacio-del-paisatge/","Mònica Planes","","05.09.17 – 22.09.17","àngels barcelona","L’objectualització del paisatge","Faig objectes que expliquen l’experiència dels espais que habito. Si narrar consisteix en ordenar una experiència en un temps lineal i contenir-la en un principi i un final, amb els objectes explico però no narro. També ordeno però a través d’un ordre espacial, no pas temporal. Per tant, no es tracta d’un procés de narració sinó d’objectualització del paisatge, és a dir, de sintetitzar i comprimir l’experiència de l’entorn en un o diversos objectes. Aquests objectes són, doncs, espai comprimit i impliquen un retorn a l’experiència muda.","null","null","null","http://www.artbarcelona.es/artnou/exposicions/lobjectualitzacio-del-paisatge/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2017/07/blob.png","Espronceda Center for Art and Culture","","","Sanja Milenkovic, Zhuang Xueying","05.09.17 – 23.09.17","05.09.17 – 23.09.17","Espronceda Center for Art and Culture","La vida real","","null","null","null","http://www.artbarcelona.es/artnou/exposicions/la-vida-real/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2017/07/red-de-descarga-baja-JPG.jpg","La Escocesa, Centre de Creació","","","Daniel De la Barra, Guillermo Moreno Mirallas, José Caerols “Yisa”, Juan David Galindo, Julia Calvo, Lluc Baños, Marina Rubio","05.09.17 – 23.09.17","05.09.17 – 23.09.17","La Escocesa, Centre de Creació","Acción de descarga","","null","null","null","http://www.artbarcelona.es/artnou/exposicions/accion-de-descarrega/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2017/05/Imatge_Agnus.jpg","Galeria Balaguer","","","Laura Gómez","05.09.17 – 22.09.17","05.09.17 – 22.09.17","Galeria Balaguer","Agnus","","null","null","null","http://www.artbarcelona.es/artnou/exposicions/agnus/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2017/05/ART35-2017.PNG","Galeria Trama","","http://www.artbarcelona.es/artnou/exposicions/art35-bs-2017/","Gabriel Coca, Adrià Gamero Casellas, Héctor Hernández, Asensio Martínez Soler, Esther Navarro, Joan Pallé, Jorge Pérez Higuera, Carlos Peris, Luciana Rago, Javier Rodríguez Lozano","","05.09.17 – 26.09.17","Galeria Trama","ART<35 BS 2017","És un concurs convocat per la Facultat de Belles Arts de la Universitat de Barcelona, organitzat per l’Associació ART<35, amb la col·laboració de la Sala Parés i de la Galeria Trama, i patrocinat per la Fundació Banc Sabadell.
Té l’objectiu de seleccionar artistes per participar en una exposició, centrada en la jove creació, que se celebrarà durant el mes de setembre de 2017 a les galeries esmentades.
La iniciativa pretén afavorir la relació professional dels artistes joves amb el món de les galeries d’art i de les entitats que promouen exposicions. Així mateix, el concurs vol promoure la incorporació de les obres d’aquests artistes en col·leccions d’art, tant de persones o empreses com d’institucions.","null","null","null","http://www.artbarcelona.es/artnou/exposicions/art35-bs-2017/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2017/05/Imatge_Agnus.jpg","Galeria Balaguer","","http://www.artbarcelona.es/artnou/exposicions/agnus/","Laura Gómez","","05.09.17 – 22.09.17","Galeria Balaguer","Agnus","Agnus no pretén ser un testimoni  objectiu de l'ambient ramader. Tampoc situa a l'agricultor al centre del relat. És una mirada parcial sobre la realitat, una metàfora sobre la vida i la mort amb les ovelles com a protagonistes. Els alts contrastos de llum i foscor de les imatges representen dos mons antagònics: la vida i la mort, l'home i la naturalesa. Aquesta explotació ramadera és representada com un món estanc i inalterable en el qual els seus habitants vaguen subjectes a la transitorietat de la vida.","null","null","null","http://www.artbarcelona.es/artnou/exposicions/agnus/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2017/06/Teresita-Dennis.-Surfacing-green-45-x-30-cm-oil-on-linen-2016-small.jpeg","Tat Art Barcelona","","http://www.artbarcelona.es/artnou/exposicions/ceremony/","Arthur Lanyon, Philip Gurrey","","05.09.17 – 23.09.17","Tat Art Barcelona","Ceremony","TAT ART BARCELONA es complau a anunciar una nova col·laboració amb No20, un centre d'art contemporani de Londres. L'interès comú en recolzar els artistes emergents i la voluntat de presentar i defensar el seu treball a l'escena internacional ens porten a establir una col·laboració que es formalitzarà en dos moments de la temporada: No20 presentarà una exposició col·lectiva d'alguns dels seus artistes representats a principis de temporada a l'espai de TAT ART mentre aquesta correspondrà amb una exposició col·lectiva a l'espai de No20 a Londres durant el mes de Desembre. Aquesta col·laboració permet articular la relació entre ambdues ciutats alhora que ajuda a promocionar els artistes en qüestió més enllà dels seus contextos immediats. 
Ceremony
No20 es complau a presentar “Ceremony” a TAT ART BARCELONA, una exposició comissariada per Jim Threapleton que inclou obres de Mike Ballard, Teresita Dennis, Philip Gurrey, Arthur Lanyon, Claude Temin-Vergez, Jim Threapleton i Sarah Shaw.
Les formes poètiques, que sustenten la seva brillantor en la destrucció del real, resten a mercè del no-res, han de fregar-lo, extreure'n d'ell l'aspecte més ambigu i desitjable: elles ja tenen l'estranyesa i l'enigma del desconegut, els ulls del cec”                                                                                        Georges Bataille
Cerimònia: esdeveniment de gran significança ritual dut a terme en ocasions especials. Una demostració física, un gest material que testifica una experiència als límits, una possibilitat de trobada amb l'immaterial, una expressió del desig d'ascendir d'allò profà a allò sagrat. 
Per al filòsof francès, en canvi, dissident del corrent surrealista hegemònic, el ritual articulava un impuls anti-jeràrquic, un trànsit d'allò sagrat a allò profà. Durant el període d`entreguerres (“era d'ansietat” que promogué un reajustament de l'experiència interior cap a la secular) l'ús provocatiu que feia Bataille del llenguatge comportava risc i representava una oportunitat de soscavar les estructures culturals i d'articular un silenci particular, intencionadament portador de la possibilitat del no-coneixement.
Sota l'atmosfera temàtica i l'esperit de Bataille, l'exposició presenta a l'espectador l'oportunitat de descobrir una sèrie d`artistes directament fascinats per com la pintura es mou o llisca tant en la seva immediatesa plàstica com en el seu potencial subjectiu. Cadascun d'aquests creadors es resisteix a eliminar certa materialitat pictòrica en la navegació entre representació i abstracció. Si bé tals mètodes expressionistes han estat castigats, aquesta exposició pretén reconsiderar la materialitat del gest com el lloc on la narrativa i la forma donen lloc a la subjectivitat. 
La pintura, en aquest sentit, té molt de cerimonial. La pràctica a l'estudi de l'artista està impregnada d'aquest concepte amb la transubstanciació del pigment, la tela, el bastidor, l'oli. La imatge és contingent a un acte material de fe en un exercici semblant a una jugada de daus. Tot i la disparitat de llenguatges visuals, per a aquests pintors la cerimònia és un llenguatge comú d'oportunitat, improvisació i emanació.
Mike Ballard utilitza les marques que delimiten les fronteres entre el públic i el privat per a repensar els codis i les jerarquies visuals de la societat urbana contemporània. Teresita Dennis entra en contacte físic directe amb les superfícies sobre les quals treballa, desenvolupant així processos i estratègies de creació a partir del seu cos en moviment. Philipe Gurrey explora amb el seu treball la tensió entre el gest i la superfície a través d'un llenguatge vernacular basat en eslògans polítics, precedents artístics històrics i lemes del segle XXI. Exposant els sediments del procés material, Arthur Lanyon utilitza la tensió compositiva per a desencadenar memòries i associacions imprecises. Claude Temin-Vergez crea formes que travessen les identificacions: des de la condició sexual, passant per l'ornament barroc, fins a la natura. Tant la superfície com la imatge són metafòriques i s'han construït sobre una linealitat que traça la força. Jim Threapleton explora les possibilitats figuratives de l'abstracció a través d'exemples històrics de vanitas i del potencial cinètic i indeterminat del mark making. La improvisació com a element integrat en el procés creatiu permet a Sarah Shaw endinsar-se en fragments de diverses formes per investigar la memòria com a estat abjecte.","null","null","null","http://www.artbarcelona.es/artnou/exposicions/ceremony/"
