"EVENT NAME","VENUE NAME","ORGANIZER NAME","START DATE","START TIME","END DATE","END TIME","ALL DAY EVENT?","CATEGORIES","EVENT COST","EVENT WEBSITE","SHOW MAP LINK?","SHOW MAP?","EVENT DESCRIPTION","EVENT IMAGE"
"KWS Kunstpreis | Thomas Ritz - Die Wirklichkeit der Bilder","Fabian & Claude Walter Galerie","Fabian & Claude Walter Galerie","11/02/2017","","","",1,"Exposición, Espacios alternativos","0","https://www.facebook.com/events/736046336587772/",1,1,"<p><img src='http://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/22555407_1631934516860913_5414259611884147459_o.jpg?oh=a6a4e1ebbf4ca21c929bb0315e942342&oe=5A643B55' width='228' height='182' alt='KWS Kunstpreis | Thomas Ritz - Die Wirklichkeit der Bilder' />Preisübergabe & Eröffnung der Einzelausstellung<br /><br />Die Keller Wedekind-Stiftung (KWS) überreicht den KWS-Kunstpreis 2017 an den Schweizer Maler Thomas Ritz. Thomas Ritz wurde 1966 in Basel geboren und studierte dort an der Schule für Gestaltung. Ritz‘ Arbeiten ""hinterfragen unser Verhältnis zur Wahrnehmung und damit zur Wirklichkeit"", begründet Detta Kälin, Vizepräsidentin und Kuratorin der Keller-Wedekind-Stiftung, die Preisvergabe. ""Durch mehrfache, unterschiedlich lasierend aufgetragene Schichten haben seine Gemälde und Zeichnungen etwas Schwebendes, Flüchtiges. (…) Vorder- und Hintergrund, Vorher und Nachher, Akteure und Landschaften bilden zusammen Zwischenwelten von melancholischer Schönheit."" Die Stiftung Keller-Wedkind wurde 1994 von Dr. Walter Keller- Wedekind gegründet. Ihre statuarisch festgelegte Aufgabe ist die Förderung der gegenständlichen Kunst in der Schweiz. Umgesetzt wird diese Förderaufgabe durch die Verleihung des KWS-Kunstpreises. Diser wird alle zwei Jahre an einen zeitgenössischen Schweizer Kunstschaffenden vergeben, der auf dem Gebiet der gegenständlichen Kunst tätig ist. Mit einem Gesamtwert von 70 000.- Franken ist der KWS-Kunstpreis einer der höchsten ausschliesslich privat finanzierten Kunstpreise der Schweiz.<br /><br />18.45 Uhr Laudatio, Anna Wesle, Kuratorin, Museum Franz Gertsch, Burgdorf<br /><br />Preisverleihung, Detta Kälin, Lic. phil. I, Kunsthistorikerin, Kuratorin KWS<br /><br />Zur Ausstellung erscheint ein Katalog | Vorwort: Anna Wesle, Kuratorin, Museum Franz Gertsch, Burgdorf, Katalogtext: Markus Stegmann, Direktor, Museum Langmatt, Badem<br /><br />Ausstellungsdauer: 3. - 25. November, 2017</p>","https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/22555407_1631934516860913_5414259611884147459_o.jpg?oh=a6a4e1ebbf4ca21c929bb0315e942342&oe=5A643B55"
"16 Tage gegen Gewalt an Frauen","Photobastei","Photobastei","12/05/2017","","","",1,"Exposición, Espacios alternativos","0","https://www.facebook.com/events/120556871972417/",1,1,"<p><img src='http://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/22366369_1994947797402013_3161614310272695470_n.jpg?oh=f0c0b43895e458daaa91dce5ff0925f7&oe=5A6470CB' width='228' height='182' alt='16 Tage gegen Gewalt an Frauen' />El Salvador: 30 Jahre für Fehlgeburt<br /><br />Anfang Juli dieses Jahres wurde die 19-jährige Evelyn Hernández in El Salvador zu 30 Jahren Gefängnis verurteilt, weil sie eine Fehlgeburt hatte. Sie ist nicht die Einzige: An einer Veranstaltung im Rahmen der Kampagne «16 Tage gegen Gewalt an Frauen» diskutieren Anja Ibkendanz von Solidar Suisse und Maja Hess von medico international schweiz die Folgen des absoluten Abtreibungsverbots in El Salvador und lassen per Filmclip Betroffene zu Wort kommen.</p>","https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/22366369_1994947797402013_3161614310272695470_n.jpg?oh=f0c0b43895e458daaa91dce5ff0925f7&oe=5A6470CB"
"Landscape Postproduction Expert","Dynamo Zürich (offiziell)","The Landscape Project by Fabio Antenore","11/17/2017","","","",1,"Exposición, Espacios alternativos","0","https://www.facebook.com/events/331921130614673/",1,1,"<p><img src='http://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/22491574_2033963463503124_972421237554230960_n.jpg?oh=b68ee57542912835d2fc9ea9769e612b&oe=5A63A6B9' width='228' height='182' alt='Landscape Postproduction Expert' />In diesem Fotoworkshop möchte ich ich meine ganz eigene Art Bilder zu erstellen zeigen.<br /><br /><br />Kursinhalt:<br />Am eigenen Laptop werden wir gemeinsam einige Projekte erstellen und eure Prozessing skills schulen.<br />Einführung in das Thema Mehrfachbelichtungen für vollen Dynamikumfang und durchgehende Schärfe; von der Ausrüstung über Aufnahmetechnik bis zum fertig bearbeiteten Bild.<br />Wir werden das Thema Luminanzmasken behandeln sowie verschiedene Freistellungstechniken kennenlernen.<br />Ich zeige euch wie ihr mittels eines Luminanzmasken Pannels euren Workflow drastisch verschnellern könnt und wie ihr die Google Nik Collection gezielt einsetzen könnt. Ihr lernt wie ihr einfach Farben anpassen, und natürlich auch wie ihr das Licht in euren Bildern verstärken könnt um so anmutige Hyperreale Landschaften zu kreieren . Dazu werden wir gemeinsam einen „Orton-Effekt“ erstellen und diesen mittels einer speziellen Art Dodge and Burn im Bild einarbeiten.<br />Die Kursunterlagen sind so gestaltet, dass ihr Zuhause in eurem Tempo alles nacharbeiten könnt, ihr habt also quasi ein kleines Ebook kostenlos als Skript des Workshops mit dabei.<br />Datum und Zeit: 17.11.2017 19:00-22:30<br /><br /><br />Kursort:<br /><br />Seminarraum im Dynamo Zürich Wasserwerkstr. 21, Zürich Oberer Eingang vom weissen Haus mit dem Restaurant<br /><br />Anforderungen:<br /><br />Computer-Grundkenntnisse + Laptop. Adobe Photoshop und Lightroom Grundkentnisse Google Nik Collecion, Luminanzmasken Panel<br /><br />Kosten:<br /><br />260- pro Person (maximal 10 Personen) Info und Anmeldung: www.fabioantenore.ch photo@fabioantenore.ch</p>","https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/22491574_2033963463503124_972421237554230960_n.jpg?oh=b68ee57542912835d2fc9ea9769e612b&oe=5A63A6B9"
"Upvalue Boutique / Rescue Station","Stall 6","The Analog Session","12/11/2017","","","",1,"Exposición, Espacios alternativos","0","https://www.facebook.com/events/176326819586296/",1,1,"<p><img src='http://scontent.xx.fbcdn.net/v/t1.0-0/p480x480/22687761_2002415166670802_3726915868938417516_n.jpg?oh=67bb26479232bae600b959d5659f90a9&oe=5A65AA3D' width='228' height='182' alt='Upvalue Boutique / Rescue Station' />Upcycling workshop with Romy Hood & Friends<br /><br />Romy Hood invites the Upcyclers, to present their creations & works in a boutique-like setting. There will be workstations for the visitors to do or start their own uncycling piece, regarding the approaching need for christmas presents.<br /><br />Thematic discourse: how to upgrade the image of the „used“ to a value-giving quality. Those materials have a big value: through the process we do, the pure value of the material is rising. So we have several steps a material goes through, to sum up to a valuable product.<br /><br />Romy Hood / Corinna Mattner<br /><br />Corinna Mattner creates unique textile pieces from discarded material focussing on the impact of textile waste. Moreover she is interested to point out the value of the existing, and the need to reduce consumerism in the western world. She created Romy Hood as a poetic warrior, inviting anybody concerned by fashion or any kind of wear to identify with Romy Hood and join the process of becoming aware of the impact of fashion on the world.<br /><br />She is a textile and installation artist, originally trained scenographer, co-founder of frfr-international.com (DIY and bringing people together in a playful mode) and co-organizer of the Fashion Revolution Switzerland in Zurich.<br /><br /> Free Entrance</p>","https://scontent.xx.fbcdn.net/v/t1.0-0/p480x480/22687761_2002415166670802_3726915868938417516_n.jpg?oh=67bb26479232bae600b959d5659f90a9&oe=5A65AA3D"
"Video@Löwenbräu: u. a. mit Arbeiten von Teresa Margolles","Migros Museum für Gegenwartskunst","F+F Schule für Kunst und Design","12/07/2017","","","",1,"Exposición, Espacios alternativos","0","https://www.facebook.com/events/1137050456397778/",1,1,"<p><img src='http://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/22179858_1462261777220895_3849662955053128698_o.jpg?oh=029479f7019981fe78a07423fe4bf0ec&oe=5A6F67EB' width='228' height='182' alt='Video@Löwenbräu: u. a. mit Arbeiten von Teresa Margolles' />Die Reihe Video@Löwenbräu, ein Kooperationsprojekt der F+F Schule für Kunst und Design und des Migros Museum für Gegenwartskunst, geht in die 5. Saison. Die Veranstaltungen knüpfen im Herbst/Winter 2017 direkt an das Ausstellungsprogramm des Migros Museum für Gegenwartskunst an, und zwar an Collection on Display: Rituals. Diese Ausstellung bildet den inhaltlichen Rahmen, der an drei Abenden mit ausgewählten Video- und Filmarbeiten von Künstler_innen aus Lateinamerika pointiert beleuchtet, reflektiert und erweitert wird.<br /><br />Gesprächsgast dieser Reihe ist Hans-Michael Herzog, Kunsthistoriker, Kritiker und Kurator. Das Programm wurde von Irene Müller, Dozentin an der F+F, in Zusammenarbeit mit Nadia Schneider Willen, der Kuratorin der Ausstellung, erarbeitet. Ermöglicht werden diese Anlässe u. a. auch dank der Leihgaben der Daros Latinamerica Collection, Zürich.</p>","https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/22179858_1462261777220895_3849662955053128698_o.jpg?oh=029479f7019981fe78a07423fe4bf0ec&oe=5A6F67EB"
"«Enact. Empower?» – Angela Dimitrakaki","Toni Areal","Bachelor Kunst und Medien, ZHdK","10/28/2017","","","",1,"Exposición, Espacios alternativos","0","https://www.facebook.com/events/138533773447141/",1,1,"<p><img src='http://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/22499068_1975171859432093_5794460646252199644_o.jpg?oh=fd5171ae6fd70d0e9a00b3f10a843617&oe=5A62CBF1' width='228' height='182' alt='«Enact. Empower?» – Angela Dimitrakaki' />«Enact. Empower?» <br />Public talk series at the Department Art & Media, ZHdK, Toni-Areal, Pfingstweidstr. 96, 8031 Zürich; for free, (lectures in English):<br /><br />Toni-Areal, 5th floor, 5.T09, 6:30 pm<br /><br />Angela Dimitrakaki teaches contemporary art history and theory at the University of Edinburgh, where she also directs the MSc Modern and Contemporary Art and leads the Global Contemporary research group. Her publications include the study Gender, ArtWork and the Global Contemporary (2013), the co-edited volume Economy: Art Production and the Subject in the 21st Century (2015) and the special issue of Third Text on social reproduction and art (September 2017). She is currently writing Feminism, Art, Capitalism.<br /><br />In cooperation with the specialized MA program Art History in a Global Context, University of Zurich<br /><br />Since the 1960s art and art theory have been approximating activism. Ever since, queer-feminist or postcolonial tactics, as well as non-hierarchic forms of collaboration of diverse actors, have been propagated. Yet, they often demarcate a thin line: Self-organization has long been absorbed into capitalist economies. And, participation often veils, rather than exposes, inequalities and power-structures within a globalized world. Hence, where is space left for critique? Where lie contradictions and potential for an emancipatory art practice? In which frame and to which extent do these circumstances allow for shifting power-relations, opening up space for action?<br />Picking up on their recent works and practice our guests Jasmina Metwaly, artist (18.10.), Angela Dimitrakaki, art historian and writer (28.10.), Juliana Huxtable, artist (1.11.), Elisabeth Lebovici, critic (13.11.), and Gerald Raunig, philosopher (5.12.), will confront and try to answer these questions self-reflectively. They will not only provide for actual insights, but show snares and boundaries of (self-)empowerment.<br />A collaboration of Master Fine Arts, Bachelor of Arts in Art & Media und IFCAR Institute for Contemporary Art Research (Curation FS 17: Donatella Bernardi, Barbara Preisig, Gabrielle Schaad, Jörg Scheller, Christoph Schenker).<br />ZHdK-Agenda<br /><br />Contact: Gabrielle Schaad, Research Associate, Bachelor of Arts in Art & Media, ZHdK; mailto:gabrielle.schaad@zhdk.ch</p>","https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/22499068_1975171859432093_5794460646252199644_o.jpg?oh=fd5171ae6fd70d0e9a00b3f10a843617&oe=5A62CBF1"
"Was soll das alles?","Herman's Wohnzimmer","Lange Nacht der Philosophie","11/16/2017","","","",1,"Exposición, Espacios alternativos","0","https://www.facebook.com/events/744579929084908/",1,1,"<p><img src='http://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/22687710_617978408592456_7928138137513614660_n.jpg?oh=6de75940f9534ad239de05cc6bb729ee&oe=5A6ACC49' width='228' height='182' alt='Was soll das alles?' />Was heisst lieben? Und bin ich fähig dazu? Wie weiss ich, dass ich zufrieden bin? War ich es jemals? Wie gehe ich mit dem (eigenen) Tod um? Gibt es einen Sinn oder braucht es den erst gar nicht? Und was kann die Kunst dazu beitragen? – Für alle, die sich von Zeit zu Zeit mit diesen oder ähnlichen Fragen konfrontiert wiederfinden, wartet ein kurzweiliges audiovisuelles Erlebnis – garantiert horizonterweiternd!<br />http://www.langenachtderphilosophie.ch/speakers/31-was-soll-das-alles/</p>","https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/22687710_617978408592456_7928138137513614660_n.jpg?oh=6de75940f9534ad239de05cc6bb729ee&oe=5A6ACC49"
"Vernissage Peti Wiskemann: Glacé macht schön!","Kiosk Tabak","Kiosk Tabak","11/03/2017","","","",1,"Exposición, Espacios alternativos","0","https://www.facebook.com/events/1562576223781532/",1,1,"<p><img src='http://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/22815582_1071737722928685_3018229015452424066_n.jpg?oh=c78b27848be4f80bd1f8b422feba3105&oe=5A651FFB' width='228' height='182' alt='Vernissage Peti Wiskemann: Glacé macht schön!' />Eine neue wissenschaftliche Studie kommt zum Schluss, dass Glacé essen im November sehr gesund ist und schön macht! Der Künstler Peti Wiskemann hat diese neue Erkenntnis zum Titel seiner Ausstellung im Kiosk Tabak auserkoren.<br /><br />«Die rote Armee steht vor Trubschachen», ein anderer Titel eines Bildes von ihm, ist in der Auswahl für den Titel durchgefallen. Die weltpolitische Lage und die Macht der Biscuit-Fabrik in Trubschachen wollte er nicht herausfordern. «Welt ist die Ordnung» fiel aus grammatikalischen Gründen durch, «Lochen wär ja gelocht» und «Zahlenloch» sind zwar wirklich lustige Titel für Bilder, aber für eine Ausstellung einfach nicht ernsthaft genug. «Kubismus reloaded» im Stil des Neo Nouveau hätte gut gepasst, aber in die falsche Richtung gewiesen.<br /><br />So entschied sich der Künstler für die wissenschaftliche und für den Kiosk Tabak passende Variante: «Glacé macht schön!»</p>","https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/22815582_1071737722928685_3018229015452424066_n.jpg?oh=c78b27848be4f80bd1f8b422feba3105&oe=5A651FFB"
"SPC Photo Awards Vernissage","Foxx Galerie","Swiss Photo Club","12/07/2017","","12/14/2017","",1,"Exposición, Espacios alternativos","0","https://www.facebook.com/events/1773315556294365/",1,1,"<p><img src='http://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/22384361_2001933010049279_3444835250515264576_o.jpg?oh=a921dcbc92351fb2be048c19b1e1e73c&oe=5A69E687' width='228' height='182' alt='SPC Photo Awards Vernissage' />SPC Photo Awards now in Zurich! <br /><br />Submit your photos by Nov 3rd and get them exhibited at Foxx Gallery in downtown.<br /><br />To join the competition: <br />https://zurich.swissphotoclub.com/en/photo-awards-zurich-2017/<br /><br />More info here soon.</p>","https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/22384361_2001933010049279_3444835250515264576_o.jpg?oh=a921dcbc92351fb2be048c19b1e1e73c&oe=5A69E687"
"One Room Vernissage","Eglistrasse 8, 8004 Zürich Zürich, Schweiz","Rémi Jaccard","11/18/2017","","","",1,"Exposición, Espacios alternativos","0","https://www.facebook.com/events/200461113827717/",1,1,"<p><img src='http://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/22384352_1727495940879486_895760853584829204_o.jpg?oh=023d7945b3eac9c3e92b653dd2d00ce0&oe=5A6FE241' width='228' height='182' alt='One Room Vernissage' />2007 fand in einer leerstehenden, herrschaftlichen Wohnung an der Rämistrasse 18 die Ausstellung «Cinq Salons» statt: «Zeitgenössische Kunst in ehrwürdigen Salons: 12 junge Zürcher Künstler*innen zeigen ihre Werke im Haus zum Garten». <br /><br />Zehn Jahre später laden die beiden Kuratoren dasselbe Dutzend Künstler*innen wieder zu einer gemeinsamen Ausstellung ein – wieder in einer leerstehenden Wohnung. Anstelle der fünf barocken Salons tritt ein einzelner Raum einer modernen Loft.<br /><br />Mit Mathilde van Beekhuizen, Florian Bühler, Stefan Ege, Johannes Gees, Rémi Jaccard, Esther Kempf, Sarah Parsons, Svenja Plaas, Alexis Saile, Thierry Furger, Nina Weber<br /><br />Ausstellung: 18. – 26. November 2017<br />https://eglispace.net<br />https://cinqsalons.wordpress.com</p>","https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/22384352_1727495940879486_895760853584829204_o.jpg?oh=023d7945b3eac9c3e92b653dd2d00ce0&oe=5A6FE241"
