"EVENT NAME","VENUE NAME","ORGANIZER NAME","START DATE","START TIME","END DATE","END TIME","ALL DAY EVENT?","CATEGORIES","EVENT COST","EVENT WEBSITE","SHOW MAP LINK?","SHOW MAP?","EVENT DESCRIPTION","EVENT IMAGE"
"Vine a esmorzar a Piramidón","Piramidón, Centre d'Art Contemporani","Piramidón, Centre d'Art Contemporani","01/27/2018","","","",1,"Exposición, Espacios alternativos","0","https://www.facebook.com/events/1591685637586323/",1,1,"<p><img src='http://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/26962437_1674995932566428_4032391597132761488_o.jpg?oh=d7c9780626d28a616df559f9b210e796&oe=5AE4A819' width='228' height='182' alt='Vine a esmorzar a Piramidón' />Aquest dissabte dia 27 de gener et convidem a esmorzar i a veure la nova exposició col·lectiva  2018_n1, una oportunitat per conèixer l'obra dels artistes residents tot prenent un cafè amb nosaltres. També podreu visitar la mostra individual d' Alberto Gil Casedas 842' 36''. Lijar un lienzo en blanco, la qual es troba en els seus darrers dies d'exposició. A més, serà una bona ocasió pels socis de recollir l'obra gràfica d'aquest any a càrrec del mateix artista. Us hi esperem de 10 a 14h!<br /><br />Artistes: Thilleli Rahmoun, Aldo Urbano Perez, Yamandú Canosa, Kati Riquelme, Estefania Urrutia, Alberto Gil Casedas, Christina Schultz, Pere de Ribot, Eduard Resbier Vazquez, Diego Pujal, Ana Ciscar, Rosanna Casano, Tono Carbajo, Ruben Torras Llorca, Avelino Sala, Marco Noris, Ivan Franco y Guillermo Pfaff.<br /><br />*Obra de la imatge: Thilleli Rahmoun. Sense títol BCN #2. Tècnica mixta sobre metacrilat. 70 x 100 cm. 2017.</p>","https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/26962437_1674995932566428_4032391597132761488_o.jpg?oh=d7c9780626d28a616df559f9b210e796&oe=5AE4A819"
"Inauguración ""La Picnolepsia De Tshombé"""" en Can Basté","Centre Cívic Can Basté","Gloria Oyarzabal","01/25/2018","","","",1,"Exposición, Espacios alternativos","0","https://www.facebook.com/events/220790925132005/",1,1,"<p><img src='http://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/26952637_805438772997426_8635721355560813361_o.jpg?oh=4c1302bca0a403c04fb67a7f2f8e6223&oe=5AE2E66C' width='228' height='182' alt='Inauguración ""La Picnolepsia De Tshombé"""" en Can Basté' />Como ganadora del 14 Forum Fotográfico Can Basté 2016 , tengo el placer de presentar mi proyecto ""La Picnolepsia de Tshombé"" por primera vez en Barcelona.<br />A través de un mosaico de imágenes, documentos y textos se establecen hilos y metáforas que conectan el presente con un pasado reciente, invitándonos a reflexionar sobre la desigual y compleja relación establecida entre Occidente y el continente africano, los procesos de descolonización y sus consecuencias. La narración arranca en los años sesenta, durante complejos y emocionantes procesos de descolonización del continente africano, con la misteriosa desaparición en España de un hombre clave en la historia de la RDC y nos trae hasta un aspecto del fenómeno de la inmigración africana.<br /><br />Me encantaría veros el jueves 25 en la inauguración y os invito a que lo compartáis a quien creáis pueda interesar.<br />La exposición estará hasta el 3 de Marzo  <br /><br />+info: bit.ly/2DRzN0i</p>","https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/26952637_805438772997426_8635721355560813361_o.jpg?oh=4c1302bca0a403c04fb67a7f2f8e6223&oe=5AE2E66C"
"Meet Art. “Monòleg, diàleg i concepte”","Museu Can Framis","Museu Can Framis","02/03/2018","","","",1,"Exposición, Espacios alternativos","0","https://www.facebook.com/events/146545602678569/",1,1,"<p><img src='http://scontent.xx.fbcdn.net/v/t31.0-0/p480x480/26961891_1627529077338557_7530188207584899863_o.jpg?oh=2660081dd2abb599c5e5657fe074bc61&oe=5AE8B06D' width='228' height='182' alt='Meet Art. “Monòleg, diàleg i concepte”' />La col·lecció permanent de pintura de Can Framis reuneix un gran nombre d’artistes que esdevenen cabdals a l’hora d’entendre i interpretar el panorama artístic català: Albert Ràfols-Casamada, Josep Guinovart, Joan Ponç, Joan Hernández Pijuan, Evru o Lluís Lleó, són alguns dels artistes que trobarem en aquest recorregut guiat que ens permetrà cabussar-nos en la pintura contemporània del nostre país.<br /><br />+info i reserves: https://goo.gl/xNqous<br />_<br />La colección permanente de pintura de Can Framis reúne a un gran número de artistas que devienen esenciales para entender e interpretar el panorama artístico catalán: Albert Ràfols-Casamada, Josep Guinovart, Joan Ponç, Joan Hernández Pijuan, Evru o Lluís Lleó, son algunos de los artistas que encontraremos en este recorrido guiado que nos permitirá sumergirnos en la pintura contemporánea de nuestro país.<br /><br />+info y reservas: https://goo.gl/ZVRytp</p>","https://scontent.xx.fbcdn.net/v/t31.0-0/p480x480/26961891_1627529077338557_7530188207584899863_o.jpg?oh=2660081dd2abb599c5e5657fe074bc61&oe=5AE8B06D"
"Jordi Rollán, 50 años de exposiciones","Reial Cercle Artístic de Barcelona","Reial Cercle Artístic de Barcelona","01/25/2018","","02/25/2018","",1,"Exposición, Espacios alternativos","0","https://www.facebook.com/events/290868171440912/",1,1,"<p><img src='http://scontent.xx.fbcdn.net/v/t31.0-8/q86/s720x720/27023623_1769427453068315_290428908554078260_o.jpg?oh=2c48abba6016960e947342e0efeabf40&oe=5AE4EAF0' width='228' height='182' alt='Jordi Rollán, 50 años de exposiciones' />El Real Círculo Artístico inaugura el próximo 25 de enero la muestra ""50 años de exposiciones"" del pintor y vicepresidente artístico de la institución, Jordi Rollán. El prolífico artista barcelonés conmemora sus 50 años de trayectoria pictórica con algunos de los cuadros más inéditos de su colección.<br /><br />Desde sus inicios, Rollán ha realizado más de 200 exposiciones y ha exhibido sus obras en galerías de Alemania, Suiza, Estados Unidos, Francia, Italia, Marruecos y Montecarlo. Ahora, en esta exposición que presenta a la institución se podrán ver 36 cuadros, algunos de ellos no han sido nunca expuestos, y que permitirán hacer un recorrido por la evolución estilística que ha hecho el pintor a lo largo de este medio siglo.<br /><br />Su primera etapa fue básicamente figurativa, centrada especialmente en la figura femenina, y fue derivando hacia la abstracción. Actualmente su estilo se centra en la búsqueda de formas y colores, moviéndose entre la abstracción y la figuración.</p>","https://scontent.xx.fbcdn.net/v/t31.0-8/q86/s720x720/27023623_1769427453068315_290428908554078260_o.jpg?oh=2c48abba6016960e947342e0efeabf40&oe=5AE4EAF0"
"Documental Social Participatiu: La Biblioteca Vivent","La Virreina Centre de la Imatge","La Virreina Centre de la Imatge","02/15/2018","","","",1,"Exposición, Espacios alternativos","0","https://www.facebook.com/events/318903291934171/",1,1,"<p><img src='http://scontent.xx.fbcdn.net/v/t31.0-8/p720x720/27164458_1972049213116120_1081750315091576811_o.jpg?oh=df20930bb2b3f2d14dcbb725295a108a&oe=5AE9D628' width='228' height='182' alt='Documental Social Participatiu: La Biblioteca Vivent' />Plataforma Documental Social Participatiu, Xarxa BCN Antirumors - Programa BCN Interculturalitat, i ACATHI<br />Virreina LAB<br />Entrada gratuïta. Aforament limitat<br /><br />La Biblioteca Vivent, promoguda per la Xarxa Antirumors de l’Ajuntament de Barcelona, sorgeix d’un moviment internacional que promou el contacte social per desafiar els prejudicis. “Igual que en una biblioteca real, un visitant de la Biblioteca Vivent pot triar un llibre entre una sèrie de títols. La diferència és que els llibres són les persones, i la lectura és una conversa.”<br /><br />A la Biblioteca Vivent, persones d’orígens i d’identitats diversos mantindran converses sobre l’emigració des de països hostils al col·lectiu LGBTIQ+, el procés d’asil, el trànsit i l’expressió lliure del gènere.<br /><br />Durant l’activitat, les persones del públic podran compartir històries i opinions amb ponents del col·lectiu LGBTIQ+ en format de conversa entre dos o tres participants. Seran diàlegs oberts a preguntes, amb la voluntat de generar coneixement sobre l’expressió lliure del gènere, la diversitat i els processos d’asil.<br /><br />Els ponents de la Biblioteca Vivent són voluntaris d’ACATHI, una associació integrada per persones d’orígens diversos, migrades, refugiades o LGBTIQ+. Aquesta gran diversitat d’identitats formen l’essència d’un projecte que pretén incidir i conscienciar sobre la realitat de les persones LGBTIQ+ migrades.<br /><br />El treball que la Plataforma Documental Social Participatiu (DSP) ha dut a terme amb ACATHI al llarg d’aquest darrer any i mig ens ha permès conèixer les enormes necessitats de suport i de comunicació social dels grups socials discriminats.<br /><br />Per tant, en aquest cas, la feina que duem a terme no s’ha relacionat exclusivament amb el maneig de les eines audiovisuals com a apoderament expressiu i de comunicació social, sinó també amb el reconeixement de les seves singularitats, de les seves històries i relats, de les seves transformacions físiques i territorials.<br />Per aquest motiu, el testimoni d’aquestes històries singulars és l’eix principal del treball que hem dut a terme conjuntament. Tenir veu i imatge és el punt de partida del reconeixement de les altres persones i, a partir d’aquí, s’obre la possibilitat de conquerir, en aquest reconeixement, un espai propi.<br /><br />https://goo.gl/DxG3Z4</p>","https://scontent.xx.fbcdn.net/v/t31.0-8/p720x720/27164458_1972049213116120_1081750315091576811_o.jpg?oh=df20930bb2b3f2d14dcbb725295a108a&oe=5AE9D628"
"Fotografies perdudes de la Guerra Civil espanyola. Francesc Boix","Centre Cívic Pati Llimona","Fotografia Pati Llimona","02/20/2018","","","",1,"Exposición, Espacios alternativos","0","https://www.facebook.com/events/1828410730786622/",1,1,"<p><img src='http://scontent.xx.fbcdn.net/v/t1.0-9/24899675_1998029907141685_4779644723018748841_n.jpg?oh=6fecba551ddd46c9260bcabbbedec660&oe=5B1F8302' width='228' height='182' alt='Fotografies perdudes de la Guerra Civil espanyola. Francesc Boix' />Després de la Guerra Civil, Francesc Boix i Campo (Barcelona 31-08-1920; París 4-7-1951) s’exilia a França on es internat en diversos camps de refugiats. Posteriorment, s’incorpora en brigades de treball de l’exèrcit francès durant la Segona Guerra Mundial (1939-1945) fins que és capturat per l’exèrcit alemany. El 1941 ingressa en el camp de concentració de Mauthausen, on treballa en el servei fotogràfic  del camp. Les fotos que va amagar, les que va fer i el seu testimoniatge als judicis de Nuremberg i Dachau el 1946 van contribuir a la condemna de diversos cap nazis.<br /><br />El seu compromís polític amb les Joventuts Socialistes Unificades de Catalunya l’havia dut, amb només 17 anys, al front d’Aragó, primer, i del Segre, després, com a fotògraf de l’Exèrcit Popular de la República. Allà va retratar, bàsicament, la vida quotidiana dels soldats i , en algunes ocasions, la primera línia del front.<br /><br />Aquestes fotografies van restar perdudes fins que, encara anònimes i procedents de Perpinyà, la Comissió de la Dignitat les va comprar a un antiquari de Barcelona l’any 2013. Tot seguit van ser transferides a Fotoconnexió, entitat que es va encarregar del tractament del fons. L’autoria dels retrats, mitjançant una anàlisi grafològica i per la descoberta de retrats de Boix entre els negatius. Actualment el fons es conversa a l’Arxiu Nacional de Catalunya.<br /><br />Amb la recuperació dels negatius de la Guerra Civil de Francesc Boix es completa el llegat fotogràfic d’un jove noi del Poble-Sec de Barcelona, que ha passat a la història com un dels fotògrafs més destacats del país.<br /><br />Inauguració: 20 de febrer, a les 19.30 h.<br />Del 20 de febrer al 19 de març<br /><br />Sala Montserrat Roig i Ruïnes<br /><br />Iniciativa i col·laboració: Fotoconnexió i Institut d'Estudis Ilerdencs</p>","https://scontent.xx.fbcdn.net/v/t1.0-9/24899675_1998029907141685_4779644723018748841_n.jpg?oh=6fecba551ddd46c9260bcabbbedec660&oe=5B1F8302"
"Exposición 'Girls, Palm Trees, Barcelona'' Marta Chojnacka","Miscelanea Bcn","Miscelanea Bcn","01/31/2018","","","",1,"Exposición, Espacios alternativos","0","https://www.facebook.com/events/149687835733347/",1,1,"<p><img src='http://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/26952448_1607965002629573_2098974670278548859_o.jpg?oh=a00457fa635318c2fabb84a2612bf287&oe=5AE93E27' width='228' height='182' alt='Exposición 'Girls, Palm Trees, Barcelona'' Marta Chojnacka' />INAUGURACIÓN: Miércoles 31 de Enero a las 20:00h<br /><br />Con este proyecto, la artista polaca quiere invitar al público a ver y experimentar Barcelona en la forma en la que ella lo hace. Una visión fantástica de la realidad articulada en tres ejes, representados en tres series.<br /><br />En primer lugar, LOS RETRATOS: Personajes extraordinarios que ha conocido o imaginado con la ciudad como escenario: chicas con actitud y carácter, como salidas de las historias de Almodóvar. <br /><br />Marta imagina los detalles de sus vidas que las vinculan entre ellas, para ella, “Barcelona es a veces un pueblo en el que los protagonistas se conocen bien entre sí”<br /><br />En segundo lugar, LOS RINCONCITOS: Lugares reales —que podríamos visitar en Barcelona— llenos de follaje, plantas y color que expresan su amor por la naturaleza.<br /><br />Y como tercer eje, LA PINTUTRA MURAL: Una de sus pasiones,  y en la que según la artista, demuestra al público cómo muy a menudo —si no siempre—, una obra pictórica es creada para ser exhibida de una forma o en un lugar determinados.<br /><br />Una combinación de retratos y rincones, personajes y vegetación, representando su visión barcelonesa en una exposición.</p>","https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/26952448_1607965002629573_2098974670278548859_o.jpg?oh=a00457fa635318c2fabb84a2612bf287&oe=5AE93E27"
"Exposició ""Búsqueda"" (Tania Agustí/Pablo Gutiérrez)","La Idealogica","La Idealogica","02/01/2018","","","",1,"Exposición, Espacios alternativos","0","https://www.facebook.com/events/111522106327063/",1,1,"<p><img src='http://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/27163983_429333310817123_5387721905721655865_o.jpg?oh=2ca4b42886835419556e161e9082eac7&oe=5AED48B5' width='228' height='182' alt='Exposició ""Búsqueda"" (Tania Agustí/Pablo Gutiérrez)' />Què millor que començar l'any amb una mica de fotografia?  La Tania Agustí i el Pablo Gutiérrez ens donen la oportunitat de submergir-nos en els seus mons el proper 1 de febrer. Així ens ho expliquen ells:  <br /><br />Pablo Gutiérrez (@pablomaguphoto): ""La serie que presento no se centra en un tema en concreto. Trato aspectos contrapuestos como son el caos y la soledad. Exploro obsesiones y esperanzas y me desplazo entre la luz y la oscuridad.<br /><br />Trato de mostrar esa fracción de realidad que está frente a nosotros pero que solo podemos intuir si observamos detenidamente y abrimos nuestra percepción en esa dirección. Planteando muchas mas preguntas que respuestas.""<br /><br />-------<br /><br />Tania Agustí (@chaoticfleur): ""Mis fotografías se centran en la búsqueda del detalle, un detalle relacionado con mi naturaleza y con la que me rodea. Intentando mantenerme en equilibrio, aunque pocas veces lo consigo. Mis fotografías dejan entrever aspectos que perduran en el tiempo, muchas veces invisibles para la mayoría. Destrucción y belleza van de la mano. Una  introspección a mi mente y a mi corazón.""<br /><br />¿Nos acompañas en la BÚSQUEDA?</p>","https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/27163983_429333310817123_5387721905721655865_o.jpg?oh=2ca4b42886835419556e161e9082eac7&oe=5AED48B5"
"ADG Talk Carla Cascales & Raya Sader","Carretes 47","ADG-FAD","01/31/2018","","","",1,"Exposición, Espacios alternativos","0","https://www.facebook.com/events/147405962587460/",1,1,"<p><img src='http://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/26910051_10154987214012651_4815187787318011356_o.jpg?oh=5eb967c65553c2a2bf9f4b9247d390fa&oe=5ADEBD9A' width='228' height='182' alt='ADG Talk Carla Cascales & Raya Sader' />En el proper ADG Talk explorarem l'evolució professional de Carla Cascales i Raya Sader, que ens explicaran com van decidir consolidar la seva faceta artística i convertir-la en una manera de viure. Jay K Darvishian inaugurarà la figura del ""teloner"", un nou espai en els ADG Talks on estudiants o joves professionals faran una intervenció per parlar d'un projecte, idea o concepte.<br /><br />En aquesta ocasió el Talk serà a Carretes 47, en ple centre de Barcelona.<br /><br />Com sempre, podrem gaudir d'unes cerveses cortesia de Moritz.<br /><br />Socis ADG gratuït<br />Entrada general 3€<br />Aforament limitat, registra't aquí 👉 http://bit.ly/ADGTalkregistration<br /><br />—<br /><br />En el próximo ADG Talk exploraremos la evolución profesional de Carla Cascales y Raya Sader, que nos explicarán cómo decidieron consolidar su faceta artística y convertirla en un medio de vida. Jay K Darvishian inaugurará la figura de ""telonero"", un nuevo espacio en los ADG Talks dónde estudiantes o jóvenes profesionales harán una intervención para hablar de un proyecto, idea o concepto.<br /><br />En esta ocasión el Talk será en Carretes 47, en pleno centro de Barcelona.<br /><br />Como siempre, podremos disfrutar de unas cervezas cortesía de Moritz.<br /><br />Socios ADG gratuito<br />Entrada general 3€<br />Aforo limitado, resgístrate aquí 👉 http://bit.ly/ADGTalkregistration</p>","https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/26910051_10154987214012651_4815187787318011356_o.jpg?oh=5eb967c65553c2a2bf9f4b9247d390fa&oe=5ADEBD9A"
"EXPO Colectiva Forever ART","RelacionArte Galería","RelacionArte Galería","01/23/2018","","02/08/2018","",1,"Exposición, Espacios alternativos","0","https://www.facebook.com/events/150543739064164/",1,1,"<p><img src='http://scontent.xx.fbcdn.net/v/t31.0-8/q88/s720x720/26849970_1316097635161141_1141516700816886967_o.jpg?oh=ec51ca1d3a80790eb00916ecad6438c5&oe=5AD8B1A7' width='228' height='182' alt='EXPO Colectiva Forever ART' />FANTASTICA EXPO COLECTIVA CON ARTISTAS TALENTOSOS !!!</p>","https://scontent.xx.fbcdn.net/v/t31.0-8/q88/s720x720/26849970_1316097635161141_1141516700816886967_o.jpg?oh=ec51ca1d3a80790eb00916ecad6438c5&oe=5AD8B1A7"
