web-scraper-order,web-scraper-start-url,event_title1,event_title2,event_image-src,event_text,event_start,event_end,event_venue,event_link,event_link-href,event_organizer__MACBA,event_category__Actividad__MACBA,event_maplink__1,event_cost__,event_id
1516632102-140,http://www.macba.cat/es/actividades,Parlem de... Rosemarie Castoro. Enfocar al infinito,"Con Carmelo Salazar, coreógrafo",/uploads/20171106/Rosemarie_Castoro_Red_Pink_Green_Gray_1965.0.jpg,"PARLEM DE… ROSEMARIE CASTORO. ENFOCAR AL INFINITO

Con Tanya Barson, Mariana Cánepa y Carmelo Salazar



El programa Parlem de quiere generar espacios de debate, a partir de las exposiciones del museo, entre distintos agentes y artistas de la ciudad y el público que nos visita. Es un espacio de encuentro que entiende las exposiciones como poderosos dispositivos activadores de la imaginación y generadores de discursos que a menudo exceden aquellos previstos por la institución o preconcebidos por el equipo curatorial.",11 nov. 2017,31 mar. 2018,MACBA,,https://www.macba.cat/es/parlem-de-rosemarie-castoro-enfocar-al-infinito/1/all/activ,null,null,null,null,/es/parlem-de-rosemarie-castoro-enfocar-al-infinito/1/all/activ
1516632068-124,http://www.macba.cat/es/actividades,ideadestroyingmuros entre las tierras: metodología y autoetnografía del tejer nudos,Encuentro entre colectivos queer autogestionados,/uploads/20180122/archipielagos_ideadestroyingmuros.3.jpg,"en este taller realizaremos, junto con los participantes, una instalación textil reciclando prendas de mujeres: un mar que toca todos los países PIGS, los países árabes del mediterráneo y turquía.

en esta ocasión proponemos el mar como un elemento común que crea posibilidad de alianzas sin valorizar la simbología porcina, propia de la islamofobia actual.

siendo los países PIGS, a excepción de grecia, fundados en la colonización, proponemos la toma de responsabilidad histórica como herramienta capaz de desplazar el sistema de género occidental.

el mar es un lugar atravesado por historias neocoloniales y de esclavitud que queremos transformar a través de un proceso de deshacer, tanto material como narrativo. conscientes de que portugal se asoma al atlántico, durante el taller se pondrán en juego responsabilidades que no se circunscriben al mediterráneo y se dará espacio a la puesta en común de las genealogías de cada participante.

a partir de trapillos tejeremos nudos con la técnica del macramé, técnica aparentemente ingenua que incluye en sí relaciones de dominación en movimiento durante siglos.

el mar toma la forma de una red que contemporáneamente une y separa,

una red de cautividad para muchas personas que se desplazan desde el continente africano hacia europa.

documentaremos todo este proceso para crear un archivo vivo de los días del taller y de los encuentros que en él tendrán lugar.



TAGS: redes, alianzas, textil, instalación, nudos, macramé, colonialismo, posexótico, genealogía, archivo vivo, narrativas, áfrica-europa.",6,09 feb. 2018,,,https://www.macba.cat/es/ideadestroyingmuros-entre-las-tierras--metodologia-y-autoetnografia-del-tejer-nudos/1//activ,null,null,null,null,/es/ideadestroyingmuros-entre-las-tierras--metodologia-y-autoetnografia-del-tejer-nudos/1//activ
1516632091-135,http://www.macba.cat/es/actividades,Parlem de... Brossa,"Con Oriol Vilanova, artista",/uploads/20170921/Foto_19_9_17_9_59_07.2.jpg,"PARLEM DE… POESÍA BROSSA

Con Eduard Escoffet, Teresa Grandas, Oriol Vilanova, Ester Xargay y  Isabel de Naveran



El programa Parlem de quiere generar espacios de debate, a partir de las exposiciones del museo, entre distintos agentes y artistas de la ciudad y el público que nos visita. Es un espacio de encuentro que entiende las exposiciones como poderosos dispositivos activadores de la imaginación y generadores de discursos que a menudo exceden aquellos previstos por la institución o preconcebidos por el equipo curatorial.",07 oct. 2017,24 feb. 2018,MACBA,,https://www.macba.cat/es/parlem-de-joan-brossa/1/all/activ,null,null,null,null,/es/parlem-de-joan-brossa/1/all/activ
1516632076-128,http://www.macba.cat/es/actividades,Autogestión cerda,Encuentro entre colectivos queer autogestionados,/uploads/20180103/amoqa.3.jpg,"El encuentro Autogestión cerda busca compartir estrategias, metodologías y temas de investigación de cuatro colectivos provenientes del sur de Europa que trabajan en los límites de la producción cultural y el activismo de la disidencia sexual. A través de una propuesta práctica y colectiva, se desarrollarán cuatro talleres con estudiantes del PEI y personas interesadas.



El primer marco referencial que los reúne es su contexto geopolítico de procedencia, puesto que los colectivos convocados residen y trabajan en los países europeos conocidos en el ámbito anglosajón como PIGS (cerdos en inglés): Portugal, Italia, Grecia y España. Se trata de los países considerados más pobres e inestables, económica y políticamente, dentro del contexto europeo, razón por la que se les ha designado con la enunciación injuriosa de cerdos.



El segundo marco referencial tiene que ver con que los colectivos o personas desarrollan prácticas de trabajo vinculadas a la producción cultural, y estas, a su vez, están atravesadas de distinto modo en su trayectoria por la disidencia sexual, el feminismo, las prácticas queer y el trabajo político y activista. En este sentido, la enunciación peyorativa de cerda busca poder invertir su carga a través de la indagación en torno a los modelos de trabajo, las metodologías y la producción autogestionada como forma de autonomía y articulación crítica.



Con la participación de AMOQA (Grecia), Equipo Palomar (España), Ideadestroyingmuros (Italia), Carmo Ge Pereira (Portugal) y PEI.",6,09 feb. 2018,,,https://www.macba.cat/es/autogestion-cerda/1//activ,null,null,null,null,/es/autogestion-cerda/1//activ
1516632089-134,http://www.macba.cat/es/actividades,La Mida no importa 2018,6a edición del Concurso Internacional de cortometrajes,/uploads/20180122/laurel_La_mida_no_importa.6.jpg,"Los días 25, 26 y 27 de enero se presentará la 6a edición de este concurso organizado por el Casal de Barri Folch i Torres y por  SLOWCUrT, con la colaboración de la Fundació Tot Raval, el MACBA, el Ateneu del Raval, el apoyo de Raval Cultural y de varias entidades y colectivos del barrio.



En esta edición se han presentado a concurso más de 350 cortometrajes, de los cuales han sido preseleccionados 47 cortos de realizadores y realizadoras de 19 países diferentes. Este festival cinematográfico presenta, a través de diferentes géneros y códigos expresivos, relatos sobre vivencias personales y cotidianas que ponen de manifiesto la diversidad de las relaciones humanas, el valor del diálogo y la interacción cultural. 



El jurado estará conformado por Albert Baquero (realizador y productor de Camille Zonca), Gustavo Melella (realizador, artista plástico y docente de disciplinas audiovisuales) y Queralt Pons (Catalan Films&TV).



Durante esta edición, tendremos en la sección socioeducativa del festival el estreno exclusivo de la segunda temporada de ""Oh My Goig"", serie juvenil de formato educativo transmedia pensada para informar, sensibilizar y empoderar adolescentes (y no tan adolescentes) sobre la sexualidad. Una propuesta de la productora Camille Zonca para betevé, con dirección de contenidos a cargo del Centre Jove d'Atenció a les Sexualitats (CJAS). Se proyectará en primicia el 8º capítulo de la segunda temporada, titulado ""Transitar"", donde los jóvenes protagonistas reflexionan sobre el hecho trans y la relación que tenemos con el género. Rodado en buena parte en el Raval, es uno de los episodios más importantes de la temporada. Seguidamente se realizará una mesa redonda abierta donde participarán los actores y las actrices protagonistas, la directora Aïda Torrent y el equipo responsable de los contenidos de la serie.



Al igual que los últimos años, los cortometrajes se proyectarán en dos espacios: en el Ateneu del Raval (c/ Reina Amàlia, 3) el día 25 a partir de las 19h y en el Auditorio Meier del MACBA (Pl. dels Àngels,1), los días 26 y 27 en dos sesiones (a las 17,30 y a las 19h)



Más información y programa completo: www.lamidanoimporta.cat",26,27 ene. 2018,,,https://www.macba.cat/es/la-mida-no-importa-2018/1//activ,null,null,null,null,/es/la-mida-no-importa-2018/1//activ
1516632072-126,http://www.macba.cat/es/actividades,Taller: Seguir de fiesta. El Palomar,Autogestión cerda,/uploads/20180122/el_palomar.2.jpg,"Proponemos el terreno de la fiesta como espacio de reivindicación queer. Retomando el planteamiento de Hedonismo crítico, proyecto desarrollado en 2016 para el comisariado de Martí Manen en la Fundació Miró, queremos seguir explorando la versatilidad y radicalidad de propuestas artísticas enmarcándolas en el ámbito festivo. La fiesta, lugar libre del peso estructural del museo o del centro de arte, es un formato a repensar.



Históricamente, las comunidades queer han generado sus propias escenas de celebración como lugares inclusivos donde fortalecer redes de afecto. Para Autogestión cerda, trabajaremos con el grupo asignado en generar un evento festivo, conjugando la música con propuestas artísticas concretas, que hablen desde experiencias de subjetividades radicales. Un momento para compartir inquietudes y energías; en otras palabras, generar un aquelarre.



TAGS: fiesta, arte, performance, subjetividad radical",6,09 feb. 2018,,,https://www.macba.cat/es/el-palomar-seguir-de-fiesta/1//activ,null,null,null,null,/es/el-palomar-seguir-de-fiesta/1//activ
1516632097-138,http://www.macba.cat/es/actividades,Parlem de... Colección. Bajo la supeficie,"Con Pep Agut, artista",/uploads/20170719/latifa_770.jpg,"PARLEM DE… COLECCIÓN MACBA. BAJO LA SUPERFICIE

Con Ignasi Aballí, Pep Agut, Ángela de la Cruz, Dora García, Antonia M. Perelló y Jordi Colomer



El programa Parlem de quiere generar espacios de debate, a partir de las exposiciones del museo, entre distintos agentes y artistas de la ciudad y el público que nos visita. Es un espacio de encuentro que entiende las exposiciones como poderosos dispositivos activadores de la imaginación y generadores de discursos que a menudo exceden aquellos previstos por la institución o preconcebidos por el equipo curatorial.",14 oct. 2017,17 mar. 2018,MACBA,,https://www.macba.cat/es/parlem-de-colleccion-macba-bajo-supeficie/1/all/activ,null,null,null,null,/es/parlem-de-colleccion-macba-bajo-supeficie/1/all/activ
1516632048-115,http://www.macba.cat/es/actividades,Germán Labrador. Luces efímeras. Estéticas ciudadanas y orden neoliberal,Conferencia PEI Obert,/uploads/20180108/imagen_german_labrador.4.jpg,,21 mar. 2018,null,Auditori Meier,,https://www.macba.cat/es/german-labrador--luces-efimeras-esteticas-ciudadanas-y-orden-neoliberal/1//activ,null,null,null,null,/es/german-labrador--luces-efimeras-esteticas-ciudadanas-y-orden-neoliberal/1//activ
1516632074-127,http://www.macba.cat/es/actividades,"Carmo Gê Pereira. Educación sexual por y para todxs desde una perspectiva sex+, crítica y queer autónoma",Encuentro entre colectivos queer autogestionados,/uploads/20180122/Nossa_senhora_net_Carmo_P.2.png,"A lo largo del taller evaluaremos las necesidades, áreas de actuación y perspectivas de autonomía en torno a la creación de un programa de educación sexual para adultos, que sea prosexo, inclusivo y crítico, y que contemple capas identitarias (diversidad corporal, género, orientación del deseo, sexual y relacional), así como placeres y accesibilidades, los lugares del cuerpo deseado y del cuerpo deseante (autoerotismo, visibilidad, representación y construcción autónoma del deseo). Este taller invita a las participantes a pensar formas de supervivencia, apoyos no institucionales y alianzas que permitan realizar un trabajo educativo no formal, teniendo en cuenta la ampliación de públicos. Al final del taller se reflexionará en torno a qué es un programa de educación sexual para adultos inclusivo, y qué formas de sustentabilidad alternativas puede haber para un proyecto de estas características.



TAGS: pedagogía sexual, diversidades, erotismo, accesibilidad, deseo, supervivencia, inclusividad",6,09 feb. 2018,,,https://www.macba.cat/es/carmo-ge-pereira-educacion-sexual-por-para-todxs-desde-una-perspectiva-sex+-critica-queer-autonoma/1//activ,null,null,null,null,/es/carmo-ge-pereira-educacion-sexual-por-para-todxs-desde-una-perspectiva-sex+-critica-queer-autonoma/1//activ
1516632070-125,http://www.macba.cat/es/actividades,AMOQA (Athens Museum of Queer Arts). El juego de amoq-ah,Encuentro entre colectivos queer autogestionados,/uploads/20180122/amoqa.3.png,"El taller propuesto por parte de AMOQA tratará temas de vitalidad y sostenibilidad en torno a proyectos colectivos y autogestionados, tomando como formato de trabajo el diseño colectivo de un juego. Trabajaremos en los contenidos y las reglas del juego, así como en el propio formato y diseño estético.



A lo largo de tres días, nos sumergiremos en la aventura de la colectividad entendida en un marco de interdependencia (lack of queer feminist spaces in Athens). Inventaremos herramientas de sobrevivencia, diseñaremos recorridos disidentes, adoptaremos roles mutantes, nos enfrentaremos con la legalidad (el 10 de octubre de 2016, un Juzgado del Distrito de Atenas rechazó la solicitud de AMOQA para registrarse como asociación (Orden 323/2016). La negativa se basa en la sospecha, por parte del Juzgado del Distrito, de que AMOQA pretende «difundir la homosexualidad» y tiene «un fin comercial oculto»).



Bailaremos tres pasitos adelante y dos pa' atrás mientras practicamos autocuidados, escogeremos entre movilidades asistidas (apply for a grant?) o planearemos operaciones de rescate (¿fiesta solidaria?), nos basaremos en la memoria colectiva (how do you build a queer feminist archive when you don’t have a sustainability plan?), construiremos afinidades, experimentaremos el poder y la sumisión consensuada (¿asamblea no autoritaria?).



Nos guiarán los placeres, las amistades, los ideales, los deseos personales (QUEER ART is FEMINIST is POLITICAL), trataremos la vulnerabilidad de nuestro proyecto y de nosotrxs mismxs (I don’t have a job. I don’t have time for politics. I’m not an artist). Nos someteremos en juicios colectivos (BIG ART VENUES, NGOS, COPS and Government work together. You are not considered radical anymore. You have lost allies), nos contagiaremos por ternura radical, transitaremos entre identidades puestas en escena y así en crisis.



Un juego performativo no lineal basado en historias reales y contextos locales.



TAGS: sustentabilidad queer, juego, organización colectiva, vulnerabilidades, performatividad",6,09 feb. 2018,,,https://www.macba.cat/es/amoqa-athens-museum-of-queer-arts--el-juego-de-amoq-ah/1//activ,null,null,null,null,/es/amoqa-athens-museum-of-queer-arts--el-juego-de-amoq-ah/1//activ
