web-scraper-order,web-scraper-start-url,event_link,event_link-href,event_title1,event_image-src,event_text,event_organizer__CCCB,event_maplink__1,event_cost__6,event_venue__CCCB,event_category__CCCB__Exposición,event_id,event_title2,event_start,event_end
1519993659-161,http://www.cccb.org/es/actividades/actuales/2,El pensamiento tentacular de Donna Haraway. Una aproximación,http://www.cccb.org/es/actividades/ficha/el-pensamiento-tentacular-de-donna-haraway-una-aproximacion/228017,El pensamiento tentacular de Donna Haraway. Una aproximación,http://www.cccb.org/rcs_gene/Seminari_HelenTorresDonnaHaraway_webCCCB.jpg,En este seminario nos acercaremos al pensamiento imprescindible de la bióloga y filósofa de la ciencia Donna Haraway para explorar su crítica radical al pensamiento científico occidental y al excepcionalismo humano.,null,null,null,null,null,http://www.cccb.org/es/actividades/ficha/el-pensamiento-tentacular-de-donna-haraway-una-aproximacion/228017,Seminario a cargo de Helen Torres,"7, 14, 21 y 28 febrero, 7 marzo 2018","7, 14, 21 y 28 febrero, 7 marzo 2018"
1519993649-156,http://www.cccb.org/es/actividades/actuales/2,OVNI 2018,http://www.cccb.org/es/actividades/ficha/ovni-2018/228512,OVNI 2018,http://www.cccb.org/rcs_gene/ovni-18_web-cccb_mer-grosse_thierry-de-cordier.jpg,"Visiones – Silencios – Oscuridades

Este OVNI propone un viaje anímico y reflexivo por la experiencia de la muerte: muerte física y muertes del ego. Planteado no como una programación habitual de vídeo sino como un ritual de paso, en el que transitaremos por visiones (vídeos), textos, sonidos y ritos, pero también por silencios y oscuridades compartidas...",null,null,null,null,null,http://www.cccb.org/es/actividades/ficha/ovni-2018/228512,camino de retorno,8 - 11 marzo 2018,8 - 11 marzo 2018
1519993666-164,http://www.cccb.org/es/actividades/actuales/2,Un lugar en el mundo,http://www.cccb.org/es/actividades/ficha/un-lugar-en-el-mundo/228360,Un lugar en el mundo,http://www.cccb.org/rcs_gene/Cognetti_1000.jpg,"Paolo Cognetti, autor de Las ocho montañas (Literatura Random House / Les vuit muntanyes, Navona, 2018), novela ganadora del Premio Strega 2017, reivindica la recuperación del íntimo vínculo entre la humanidad y la naturaleza",null,null,null,null,null,http://www.cccb.org/es/actividades/ficha/un-lugar-en-el-mundo/228360,Conversación de Paolo Cognetti con Cristian Palazzi,7 marzo 2018,7 marzo 2018
1519993655-159,http://www.cccb.org/es/actividades/actuales/2,Inteligencia artificial como herramienta ante los fenómenos meteorológicos extremos,http://www.cccb.org/es/actividades/ficha/inteligencia-artificial-como-herramienta-ante-los-fenomenos-meteorologicos-extremos/227597,Inteligencia artificial como herramienta ante los fenómenos meteorológicos extremos,http://www.cccb.org/rcs_gene/fenomens-extrems..jpg,"Los participantes realizarán una revisión del estado del arte de las metodologías que permiten predecir fenómenos naturales extremos, y prever y mitigar sus efectos.",null,null,null,null,null,http://www.cccb.org/es/actividades/ficha/inteligencia-artificial-como-herramienta-ante-los-fenomenos-meteorologicos-extremos/227597,,8 marzo 2018,8 marzo 2018
1519993699-170,http://www.cccb.org/es/actividades,Taller de realización de documentales: narrativas del antropoceno,http://www.cccb.org/es/actividades/ficha/taller-de-realizacion-de-documentales-narrativas-del-antropoceno/226930,Taller de realización de documentales: narrativas del antropoceno,http://www.cccb.org/rcs_gene/Taller-documental.jpg,"Taller teoricopráctico que pretende introducir a los alumnos al mundo de la realización de documentales, con un interés particular en la temática del antropoceno.",null,null,null,null,null,http://www.cccb.org/es/actividades/ficha/taller-de-realizacion-de-documentales-narrativas-del-antropoceno/226930,,"17 y 24 febrero, 3 y 10 marzo 2018","17 y 24 febrero, 3 y 10 marzo 2018"
1519993695-168,http://www.cccb.org/es/actividades,Conversación entre Donna Haraway y Marta Segarra,http://www.cccb.org/es/actividades/ficha/conversacion-entre-donna-haraway-y-marta-segarra/228165,Conversación entre Donna Haraway y Marta Segarra,http://www.cccb.org/rcs_gene/Haraway-Segarra_1000.jpg,"Marta Segarra, directora de investigación del Laboratoire d’Études de Genre et de Sexualité del CNRS francés, conversará con la bióloga y filósofa  Donna Haraway sobre la necesidad de replantear la relación de los humanos con la Tierra y todos sus habitantes.",null,null,null,null,null,http://www.cccb.org/es/actividades/ficha/conversacion-entre-donna-haraway-y-marta-segarra/228165,Debate por videoconferencia,5 marzo 2018,5 marzo 2018
1519993642-153,http://www.cccb.org/es/actividades/actuales/2,Flexo 4/6. Las (in)humanidades. Seminario a cargo de Víctor García Tur,http://www.cccb.org/es/actividades/ficha/flexo-4-6-las-inhumanidades-seminario-a-cargo-de-victor-garcia-tur/227736,Flexo 4/6. Las (in)humanidades. Seminario a cargo de Víctor García Tur,http://www.cccb.org/rcs_gene/Flexo_Inhumanitats_webCCCB.jpg,"La literatura, la antropología, el cine, la filosofía, el diseño y la poesía son métodos para reflexionar, para dar lugar a las cosas. En esta edición de Flexo, seis pensadores y pensadoras intentarán situar su trabajo, encarnarlo en un lugar concreto a partir de las lecturas que les inspiran.",null,null,null,null,null,http://www.cccb.org/es/actividades/ficha/flexo-4-6-las-inhumanidades-seminario-a-cargo-de-victor-garcia-tur/227736,"De ""Hiperobjetos: filosofía y ecología después del fin del mundo"", de Timothy Morton, a ""Solaris"", de Stanisław Lem","12, 19 y 26 marzo 2018","12, 19 y 26 marzo 2018"
1519993662-162,http://www.cccb.org/es/actividades/actuales/2,Seis excéntricos chinos. Del presente a la antigüedad,http://www.cccb.org/es/actividades/ficha/seis-excentricos-chinos-del-presente-a-la-antiguedad/228052,Seis excéntricos chinos. Del presente a la antigüedad,http://www.cccb.org/rcs_gene/Excentrics-xinesos_webCCCB.jpg,"A través de seis creadores y pensadores singulares y heterodoxos chinos, transitaremos por tres periodos muy diferentes. Invertiremos la flecha del tiempo y viajaremos desde el presente hasta la antigüedad, pasando por el esplendor creativo del periodo clásico de los Tang. Y nos veremos reflejados en ellos.",null,null,null,null,null,http://www.cccb.org/es/actividades/ficha/seis-excentricos-chinos-del-presente-a-la-antiguedad/228052,"A cargo de Manel Ollé, Anne-Hélène Suárez y Albert Galvany","14, 21 y 28 febrero, 7, 14 y 21 marzo 2018","14, 21 y 28 febrero, 7, 14 y 21 marzo 2018"
1519993664-163,http://www.cccb.org/es/actividades/actuales/2,«Después del fin del mundo» visto por Barcelona + Sostenible,http://www.cccb.org/es/actividades/ficha/despues-del-fin-del-mundo-visto-por-barcelona-sostenible/227700,«Después del fin del mundo» visto por Barcelona + Sostenible,http://www.cccb.org/rcs_gene/visita-comentada.jpg,"En el marco de la celebración en París de la COP 21, la red de firmantes del Compromiso Ciudadano por una Barcelona más Sostenible decidió ir un paso más allá y marcar unos objetivos ambiciosos de mitigación y adaptación concretando las acciones climáticas a corto y largo plazo para lograrlos. De esta manera, se constituyeron 9 equipos de trabajo que han estado desarrollando 9 proyectos que se recojen en el Compromiso de Barcelona por el Clima.",null,null,null,null,null,http://www.cccb.org/es/actividades/ficha/despues-del-fin-del-mundo-visto-por-barcelona-sostenible/227700,Barcelona por el Clima,"7 marzo, 4 abril 2018","7 marzo, 4 abril 2018"
1519993647-155,http://www.cccb.org/es/actividades/actuales/2,Movimiento Biochar,http://www.cccb.org/es/actividades/ficha/movimiento-biochar/228310,Movimiento Biochar,http://www.cccb.org/rcs_gene/ESTACIO-CIUTAT-3.jpg,La jornada Movimiento Biochar se articula en torno a una serie de charlas y talleres sobre el estudio de los efectos del biochar en suelos empobrecidos y el uso que hacen de este carbón vegetal algunas cooperativas.,null,null,null,null,null,http://www.cccb.org/es/actividades/ficha/movimiento-biochar/228310,,10 marzo 2018,10 marzo 2018
