web-scraper-order,web-scraper-start-url,event_organizer,event_venue,event_text,event_title,event_link,event_link-href,event_facebooktime,event_maplink__1,event_cost__,event_category__,event_id,event_image-src
"1524147634-5","http://www.artssspot.com/barcelona/face-pages-prov/","Kolab.Bcn","Kolab.Bcn","En Kolab queremos celebrar Sant Jordi y lo hacemos con un mercadillo de arte de los artistas urbanos de nuestro kolectivo. Además tendremos otras sorpresas como viene siendo costumbre en nuestro espacio de creación Kolectiva.","Mercadillo de arte Sant Jordi","https://www.facebook.com/events/2100676786616114/","https://www.facebook.com/events/2100676786616114/","2018-04-23T02:00:00-07:00 to 2018-04-23T13:00:00-07:00","null","null","null","https://www.facebook.com/events/2100676786616114/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/p526x296/30705830_2097922163814498_5285027779155104543_n.jpg?_nc_cat=0&oh=d9fa740a6f3e314e8e385ce8cc6b9e68&oe=5B73C776"
"1524147711-11","http://www.artssspot.com/barcelona/face-pages-prov/","La Pandora","La Pandora","Después de los planetas, los satélites y los meteoritos, ahora llegan los marcianos del Mars MARKET a La Pandora. 🙂

El mercado de los “gerreros” y los valientes que resisten a todo tipo de ataque.

¿De dónde nace el Mars MARKET?

M = música
A = arte/artesania
R = restauración
S = simbiótica

Este último es el valor principal del Mars MARKET:
LA SIMBIÓTICA, una asociación de personas y organismos sociales constituida para apoyarse mutuamente. 
Es la unión de cosas diferentes que se juntan para poder obtener beneficios para todos.

El próximo sábado 5 de Mayo desde las 12h hasta las 23h, diferentes artistas animarán el espacio de La Pandora, haciéndonos aterrizar con una vibrante energía en cada uno de sus universos.

¡Aquí te esperamos!","MARS Market","https://www.facebook.com/events/195043384442428/","https://www.facebook.com/events/195043384442428/","2018-05-05T03:00:00-07:00 to 2018-05-05T14:00:00-07:00","null","null","null","https://www.facebook.com/events/195043384442428/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-9/s720x720/30726063_1381583255320519_214180449864384512_n.png?_nc_cat=0&oh=cc9d19008b31bc1af443c40bf948c9af&oe=5B6C7C90"
"1524147724-12","http://www.artssspot.com/barcelona/face-pages-prov/","NES","Nau Bostik","Blanca Haddad, polifacètica i prolifera artista veneçolana l'obra de la qual passa per disciplines com la pintura, la poesia o la performance i que ha desenvolupat la seva obra en circuits contraculturals, donant-se també a conèixer en destacats salons internacionals com la Biennal de l'Havana (Cuba) o la Biennal de Cuenca (Equador) presenta a la Nau Bostik aquesta extensa col·lecció de coloristes pintures fetes sobre cartrons de fruites acompanyades de pintures de gran format fetes sobre deixalles industrials, a les quals l'artista anomena 'pintures inframodernes'.","Inauguración. Blanca Haddad. Colección de cartones","https://www.facebook.com/events/152232585607970/","https://www.facebook.com/events/152232585607970/","2018-05-04T10:00:00-07:00 to 2018-05-04T14:00:00-07:00","null","null","null","https://www.facebook.com/events/152232585607970/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/p235x350/30571625_1472407206202519_402922099035432339_n.jpg?_nc_cat=0&oh=9fe0562a607cc3790a3af44c96bb9b20&oe=5B5AC5A1"
"1524147621-4","http://www.artssspot.com/barcelona/face-pages-prov/","Lomography Embassy Barcelona","Lomography Embassy Barcelona","Las tardes analógicas de Lomography Embassy Barcelona #2:

Seguimos con el ciclo de microexposiciones de fotografía de autor. 
El próximo jueves, día 26 de abril os presentaremos el fascinante trabajo de Cokoif, que nos traslada directamente dentro del agua del mar . 
Cokoif desafia viento, olas y mareas como un pequeño Tritón de nuestros tiempos, para inmortalizar con sus cámaras analógicas esos instantes de silencio y calma justo antes de que llegue la ola con toda su fuerza. Sus fotos hacen que el mar se tranquilice y se detenga. 

Tendremos el placer de entrevistar a Cokoif, que nos contará en primera persona su experiencia fotográfica, y nos tomaremos todos juntos una cervecita para brindar al mar, a la fotografía y a la primavera que por fin ha llegado. :)

¡Os esperamos, amigos!

Si queréis saber más de la obra de Cokoif visitad su página Instagram: https://www.instagram.com/cokoif/?hl=es. o Facebook: https://www.facebook.com/Cokoif/","Inauguración de la exposición de Cokoif","https://www.facebook.com/events/564385447264472/","https://www.facebook.com/events/564385447264472/","2018-04-26T09:00:00-07:00 to 2018-04-26T12:00:00-07:00","null","null","null","https://www.facebook.com/events/564385447264472/","https://scontent-mad1-1.xx.fbcdn.net/v/t31.0-0/p526x296/30167200_937801946387901_5658891597733970662_o.jpg?_nc_cat=0&oh=73662d823f6331dda4fefc4b80b3f841&oe=5B6568D5"
"1524147741-13","http://www.artssspot.com/barcelona/face-pages-prov/","Art Photo Bcn","MAY4vie11:00","La V edición de Art Photo Bcn tendrá lugar del 4 al 6 de mayo de 2018 en la Antiga Escola Massana. Os invitamos a disfrutar de las actividades y exposiciones que hemos preparado con el objetivo de dar a conocer y afianzar el trabajo de fotógrafos emergentes y galerías. 

Descubre toda la programación en: http://artphotobcn.com/

FERIA DE FOTOGRAFÍA EMERGENTE
Con el formato fresco de una feria de fotografía emergente proponemos un evento especializado que acerque al público general piezas de creadores emergentes. Es un placer contar con la presencia de los siguientes expositores: 
· Cristina de Middel & Bruno Morais
· SYSTEMA Gallery (Osaka)
· 55 Bellechasse (París)
· About Art (Lugo)
· El Catascopio (Barcelona)
· Art Deal project (Barcelona)
· COPIAS WALL (Barcelona)
· Can Basté (Barcelona)
· CC Pati Llimona (Barcelona)
· CC Golferichs / Espai Català Roca (Barcelona)
· ELISAVA (Barcelona)
· CFD (Barcelona)
· El Observatorio (Barcelona)
· Gema Polanco Asensi (Ganadora de la IV ed. Art Photo Bcn)

VISIONADOS
Os presentamos a los finalistas de la convocatoria de la V edición:
· Oriol Llauradó Ballesta, NAHUI OLIN
· Laura Van Severen, An outward appearance
· Alex Llopis Cardona, ALIENS
· Colectivo 19, Distrito 19 *autores de la fotografía
· Lluís Estopiñan Canals, Disclosed Memory
· Marco Panzetti, The Idea of Europe
· Jesús Montañana Grau, Lo que no se ve
· Gerard Boyer Ballesteros, Descampado
· Sara Montenegro, The Space Between

SESIONES ESPECIALIZADAS
¡No te pierdas las mesas redondas, las presentaciones y el BookJockey que hemos programado!

Aquí tienes toda la información: https://goo.gl/WytGTR

EXPOSICIONES EN SEDES ASOCIADAS
Este año, por primera vez, hemos ampliado el festival fuera de nuestro espacio y contamos con una serie de espacios en los que tendrá presencia nuestra programación y contenidos. 

Consulta la programación de las exposiciones: https://goo.gl/YKwrMu

CURSOS Y TALLERES 
Últimas plazas disponibles: https://goo.gl/dEzDer


Art Photo Bcn es una iniciativa privada promovida desde Art Deal project, agencia de proyectos comisariados y galería de arte de Barcelona. Ha sido creado y desarrollado por Isabel Lázaro historiadora del Arte, comisaria y galerista junto a Stefano Marchei comisario independiente y galerista. La imagen de Art Photo Bcn es fruto del trabajo de Ariadna Serra. La difusión del evento está en manos de Miren Pastor, fotógrafa y dinamizadora cultural.

¡Os esperamos!

*Fotografía portada COMO DIOS MANDA, Gema Polanco
Ganadora de la IV Ed. Art Photo Bcn","Art Photo Bcn 2018: Festival de Fotografía Emergente","https://www.facebook.com/events/247422575831372/","https://www.facebook.com/events/247422575831372/","2018-05-04T02:00:00-07:00 to 2018-05-06T11:00:00-07:00","null","null","null","https://www.facebook.com/events/247422575831372/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/p235x350/30726836_922486511265814_4573388482243723264_n.jpg?_nc_cat=0&oh=187829c9fa7079f6b90fdbf5c5c5db05&oe=5B4EC883"
"1524147646-6","http://www.artssspot.com/barcelona/face-pages-prov/","Dutch Art Institute","CC Convent de Sant Agustí","Curated by Veronica Valentini, with contributions by Tania Adam, María Íñigo Clavo, Alex Murray-Leslie, Quim Pujol, Aimar Arriola 
and students of DAI.

CRACKING THE MOULD examines a constellation of experiences from the South that transcend the boundaries between disciplines, geographies and languages in an attempt to highlight the frame of modern epistemology. Considering the multiplicity of potential presents and their interfaces, this symposium is conceived as a choreography that encompasses a wide range of contexts - Iberian, Brazilian and African - and practices - pre-artisanal, technological, fashion, music - and points towards a transdisciplinary perspective addressing both, tradition and change.

Some of the questions that informed the previous workshops with students and will cross the symposium are: when we deal with art or culture are we talking about forms or a set of relations? What is at stake? How can an artist deal with an artwork, by another artist? How do embodiments of various types of presence will come into being? What unexplored skills inhabit the body? How to (re) imagine blackness through cultural leaks? How do we trust the practices we develop without falling into the limbo of recognition? What happens if we invert the use of limbs? How to rethink radio, a variety show or a tv talk? What epistemological diversity can we learn from Lina Bo Bardi‘s cross-cultural experimentation, from a Manila shawl, from négritude or from wearable instrument shoes?

Location: Civic Centre Sant Agusti, Carrer del Comerç, 36, 08003 Barcelona. Free entrance, feel free to join. 

For more info, please visit the program page at the website of the Dutch Art Institute at https://bit.ly/2Hj05dD.","Roaming Assembly #21: Cracking The Mould","https://www.facebook.com/events/207650489831818/","https://www.facebook.com/events/207650489831818/","2018-04-22T06:30:00-07:00 to 2018-04-22T10:30:00-07:00","null","null","null","https://www.facebook.com/events/207650489831818/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/s526x296/30581548_1018670134959447_9139430139459796992_n.jpg?_nc_cat=0&oh=232925051fbd86ad92dd3d2910d59cf5&oe=5B5B7DC9"
"1524147672-8","http://www.artssspot.com/barcelona/face-pages-prov/","Arteria BCN","Arteria BCN","Arteria Performance Festival une a los mejores artistas internacionales de performance  para crear un ambiente muy especial fusionando arte, fashion, musica y teatro.
Artistas partiсipantes :
Александра Всесвятская (Sasha Vsesviatskaya)
Ludovica Zoe
Julia Buruleva
Alberto Hasu Art Castin Iglesia
Shé Graff Itti
Richard Hoffman
Ramon Guimaraes
Juan Carter El Gato","Arteria Performance Festival","https://www.facebook.com/events/204585200311720/","https://www.facebook.com/events/204585200311720/","2018-04-20T10:00:00-07:00 to 2018-04-20T13:00:00-07:00","null","null","null","https://www.facebook.com/events/204585200311720/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/s526x395/29496238_1587891017932610_6318834980043067665_n.jpg?_nc_cat=0&oh=266279883f1b45bf81d6b9f25bfc5f96&oe=5B743164"
"1524147698-10","http://www.artssspot.com/barcelona/face-pages-prov/","L&B contemporary art gallery","L&B contemporary art gallery","(CAST)
La galería L&B contemporary art tiene el placer de proponer una conversación y visita guiada con el artista Sito Mújica y el crítico de arte Christian Obregón de la exposición Screenshot.

SCREENSHOT
Sito Mújica lleva años configurando un trabajo basado en la copia sistemática de fotografías ajenas que circulan en Internet, empleando el dibujo y la acuarela de manera preciosista, para luego volver a ponerlas en circulación, traducidas a otro lenguaje. Apasionado por los efectos cognitivos y culturales de la web semántica, Mújica ha ahondado durante más de una década en el apropiacionismo y la revisión, elaborando meta-obras, que el artista engloba bajo la denominación Copiadas. Su propuesta se cimienta en una inquietud antropológica reflexiva en torno a los mecanismos que conforman y vehiculan la representación. El uso social de la imagen individual, los procesos mediáticos de la moda, la creación mediante el azar de algoritmos electrónicos o los límites legales de la autoría en el 2.0 se cuentan entre sus temáticas habituales. 

Tras un año de experimentación e incursión en nuevos lenguajes -tanto en técnica como en soportes- Sito Mújica presenta una amplia exposición que incluye, además de sus recientes acuarelas, acrílicos sobre cartón, madera y tela, cerámica y objetos.

Texto crítico: Christian Obregón

_____________

(CAT)
La galeria L&B contemporary art té el plaer de proposar una conversa i visita guiada amb l'artista Sito Mújica i el crític d'art Christian Obregón de l'exposició Screenshot.

SCREENSHOT
Fa anys que Sito Mújica configura un treball basat en la còpia sistemàtica de fotografies alienes que circulen per Internet, utilitzant el dibuix i l’aquarel·la de manera preciosista per tornar a posar-les en circulació traduïdes a un llenguatge diferent. Apassionat pels efectes cognitius i culturals de la web semàntica, Mújica ha aprofundit durant més d’una dècada en l’apropiacionisme i la revisió, elaborant meta-obres, que l’artista engloba sota la denominació Copiadas. La seva proposta s’erigeix en una inquietud antropològica reflexiva al voltant dels mecanismes que conformen i condueixen la representació. L’ús social de la imatge individual, els processos mediàtics de la moda, la creació mitjançant l’atzar d’algoritmes electrònics o els límits legals d’autoria en el 2.0 s’expliquen a través de les seves temàtiques habituals. 

Després d’un any d’experimentació i incursió en nous llenguatges –de tècnica i suport- Sito Mújica presenta una àmplia exposició que inclou, a més de les seves peces en aquarel·la més recents, acrílics sobre cartó, fusta i tela, ceràmica i objectes.

Text crític: Christian Obregón","Screenshot - Conversación con Sito Mújica y Christian Obregón","https://www.facebook.com/events/1830058273953862/","https://www.facebook.com/events/1830058273953862/","2018-04-19T10:00:00-07:00 to 2018-04-19T12:00:00-07:00","null","null","null","https://www.facebook.com/events/1830058273953862/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/p320x320/30712333_805840422941771_6034895745413436842_n.jpg?_nc_cat=0&oh=37148bf2660ca3b8870299d68ec7e886&oe=5B7452FA"
"1524147595-2","http://www.artssspot.com/barcelona/face-pages-prov/","Espronceda","Espronceda","Detlef Landeck, inspirado por el jazz americano y por el intérprete de la improvisación Butch Morris, desarrolló con Industrie-Soundorchestra el principio de la Conducción y la Improvisación estructurada y dirigida. 

A partir de la percusión de Olaf Pyras se aportó el ritmo de percusión que generan los componentes de VW utilizados en los vehículos.

A su vez, entre los sonidos que forman parte de Industrie-Soundorchestra podemos encontrar aquellos que emiten las máquinas de las salas de producción de Volkswagen Kassel, que fueron recogidos y procesados por el artista de sonido Wolfram Spyra. Estos sonidos, junto al coro del Colegio Aleman de Barcelona y a los músicos del Proyecto, pertenecientes a dispares áreas de VW , crean una composición innovadora, que interpretan los módulos compuestos por Landeck, en el marco de “Conceptos de improvisación estructurada/dirigida”, dando rienda suelta a improvisaciones basadas en la creatividad.

Olaf Pyras  - Percussion 		
Dursun Ulas - Zas        
Dionysos Karachalios  - Buzuki	
Hans Watermeier - Tuba
Jens Dembowski - Saxophon            	
Jürgen Heil  -  Skat
Jochen Reuter – Trumpet		
Detlef Landeck - Posaune         
Martin Rennicke  - Bass		
Wolfram Spyra – Sound
Rolf Dressler – Technik	

Special integration: Chor DSB, Helmut Rieger (Bassklarinette), 
Joan  López Giese (Piano), Personal de Seat Componentes.","Industrie-Soundorchestra","https://www.facebook.com/events/441017959670047/","https://www.facebook.com/events/441017959670047/","2018-04-27T11:00:00-07:00 to 2018-04-27T13:00:00-07:00","null","null","null","https://www.facebook.com/events/441017959670047/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/s526x296/30708459_1007218886103921_7650530136608997376_n.jpg?_nc_cat=0&oh=beceeebacaceb9a8d17df6ba3b00f2c9&oe=5B61551A"
"1524147685-9","http://www.artssspot.com/barcelona/face-pages-prov/","Oriol Ocaña Mariné","Utopia126","Inauguració i clotxes.

Pa i Sal, una exposició a partir del projecte Guanyar-se el Pa de Joana Capella en col·laboració amb Tamara Hidalgo, Oriol Sanz, Sawe, Monica Eye, Guillem Arderius, Laura Puigdellívol, Noela Covelo, Núria Galí, Gennís Senén i Ibai Velilla i l'inestimable ajuda de Lorena Roma.

Activitats:

Pa i Fang amb Núria Galí
https://www.facebook.com/events/1809134995815327/

Un taller sobre com utilitzar pa per fer ceràmica.

Preu: 5 € (per despeses en materials)
Horari: A partir de les 10:00 del matí
Lloc: Utopia 126

Motlles de Pa amb Gennís Senén i Ibai Velilla
https://www.facebook.com/events/1703026026448748/

Un taller on experimentarem amb motlles fets de pa.
Amb Gennís Senén i Ibai Velilla

Preu: 5 € (per despeses en materials)
Horari: A partir de les 11:00 del matí
Lloc: Utopia 126","PA i SAL Inaguració","https://www.facebook.com/events/152103505628356/","https://www.facebook.com/events/152103505628356/","2018-04-20T10:00:00-07:00 to 2018-04-20T12:00:00-07:00","null","null","null","https://www.facebook.com/events/152103505628356/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/s526x296/30705314_2050610685179262_7387234772914798592_n.jpg?_nc_cat=0&oh=928e1bdf6c3c72260fa202d3159991b8&oe=5B69FA5A"
