web-scraper-order,web-scraper-start-url,event_organizer,event_venue,event_text,event_title,event_link,event_link-href,event_facebooktime,event_maplink__1,event_cost__,event_category__,event_id,event_image-src
"1523978230-119","http://www.artssspot.com/barcelona/face-pages-prov/","Espai Fotografic Can Basté","Centre Cívic Can Basté","“Twentysix Abandoned Catalan Gasoline Stations” de Xavier Aragonès Garcia
Del 26 d’abril al 9 de juny de 2018 // SALA GOLFES
Inauguració: dijous 26 d’abril a les 20 h

Basat en el particular treball del llibre d’Ed Ruscha “Twentysix Gasoline Stations”. El resultat és una sèrie de 26 fotografies que tornen a la vida la major part de les estacions de benzina que resten abandonades a Catalunya. Aquesta exposició està emmarcada dintre del Revela-T OFF de Vilassar de Dalt dedicat a la fotografia analògica.

+info: espaifotograficcanbaste.wordpress.com/
revela-t.cat/2018/

#fotoanalogica  #fotobcn  #noubarris  Nou Barris  Centres Cívics de Barcelona  #revelat  #vilassardedalt  #expo  #analog","Inauguració “Twentysix Abandoned Catalan Gasoline Stations”","https://www.facebook.com/events/243833202830011/","https://www.facebook.com/events/243833202830011/","2018-04-26T11:00:00-07:00 to 2018-04-26T13:00:00-07:00","null","null","null","https://www.facebook.com/events/243833202830011/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/p526x296/30726282_1356596977774178_2288354658298626048_n.jpg?_nc_cat=0&_nc_eui2=v1%3AAeH-k-Wo8E10FBbeNv2YCfpi0NVKcGWlXwGoRoNa6_bgEMAwopjaANPmE9tKLRcpwo51AjBobvZgFz8sX50nzpbxadKtLlsR7-Q2msoz8SuijQ&oh=7976e4301dcf74c1b6c58d81a95159b8&oe=5B66D7C6"
"1523978244-120","http://www.artssspot.com/barcelona/face-pages-prov/","Espai Fotografic Can Basté","Centre Cívic Can Basté","Exposició col·lectiva
Del 26 d’abril al 26 de maig de 2018 // VESTÍBUL
Inauguració: dijous 26 d’abril a les 20 h

Us presentem una selecció del tot el que s’ha treballat als tallers de fotografia, des dels grups d’iniciació als tallers especialitzats durant el trimestre d´hivern 18.
En aquesta ocasió els/les alumnes seran els protagonistes i volem reconèixer també la feina i el suport dels professors/es per animar-vos a mostrar les vostres fotografies.

Eva Parey, Guillem Valle, Edgar Dos Santos, Mingo Venero, Pichi Mercè Sellarés, #JovanHorvath, Ariadna Creus,  Ramon Cugat - Fotògraf, Enric Manonelles, Núria López Torres, Miki Bosch

#noubarris  #fotografia  #fotobcn Nou Barris  Centres Cívics de Barcelona","Inauguració ""Mostra d'alumnes dels tallers fotogràfics""","https://www.facebook.com/events/1484106648379523/","https://www.facebook.com/events/1484106648379523/","2018-04-26T11:00:00-07:00 to 2018-04-26T13:00:00-07:00","null","null","null","https://www.facebook.com/events/1484106648379523/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/p235x350/30743035_1356590914441451_8722817268070744064_n.jpg?_nc_cat=0&_nc_eui2=v1%3AAeFy1wKwbbAh6wj_KZ8OFf038snZmu_yNYZVnMIQLvlFTueE6elZv-lKOvTzFLubact1BecT3D5fNagTkDmo2FELiiOG-jnDV-S-_GdZ3MLzTA&oh=018294fb82cd96b53cb841c7ce2ac790&oe=5B6CE571"
"1523978185-116","http://www.artssspot.com/barcelona/face-pages-prov/","Fotografia Pati Llimona","Centre Cívic Pati Llimona","Fotografia: Marcelo Aurelio 

Tret de sortida al festival de fotografia del Centre Cívic Pati Llimona
Amb la complicitat i autoria de:
- FOTOMOVIMIENTO 15M
- Marcelo Aurelio
- Pedro Con Pulso
- Marcelo Aurelio
- Sergi Bernal
- Joan Teixidor
- SAFI: Stop als Fenòmens Islamòfobs a Catalunya
- Helena Roura
- Estefania Bedmar
- Casal Infantil Pati Llimona i Franja gòtic pati llimona
- Arxiu Fotogràfic del barri Gòtic
- Ruido Photo
- Slideluck Barcelona
- SomAtents
- Toni Amengual, activista visual
- Mireia Plans Farrero
- Clàudia Frontino
- La Directa
- elsaltodiario.com
- SOS Racisme Catalunya
- Revela-T
- Taller Milans
- Radio Nikosia
- Col·lectiu RASPAS
- Associacio Intercultural Llatins per Catalunya

A PARTIR DEL 19 D'ABRIL CONSULTA TOTA LA PROGRAMACIÓ A ENFOCATS.ORG","Inauguració Enfocats 2018, Festival de fotografia","https://www.facebook.com/events/915930448585696/","https://www.facebook.com/events/915930448585696/","2018-05-03T10:30:00-07:00 to 2018-05-03T12:30:00-07:00","null","null","null","https://www.facebook.com/events/915930448585696/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/p235x350/30440657_2059108327700509_6872974357956415625_n.jpg?_nc_cat=0&_nc_eui2=v1%3AAeEwDGe5FXE4CmZf3nyh37cMkrWlIGun1HEg1A9tboeTvCp-2z0CncvaIIFLZ4Ve_FQf243tkgmchnyuigsqu4v-iFSeFLqlEWMNomRWBdAkaA&oh=a38b1a1744d88e25f1f9d4961b37928f&oe=5B65A7F5"
"1523978286-123","http://www.artssspot.com/barcelona/face-pages-prov/","Waldemar RAmos","La Bombilla","Every month Art Lover Ground introduces you to the most talented artists who took part to its main event in Barcelona, Madrid and London! This April we will receive the collagist Waldemar RAmos

Join us on Thursday, 26th of April from 6PM to 10PM at La Bombilla (Carrer de Manso, 13, 08015 Barcelona) for the Vernissage with the artists and enjoy a live acoustic concert by the artist Wide Mike.

Ongoing collage exhibition for 3 weeks at La Bombilla with the possibility of purchasing the art-pieces from the artist.

Address: Carrer de Manso, 13, 08015 Barcelona
When? Thursday, 26th of April from 6PM to 10PM

Special Priced Menus and Limited Edition Cocktail *The Art Lover Cocktail* will be served during the vernissage!

(Free Entrance)


▼ ▼ ▼ Music by Wide Mike ▼ ▼

Wide Mike is 26 years old Tanjawi guitar player and singer.
He was influenced by many great bands and artists such as Dire Straits, Bob Dylan, Cat Stevens, Joe Cocker, Pink Floyd and more..
Since he comes from an African country, Wide Mike tries to Fusion between Gnawa Music using a “Guembri” and American Rock, Blues.

Wide Mike recorded some covers at the Lazywall Studio and now working on his originals. He serenades his songs with an Electro-acoustic handcrafted guitar -Vanderson- made in u.s.a

▼ ▼ ▼ Artist: Waldemar RAmos ▼ ▼ ▼

Waldemar Ramos is a collage artist, photographer and filmmaker from Brazil.
His work shows a perspective of the world through surrealistic images and social critics that instigate the viewer to travel around themes as the environment, gender equality, sci-fi and religion.
He sees the collage as a way to recycle images given them a different meaning and pass a message in a way that the public could think about the social issues while also appreciate the nonsense in his work. His influence pass by sci-fi and horror movies, social agendas and psychedelic music.




▼ ▼ ▼ Venue: La Bombilla ▼ ▼ ▼

Address: Carrer de Manso, 13, 08015 Barcelona
La Bombilla is a winery and cheese bar. Here you can find a great selections of signature cocktails, wines, French cheese, charcuteries and beers in the Sant Antoni neighbourhood in the heart of Barcelona.


For further information, contact us at info@artloverground.com","Art Lover Solo w/ Waldemar Ramos, Music by Wide Mike","https://www.facebook.com/events/158069391533671/","https://www.facebook.com/events/158069391533671/","2018-04-26T09:00:00-07:00 to 2018-04-26T13:00:00-07:00","null","null","null","https://www.facebook.com/events/158069391533671/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/q82/s526x296/29694380_1341146009319349_9031268348736610072_n.jpg?_nc_cat=0&_nc_eui2=v1%3AAeGN4F9NxVRC6dLI9A7HoLhTbG8CE46qI4lLpWlC2ufjucwDaxDBIpHMRBPk5uZCKILs4nS12vQZTuzR00HIg3Bqrubf7CseQ_opyhLBqKex5Q&oh=fe135c9829073c816e0617f28817cde3&oe=5B75143F"
"1523978170-115","http://www.artssspot.com/barcelona/face-pages-prov/","Societat Barcelonina de Collage","MAY4vie19:00","Queridos amigos “collageros”, desde la Societat Barcelonina de collage tenemos el placer de anunciaros que ya está de vuelta el Festival de collage de Barcelona en su segunda edición!!!!
Si el año pasado estábamos emocionados, éste aún más!!!
El Festival se celebrará del 4 al 21 de Mayo, y a diferencia del año pasado, tendremos dos espacios en vez de uno, “Las cosas de Martinez”, y “Visions”, una galería y una escuela de ilustración ambas en al barrio de Gracia.
Más abajo tenéis el programa detallado, pero ya os adelantamos que tendremos expo colectiva con muchos de vosotros como participantes,( el año que viene más…), talleres, charlas, La Maratón de Collage de 12 horas, y el Campeonato del Mundo de Collage.
Os esperamos a todos con las tijeras abiertas!!!
Salut i Culaix!!!!

PROGRAMA

VIERNES, 4 DE MAYO
Exposición colectiva PuroCollage 
Inauguración viernes 4 a las 20 horas
del 4 al 21 de mayo
En la Galería Las Cosas de Martínez
http://www.lascosasdemartinez.com/
C/ del Diluvi, 5, 08012 Barcelona

SÁBADO, 5 DE MAYO

Los talleres se impartirán en la Galería Visions
http://www.bcn-visions.com/
C/ Igualada 4 08012 Barcelona

10-12 h. COLLAGE Y PUNTO
Taller impartido por Albert Roca
El collage es una disciplina artística tan libre que no únicamente el papel puede utilizarse.
En este taller propondremos integrar con el papel elementos de tejidos variados para conseguir otras texturas y resultados sorprendentes en tus collages.

12-14 h. COLLAGE Y CHAPA
Taller impartido por Beatriz Alarcía y Tita Berasategui
Diseña tus propias chapas con aguja de una manera sencilla y divertida.
Imágenes y palabras que combinarán a tu gusto.
Crearás un recuerdo original y personal.
Te invitamos a crear pequeños mundos redondos, para llevártelos como accesorio en tus prendas.

16-18 h. CHARLA + TALLER
Charla impartida por Rebeka Elizegi. “Collage, lenguajes híbridos” 
Rebeka nos explicará cuál es su método de trabajo y algunas de sus claves a la hora de afrontar propuestas profesionales, encargos…. Cómo enfoca su proceso de creación y de qué fuentes bebe para encontrar la inspiración.
En definitiva, tratará de acercarnos a su mundo de creación para generar un diálogo.
Al final de la charla haremos un taller basado en algunas de las respuestas….o preguntas que nos hayan surgido en la charla.

DOMINGO, 6 DE MAYO

10-14 h. MICROCOLLAGE
Taller impartido por Santi González y Lucía Soto
Este taller está dirigido a personas, con o sin formación artística, que quieran explorar las posibilidades del Collage desde una perspectiva diferente, con resultados de calidad y originales.

En este taller trabajaremos el Collage de pequeño formato en diferentes soportes con el fin de ver posibles aplicaciones más allá del papel y las dos dimensiones..

Se plantearán tres ejercicios, uno para cada hora.
Cada uno de los ejercicios se llevará a cabo sobre un soporte distinto y en base a unas pautas determinadas, que pueden incluir la propuesta de un tema concreto.

SÁBADO, 12 DE MAYO

De 10 a 22 h. MARATÓN DE COLLAGE y CAMPEONATO MUNDIAL DE COLLAGE

Apertura a las 10 h. 
Propondremos diversos ejercicios durante la mañana.
A las 14 h. parada para comer, tenemos reservado un restaurante Gallego de los “de siempre”, económico y casero, de menú. Imprescindible confirmar!!!
A las 16 h.  Continúa el taller de collage.
De 17 a 19 h. Campeonato y entrega de premios
A partir de ahí, más collage, hasta que el cuerpo aguante o nos echen!!!! collagea o muere!

La inscripción da derecho a la asistencia,12 horas de Maratón + la participación en el Quinto Campeonato Mundial de Collage,  si te apetece. 

EN TODOS LOS TALLERES:
Están incluidos materiales y diferentes soportes que se vayan a usar. 
Se recomienda que cada uno traiga sus tijeras/cutter y pegamento.


PRECIOS

TALLERES: 25€  -mañana o tarde-
PACK 2 TALLERES: 40€
CHARLA + TALLER: 25€
MARATÓN + CAMPEONATO: 35€
PACK TODO EL FESTIVAL: 70€

El importe ha de abonarse en la siguiente cuenta, indicando tu nombre y el del/de los taller/eres que quieres hacer
y nos envías el comprobante a este mismo mail.

ES03-2100-5879-6102-0000-2570

Para cualquier duda podéis llamar al 695 718 098.(Santi).","II Festival de Collage de Barcelona","https://www.facebook.com/events/1300525546757999/","https://www.facebook.com/events/1300525546757999/","2018-05-04T10:00:00-07:00 to 2018-05-12T13:00:00-07:00","null","null","null","https://www.facebook.com/events/1300525546757999/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-9/30713797_831999386985501_7890479250083433415_n.jpg?_nc_cat=0&_nc_eui2=v1%3AAeFcu2TsMeigOS86Tc2TwH_-Pd-esJsFd65x_8BZraWNXC1TTNuJjOLdQmB_5PMSyNtq6tMjilpWgwQGV0EVyER8ktjgE33Ic0wNtjHVxHYuHw&oh=ce5a1c6515662da3a88a6bd17086dc7d&oe=5B5C8D2D"
"1523978155-114","http://www.artssspot.com/barcelona/face-pages-prov/","thecreative_net","Antiga Fàbrica Estrella Damm","¡Vuelve el TheCreativeFest! La segunda edición de este festival  donde fluirá creatividad para quien quiera atraparla: estudiantes, profesionales, apasionados de la cultura, familias… Llenaremos la fábrica de talento creativo con algunos de los nombres más sonados y potentes de nuestra plataforma TheCreativeNet. 

Hemos preparado una gran cantidad de actividades para todos vosotros: Conferencias, Talleres, Workshops, Djs, Foodtrucks,
TheCreativeAwards, etc. 

La entrada es gratuita. 

¡Nos vemos en el #TheCreativeFest18!

Más info en #TheCreativeMag: http://thecreative.net/blog/ca/vuelve-thecreativefest-el-5-de-mayo/","TheCreativeFest18","https://www.facebook.com/events/617324391950368/","https://www.facebook.com/events/617324391950368/","2018-05-05T02:00:00-07:00 to 2018-05-05T12:00:00-07:00","null","null","null","https://www.facebook.com/events/617324391950368/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-9/q90/s851x315/30595201_2093258644238884_7833614941645963264_n.jpg?_nc_cat=0&_nc_eui2=v1%3AAeH36F56s4TGMGoIifh2nMJQRFPGDoJfv0iOM1t7-xO3kzKjDaSD96xw8MfxEZe8LJPlkv40wGo9TGSH8khYoMCP_-Dkr2zzmsln7Rx03m0p-A&oh=b335a5d02f57156248732c0a0f6d97d0&oe=5B61E00F"
"1523978216-118","http://www.artssspot.com/barcelona/face-pages-prov/","Fifty Dots Gallery","MAY1mar11:00","Transeúntes

¿Que impronta nos dejan las vivencias que hemos experimentado a lo largo de nuestro devenir? ¿Como se reflejan éstas allá donde vamos, donde posamos la mirada? Experiencias que nos marcan, que esculpen nuestro ser. Cinco artistas nos relatan, cada uno de ellos fiel a su estilo y narrativa, el transcurso de un viaje que es a la vez geográfico e introspectivo. Pequeñas odiseas personales que transforman la concepción y percepción que tenemos del mundo, un mundo que sigue su curso, impasible a nuestra metamorfosis interior. Inconsciente como es de nuestro deambular, de nuestro caminar, porque para él solo estamos de paso, porque para él solo somos transeúntes.

Durante el mes de Mayo y colaborando con el festival analogico Revela-T, tendremos en nuestra galeria la exposición colectiva de 5 de nuestros artistas en formato analógico: 

Israel Ariño  “Crónicas de un desembarco”  
Irene Cruz “Björk”
Cesar Ordoñez “Tadaima”
Bernat García Chamorro “El Camino”
Dani Garcia Sarabia ""Usa'90""","Revela-T OFF BCN 2018 ""Transeúntes""","https://www.facebook.com/events/136822807160113/","https://www.facebook.com/events/136822807160113/","2018-05-01T02:00:00-07:00 to 2018-05-31T11:00:00-07:00","null","null","null","https://www.facebook.com/events/136822807160113/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/p235x350/30412665_2151560025089941_6582672218414754818_n.jpg?_nc_cat=0&_nc_eui2=v1%3AAeF6abGvnR79aMa2lfcT2kmLpC6Yio-aOWvtSiS1ejo75wWatIzP1y82N9MRybSafMf9E8o1q9cgExXpk-elBiK2poCtPOJts49H2Y58FZ5kVQ&oh=45423ef05b886cab6003b33c86524f15&oe=5B6083ED"
"1523978314-125","http://www.artssspot.com/barcelona/face-pages-prov/","La Llama","La Llama","La Llama acogerá la nueva exposición de Angela Dalinger en Barcelona. La muestra ""Imaginary Telepathy"" se podrá visitar en La Galería de la Llama del 20 de Abril al 20 de mayo de 2018","Inauguración Exposición Angela Dalinger","https://www.facebook.com/events/235165990377012/","https://www.facebook.com/events/235165990377012/","2018-04-20T10:30:00-07:00 to 2018-04-20T12:30:00-07:00","null","null","null","https://www.facebook.com/events/235165990377012/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/q83/s640x640/30656218_574081052954866_126189484936003584_n.jpg?_nc_cat=0&_nc_eui2=v1%3AAeGeMmcsqWTW_zrc1kEzJAfZmgUm9EhiIfU8LtbhL58oeECDT7YUGxf-6EdPj_-R7Cl-bWz-OjL3LoXN86ck7RGV9R23ZirBpT_OSZcqAm0Fmg&oh=3dcf418bcc4e9872fa2f0bd79ae7cff6&oe=5B50C942"
"1523978273-122","http://www.artssspot.com/barcelona/face-pages-prov/","El Palauet Living Barcelona","El Palauet Living Barcelona","Con motivo de la Bridal Week, El Palauet Living Barcelona se viste de blanco gracias a los diseños de Alta Costura de Piedad Rodríguez.

Te invitamos al evento de la semana, donde exclusividad, lujo y modernismo, se unirán para dar lugar a un desfile único.

El Palauet es un emblemático edificio modernista en Paseo de Gracia.En esta ocasión, será la Planta Noble, con sus ornamentos de madera tallada la que acoja el desfile de Piedad Rodríguez donde exhibirá tanto vestidos de fiesta como de boda.
Piedad Rodríguez, diseñadora de alta costura, cuenta con más de 25 años en el mundo de la moda.

PROGRAMA
18.30 Copa de bienvenida
19.00 Desfile de Piedad Rodríguez
20.00 #AfterwokEP, como cada jueves, el bar de El Palauet abrirá para que disfrutes del mejor ambiente.
Para registrarte y recibir tu código de acceso secreto:

El proceso es muy simple: tan sólo tendrás que completar las casillas de nombre y apellido así como el email.
Y recuerda, que si traes acompañantes, también deberás registrarlos haciendo click en el + que aparece en la pantalla de registro.
Se te enviará un mail de confirmación con un código que deberás usar en la puerta para acceder.

Sólo las personas con código podrán acceder.

El periodo de registro comenzará el viernes 20 de abril hasta completar aforo.
¡Te esperamos!","Desfile de Piedad Rodríguez en El Palauet","https://www.facebook.com/events/235193090559597/","https://www.facebook.com/events/235193090559597/","2018-04-26T09:30:00-07:00 to 2018-04-26T13:30:00-07:00","null","null","null","https://www.facebook.com/events/235193090559597/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/p280x280/30704028_1749102711817834_5320912769719992320_n.jpg?_nc_cat=0&_nc_eui2=v1%3AAeEcrJOL75pdL6vRgCzU_wWzr4K7FDZUTW1d47fs8wE3VZ_PWAbJIXB-v_IzdkF4tJ_6koQMpyaZBogyg329EgC4eJTOhvpLYhVyvsB5JeF9zA&oh=ec0e35abaab02d32588b12d25b3d37fa&oe=5B75479F"
"1523978140-113","http://www.artssspot.com/barcelona/face-pages-prov/","LCI Barcelona - Felicidad Duce","LCI Barcelona - Felicidad Duce","La nueva ponente de nuestro ciclo es Anna Puigjaner, arquitecta, investigadora, editora y cofundadora del estudio MAIO, Premio FAD 2016 por el montaje de la exposición ""Especies de espacios"" en el MACBA y nominado a los EUMiesAward 2017 por ""110 habitaciones"". En 2016 Anna obtuvo el prestigioso Wheelwright Prize de la Harvard Graduate School of Design por su proyecto ""Kitchenless City: Architectural Systems for Social Welfare"".

La entrada al evento es libre y limitada al aforo de la sala, por lo que es necesario confirmar asistencia previa en http://bit.ly/DI55ECCIONS_MAIO. ¡No te lo pierdas!

#FromDreamersToMakers #MakeItHappen #ThisIsForTheDesigners #DI55ECCIONS","Di55eccions con Anna Puigjaner (MAIO)","https://www.facebook.com/events/1553059364791477/","https://www.facebook.com/events/1553059364791477/","2018-05-09T10:00:00-07:00 to 2018-05-09T11:00:00-07:00","null","null","null","https://www.facebook.com/events/1553059364791477/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/s526x296/30531171_10156174749106163_7458283466249994240_n.jpg?_nc_cat=0&_nc_eui2=v1%3AAeELf4RVtg2MjstrEGIhidTJpLxxEUluPt3whbPyPFb8J0UWk4eJ9_SYZy2WNzhmx2EnVeu5VaSMatad8V67DbvYKERM2LuMw6pUNsaanCoW8g&oh=bd8fc2448adf9dc76799dc1153a20350&oe=5B545114"
