"EVENT NAME","VENUE NAME","ORGANIZER NAME","START DATE","START TIME","END DATE","END TIME","ALL DAY EVENT?","CATEGORIES","EVENT COST","EVENT WEBSITE","SHOW MAP LINK?","SHOW MAP?","EVENT DESCRIPTION","EVENT IMAGE"
"Momentos de felicidad compartida - Conferencia de Lynne Segal","CCCB","CCCB","05/14/2018","","","",1,"CCCB, Actividad","","http://www.cccb.org/es/actividades/ficha/momentos-de-felicidad-compartida/228475",1,1,"<p><img src='http://www.cccb.org/rcs_gene/Segal_1001.jpg' width='228' height='182' alt='Momentos de felicidad compartida - Conferencia de Lynne Segal' />¿Qué es la felicidad? ¿Dónde se esconde? Según la catedrática de psicología y estudios de género Lynne Segal, es inútil buscar la felicidad en solitario: solo si asumimos la responsabilidad por el mundo que compartimos y el compromiso de transformarlo podemos ser verdadera y radicalmente felices. Y esta es la promesa que debería encarnar hacerse adulto, ser capaces de convertir el mundo que nos encontramos en un mundo que contribuimos a hacer.</p>","http://www.cccb.org/rcs_gene/Segal_1001.jpg"
"D’A Film Festival","CCCB","CCCB","04/26/2018","","05/06/2018","",1,"CCCB, Actividad","","http://www.cccb.org/es/actividades/ficha/da-film-festival/228767",1,1,"<p><img src='http://www.cccb.org/rcs_gene/Banner_1000x650.png' width='228' height='182' alt='D’A Film Festival' />El D’A Film Festival de Barcelona vuelve por primavera a la ciudad y del 26 de abril al 6 de mayo presentará cerca de cien títulos, con una combinación de directores debutantes y nombres consolidados, películas que han triunfado en festivales internacionales y apuntando el radar hacia las nuevas tendencias de la creación cinematográfica, incluyendo lo más nuevo que está pasando en el cine español.</p>","http://www.cccb.org/rcs_gene/Banner_1000x650.png"
"La luz negra. Tradiciones secretas en el arte desde los años cincuenta - Archivo Xcèntric","CCCB","CCCB","05/16/2018","","10/21/2018","",1,"CCCB, Actividad","","http://www.cccb.org/es/actividades/ficha/la-luz-negra-tradiciones-secretas-en-el-arte-desde-los-anos-cincuenta/228898",1,1,"<p><img src='http://www.cccb.org/rcs_gene/SI_Meshes_of_the_afternoon_Maya_Deren_1943.jpg' width='228' height='182' alt='La luz negra. Tradiciones secretas en el arte desde los años cincuenta - Archivo Xcèntric' />Esta selección de películas de vanguardia explora algunos conceptos tratados en la exposición ""La luz negra. Tradiciones secretas en el arte desde los años cincuenta"" como lo místico, el trance, la psicodelia o la magia.</p>","http://www.cccb.org/rcs_gene/SI_Meshes_of_the_afternoon_Maya_Deren_1943.jpg"
"La madurez política - Conferencia de Pedro Olalla","CCCB","CCCB","05/02/2018","","","",1,"CCCB, Actividad","","http://www.cccb.org/es/actividades/ficha/la-madurez-politica/228577",1,1,"<p><img src='http://www.cccb.org/rcs_gene/Olalla_1000.jpg' width='228' height='182' alt='La madurez política - Conferencia de Pedro Olalla' />El ciudadano ha dejado de ser el sujeto político central de nuestras democracias. Partiendo de esta premisa, el helenista Pedro Olalla reflexionará acerca de lo que significa alcanzar la madurez política hoy y qué es una sociedad madura políticamente. ¿Es realmente la política una prerrogativa de la edad adulta? ¿Qué papel debería jugar la educación en la formación de ciudadanos?</p>","http://www.cccb.org/rcs_gene/Olalla_1000.jpg"
"Flexo 6/6. El turismo. Seminario a cargo de Saida Palou - De ""Barcelona, destino turístico"", de Saida Palou, a ""Turismo cultural. Entre la experiencia y el ritual"", de José Antonio Donaire","CCCB","CCCB","05/07/2018","","","",1,"CCCB, Actividad","","http://www.cccb.org/es/actividades/ficha/flexo-6-6-el-turismo-seminario-a-cargo-de-saida-palou/227743",1,1,"<p><img src='http://www.cccb.org/rcs_gene/Flexo_Turisme_webCCCB.jpg' width='228' height='182' alt='Flexo 6/6. El turismo. Seminario a cargo de Saida Palou - De ""Barcelona, destino turístico"", de Saida Palou, a ""Turismo cultural. Entre la experiencia y el ritual"", de José Antonio Donaire' />La literatura, la antropología, el cine, la filosofía, el diseño y la poesía son métodos para reflexionar, para dar lugar a las cosas. En esta edición de Flexo, dirigida por Adrià Pujol bajo el título Los lugares y las cosas, seis pensadores y pensadoras intentarán situar su trabajo, encarnarlo en un lugar concreto a partir de las lecturas que les inspiran.</p>","http://www.cccb.org/rcs_gene/Flexo_Turisme_webCCCB.jpg"
"Proyección de los trabajos premiados en el Concurso de Narrativa Digital - World Press Photo 2018","CCCB","CCCB","05/10/2018","","","",1,"CCCB, Actividad","","http://www.cccb.org/es/actividades/ficha/proyeccion-de-los-trabajos-premiados-en-el-concurso-de-narrativa-digital/228625",1,1,"<p><img src='http://www.cccb.org/rcs_gene/adaptive-images_17_.jpg' width='228' height='182' alt='Proyección de los trabajos premiados en el Concurso de Narrativa Digital - World Press Photo 2018' />Sesión abierta en la que se proyectarán los trabajos audiovisuales premiados en las categorías de Formato Corto y Formato Largo del Concurso Narrativa Digital.</p>","http://www.cccb.org/rcs_gene/adaptive-images_17_.jpg"
"Ver lo invisible - Conferencia de Gary Lachman","CCCB","CCCB","05/16/2018","","","",1,"CCCB, Actividad","","http://www.cccb.org/es/actividades/ficha/ver-lo-invisible/228812",1,1,"<p><img src='http://www.cccb.org/rcs_gene/foto_conf_lachman_1000.jpg' width='228' height='182' alt='Ver lo invisible - Conferencia de Gary Lachman' />Gary Lachman, escritor, músico y experto en la historia de la conciencia y del pensamiento esotérico, pone de relieve la importancia del ocultismo en la conformación de la cultura moderna</p>","http://www.cccb.org/rcs_gene/foto_conf_lachman_1000.jpg"
"Saber, hacer, comprender #2 - Aula oberta dirigida por Marina Garcés","CCCB","CCCB","02/13/2013","","","",1,"CCCB, Actividad","","http://www.cccb.org/es/actividades/ficha/saber-hacer-comprender-2/228084",1,1,"<p><img src='http://www.cccb.org/rcs_gene/Aula-oberta-2_webCCCB.jpg' width='228' height='182' alt='Saber, hacer, comprender #2 - Aula oberta dirigida por Marina Garcés' />Entendemos que las humanidades no son solo las disciplinas «de letras», sino una determinada manera de acercarse al conocimiento y a la creación, así como a sus consecuencias sociales, políticas y humanas. Humanidades son aquella manera de saber, hacer y comprender que da sentido y valor a la experiencia humana desde el punto de vista de su dignidad. Este año abrimos de nuevo un aula desde donde actualizar el discurso, los referentes y las prácticas de las humanidades en nuestra sociedad.</p>","http://www.cccb.org/rcs_gene/Aula-oberta-2_webCCCB.jpg"
"La escuela de la vida - Conversación con Daniel Pennac","CCCB","CCCB","05/07/2018","","","",1,"CCCB, Actividad","","http://www.cccb.org/es/actividades/ficha/la-escuela-de-la-vida/228551",1,1,"<p><img src='http://www.cccb.org/rcs_gene/Daniel_Pennac_1000.jpg' width='228' height='182' alt='La escuela de la vida - Conversación con Daniel Pennac' />Conversaremos con Daniel Pennac, escritor y antiguo profesor de secundaria, sobre la relación entre la infancia y la edad adulta, el papel de la imaginación en la educación y las expectativas y las promesas que acompañan al hecho de crecer.</p>","http://www.cccb.org/rcs_gene/Daniel_Pennac_1000.jpg"
"DocsBarcelona 2018 - Festival Internacional de Cine Documental","CCCB","CCCB","05/16/2018","","05/27/2018","",1,"CCCB, Actividad","","http://www.cccb.org/es/actividades/ficha/docsbarcelona-2018/229005",1,1,"<p><img src='http://www.cccb.org/rcs_gene/DocsBarcelona_2018_web.jpg' width='228' height='182' alt='DocsBarcelona 2018 - Festival Internacional de Cine Documental' />El Festival Internacional de Cine Documental de Barcelona celebra su 21a edición del 16 al 27 de mayo, ofreciendo una selección de las mejores películas documentales del panorama internacional.</p>","http://www.cccb.org/rcs_gene/DocsBarcelona_2018_web.jpg"
"Primavera - Archivo Xcèntric","CCCB","CCCB","04/09/2018","","06/21/2018","",1,"CCCB, Actividad","","http://www.cccb.org/es/actividades/ficha/primavera/223542",1,1,"<p><img src='http://www.cccb.org/rcs_gene/Sedmikrasky_de_V_ra_Chytilova.jpg' width='228' height='182' alt='Primavera - Archivo Xcèntric' />Llegada la primavera, salimos de nuestros refugios. Es la estación del redescubrimiento de la luz. He aquí una degustación de títulos que tratan de crear una nueva mirada hacia el mundo exterior.</p>","http://www.cccb.org/rcs_gene/Sedmikrasky_de_V_ra_Chytilova.jpg"
"Celebrar Europa - Curso dirigido por Andreu Jaume","CCCB","CCCB","04/25/2002","","","",1,"CCCB, Actividad","","http://www.cccb.org/es/actividades/ficha/celebrar-europa/228708",1,1,"<p><img src='http://www.cccb.org/rcs_gene/Celebrar-Europa-_-web-CCCB.jpg' width='228' height='182' alt='Celebrar Europa - Curso dirigido por Andreu Jaume' />¿Qué es Europa? ¿Qué supone ser ciudadano europeo? Este breve curso propone una reflexión sobre diversos aspectos de la comunidad cultural y política que llamamos Europa, más allá de la economía y los imperativos comerciales.</p>","http://www.cccb.org/rcs_gene/Celebrar-Europa-_-web-CCCB.jpg"
"George Orwell: ¿un Quijote en bicicleta? - A cargo de Miquel Berga","CCCB","CCCB","05/03/2018","","","",1,"CCCB, Actividad","","http://www.cccb.org/es/actividades/ficha/george-orwell-un-quijote-en-bicicleta/228735",1,1,"<p><img src='http://www.cccb.org/rcs_gene/maxresdefault.jpg' width='228' height='182' alt='George Orwell: ¿un Quijote en bicicleta? - A cargo de Miquel Berga' />Este curso quiere revisar el legado de Orwell, tanto desde el punto de vista de su proyecto literario como de su posición política, en un intento de resituar la enorme influencia contra pronóstico que ha tenido la obra de un autor que escribió casi siempre a contracorriente y cuestionó de forma precoz, con honestidad intelectual y recursos precarios, los «ismos» más perversos de su tiempo: el imperialismo, el fascismo y el estalinismo.</p>","http://www.cccb.org/rcs_gene/maxresdefault.jpg"
