web-scraper-order,web-scraper-start-url,event_organizer,event_venue,event_text,event_title,event_link,event_link-href,event_facebooktime,event_maplink__1,event_cost__,event_category__,event_id,event_image-src
"1525782342-10","http://www.artssspot.com/barcelona/face-pages-prov/","Barcelona Academy of Art","Barcelona Academy of Art","The Barcelona Academy of Art opens its doors to the public for the sixth edition of the Open Day of Poblenou Urban District! 
 From 12:00 to 19:00, come get inspired and discover our students and teachers' artworks. 
 
 We are also excited to participate once again to the Windows Art Circuit!
 
 Artists BEA SALAS (www.beasalas.com) and CAMERON FRASER (www.fraserartworks.com) will show their latest work on our front window and the Sculpture Room, come check it out! #wacpoblenou
 
 ............
 
 Abrimos las puertas de la Barcelona Academy of Art para celebrar la sexta edición del Open Day de Poblenou Urban District!
 De las 12h a las 19h, ven a inspirarte y descubrir las obras de nuestros alumnos y profesores. 
 ...
 Participamos también en el Windows Art Circuit! 
 
 La artista BEA SALAS (www.beasalas.com) creará una obra increíble en nuestra vidriera y CAMERON FRASER (www.fraserartworks.com) mostrará sus últimas creaciones en la sala de escultura! #wacpoblenou Ver más","Poblenou Open Day at the BAA","https://www.facebook.com/events/158489534993417/","https://www.facebook.com/events/158489534993417/","2018-05-12T03:00:00-07:00 to 2018-05-12T10:00:00-07:00","null","null","null","https://www.facebook.com/events/158489534993417/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-9/31957665_2025918434148865_6339433752518721536_n.jpg?_nc_cat=0&oh=f77ad6906710fa06eabd6e4a5c6f626d&oe=5B91D42B"
"1525782265-4","http://www.artssspot.com/barcelona/face-pages-prov/","KR Store Backyard","KR Store Backyard","ABRACADABRA ss2018 capsule collection
 by Judit García-Talavera & Krizia Robustella
 
 Abracadabra patas de cabra, ojo de sapo, cola de renacuajo...¿crees en la magia? 
 
 El próximo viernes 11 de Mayo la ilustradora Judit García-Talavera y la diseñadora Krizia Robustella presentan su nueva colaboración en una colección inspirada en hechiceras, seductoras y misteriosas, pocimas que dan color a base de manchas, gatos negros que se esconden en la noche y conjuros que harán que no quieras quedarte sin una de sus prendas para este verano. Vestidos, monos, camisas, pantalones, faldas etc con estampados XXL en tejidos de algodón y viscosa.
 
 Te esperamos en KR Store Backyard a partir de las 19h con una cerveza Moritz fresquita!","Abracadabra Presentation","https://www.facebook.com/events/207678910022915/","https://www.facebook.com/events/207678910022915/","2018-05-11T10:00:00-07:00 to 2018-05-11T13:30:00-07:00","null","null","null","https://www.facebook.com/events/207678910022915/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-9/s720x720/31939864_1533066420152417_960315135031771136_n.jpg?_nc_cat=0&oh=bf8933b94404589e0cac657d771c466e&oe=5B971588"
"1525782316-8","http://www.artssspot.com/barcelona/face-pages-prov/","Poblenou Urban District","Museu del Disseny de Barcelona","El Museu del Disseny obre el dissabte 12 de maig els seus espais i exposicions durant tot el dia (10 h - 20 h) i se suma així al programa d’activitats previstes per l'Open Day, un esdeveniment en el qual l'art i la creativitat són l'objectiu principal, i on la comunitat creativa de Poblenou obre les seves portes per oferir una àmplia varietat de propostes culturals gratuïtes.
 
 Galeries d’art, centres de creació i formació, estudis d’artistes, productores audiovisuals, espais gastronòmics, botigues i hotels formaran part dels esdeveniments, impulsats des de Poblenou Urban District, oferint una programació repleta d’activitats gratuïtes i promocions especials organitzades únicament per aquesta ocasió.
 
 Al Museu del Disseny podreu visitar de manera gratuïta les nostres exposicions permanents i l'exposició temporal Design Does. Allò que el disseny fa.","Portes obertes al Museu pel Poblenou Open Day","https://www.facebook.com/events/434654676947794/","https://www.facebook.com/events/434654676947794/","2018-05-12T01:00:00-07:00 to 2018-05-12T11:00:00-07:00","null","null","null","https://www.facebook.com/events/434654676947794/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/s526x296/31488533_1880801345285461_6444775826977193984_n.jpg?_nc_cat=0&oh=bf35762d1e47363c2996b6ff441ea403&oe=5B9D405E"
"1525782328-9","http://www.artssspot.com/barcelona/face-pages-prov/","Poblenou Urban District","Museu Can Framis","El Museu Can Framis se suma, un any més, a l’Open Day que, sota l’organització de Poblenou Urban District, obre el barri a la creativitat. En aquesta edició, el museu us convida a gaudir dels seus espais amb oferint entrada reduïda durant tota la jornada. El visitant podrà descobrir l’exposició permanent “Monòleg, diàleg i concepte” que reuneix un gran nombre d’artistes que esdevenen cabdals a l’hora d’entendre i interpretar el panorama artístic català: Albert Ràfols-Casamada, Josep Guinovart, Joan Ponç, Joan Hernández Pijuan, Evru o Lluís Lleó, són alguns dels artistes que trobarem en aquest recorregut guiat que ens permetrà cabussar-nos en la pintura contemporània del nostre país.
 
 Paral·lelament, a les 12 i a les 16.30 h s’oferiran visites guiades a la mostra temporal “Pere Portabella. Cinema, art i política”, una exposició que incideix en la figura d’un dels cineastes i activistes polítics més destacats del país.","Open Day al Museu Can Framis","https://www.facebook.com/events/2103733539874368/","https://www.facebook.com/events/2103733539874368/","2018-05-12T02:00:00-07:00 to 2018-05-12T09:00:00-07:00","null","null","null","https://www.facebook.com/events/2103733539874368/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/s526x296/31562092_1728918370532960_3381763549863870464_n.jpg?_nc_cat=0&oh=02ac4e24b9fda61c123c46db065c993e&oe=5B539D34"
"1525782291-6","http://www.artssspot.com/barcelona/face-pages-prov/","El Diluvio Universal","El Diluvio Universal","Estem encantats de convidar-vos a l'exposició de
 MICROMUNDOS de Alex Martinez
 
 Como si de una sala quirúrjica se tratara, mediante una extensa variedad de herramientas, pinzas, pinceles imposibles, lupas y micro tijeras, nacen los micromundos de Alex Martinez.
 Pequeños universos construidos con miniaturas que reflejan situaciones, emociones y alguna que otra tribulación del ser humano. Personajes atrapados en el desencuentro, la soledad, la espera, o sencillamente en el limbo de lo incomprensible de la existencia.
 
 Us esperem:
 INAUGURACIÓ
 DIVENDRES 11 de MAIG a les 19.30h
 
 · Exposició fins el 7 de juny ·
 
 www.instagram.com/alexmartinez_artpaint/","Micromundos de Alex Martínez","https://www.facebook.com/events/811020809093965/","https://www.facebook.com/events/811020809093965/","2018-05-11T10:30:00-07:00 to 2018-05-11T13:00:00-07:00","null","null","null","https://www.facebook.com/events/811020809093965/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/q81/s526x296/31947034_1932441703473250_2923206547553124352_n.jpg?_nc_cat=0&oh=7f8eea9de0005cb656458927405b03cd&oe=5B94E3E1"
"1525782303-7","http://www.artssspot.com/barcelona/face-pages-prov/","Radio C/C","Espacio 88""","OBJECT SUBJECT 01
 ...Objects that inspire working practice 
 
 30 objetos seleccionados por 30 diseñadores de producto. Una visión personal que refleja su filosofía de trabajo, y las fuentes de
 inspiración sobre lo físico que, a menudo, se pueden obviar en un mundo subjetivo digital.
 
 Con motivo del Open Day de Poblenou organizado por Poblenou Urban District, el próximo sábado 12 de mayo,  Espacio 88""  presenta OBJECT SUBJECT 01, la primera acción de un ciclo de instalaciones con 30 objetos inspiradores seleccionados por 30 profesionales de diversos sectores, en este caso diseñadores de producto.
 
 La instalación es una visión personal que refleja su filosofía de trabajo, y las fuentes de inspiración sobre lo físi...co que, a menudo,
 se pueden obviar en un mundo subjetivo digital. También tiene como objetivo promover y conectar la comunidad de diseño local y crear un diálogo sobre el presente y el futuro de la práctica en su conjunto.
 
 OBJECT SUBJECT 01 es un proyecto colaborativo comisariado po Espacio 88"", Gennís Senén de Gravina y Ryan Ellis Board
 
 Todo esto acompañado con la música de Radio C/C con un programa de radio en directo todo el día, el mejor café de SKYE Coffee co., las delicias de Bon Aprofit en colaboración con PAA- Plataforma Aprofitem els Aliments y una variedad de bebidas, desde Cervesa Espiga hasta coktails de MixologyArtt
 
 HORARIO 
 de 10h a 22h
 
 con la colaboración de Grafitex Servicios Digitales, AIT y Gabriel Engelke Ver más","Open Day Poblenou: Object Subject 01","https://www.facebook.com/events/1645181668911326/","https://www.facebook.com/events/1645181668911326/","2018-05-12T01:00:00-07:00 to 2018-05-12T13:00:00-07:00","null","null","null","https://www.facebook.com/events/1645181668911326/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/s526x296/31960190_1013469285476021_492963276649398272_n.jpg?_nc_cat=0&oh=3424536da0e9243c537a13b47564d433&oe=5B966F19"
"1525782252-3","http://www.artssspot.com/barcelona/face-pages-prov/","Muriel Parra i Ferrer","null","Em sumo lliure i espontanea a l'iniciativa fantastica de Tallers Oberts i el pròxim cap de setmana obro les portes del meu estudi al Poble sec!
 Vull compartir el meu univers sugestiu de plomes, sirenes, culleres i copes de plata. Vull compartir aquest moment bonic amb la gent que estimo i/o amb qui estima el que faig i amb senzilesa i carinyu hem preparat una petita party per dissabte a la tarda amb visitantes invitats que farán intervencións en l'espai, cooncidint feliçment amb el Festival de poesia ♥
 Aqui teniu horaris i el que sabem que passará, anirem actualitzant la info:
 
 DIVENDRES 11:  
 Tarda 17:00-20:30H. The amb pastes amb la calma.
 
 DISSABTE !2::
 Matï 11:00-13:30h 
 Tarda: 17:00h Obrim i....
 - Poeia de...s del balcó interior:
 estimades i admirades dirán mot inspirador. De moment han confirmat visita i presencia: Monica de Dalmau, Maria Antonia Massanet, Joana Brabo, Marta Fuembuena. Ângela Comajuncosas
 
 - 19:00h Bjort Runars. Cello ♥  sin micros  ni cables ni pedaleeees!
 
 - 19:21h En Sec  
 Quelot Caro, dança
 Bjort Runárs a los cacharros.
 
 - 20:00h Picapica vermuteru
 
 - 20:30h Tooombola! Super rifa d'una obra d'art original.
 ;- )
 
 
 Recordeu: Aquest espai es un estudi de creació, per tant no es pot tocar les obres, ni els materials de treballl, ni plomes ni pedres.  Poden venir infants. amb guants. No poden entrar animals domestics tipus gos o gat. Quant pujeu a recitar no caigueu de balcó, siusplau. Tothom que entri en aquest espai está sobre la seva propia responsabilitat. 
 
 SIGUEU BENVINGUDES! ♥ Ver más","OPEN DOORS Studio!","https://www.facebook.com/events/920791794749078/","https://www.facebook.com/events/920791794749078/","2018-05-11T08:00:00-07:00 to 2018-05-12T12:00:00-07:00","null","null","null","https://www.facebook.com/events/920791794749078/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/q85/p235x350/31950256_661331594199061_6630315626730618880_n.jpg?_nc_cat=0&oh=e76967f144e7e406cda07366330429a5&oe=5B9477C7"
"1525782393-14","http://www.artssspot.com/barcelona/face-pages-prov/","Nanouk Films","Moritz","[cat]
 Nanouk Films + Festa dels Seleccionats
 En el marc de l'emblemàtica Fàbrica Moritz Barcelona, podrem gaudir d'un interessant talk centrat en la producció de projectes audiovisuals amb Nanouk Films, guanyadors del Grand Laus 2017.
 
 Aprofitarem l'ocasió per brindar amb unes Moritz i fer públics els seleccionats dels Premis ADG Laus 2018.
 
 És la gran cita prèvia a la Nit ADG Laus. No podeu faltar! 
 
 [cast]
 Nanouk Films + Fiesta de los Seleccionados
 En el marco de la emblemática Fàbrica Moritz Barcelona, podremos disfrutar de un talk centrado en la producción de proyectos audiovisuales con Nanouk Films, ganadores del Grand Laus 2017.
 ...
 Aprovecharemos la ocasión para brindar con unas Moritz y hacer públicos a los seleccionados de los Premios ADG Laus 2018.
 
 Es la gran cita previa a la Nit ADG Laus. ¡No podéis faltar! Ver más","Nanouk Films + Festa dels Seleccionats","https://www.facebook.com/events/199651497492243/","https://www.facebook.com/events/199651497492243/","2018-05-09T10:00:00-07:00 to 2018-05-09T14:00:00-07:00","null","null","null","https://www.facebook.com/events/199651497492243/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/q86/p526x296/31398068_10155210155687651_222554927421980672_n.jpg?_nc_cat=0&oh=21cd3ff12071dc158509d75fdb49fa68&oe=5B91B127"
"1525782405-15","http://www.artssspot.com/barcelona/face-pages-prov/","La Virreina Centre de la Imatge","La Virreina Centre de la Imatge","Teresa Ferré i Pau Martínez (Observatori de la Vida Quotidiana (OVQ)
 Virreina LAB
 Entrada gratuïta. Aforament limitat
  
 
 Seminari sobre l’univers d’il·lustracions, fotografies i pel·lícules realitzades des de l’entorn anarquista durant el temps de la Revolució, partint  de casos concrets com la revista gràfica Umbral, les figures de Mateo Santos i Ángel Lescarboura  o els reportatges de Pérez de Rozas sobre les col·lectivitzacions.
 
 www.graficaanarquista.com
 
 Observatori de la Vida Quotidiana (OVQ). Col·lectiu independent i transdisciplinari codirigit per l’antropòleg Andrés Antebi i l’historiador Pablo González, que treballa des de l’any 1999 en projectes de recerca històrica i etnogràfica a la ciutat de Barce...lona. El seu objectiu principal és combinar les eines pròpies de la investigació social amb la potència evocadora de les arts gràfiques i visuals. En els darrers temps els seus treballs –llibres, exposicions, documentals, pàgines web– exploren temes tan diversos com la història del reporterisme gràfic, les mobilitzacions ciutadanes, les petjades colonials a Barcelona o la construcció de la memòria històrica dels barris des dels fons fotogràfics domèstics.
 
 Teresa Ferré. Llicenciada en Periodisme i DEA en Història Contemporània per la UAB. Actualment és professora associada d’Història del Periodisme a la UAB i la URV. La seva recerca universitària se centra en la fotografia i la propaganda durant el període d’entreguerres, especialment les imatges de la Guerra Civil i de l’exili republicà, i la figura d’Agustí Centelles, de qui ha editat el diari escrit en el camp de concentració de Bram, entre d’altres treballs. Periodista cultural, escriu sobre teatre a www.recomana.cat i al blog Notes d’Escena. Des de 1997 treballa en gestió cultural i comunicació a festivals com FiraTàrrega, La Mostra d’Igualada i institucions com l’Institut Ramon Llull, entre d’altres. Col·labora amb l’Observatori de la Vida Quotidiana en el projecte La imatge velada, que vol recuperar el llegat del fotoperiodisme català de 1900 a 1939, i la recerca i exposició sobre la nissaga de reporters Pérez de Rozas. Actualment, en el marc de Gràfica Obrera Anarquista, ha comissariat l’exposició “1937. Quan la ribera no tenia amo. Crònica de la Col·lectivitat General d’Amposta”, al Museu de les Terres de l’Ebre.
 
 Pau Martínez Muñoz. És llicenciada en Història de l’Art i doctora en Comunicació per la Universitat Pompeu Fabra de Barcelona. L’any 2006 va rebre el Premi Cinema Rescat d’Investigació Cinematogràfica pel treball Aportacions inèdites a la filmografia sobre la Guerra Civil espanyola. Dos documentals anarquistes produïts a Barcelona: Aragón trabaja y lucha i Ruinas y sangre de España. Ha publicat articles i llibres relacionats amb la filmografia anarquista, entre els quals destaquen La cinematografia anarquista en Barcelona durante la Guerra Civil (1936-1939) i Mateo Santos. Cine y anarquismo. República, guerra y exilio mexicano. Ha participat en diversos congressos de l’Associació Espanyola d’Historiadors de Cinema, de la qual és membre.
 
 goo.gl/D2YzXe Ver más","Gràfica de la revolució social (1936-1938)","https://www.facebook.com/events/1761238127232946/","https://www.facebook.com/events/1761238127232946/","2018-05-10T09:30:00-07:00 to 2018-05-10T11:30:00-07:00","null","null","null","https://www.facebook.com/events/1761238127232946/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/p526x296/31562293_2028508617470179_3088399974828867584_n.jpg?_nc_cat=0&oh=2d517441125dbdf6957eda804f64060e&oe=5B505C99"
"1525782354-11","http://www.artssspot.com/barcelona/face-pages-prov/","Apart of Firma","null","Innovation and Spaces: a new relationship. 
 From different perspectives, we open the discussion on how to transform and redefine space to become an environment that promotes innovation, sustainability & efficiency. Four professionals from different sectors will share their insights, points of view and experiences. Don't miss it! 
 
 17:30h - Miquel Martí (Pier01 – Barcelona Tech City)
 17:45h - Fernando de la Rosa (Foxize)
 18:05h - Natali Canas del Pozo (El Equipo Creativo)
 18:30h - Mathilde Matengo (IAAC)
 
 Free access & beer. See you there! 🤙","Spaces & Innovation conferences: Open Day Poblenou (Free access)","https://www.facebook.com/events/166489280690963/","https://www.facebook.com/events/166489280690963/","2018-05-12T03:00:00-07:00 to 2018-05-12T10:00:00-07:00","null","null","null","https://www.facebook.com/events/166489280690963/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-9/s720x720/31905680_416802812125891_4469520801338490880_n.jpg?_nc_cat=0&oh=fbadaee7a2d5542d3fb5486e49b5dc5d&oe=5B8AECAA"
