web-scraper-order,web-scraper-start-url,event_image-src,event_venue,event_link,event_link-href,event_title1,event_start,event_end,event_organizer,event_title2,event_text,event_cost__0,event_category__Exposición__Galerías,event_maplink__1,event_id
1524996914-79,http://www.artbarcelona.es/es/agenda/,http://www.artbarcelona.es/wp-content/uploads/2018/04/Porfolio-7.jpg,Galería Carles Taché,,http://www.artbarcelona.es/es/exposiciones/manel-esclusa-venezia/,Manuel Esclusa,,15.03.18 – 19.05.18,Galería Carles Taché,Venezia,"Con 14 años Manel Esclusa (Vic, 1952) ya se inicia en la fotografía en el laboratorio de su padre y en 1974 se traslada a Arlés para realizar un curso internacional de fotografía con grandes maestros. En 1975 es nombrado profesor de la escuela Nikon y en 1980 del Centro Nacional de Fotografía de Barcelona.
En 1977 funda junto con Rafael Navarro Garralaga, Joan Fontcuberta y Pere Formiguera el grupo Alabern.

Su trabajos fotográficos se han dedicado en gran medida a la fotografía de moda aunque desde 1979 ha estado investigando las condiciones de la luz nocturna, la ciudad en la noche y diferentes aspectos de situaciones con escasa iluminación. Una de las exposiciones que ha recorrido diversos países es Aquariana, y algunas de sus series más conocidas son Gits, Ahucs, Naus, Silepsis y Ubs de nit.
Sus trabajos se encuentran en las colecciones de la Biblioteca Nacional de Francia, del Museo Réattu de Arlés y del
Serie Venezia, 1979
Venecia, ¿una ciudad turística? Efectivamente, pero mucho más que eso: una ciudad misteriosa.

Los puentes, los pasajes, la silenciosa remada de las góndolas, la humedad encima de la piel, los encuentros amorosos, las grandes plazas blanca al final de las callejuelas negras, todo es barroco, negro y blanco, justo al contrario que el acento americano de los turistas idiotas. Antes que nada, los venecianos han vivido allí plenamente, sensualmente, en el calor sofocante del verano, más adelante, en el frío glacial del invierno, donde las máscaras de carnaval no han sido más que una maravillosa manera de unirse a los suspiros de los puentes, al olor del agua, al misterio de la noche y a la luz del día…
Todo esto renace en las maravillosas fotografías no turísticas que hizo allí Manel Esclusa en sus años de juventud, una especie de viaje de los sentidos dentro del silencio y del vacío del chapoteo del agua… Sus imágenes son la Venecia verdadera: ¡La ciudad donde querríamos ir a olvidar la vulgaridad del resto del mundo! Su blanco y negro es la metáfora ideal de aquello que es la fotografía… Sí, verdaderamente, una serie maravillosa.
Bernard Plossu, mayo de 2001, en Manel Esclusa. Silencis Latents",null,null,null,http://www.artbarcelona.es/es/exposiciones/manel-esclusa-venezia/
1524996881-70,http://www.artbarcelona.es/es/agenda/,http://www.artbarcelona.es/wp-content/uploads/2018/04/A_53web.jpg,àngels barcelona,,http://www.artbarcelona.es/es/exposiciones/el-gato-de-schrodinger-la-superposicion-de-estados-y-la-paradoja-del-observador/,Daniel G. Andújar,,20.04.18 – 22.06.18,àngels barcelona,El gato de Schrödinger. La superposición de estados y la paradoja del observador.,"Como parte de un programa expositivo que refleja la multiplicidad de los diferentes usos otorgados a las imágenes, así como el análisis de su propio lenguaje, àngels barcelona presenta un nuevo proyecto de Daniel G. Andújar, en el que aborda nuestra incapacidad para manejarnos en un paisaje visual absolutamente contaminado. Nos vemos obligados a trazar estrategias de simplificación que limitan nuestra capacidad de observación y comprensión. Buscamos respuestas en las cifras de las verdades científicas, que son todo norma e imposición, a pesar de tener la certeza de que el nuevo autoritarismo se expresará a través de algoritmos y ecuaciones. Pero también es cierto que en la observación de paradojas como la de Schrödinger, podemos encontrar una descripción fundamental de la naturaleza a escalas espaciales pequeñas. Un mismo fenómeno puede ser percibido de varios modos diferentes, ahí encontramos una puerta de acceso.",null,null,null,http://www.artbarcelona.es/es/exposiciones/el-gato-de-schrodinger-la-superposicion-de-estados-y-la-paradoja-del-observador/
1524996864-56,http://www.artbarcelona.es/es/agenda/,http://www.artbarcelona.es/wp-content/uploads/2018/04/Porfolio-7.jpg,Galería Carles Taché,,,Manuel Esclusa,15.03.18 – 19.05.18,15.03.18 – 19.05.18,Galería Carles Taché,Venezia,,null,null,null,http://www.artbarcelona.es/es/exposiciones/manel-esclusa-venezia/
1524996900-76,http://www.artbarcelona.es/es/agenda/,http://www.artbarcelona.es/wp-content/uploads/2018/04/MAC3097-min-1.JPG,Galería Carles Taché,,http://www.artbarcelona.es/es/exposiciones/miguel-angel-campano-intimo/,Miguel Ángel Campano,,15.03.18 – 19.05.18,Galería Carles Taché,Íntimo,"La Galeria Carles Taché tiene el placer de inaugurar Miguel Ángel Campano. “Íntimo” una muestra individual del artista Miguel Ángel Campano (Madrid, 1948). Con esta exposición, la galería propone un viaje hacia un Campano distinto, más íntimo, y un retorno a sus piezas de los años ochenta y noventa.
Pintor profundamente heterogéneo, Campano ha afirmado en alguna ocasión hallarse en un permanente no estilo que ha hecho de su trayectoria algo muy alejado de la cualquier idea de linealidad. En esta muestra se reconoce a un artista poliédrico que rehúye de toda pertenencia a alguna escuela, sistema o método.
Tratando de mostrar la diferencia entre los distintos momentos de la extensa y prolífica trayectoria de Campano, la galería ha seleccionado una sola pintura representativa por cada etapa, proponiendo así “saltar” de un periodo a otro sin la necesidad de articular suavemente los momentos de cambio o transición que anuncian las diferentes fracturas que se irán produciendo en su pintura.
Mediante una relación de contraste entre las diferentes pinturas que integran la muestra, se hace patente la maestría de un pintor lleno de matices, modulaciones, giros y, sobretodo, una profunda libertad, conseguida por el hecho de trabajar atendiendo solamente a la coherencia interna de la propia pintura y dejando de lado otros factores ajenos a ella como pudieran ser, por ejemplo, la fidelidad a un estilo. Campano se caracteriza por moverse, ante todo, por un profundo interés en la propia esencia pictórica.
Miguel Ángel Campano obtuvo el Premio Nacional de Artes Plásticas en 1996 y su gran retrospectiva en El Palacio Velázquez de Madrid en 1999 fue la confirmación de su relevancia dentro del panorama del arte contemporáneo español.",null,null,null,http://www.artbarcelona.es/es/exposiciones/miguel-angel-campano-intimo/
1524996923-83,http://www.artbarcelona.es/es/agenda/,http://www.artbarcelona.es/wp-content/uploads/2018/04/Brossa-1-min.jpg,Galería Carles Taché,,http://www.artbarcelona.es/es/exposiciones/joan-brossa-neorealismo/,Joan Brossa,,15.03.18 – 19.05.18,Galería Carles Taché,Neorealismo,"Artista y poeta nacido en la ciudad de Barcelona, Brossa (1919-1998) fue cofundador del grupo artístico Dau al Set junto con Antoni Tàpies, Modest Cuixart i Joan Ponç.
La elevación de los objetos convencionales a la categoría de objetos artísticos, añadiendo una sensibilidad poética al género, fue el pilar fundamental de su obra plástica, en la que destacan los conocidos como “Poemas Objetos”. Su reconocimiento internacional, a través de sus grandes exposiciones en 1986 en la Fundación Miró y la retrospectiva en el Museo Nacional Centro de Arte Reina Sofía, asentaron la trayectoria de este creador, fallecido en 1998.
Brossa desarrolla su práctica artística desde los años cuarenta, en una situación cultural caracterizada por la ausencia de propuestas vanguardistas e innovadoras. Desde sus inicios, Brossa lleva a cabo un trabajo de renovación estética fundamentado en la investigación literaria y artística; y hasta el momento de su muerte, su extensísima producción no deja de buscar nuevas formas de expresión y de experimentar con los diferentes medios.
Si bien la gura de este artista y poeta es inabarcable, la obra Neorealismo nos permite acercarnos y explicar múltiples facetas del universo brossiano. Esta pieza, compuesta por dieciocho espejos enmarcados, es una buena muestra de la mezcla de contención e ironía, y forma parte de un rico imaginario compuesto por objetos cotidianos en los que el artista quiere redescubrir la magia. La de Brossa es una escuela de la mirada que se ja en aquello banal, menosprecia los héroes y rompe convenciones de género. Pero Brossa, además, implica al espectador, le sorprende, le incita a pensar, o lo turba con apariciones poéticas –en este caso, del mismo espectador– tan sencillas como complejas.
Con una enigmática sabiduría poética, Brossa, deconstructor del lenguaje, prestidigitador de los signos, nos ha dejado un universo poético en expansión, en mutación constante, como el amor, como el instante, como la vida, como los espejos.",null,null,null,http://www.artbarcelona.es/es/exposiciones/joan-brossa-neorealismo/
1524996864-54,http://www.artbarcelona.es/es/agenda/,http://www.artbarcelona.es/wp-content/uploads/2018/04/IMG_0448-min.jpg,Galería Carles Taché,,,"Frederic Amat, Evru, Ferran García Sevilla, Xavier Grau, Josep Guinovart, Joan Hernández Pijuan, Toni Llena, Robert Llimós, Jaume Plensa, Charo Pradas, Albert Ràfols-Casamada i Antoni Tàpies; Sergi Aguilar, Susana Solano i Moisès Villèlia; Jordi Benito i Carlos Pazos.",15.03.18 – 19.05.18,15.03.18 – 19.05.18,Galería Carles Taché,Homenaje al arte contemporáneo catalán,,null,null,null,http://www.artbarcelona.es/es/exposiciones/homenaje-al-arte-contemporaneo-catalan/
1524996864-52,http://www.artbarcelona.es/es/agenda/,http://www.artbarcelona.es/wp-content/uploads/2018/04/Brossa-1-min.jpg,Galería Carles Taché,,,Joan Brossa,15.03.18 – 19.05.18,15.03.18 – 19.05.18,Galería Carles Taché,Neorealismo,,null,null,null,http://www.artbarcelona.es/es/exposiciones/joan-brossa-neorealismo/
1524996864-59,http://www.artbarcelona.es/es/agenda/,http://www.artbarcelona.es/wp-content/uploads/2018/04/MAC3097-min-1.JPG,Galería Carles Taché,,,Miguel Ángel Campano,15.03.18 – 19.05.18,15.03.18 – 19.05.18,Galería Carles Taché,Íntimo,,null,null,null,http://www.artbarcelona.es/es/exposiciones/miguel-angel-campano-intimo/
1524996864-65,http://www.artbarcelona.es/es/agenda/,http://www.artbarcelona.es/wp-content/uploads/2018/04/A_53web.jpg,àngels barcelona,,,Daniel G. Andújar,20.04.18 – 22.06.18,20.04.18 – 22.06.18,àngels barcelona,El gato de Schrödinger. La superposición de estados y la paradoja del observador.,,null,null,null,http://www.artbarcelona.es/es/exposiciones/el-gato-de-schrodinger-la-superposicion-de-estados-y-la-paradoja-del-observador/
1524996919-81,http://www.artbarcelona.es/es/agenda/,http://www.artbarcelona.es/wp-content/uploads/2018/04/IMG_0448-min.jpg,Galería Carles Taché,,http://www.artbarcelona.es/es/exposiciones/homenaje-al-arte-contemporaneo-catalan/,"Frederic Amat, Evru, Ferran García Sevilla, Xavier Grau, Josep Guinovart, Joan Hernández Pijuan, Toni Llena, Robert Llimós, Jaume Plensa, Charo Pradas, Albert Ràfols-Casamada i Antoni Tàpies; Sergi Aguilar, Susana Solano i Moisès Villèlia; Jordi Benito i Carlos Pazos.",,15.03.18 – 19.05.18,Galería Carles Taché,Homenaje al arte contemporáneo catalán,"Quizás esta exposición llega tarde, no lo sé. Ciertamente la hubiera podido hacer en el pasado, la puedo hacer ahora y la podría hacer más adelante.

En la vida, pocas cosas atraviesan el tiempo con rmeza y contundencia, invadiendo nuestra memoria, el presente y el futuro. Aquello que tenga esta capacidad signi cará que forma ya parte de nosotros.

De los artistas de esta exposición soy deudor en tanto que reúnen esta condición: forman parte de mí, han sido determinantes en la construcción de mi cosmovisión personal.

De todas maneras que tengo a mi alcance de expresar mis emociones, hacer una exposición es la que probablemente se me dé mejor.

Sirva esta muestra, por lo tanto, como prueba de mi homenaje a todos estos artistas, maestros indiscutibles del arte contemporáneo catalán.

Carles Taché

_____________________________________________________________________

La Galeria Carles Taché se complace en anunciar la inauguración de la exposición “Homenaje al arte contemporáneo catalán” que tendrá lugar el día 15 de marzo a las 19.30h.

En esta retrospectiva se podrán ver obras de los grandes maestros del arte catalán contemporáneo, con cuadros de Frederic Amat, Evru, Ferran García Sevilla, Xavier Grau, Josep Guinovart, Joan Hernández Pijuan, Toni Llena, Robert Llimós, Jaume Plensa, Charo Pradas, Albert Ràfols-Casamada y Antoni Tàpies; esculturas de Sergi Aguilar, Susana Solano y Moisès Villèlia; e instalaciones de Jordi Benito y Carlos Pazos.

Además, la muestra se complementará con otro gran nombre, el de Joan Brossa, del cual se expondrá una instalación en la Sala Negra de la Galeria.

Así pues, esta no es solo una exposición, es también un homenaje a la integridad y al trabajo de estas guras, y también es la materialización del deseo de poner nuevamente en escena y en diálogo a los grandes artistas constructores de la contemporaneidad en nuestro país.",null,null,null,http://www.artbarcelona.es/es/exposiciones/homenaje-al-arte-contemporaneo-catalan/
