"EVENT NAME","VENUE NAME","ORGANIZER NAME","START DATE","START TIME","END DATE","END TIME","ALL DAY EVENT?","CATEGORIES","EVENT COST","EVENT WEBSITE","SHOW MAP LINK?","SHOW MAP?","EVENT DESCRIPTION","EVENT IMAGE"
"Kasia Wasiak - Art Exhibition","TOC Hostel & Suites (Barcelona)","Kasia Wasiak","08/24/2018","","08/25/2018","",1,"","","https://www.facebook.com/events/310449713039459/",1,1,"<p><img src='http://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/s526x296/39190036_10160683262360142_5029144564582055936_n.jpg?_nc_cat=0&oh=c3efd30cf587be89f668032bc75e3f8b&oe=5C016BF0' width='228' height='182' alt='Kasia Wasiak - Art Exhibition' />Hola amics!!<br />El Sabado, 24 de agosto voy a exponer algunas pinturas en el TOC - Hostel & Suites<br />Habra DJ´s Tech House y buffet de comida Mexicana<br />El lugar centrico y muy chulo con terraza :)<br />Os espero alli!</p>","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/s526x296/39190036_10160683262360142_5029144564582055936_n.jpg?_nc_cat=0&oh=c3efd30cf587be89f668032bc75e3f8b&oe=5C016BF0"
"CREA. La Festa del Districte Cultural de L'Hospitalet","Centre d'Art Tecla Sala","Cultura de L'Hospitalet","09/28/2018","","09/29/2018","",1,"","","https://www.facebook.com/events/772214169836370/",1,1,"<p><img src='http://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/s526x296/38411845_2315572198469585_645618444552634368_n.png?_nc_cat=0&oh=ee9e0b7f8480a1de2ebb4e71b8811afa&oe=5C04AED0' width='228' height='182' alt='CREA. La Festa del Districte Cultural de L'Hospitalet' />Torna el CREA, la festa del Districte Cultural de L'Hospitalet, que  aglutinarà tot el teixit creatiu i artístic d'aquest districte tan singular de la ciutat.</p>","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/s526x296/38411845_2315572198469585_645618444552634368_n.png?_nc_cat=0&oh=ee9e0b7f8480a1de2ebb4e71b8811afa&oe=5C04AED0"
"Exposición Victor Skiper + Leonor SS","null","La Cova","08/16/2018","","08/16/2018","",1,"","","https://www.facebook.com/events/156986155116515/",1,1,"<p><img src='http://scontent-mad1-1.xx.fbcdn.net/v/t1.0-9/s720x720/38230720_995730030600083_1170988941667467264_n.jpg?_nc_cat=0&oh=2bf75e51540dc65c6dc0ee65c5242dff&oe=5BFFCD2B' width='228' height='182' alt='Exposición Victor Skiper + Leonor SS' />Victor Skiper nos deslumbra con sus ilustraciones macabro-sexuales. Su estilo inspirado en el manga de los 90 en el que deforma y moldea para crear su pequeño universos que lo hace tan característico y único.<br />No os lo perdáis! <br />A las 20:30h empezará el concierto de los niños malditos, los fabulosos Leonor SS con su unplugged hecho especialmente para la Cova de la Bèstia. Todo un honor!<br />Así que no faltéis a la cita en la Cova de la Bèstia , la cueva más fresca de Barcelona con bebida fría.</p>","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-9/s720x720/38230720_995730030600083_1170988941667467264_n.jpg?_nc_cat=0&oh=2bf75e51540dc65c6dc0ee65c5242dff&oe=5BFFCD2B"
"El_mal_trato","Arts Santa Mònica","Girlie Circuit Festival","08/09/2018","","08/18/2018","",1,"","","https://www.facebook.com/events/626177317745900/",1,1,"<p><img src='http://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/p235x350/36594147_10155919980138051_2449556373034237952_n.jpg?_nc_cat=0&oh=381c8a8ed7770459da6e4b36f76b4595&oe=5C0B2B1A' width='228' height='182' alt='El_mal_trato' /></p>","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/p235x350/36594147_10155919980138051_2449556373034237952_n.jpg?_nc_cat=0&oh=381c8a8ed7770459da6e4b36f76b4595&oe=5C0B2B1A"
"Big Awards Collective Exhibition","CAGE","CAGE","09/28/2018","","09/28/2018","",1,"","","https://www.facebook.com/events/443362812789746/",1,1,"<p><img src='http://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/s526x296/33135316_1852434011474220_6094607212053790720_n.jpg?_nc_cat=0&oh=434ba0d03355b1e943241c0130f0fc83&oe=5C042383' width='228' height='182' alt='Big Awards Collective Exhibition' />Barcelona International Gallery Awards 2018<br />W I N N E R S - I N A U G U R A T I O N   <br />Contest dates: 15th May to 15th July<br />Bases: www.bigawards.art</p>","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/s526x296/33135316_1852434011474220_6094607212053790720_n.jpg?_nc_cat=0&oh=434ba0d03355b1e943241c0130f0fc83&oe=5C042383"
"Retrospectiva de obras de artes visuales LGBTI","Galería Alonso Vidal","Galería Alonso Vidal","08/09/2018","","08/17/2018","",1,"","","https://www.facebook.com/events/496397194137791/",1,1,"<p><img src='http://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/p526x296/36568078_10155919989533051_5246331397064359936_n.jpg?_nc_cat=0&oh=9bbd062b75d63e9a1073e0629d6ea24f&oe=5C108779' width='228' height='182' alt='Retrospectiva de obras de artes visuales LGBTI' />RETROSPECTIVA DE OBRAS GANADORAS DEL PREMIO DE ARTES VISUALES LGBTI FUNDACIÓN ARENA JOSÉ Mª VIDAL <br /><br />9/8/2018 - 19/08/2018 (SÁBADO, DOMINGO Y LUNES CERRADO)<br />11 AM – 2 PM /  5 PM – 8 PM <br />GALERÍA ALONSO VIDAL <br />BALMES, 34<br />M L1 L2 UNIVERSITAT  <br />GRATIS<br /><br />+ INFO: alonsovidal.com / galeria@alonsovidal.com / +34 93 315 86 59<br /><br />Pintura: <br /><br />Enric Font<br />Jordi Fulla<br />Leo Wellmar<br />Manel Margalef<br />fernando Molero<br />Jo Milne<br />David Murcia<br />Ricardo Álvarez<br />Carola Chapals<br />Lou Campos<br />Xavi Carbonell<br />Rosa Solano<br />Marcos Noris<br />Bartolomé Limón<br /><br />Fotografía:<br /><br />José Ramón Bas<br />Óscar Fernández<br />Antoine Passerat<br />José Manuel Alorda<br />Cristina Fontsaré<br />Álvaro Sánchez Montañés<br />Daniel Bruno Urvizu<br />Jesús Mª Muñoz Monge<br />María Andrés Sanz<br />Xavier Gómez Isart<br />Fernando Bayona<br />Lou Campos<br />Alex Pagan<br /><br />-------------------------------------------------------------<br /><br />WORKS AWARDED THE JOSÉ Mª VIDAL PRIZE OF VISUAL ARTS BY THE ARENA FOUNDATION <br />9/8/2018 - 19/08/2018 (CLOSED SATURDAY, SUNDAY AND MONDAY) <br />11 AM – 2 PM /  5 PM – 8 PM <br />GALERÍA ALONSO VIDAL <br />BALMES, 34<br />M L1 L2 UNIVERSITAT  <br />FREE<br /><br />+ INFO: alonsovidal.com / galeria@alonsovidal.com / +34 93 315 86 59<br /><br />Painting: <br /><br />Enric Font<br />Jordi Fulla<br />Leo Wellmar<br />Manel Margalef<br />fernando Molero<br />Jo Milne<br />David Murcia<br />Ricardo Álvarez<br />Carola Chapals<br />Lou Campos<br />Xavi Carbonell<br />Rosa Solano<br />Marcos Noris<br />Bartolomé Limón<br /><br />Photography:<br /><br />José Ramón Bas<br />Óscar Fernández<br />Antoine Passerat<br />José Manuel Alorda<br />Cristina Fontsaré<br />Álvaro Sánchez Montañés<br />Daniel Bruno Urvizu<br />Jesús Mª Muñoz Monge<br />María Andrés Sanz<br />Xavier Gómez Isart<br />Fernando Bayona<br />Lou Campos<br />Alex Pagan</p>","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/p526x296/36568078_10155919989533051_5246331397064359936_n.jpg?_nc_cat=0&oh=9bbd062b75d63e9a1073e0629d6ea24f&oe=5C108779"
"Inauguració+ Presentació de catàleg: Invoice | Jaume Pitarch","Centre d'Art Tecla Sala","Centre d'Art Tecla Sala","09/26/2018","","09/26/2018","",1,"","","https://www.facebook.com/events/2003267836351562/",1,1,"<p><img src='http://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/p526x296/38519115_2162651113979143_7236256252869738496_n.jpg?_nc_cat=0&oh=be215cca24ec761d87ea59e0608bfacd&oe=5C0B023A' width='228' height='182' alt='Inauguració+ Presentació de catàleg: Invoice | Jaume Pitarch' />Coincidint amb el Barcelona Gallery Weekend, es presenta INVOICE, una nova instal•lació de l’artista Jaume Pitarch. <br /><br />INVOICE és una instal•lació de vídeo on tres cantants interpreten una adaptació del cant gregorià O Virgo Splendens, substituint el text original per l’enumeració de les factures emeses durant el procés de realització de l’obra. <br /><br />Un tret distintiu del cant gregorià és l’escàs o nul lluïment gestual de l’intèrpret. En el món de l’art, durant el procés de realització d’una obra o exposició, els pressupostos i les polítiques institucionals poden arribar a neutralitzar la idea inicial fins al punt de limitar-la i a dificultar-ne la viabilitat. Així com en el cant gregorià la subjectivitat de l’intèrpret se supedita a l’autoritat de Déu, en el món de l’art l’artista es veu supeditat als pressupostos i a la lògica institucional. <br /><br />Invoice és una proposta crítica que parteix d’una acció poètica per fer visibles els processos i les condicions, sovint ocultes, que acaben determinant el resultat final d’una obra o projecte artístic.<br /><br />Aquesta instal•lació és una producció del Programa de Suport a la Creació Contemporània del Centre d'Art Tecla Sala.<br /><br />-<br /><br />[ESP] Coincidiendo con el Barcelona Gallery Weekend, se presenta INVOICE, una nueva instalación del artista Jaume Pitarch. <br /><br />INVOICE es una instalación de vídeo donde tres cantantes interpretan una adaptación del canto gregoriano O Virgo Splendens, substituyendo el texto original por la enumeración de las facturas emitidas durante el proceso de realización de la obra. <br /><br />Un rasgo distintivo del canto gregoriano es el escaso o nulo lucimiento gestual del intérprete. En el mundo del arte, durante el proceso de realización de una obra o exposición, los  presupuestos y las políticas institucionales pueden llegar a neutralizar la idea inicial hasta el punto  de limitarla y dificultar su viabilidad. Así como en el canto gregoriano la subjetividad del intérprete se supedita a la autoridad de Dios, en el mundo del arte el artista se ve supeditado a los presupuestos y a la lógica institucional. <br /><br />Invoice es una propuesta crítica que parte de una acción poética para hacer  visibles los procesos y las condiciones, a menudo ocultas, que acaben determinando el resultado final de una obra o proyecto artístico.<br /><br />Esta instalación es una producción del Programa de Apoyo a la Creación Contemporánea del Centro de Arte Tecla Sala.<br /><br />-<br /><br />Teclasala.net | #expoteclasala #teclasala #JaumePitarch</p>","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/p526x296/38519115_2162651113979143_7236256252869738496_n.jpg?_nc_cat=0&oh=be215cca24ec761d87ea59e0608bfacd&oe=5C0B023A"
"El mercat de la Mercè! Estació Disseny 22, 23 y 24 Septiembre","Barcelona-Estación de Francia","Estació Disseny Barcelona","09/22/2018","","09/24/2018","",1,"","","https://www.facebook.com/events/377346409418862/",1,1,"<p><img src='http://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/p526x296/35043569_2056964521020549_4130064496276275200_n.jpg?_nc_cat=0&oh=2e60febbe13f4226a220764080dc353c&oe=5BC54793' width='228' height='182' alt='El mercat de la Mercè! Estació Disseny 22, 23 y 24 Septiembre' />ESTACIÓ DISSENY BARCELONA<br /><br />La propuesta para diseñadores emergentes locales, moda, interiorismo, música, gastronomía, arte, etc...<br /><br />Espai Moritz Disseny: Las mejores marcas emergentes de Barcelona presentarán sus propuestas de verano/otoño. <br /><br />Espai Give'me 5!: Market de Segunda Mano donde todo lo que se vende es a 5€ o menos! <br /><br />Espai Juegos retromodernos: Juegos mecánicos para toda la familia. <br /><br />Foodtrucks: Zona interior con 5 Foodtrucks y degustación de productos. <br /><br />Sábado, Domingo y Lunes<br />22, 23 y 24 de Septiembre<br />Horario: 11.00h a 21.00h. <br />Avda. Marqués de l'argentera s/n <br />Barcelona<br />Estació de França<br /><br />Para participar como expositor en siguientes convocatorias de EDB envia un mail a: info@estaciodisseny.com</p>","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/p526x296/35043569_2056964521020549_4130064496276275200_n.jpg?_nc_cat=0&oh=2e60febbe13f4226a220764080dc353c&oe=5BC54793"
"Paint & Wine nights","Arte Bar","Guiris en Barcelona","01/17/2018","","12/05/2018","",1,"","","https://www.facebook.com/events/144885666230635/",1,1,"<p><img src='http://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/s526x296/26196015_1047668872041864_3540222445440556782_n.jpg?_nc_cat=0&oh=5b3aff506a46527879474f8a03473475&oe=5C12D7EE' width='228' height='182' alt='Paint & Wine nights' /></p>","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/s526x296/26196015_1047668872041864_3540222445440556782_n.jpg?_nc_cat=0&oh=5b3aff506a46527879474f8a03473475&oe=5C12D7EE"
"Closing Party - Alessia Innocenti - Complementos","Bien Cuadrado","Andrew McMahon","08/17/2018","","08/17/2018","",1,"","","https://www.facebook.com/events/295272591053375/",1,1,"<p><img src='http://scontent-mad1-1.xx.fbcdn.net/v/t1.0-9/39188288_1735575096561620_4300770621450616832_n.jpg?_nc_cat=0&oh=e08dfe6cc9f878efc3e4c4ea782adf98&oe=5BFC6949' width='228' height='182' alt='Closing Party - Alessia Innocenti - Complementos' />Arrastra para cambiar de lugar</p>","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-9/39188288_1735575096561620_4300770621450616832_n.jpg?_nc_cat=0&oh=e08dfe6cc9f878efc3e4c4ea782adf98&oe=5BFC6949"
