"EVENT NAME","VENUE NAME","ORGANIZER NAME","START DATE","START TIME","END DATE","END TIME","ALL DAY EVENT?","CATEGORIES","EVENT COST","EVENT WEBSITE","SHOW MAP LINK?","SHOW MAP?","EVENT DESCRIPTION","EVENT IMAGE"
"Joan Cardells - Inventario","Àmbit Galeria d’Art","Art Barcelona","09/26/2018","","09/30/2018","",1,"Arte contemporáneo, Exposición, Galerías, Los recomendados, galleryweekend","0","http://www.barcelonagalleryweekend.com/es/exposiciones/inventari/",1,1,"<p><img src='http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2018/04/1_PROGRAMA_Joan-Cardells-R-1076-2007.-Grafito-sobre-papel.-154x103cm.-Cortesia-Joan-Cardells.jpg' width='228' height='182' alt='Joan Cardells - Inventario' />La obra de Joan Cardells se caracteriza por la presencia constante, casi obsesiva, de temas que reflejan sus aficiones por el mundo industrial, por el comercio, la ferretería y la sastrería tradicional. En su personal “inventario” figuran olivas, calabazas, chaquetas, pantalones, depósitos de agua, techos de uralita, granadas, bacalao, melones, ollas, gallos, patos, y, recientemente, mazorcas.<br />Son imágenes arquetípicas que remiten a los antiguos inventarios de ferretería industrial y de tiendas donde a menudo el artista se ha quedado fascinado por el estudio anatómico de los materiales. Con la sobriedad y el equilibrio que caracteriza su obra, Cardells disfruta del placer de expresarse con los elementos básicos del dibujo: papel y grafito “comunes”, llevando a cabo una exploración meticulosa de los objetos, privados de función o simbolismo. En la poética de Cardells no se pueden concebir escultura y dibujo separadamente; tanto que las pequeñas formas semigeometricas del amianto, material originario de sus esculturas, se encuentran reproducidas constantemente, transformándose en la textura artificial de sus objetos.</p>","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2018/04/1_PROGRAMA_Joan-Cardells-R-1076-2007.-Grafito-sobre-papel.-154x103cm.-Cortesia-Joan-Cardells.jpg"
"Marc Larré - 1 + 1 = 3","etHALL","Art Barcelona","09/26/2018","","09/30/2018","",1,"Arte contemporáneo, Exposición, Galerías, Los recomendados, galleryweekend","0","http://www.barcelonagalleryweekend.com/es/exposiciones/marc-larre/",1,1,"<p><img src='http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2018/04/PROGRAMA-Marc-Larr---tacon-prostituta-codo-trabajador-baja.jpg' width='228' height='182' alt='Marc Larré - 1 + 1 = 3' />Colección de esculturas realizadas a partir de colisiones y experiencias que investigan el pliegue entre el valor de cambio y el valor de uso, el espacio simbólico y lo real, fotografía y barro.<br />Al juntar 1 + 1 no se obtiene un 2 como suma de las dos unidades anteriores, lo que obtenemos es una tercera cosa que nace de la fricción entre ambas.</p>","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2018/04/PROGRAMA-Marc-Larr---tacon-prostituta-codo-trabajador-baja.jpg"
"Albarran Cabrera - Aspectos de influencia","Dada Objet Trouvé","Art Barcelona","09/26/2018","","09/30/2018","",1,"Arte contemporáneo, Exposición, Galerías, Los recomendados, galleryweekend","0","http://www.barcelonagalleryweekend.com/es/exposiciones/aspectos-de-influencia/",1,1,"<p><img src='http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2018/04/Mouth_of_Krishna_105web.jpg' width='228' height='182' alt='Albarran Cabrera - Aspectos de influencia' />Los recuerdos son el leitmotiv que recorre todo nuestro trabajo fotográfico. Nos ayudan a definir nuestra identidad. Hemos sido influenciados por una enorme cantidad de autores, y algunos de ellos también se exhiben aquí. Algunos otros no son artistas visuales, sino escritores, músicos, matemáticos, filósofos o físicos. A su vez, todos estos autores tenían su propia lista de influencias. Es realmente una cuestión de lo que uno hace con lo que ya existía. No eres tú, sino tus recuerdos e influencias lo que construye tu estilo.<br />Tener un estilo único en el arte es una especie de obsesión en la sociedad occidental. Pero al mismo tiempo, durante siglos, el arte europeo se ha enseñado siguiendo un enfoque académico: ir a un museo, recrear una obra maestra y aprender algo en el proceso. Para vivir con este dilema, debes entender que siempre estás viajando por territorio trazado por otros antes que tú.<br />Nuestro enfoque de la fotografía es aprender de tantos maestros en diferentes medios como podamos. Al articular lo que hicieron, podemos tener una comprensión más profunda de sus ideas y crear conexiones únicas entre ellos. Es en este espacio donde surgen ideas originales y un estilo personal.<br /> ""Olvida el espectáculo y mira el Nôh; olvida el Nôh y mira al actor; olvida al actor y mira la idea; olvida la idea y entenderás el Nôh "".<br /> - Motokiyo Zeami</p>","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2018/04/Mouth_of_Krishna_105web.jpg"
"Dora García - La Peste","ProjecteSD","Art Barcelona","09/26/2018","","09/30/2018","",1,"Arte contemporáneo, Exposición, Galerías, Los recomendados, galleryweekend","0","http://www.barcelonagalleryweekend.com/es/exposiciones/dora-garcia/",1,1,"<p><img src='http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2018/04/web-Mad-Marginal-Charts-notes-on-The-Plague-1.jpg' width='228' height='182' alt='Dora García - La Peste' />En activo desde los años 90, Dora García ha sido reconocida internacionalmente por su obra incisiva y rigurosa basada en una extensa investigación sobre los difusos límites entre lo real y su representación. A través de performances, dibujos, films, textos, libros expandidos o instalaciones, García hace visibles los mecanismos que gobiernan los procesos de comunicación cultural, explorando y cuestionando la naturaleza de la relación entre el artista, su obra y la audiencia. El trabajo de García está lleno de referencias a la literatura, al teatro, al psicoanálisis. En su próxima exposición en ProjecteSD, que titula La Peste, acude de nuevo a la literatura refiriéndose a la novela de Albert Camus para desplegar una nueva serie de obras basadas en el dibujo y la performance.<br />García (Valladolid, 1965) representó a España en la Bienal de Venecia (2011) y participó en la dOCUMENTA (13) (2012). García ha tenido exposiciones individuales en el CGAC (Santiago de Compostela, 2009), la Galleria Civica di Trento (2010), la Power Plant (Toronto, 2011), la Kunsthaus Bregenz (2013), la Universidad Torcuato di Tella (Buenos Aires, 2014) y el MNCARS (Madrid, 2018).<br />29/09, 19:00<br /><br />Performance de Dora García a cargo de Geoffrey Carrey<br /><br />La exposición de Dora García, La Peste, se acompaña de una nueva performance, presentada por primera vez en ProjecteSD,  realizada por Geoffrey Carrey, colaborador habitual de la artista. Esta iniciativa incide en la importancia de la performance como medio privilegiado para acercarse a los aspectos centrales del trabajo de García.</p>","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2018/04/web-Mad-Marginal-Charts-notes-on-The-Plague-1.jpg"
"Enrique Ramírez - Varados","Die Ecke arte contemporáneo","Art Barcelona","09/26/2018","","09/30/2018","",1,"Arte contemporáneo, Exposición, Galerías, Los recomendados, galleryweekend","0","http://www.barcelonagalleryweekend.com/es/exposiciones/varados/",1,1,"<p><img src='http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2018/04/Enrique-Ram--rez-Captura-v--deo-Les---chou--s-web.jpg' width='228' height='182' alt='Enrique Ramírez - Varados' />Varados consta de una serie de obras inspiradas en el Mar Mediterráneo.<br />El Mar Mediterráneo que es un mar donde los mundos se juntan, también mueren, ese mar que cuenta la historia tiene ciudades en sus fondos marinos hoy tiene millares de inmigrantes perdidos bajo el fondo de mar ... además de ser considerado el mar más contaminado del planeta.<br />Varados es una palabra para representar el hecho de tocar fondo, de quedar en un lugar que muchas veces no elegimos, varados puede también representar el cuerpo, el alma, pero también el mar como un corazón que fluye y que late por vivir, atascado entre nosotros.<br />La exposición es una representación de la relación que existe entre el mar y nuestro cuerpo interior, como hoy en día una botella lanzada a la mar es también la representación de una pregunta , en que dirección vamos en el mundo?</p>","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2018/04/Enrique-Ram--rez-Captura-v--deo-Les---chou--s-web.jpg"
"Margaret Harrison - It Hasn’t Changed : And Babies?","ADN Galeria","Art Barcelona","09/26/2018","","09/30/2018","",1,"Arte contemporáneo, Exposición, Galerías, Los recomendados, galleryweekend","0","http://www.barcelonagalleryweekend.com/es/exposiciones/desigualdad-de-genero/",1,1,"<p><img src='http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2018/04/Margaret-Harrison-The-fantasy-footballer.jpg' width='228' height='182' alt='Margaret Harrison - It Hasn’t Changed : And Babies?' />Margaret Harrison cuestiona audazmente las nociones preconcebidas de género a través de la feminización del cuerpo masculino y del análisis de la situación laboral de la mujer mediante estrategias de alteración de los roles de poder tradicionales. Sus obras buscan poner el arte al servicio del movimiento feminista. Procedente de los ‘liberales’ años 60, esta activista británica en seguida se dio cuenta de que lo privado es político y representó esta misma idea en subversiones satíricas de los roles de género asignados por la sociedad y los medios de comunicación.<br />Harrison ha expuesto individualmente en instituciones como el New Museum en Nueva York, MiMA en Middlesbourgh y Azkuna Centroa en Bilbao. Ha participado en numerosas exposiciones colectivas en instituciones como Tate Modern y Victoria & Albert Museum en Londres, el Museo de Arte Contemporáneo en Los Ángeles y el Museo Chiado en Portugal. Sus obras se encuentran en diferentes colecciones institucionales, como Tate Modern y Tate Britain, Victoria & Albert Museum, Kunthaus en Zurich y la Universidad de California. Ha ganado varios premios como el Northern Art Prize en 2013 o el Intersection for the Arts 'Artist in Residence Award de San Francisco en 2010.</p>","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2018/04/Margaret-Harrison-The-fantasy-footballer.jpg"
"Ernesto Leal - Triple lenguaje","Tasneem Gallery","Art Barcelona","09/26/2018","","09/30/2018","",1,"Arte contemporáneo, Exposición, Galerías, Los recomendados, galleryweekend","0","http://www.barcelonagalleryweekend.com/es/exposiciones/triple-lenguaje/",1,1,"<p>La dramaturgia de esta exposición organiza el espacio para describir algunas situaciones del lenguaje. Primero plantea un problema general: la censura del sentido, desarrollado en la serie Estética de la censura. Este trabajo hace referencia al momento en que en una sociedad autoritaria (en este caso Cuba), la censura ya no es vivida como un proceso externo, sino como parte del entramado social e internalizado por los sujetos.<br />En un segundo momento invita a imaginar la posibilidad de un triple-lenguaje como una escritura imposible de censurar. Leal nos presenta la instalación de dibujos De Doble-Lenguaje a Triple-Lenguaje donde el fenómeno del doble-lenguaje es representado como una palabra que es físicamente escrita por otra.<br />Por último, propone hacer funcionar este triple-lenguaje poniéndolo en relación con dos nociones: el tiempo y el espacio. Untitled es un video-instalación en donde la palabra controla la realidad temporal y el vínculo entre objeto artístico, espacio expositivo y públicos. 90 Mile Drawing es un dibujo basado en la distancia que separa a Cuba de EEUU, espacio dramático asociado a su recorrido migratorio.</p>",""
"Sergio Vega - Paraísos perdidos de la modernidad","RocioSantaCruz","Art Barcelona","09/26/2018","","09/30/2018","",1,"Arte contemporáneo, Exposición, Galerías, Los recomendados, galleryweekend","0","http://www.barcelonagalleryweekend.com/es/exposiciones/9230-2/",1,1,"<p><img src='http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2018/06/Sergio-Vega_Pineapple_Cathedral_2016_Collage-on-digital-print-on-Hahnemuehle-Photo-Rag-bj.jpg' width='228' height='182' alt='Sergio Vega - Paraísos perdidos de la modernidad' />Durante los últimos diez años Sergio Vega ha estado trabajando en el proyecto de arte interdisciplinario El Paraíso en el Nuevo Mundo, inspirado en el libro homónimo escrito por Antonio de León Pinelo en 1650. Usando la disciplina de la historia natural recién desarrollada, Pinelo intentó demostrar científicamente que<br /><br />el Jardín del Edén se encontraba en América del Sur. Adoptando su tesis, Vega ha realizado varios viajes de investigación al estado de Mato Grosso, Brasil, manteniendo un diario de viaje que describe sus aventuras. A través de una serie de fotografías, videos, dioramas e instalaciones derivadas de las entradas del diario, Vega explora cómo se construyeron los discursos coloniales en relación con la mitología específica del Paraíso.<br />Las obras expuestas en RocioSantaCruz durante el Barcelona Gallery Weekend 2018 - fotografías, dibujos, vídeos, instalaciones y textos derivados de las páginas de su diario - son un reflejo centrado en la ambivalencia del modernismo de América del Sur, su dimensión barroca, excesiva y paradisíaca, opuesta a la pureza minimalista del modernismo europeo. Debido a estas características exóticamente extrañas, Vega acuña el concepto de “modernismo tropical”, capturando al mismo tiempo las implicaciones ideológicas estridentes y el poder, como expresión arquitectónica de la clase política dominante. La historia del Génesis y el colonialismo,<br /><br />el sublime e la ideología se implican y se entrelazan en una fascinante reinterpretación de símbolos y lenguas, que desafían las perspectivas más aprobadas para dar nueva lectura a los controvertidos acontecimientos de la historia de América del Sur. Vega se inspira en el legado de Edward Steichen, Hélio Oiticica y Jacques Derrida: fotografías de espacios domésticos y barrios típicos a las que se superponen composiciones geométricas abstractas colgadas del techo; el uso de colores brillantes como fondo activo para presentar la fotografía como una experiencia escultórica; una serie de collages en los que superpone objetos y fotos a textos e imágenes de libros creando asociaciones inesperadas. La galería se convierte así en una instalación única donde las imágenes, los sonidos, la fotografía, la arquitectura y la naturaleza se integran orgánicamente en un entorno modernista tropical.</p>","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2018/06/Sergio-Vega_Pineapple_Cathedral_2016_Collage-on-digital-print-on-Hahnemuehle-Photo-Rag-bj.jpg"
"Dominica Sánchez - Formas i Silenci","Pigment Gallery","Art Barcelona","09/26/2018","","09/30/2018","",1,"Arte contemporáneo, Exposición, Galerías, Los recomendados, galleryweekend","0","http://www.barcelonagalleryweekend.com/es/exposiciones/ramon-enrich-i-dominica-sanchez/",1,1,"<p>Pigment Gallery presenta un proyecto de diálogo entre la obra de dos artistas catalanes: Ramon Enrich y Dominica Sánchez, de distinta generación pero ambos con un largo recorrido. Sus obras austeras y geométricas, tienden a eliminar lo superfluo o decorativo. Estableciendo una relación sensible con la geometría, los espacios de contemplación, la intimidad y los silencios. Todo ello desde una marcada introspección, donde forma, línea, estructura y color crean sus distintos lenguajes en un discurso de contenida emoción.</p>",""
"Ruth Morán - Lenguaje de huellas","Sala Parés","Art Barcelona","09/26/2018","","09/30/2018","",1,"Arte contemporáneo, Exposición, Galerías, Los recomendados, galleryweekend","0","http://www.barcelonagalleryweekend.com/es/exposiciones/habitar-el-espacio-mas-alla-del-limite/",1,1,"<p><img src='http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2018/04/PROGRAMA-4.-Ruth-Moran.-Sin-t--tulo.-Barro-cocido-engobe.-20x9x16-cm.jpg' width='228' height='182' alt='Ruth Morán - Lenguaje de huellas' />El lenguaje es el la estructura mediante la que establecemos una comunicación. Un diálogo que busca conocimiento. Establecemos un vínculo no solo con algo externo, también con esa parte de uno mismo que puede permanecer inconsciente. Algo cercano a la creación, a esa fuerza primigenia que una vez y otra nos atrapa en su propio quehacer.<br />Contemplar el trabajo de Ruth Morán es asistir en un doble sentido a este ejercicio. No solo porque como en cualquier práctica artística esté implícita esta naturaleza epistemológica, sino porque en su caso, lo asume como metodología diaria intrínseca a su trabajo. Ruth Morán afronta el material a partir de un diálogo con el espacio, para, desde ahí, ir perforando mediante la línea,  el punto o la hendidura, la superficie que tiene delante. Una y otra vez, sin cese.<br />En esta ocasión, Morán se abre a un nuevo universo y nos descubre nuevos interrogantes a través de la cerámica.<br />Asistir a este nuevo proyecto es constatar una reflexión que la acompaña desde hace años. Es ser testimonio del recorrido que ella ha ido elaborando y que ahora nos ofrece. Pasar de un espacio bidimensional a un diálogo directo con la materia, sin olvidar ese diálogo constante que acecha al conocimiento.</p>","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2018/04/PROGRAMA-4.-Ruth-Moran.-Sin-t--tulo.-Barro-cocido-engobe.-20x9x16-cm.jpg"
