"EVENT NAME","VENUE NAME","ORGANIZER NAME","START DATE","START TIME","END DATE","END TIME","ALL DAY EVENT?","CATEGORIES","EVENT COST","EVENT WEBSITE","SHOW MAP LINK?","SHOW MAP?","EVENT DESCRIPTION","EVENT IMAGE"
"La gravetat del lloc –  Israel Ariño (13.09-06.11)","Fifty Dots","Young Gallery Weekend","09/28/2018","","09/30/2018","",1,"ygwb, Exposición, Galerías, Los recomendados, Próximas inauguraciones, Arte emergente","0","http://younggalleryweekend.com/es/participantes/fifty-dots/",1,1,"<p>La serie explora el concepto de lugar como eje de vinculación emocional a través de la oscuridad, del límite de lo representable y de la percepción de la realidad. La noche aparece como objeto de descubrimiento, misterio y placer, como un espacio jeroglífico que nos lleva a imaginar algo más que lo que realmente vemos. Nos adentramos en el terreno de lo mental, de lo imperceptible, del hallazgo.</p>",""
"En Busca del Tiempo Perdido’ presentado por Tangent Projects – Ely Daou, Kuba Dorabialski, Sophie Heydel, Katy B Plummer y Anna Sebastian. (14.09-09.11)","Bien Cuadrado","Young Gallery Weekend","09/28/2018","","09/30/2018","",1,"ygwb, Exposición, Galerías, Los recomendados, Próximas inauguraciones, Arte emergente","0","http://younggalleryweekend.com/es/participantes/bien-cuadrado/",1,1,"<p></p>",""
"Carta de exploración cósmica – Alex Grahovsky (28-30.09)","Escalera de Incendios\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tAnaglifos Art Factory","Young Gallery Weekend","09/28/2018","","09/30/2018","",1,"ygwb, Exposición, Galerías, Los recomendados, Próximas inauguraciones, Arte emergente","0","http://younggalleryweekend.com/es/participantes/escalera-de-incendios/",1,1,"<p>Los retratos de Grahovsky son pinturas de gente que mira sin mirar. Podrían pasarse toda la vida agazapados tras sus gafas de sol, ensimismados en el ritual de su chicle, como si el tiempo se hubiera detenido. Y el chicle es una figura del hastío. La repetición neurótica del eterno presente. Todo está en el chicle. Los cuerpos solo son su extensión. Porque afuera, haya lo que haya, no hay ya nada.</p>",""
"Descontexto – Mariya Alipieva, Marc Brocal, Núria Guerra, Helio Lozano, Aina Pla Planas, Saleh Young (27.09 – 16.11)","Oslo Graphic\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tBarceloneta","Young Gallery Weekend","09/28/2018","","09/30/2018","",1,"ygwb, Exposición, Galerías, Los recomendados, Próximas inauguraciones, Arte emergente","0","http://younggalleryweekend.com/es/participantes/oslo-graphic-barceloneta/",1,1,"<p>Exposición colectiva de los artistas residentes en Oslo Graphic Barceloneta. La muestra contrapone distintas formas de trabajar sobre la descontextualización de la realidad. Todo aquello que nos rodea visto desde un ángulo poético y fuera de su hábitat natural. Premisas que convierten las rutinas, los actos cotidianos, en poemas visuales.</p>",""
"Return to Multiverso – Marta Pinilla","Ether\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tArts Project","Young Gallery Weekend","09/28/2018","","09/30/2018","",1,"ygwb, Exposición, Galerías, Los recomendados, Próximas inauguraciones, Arte emergente","0","http://younggalleryweekend.com/participants/vocdat/",1,1,"<p>La performance “Return to Multiverso” desplega un grup d’éssers sinistres que acaben de travessar un forat negre i es troben en un univers paral·lel als voltants d’una galeria d’art. Han perdut part de la seva humanitat, transformant-se en observadors de la realitat. Necessitaran l’ajuda del públic assistent per ser dirigits en l’espai, però com ho faran?</p>",""
"BARCELONA (MATA) FOR SALE – Barcelona mata (08.09-30.11)","Àcid Sulfúric\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tGaleria","Young Gallery Weekend","09/28/2018","","09/30/2018","",1,"ygwb, Exposición, Galerías, Los recomendados, Próximas inauguraciones, Arte emergente","0","http://younggalleryweekend.com/es/participantes/acid-sulfuric/",1,1,"<p>Barcelona (Mata) se vende es la primera exposición del colectivo Barcelona Mata en una galería de arte contemporáneo. La muestra coge la disposición del museo: exposición y sala de souvenirs para poner Barcelona ante el espejo. Así, la exposición quiere criticar de una forma irónica y satírica el hecho turístico en Barcelona.</p>",""
"Secret Friends – Anahell  (13.09 – 04.11)","Projekteria\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t[ Art gallery ]","Young Gallery Weekend","09/28/2018","","09/30/2018","",1,"ygwb, Exposición, Galerías, Los recomendados, Próximas inauguraciones, Arte emergente","0","http://younggalleryweekend.com/es/participantes/projekteria/",1,1,"<p>En el mundo de AnaHell un día, por casualidad, apareció de la nada un personaje misterioso, el primero de muchos amigos secretos. Y decidió buscarlos por todo el mundo, fotografiándolos en situaciones cotidianas, mostrando un mundo absurdo y surrealista. Secret Friends trata el mundo con un toque de sátira desde la perspectiva de estos intrigantes seres.</p>",""
"Exposición colectiva de Art Lover Ground en colaboración con Filippo Ioco Studio&Gallery (14-28.09)","Art Lover Ground\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tFilippo ioco Studio & Gallery","Young Gallery Weekend","09/28/2018","","09/30/2018","",1,"ygwb, Exposición, Galerías, Los recomendados, Próximas inauguraciones, Arte emergente","0","http://younggalleryweekend.com/es/participantes/art-lover-ground/",1,1,"<p>Más que un evento, Art Lover Ground es un lugar donde los artistas y amantes del arte pueden encontrarse e intercambiar experiencias. Es una oportunidad única para artistas jóvenes y emergentes para obtener visibilidad.</p>",""
"MATER – Dani Berenguer, Gil Gelpi, Rosa Lendínez (29-30.09)","La Idealogica","Young Gallery Weekend","09/28/2018","","09/30/2018","",1,"ygwb, Exposición, Galerías, Los recomendados, Próximas inauguraciones, Arte emergente","0","http://younggalleryweekend.com/es/participantes/la-idealogica/",1,1,"<p>Para esta exposición nos invaden tres artistas emergentes dónde el espectador se verá envuelto en tres propuestas e interpretaciones distintas de la materia y el espacio.</p>",""
"¡Dile a tu esposa que se coma mi cadáver y cuando termine de comer mi cadáver la comerás! – Georg Pinteritsch (20-30.09)","Espronceda\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tCenter for Art and Culture","Young Gallery Weekend","09/28/2018","","09/30/2018","",1,"ygwb, Exposición, Galerías, Los recomendados, Próximas inauguraciones, Arte emergente","0","http://younggalleryweekend.com/es/participantes/espronceda-center-for-art-and-culture/",1,1,"<p>Los cuerpos abstractos, los pasajes y los objetos sueltos entran en una relación tensa con su entorno distorsionado y sus escasos paisajes. Combino la estética y los gestos simbólicos de los grabados en madera medievales con líneas estrictas y geométricas.</p>",""
