web-scraper-order,web-scraper-start-url,event_id,event_id-href,event_link,event_link-href,event_image-src,event_title1,event_title2,event_start,event_end,event_text,event_venue,event_organizer__Art Barcelona,event_cost__0,event_maplink__1,event_category__Arte contemporáneo__Exposición__Galerías__Los recomendados__galleryweekend
"1534845756-26","http://www.barcelonagalleryweekend.com/es/","àngels barcelona","http://www.barcelonagalleryweekend.com/es/espacio/angels-barcelona-es/","Más info","http://www.barcelonagalleryweekend.com/es/exposiciones/esther-ferrer-y-tom-johnson/","","Esther Ferrer","Esther Ferrer y Tom Johnson","26.09.18 - 30.09.18","26.09.18 - 30.09.18","","àngels barcelona","null","null","null","null"
"1534845715-18","http://www.barcelonagalleryweekend.com/es/","Galeria Cromo","http://www.barcelonagalleryweekend.com/es/espacio/galeria-cromo/","Más info","http://www.barcelonagalleryweekend.com/es/exposiciones/cosmogonias/","","Gina Thorstensen","Cosmogonías","26.09.18 - 30.09.18","26.09.18 - 30.09.18","Cosmogonías reúne una selección de piezas de las artistas Laia Arqueros (Almería, 1985) y Gina Thorstensen ( (Gjerdrum, Noruega, 1980). Las obras de Laia Arqueros pertenecen a la serie 'Baubo me salve, ensayo para un ritual' y las de Gina Thorstensen a 'Brotan', ambas realizadas durante los años 2016 y 2017.
El trabajo de Laia Arqueros parte de la iconografía y mitología clásicas para generar un discurso completamente personal, con reminiscencias bizantinas, grecorromanas o japonesas. Su particular arqueología de género es narrada a través de figuras antropomórficas, principalmente femeninas, a veces misteriosas e incluso crípticas. Al igual que las esfinges o las arpías, sus figuras poseen un significado simbólico, en este caso nuevo, ligado a la experiencia personal de la artista y a su propia vida.
Por otro lado, la obra de Gina Thorstensen se caracteriza por la búsqueda constante que le permita abandonar las formas de la tradición figurativa. A partir de la observación de la naturaleza, de la materia y de lo orgÁnico, la artista crea un universo propio donde la vida parece emerger como una constante que no se agota.
A través de direfentes disciplinas como el dibujo, el grabado, la escultura, la performance o la videocreación, estas dos artistas generan universos complejos y personales: dos universos diferenciados, dos mundos paralelos que conviven en un mismo espacio temporal estableciendo intensos diálogos entre ambos. Sus cosmogonías nos llevan a reflexionar sobre el paso del tiempo, el orden y el caos, sobre el micro y el macrocosmos, y sobre las relaciones entre la creación artística y la vida.","Galeria Cromo","null","null","null","null"
"1534845679-11","http://www.barcelonagalleryweekend.com/es/","Mayoral","http://www.barcelonagalleryweekend.com/es/espacio/mayoral-galeria-d-art-es/","Más info","http://www.barcelonagalleryweekend.com/es/exposiciones/lart-espanyol-de-postguerra/","","Antoni Tàpies","L’art espanyol de postguerra","26.09.18 - 30.09.18","26.09.18 - 30.09.18","Nos enorgullece presentarles una exposición sobre los años de la posguerra española, con una selección de obras excepcionales de Rafael Canogar, Modest Cuixart, Luis Feito, Josep Guinovart, Manolo Millares, Antonio Saura y Antoni Tàpies. Se trata de una exposición relacionada con la muestra colectiva que tuvo lugar en 1962 en la Tate Gallery, en la cual esta generación tan rompedora dio a conocer sus nuevos experimentos artísticos, tal como ya habían hecho anteriormente en Nueva York (con exposiciones en el MoMA y en el Guggenheim), en la documenta de Kassel, y en las bienales de Venecia, São Paulo y París.
Estos artistas compartían una necesidad de buscar nuevas formas de expresar las preocupaciones de su época y de actualizar un legado representado magistralmente por El Greco, Velázquez y Goya, así como por Picasso y Miró. A través del arte, plasmaron y transmitieron el sufrimiento existencial de su generación, causado por la injusticia, la opresión y la incertidumbre que definió la política del siglo XX. Este grupo luchó para combatir el statu quo, lo denunció y se rebeló en su contra. Se opusieron a un canon artístico que había quedado obsoleto con las guerras de la primera mitad del siglo XX, y con la llegada del art informel y del expresionismo abstracto.","Mayoral","null","null","null","null"
"1534845778-30","http://www.barcelonagalleryweekend.com/es/","3 Punts Galeria","http://www.barcelonagalleryweekend.com/es/espacio/3-punts-galeria-es/","Más info","http://www.barcelonagalleryweekend.com/es/exposiciones/amadeo-gabino-revisited/","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2018/06/PROGRAMA-Amadeo-Gabino_Armadura-Solar_1979_Laton-y-Acero-inoxidable_100x100.-Cortes--a-de-la-galer--a.jpeg","Amadeo Gabino","Amadeo Gabino Revisited","26.09.18 - 30.09.18","26.09.18 - 30.09.18","La trayectoria artística del escultor Amadeo Gabino ha estado siempre marcada por el signo de la coherencia. Pocos artistas contemporáneos han sido más fieles a una intencionalidad nacida  de sus propias convicciones y conceptos. En sus inicios partió de la exploración e imitación de lo natural, supo crear un universo de duras y aristas formas metálicas, de lisas e impenetrables superficies, de rugosos y pulidos planos, de profundas oquedades que a manera de boquetes, ojos o cráteres volcánicos hacen aflorar el misterio de su erupción.
El desarrollo de las distintas etapas artísticas de Gabino ha sido gradual y sin intermitencias. De sus primeras esculturas figurativas en bronce, pasó a sus primeras esculturas abstractas en las que hojas de hierro forjado, a manera de pétalos de una flor o metafóricas olas del mar, creaban expansiones horizontales.
Las esculturas de Amadeo Gabino, compuestas por capas metálicas superpuestas, al igual que el caparazón que protege las partes blandas del cuerpo de algunos insectos, o las capas tiernas y jugosas de un vulvo vegetal, adquieren un valor de envoltura y hermetismo antes insospechado. Escudos, yelmos, armaduras, estelas y vibraciones, un mundo plástico que se yergue ante nosotros a manera de un enigma, de un emblema.","3 Punts Galeria","null","null","null","null"
"1534845661-8","http://www.barcelonagalleryweekend.com/es/","Palmadotze","http://www.barcelonagalleryweekend.com/es/espacio/palmadotze-es/","Más info","http://www.barcelonagalleryweekend.com/es/exposiciones/no-mans-land/","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2018/04/PROGRAMA-no-mans-land_03.jpg","Alfonso Borragán","No Man’s Land","26.09.18 - 30.09.18","26.09.18 - 30.09.18","No Man's Land es un proyecto de investigación colectivo. El juego y el río se convierten en reveladores de acciones y prácticas ilícitas que intentan restaurar un espacio sin propietario, olvidado y libre de normas sociales. El juego, en su concepción más amplia, se desvela como una estrategia de observación del contexto y sus habitantes.
El río se ha constituido como un espacio lejos de los ojos vigilantes, libre de normas sociales y de poseedores. Tierra de nadie donde por génesis nada es estable. En él todo se diluye o se desplaza. El cambio en las relaciones entre el río  y los hombres, sus usos y sus apropiaciones, es constante. Este vínculo sigue transformándose y actualmente el olvido ha debilitado el simbolismo y la reunión que allí se llevaba a cabo.
Nuestra relación con el río es temporal y siempre desde sus límites. Un ‘no man’s land’ con el que el hombre constantemente rehace sus relaciones. El río, incluso en su quietud, siempre fluye. Observar el río es mirar en pasado, es recordar la gota pasó. El estado sumergido, es un lugar habitable solo temporalmente para el ser humano, pero paradójicamente no podemos sobrevivir sin él. Esta relación inestable y paradójica genera un vórtice relacional. Un espacio dinámico donde el pacto siempre se transforma. Un sitio potencial para la creación de estados temporales.
El proyecto No Man's Land, explora el juego y el ritual como formas de relación temporales con el río, como tecnologías capaces de crear un orden propio para sus participantes, re-habitando temporalmente un espacio olvidado.","Palmadotze","null","null","null","null"
"1534845720-19","http://www.barcelonagalleryweekend.com/es/","Galeria Contrast","http://www.barcelonagalleryweekend.com/es/espacio/galeria-contrast/","Más info","http://www.barcelonagalleryweekend.com/es/exposiciones/fallen-decadence-2/","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2018/05/volar-no-es-lo-mismo-que-caer-copia.jpeg","Íñigo Navarro","Fallen / Decadence","26.09.18 - 30.09.18","26.09.18 - 30.09.18","Fallen / Decadence, proyecto de Íñigo navarro en colaboración con Luis Gaspar, es un proceso de experimentación cuyo objetivo es reflexionar el movimiento generado por una caída y su impacto en el tiempo como Decadencia.
En palabras de Navarro “cuando alguien cae, algo sucede. Incluso si es por un breve instante la continuidad se rompe, algo nos saca de la compostura y hay una ruptura enorme tanto en nuestra concepción del espacio, como en nuestra concepción del cuerpo y del mismo tiempo. Nos encontramos vulnerables porque cada caída es un aviso de la decadencia. Nuestro cuerpo responde de distinta manera a la caída; si es joven el cuerpo se recupera casi de inmediato pero con la edad la recuperación después de una caída puede no ser tan fácil, incluso en ocasiones puede ser misión imposible. Así, la caída es reflejo de la decadencia, pero no solo del cuerpo sino también a nivel emocional e incluso mental”
Para explorar esta idea el pintor Íñigo Navarro y el fotógrafo Luis Gaspar desarrollan un cuerpo de obra inspirado en modelos con los cuales ellos mismos trabajan “la caída”. Pintura, fotografía y vídeo se ponen en marcha para generar un espacio único dónde cada una de las obras es capaz de comunicarse por sí sola y, a la vez, componer con el resto un mismo corpus.","Galeria Contrast","null","null","null","null"
"1534845746-24","http://www.barcelonagalleryweekend.com/es/","Bombon projects","http://www.barcelonagalleryweekend.com/es/espacio/bombon-projects/","Más info","http://www.barcelonagalleryweekend.com/es/exposiciones/una-exposicio-per-laccio/","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2018/04/PROGRAMA-Pere-Llobera-web.jpg","Pere Llobera","Acción","26.09.18 - 30.09.18","26.09.18 - 30.09.18","Sujetarse a fórmulas seguras protege y acomoda el pensamiento cuando se está frágil. Un ejemplo: evadirse a través del Sudoku o jugar con el teléfono en el metro camino del trabajo parece que disipa la sensación de estar dando vueltas en la rueda de un hámster. Y si habláramos de algo un poco más gremial tenemos a  los pintores en crisis que se agarran a la geometría; las rayas, o las tramas; pero también al realismo más extremo, copiado de las fotografías y que le permiten al artista algo así como activar el piloto automático y no tomar grandes y esforzadas decisiones. Seguimos hablando pues de  ""formas estrictas"" .
Mi nueva galería se ha mostrado casi insensata apostando por mi trabajo menos previsible  y me apetece competir en esos términos con ellos. Seamos Insensatos entonces, saboteemos la previsibilidad y a nosotros mismos.
No hay garantías siquiera de que el trabajo sea bueno al final. La única garantía es la de que no seguiremos ""formas estrictas"" y que estamos en plenitud de forma para equivocarnos.","Bombon projects","null","null","null","null"
"1534845689-13","http://www.barcelonagalleryweekend.com/es/","Galeria Zielinsky","http://www.barcelonagalleryweekend.com/es/espacio/zielinsky/","Más info","http://www.barcelonagalleryweekend.com/es/exposiciones/sombras/","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2018/04/Galeria-Zielinsky_Eduardo-Marco_Sin-tituloentrerejas_impresion-de-tinta-pigmentada-sobre-papel-Hahnemuhle_27x40cm_ed3.jpg","Eduardo Marco","INIMPUTABLES","26.09.18 - 30.09.18","26.09.18 - 30.09.18","“Inimputable. 1. adj. 1. adj. Der. Dicho de una persona: Eximida de responsabilidad penal por no poder comprender la ilicitud de un hecho punible o por actuar conforme a dicha comprensión.”
Al adentrarse en el manicomio Henrique Roxo de Río de Janeiro, Brasil, Eduardo Marco se ha deparado encontrado con la dura (ir)realidad de sus habitantes, los inimputables. Personas que no pudieron ser condenadas por sus crímenes por padecer alguna enfermedad mental. Sus mentes, de una intrincada poética mas allá de la “normalidad” han despertado la curiosidad del fotógrafo que los ha capturado con su cámara. En la exposición “Inimputables” la perspectiva y el “Cuerpo Vivo” (Merleau-Ponty) hacen que la presencia física de los retratos realizados por Eduardo sea perceptible y casi material.
Según las palabras de André Malraux, (…) Para resucitar, un arte no debe imponer la idea de civilización es, ante todo, porque es necesario que el humanismo esté excluido de él…). Eduardo Marco nos impone su transversalidad a estas ideas, haciendo que el no humanismo impregnado en los retratos de sus sujetos inimputables se inunde del humanismo producido por sus fotos. Cuando nos detenemos a observar los retratos de Marco, hacemos una reflexión introspectiva al existencialismo del uno y del otro.
Cuando Eduardo Marco asimiló, bajo la penumbra, la dimensión existencialista de la psique de cada uno de sus sujetos (inimputables) empezó a tantear sus universos, paradojas y complejos, y con la elaborada suma de lo que encontró los plasmó en sus retratos. No hizo falta recurrir a metáforas, la realidad, cruda y de una fuerza brutal construyó su mejor escenario.","Galeria Zielinsky","null","null","null","null"
"1534845705-16","http://www.barcelonagalleryweekend.com/es/","Galeria Joan Prats","http://www.barcelonagalleryweekend.com/es/espacio/galeria-joan-prats-es/","Más info","http://www.barcelonagalleryweekend.com/es/exposiciones/pedro-cabrita-reis/","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2018/04/Pedro-Cabrita-Reis-Floresta.jpg","Pedro Cabrita Reis","Pedro Cabrita Reis","26.09.18 - 30.09.18","26.09.18 - 30.09.18","","Galeria Joan Prats","null","null","null","null"
"1534845673-10","http://www.barcelonagalleryweekend.com/es/","N2 Galeria","http://www.barcelonagalleryweekend.com/es/espacio/n2-galeria/","Más info","http://www.barcelonagalleryweekend.com/es/exposiciones/hecomi-study-2/","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2018/04/Kenichiro-Taniguchi.-Carrer-de-la-Diputacio-51-2017.-PVC-comprimido-laton-bronce-bisagras-dispositivos-giratorios.jpg","Ken'ichiro Taniguchi","Hecomi Study","26.09.18 - 30.09.18","26.09.18 - 30.09.18","Desde sus inicios, el trabajo de Ken'Ichiro Taniguchi se centra en la exploración de la ciudad como unidad de sentido.
Las esculturas de Taniguchi son el resultado de un trabajo cartográfico que atraviesa diferentes estadios de transformación hasta representar la ciudad o la grieta en un objet d'art.
La degradación que el Hombre y el tiempo producen sobre la ciudad en forma de grietas juega un papel principal en la obra del artista. En la elaboración de sus esculturas, lo que se registra es el relieve de la grieta o Hecomi. Cuando trabaja el perfil de una ciudad, se hace valer de herramientas tecnológicas como Google Maps para dibujar y definir el perfil de ésta, confiriendo posteriormente sobre este espacio todo lo que para él define el carácter y temperamento de esa ciudad.
A partir de estos datos, Taniguchi creará desde su libre interpretación lo que se convertirá en una escultura tridimensional en PVC, articulada mediante doblamientos y pequeñas bisagras. En alguna ocasión, para resaltar ciertos rasgos de una forma más contundente, complementa el PVC con otros materiales como el bronce.
Para esta ocasión, Taniguchi presentará trabajos de mediano y gran formato, resultado de estudios realizados principalmente sobre Barcelona además de otras ciudades.","N2 Galeria","null","null","null","null"
