web-scraper-order,web-scraper-start-url,event_title,event_text,event_start,event_end,event_venue__Hangar,event_link,event_link-href,event_category__Actividad__Espacios alternativos__Taller,event_maplink__1,event_cost__,event_id,event_image-src,event_organizer__Hangar
"1534434658-111","https://hangar.org/es/category/workshops-artist2artists/","Taller “El arte del código: Fundamentos de estética digital y programación en C++ con openFrameworks”","12, 14, 19, 21, 26, 28 septiembre 2017 / 18:30-21:30","12, 14, 19, 21, 26, 28 septiembre 2017 / 18:30-21:30","12, 14, 19, 21, 26, 28 septiembre 2017 / 18:30-21:30","null","","https://hangar.org/es/workshops-artist2artists/espanol-taller-el-arte-del-codigo-fundamentos-de-estetica-digital-y-programacion-en-c-con-openframeworks/","null","null","null","https://hangar.org/es/workshops-artist2artists/espanol-taller-el-arte-del-codigo-fundamentos-de-estetica-digital-y-programacion-en-c-con-openframeworks/","https://hangar.org/webnou/wp-content/uploads/2017/07/ccomputing76-200x150.jpg","null"
"1534434474-81","https://hangar.org/es/category/programa-hangar/formacio-continua/","Taller: Iluminación y sonido para audiovisuales","19 y 20 mayo 2018","19 y 20 mayo 2018","19 y 20 mayo 2018","null","","https://hangar.org/es/programa-hangar/formacio-continua/taller-il-luminacio-i-so-per-a-audiovisuals/","null","null","null","https://hangar.org/es/programa-hangar/formacio-continua/taller-il-luminacio-i-so-per-a-audiovisuals/","https://hangar.org/webnou/wp-content/uploads/2018/04/imagen_taller_ilu_sonido-200x150.jpeg","null"
"1534434472-80","https://hangar.org/es/category/programa-hangar/formacio-continua/","Taller intensivo de historieta experimental (o el historietista como detective) a cargo de Un Faulduo","21 mayo","21 mayo","21 mayo","null","","https://hangar.org/es/programa-hangar/formacio-continua/espanol-taller-intensivo-de-historieta-experimental-o-el-historietista-como-detective/","null","null","null","https://hangar.org/es/programa-hangar/formacio-continua/espanol-taller-intensivo-de-historieta-experimental-o-el-historietista-como-detective/","https://hangar.org/webnou/wp-content/uploads/2018/04/taller-2-200x150.jpg","null"
"1534434686-114","https://hangar.org/es/category/workshops-artist2artists/","Taller “Estéticas del error digital: Taller glitch para la creación audiovisual y 3D”","20, 22, 27, 29 sept. 4, 6  oct. 2017 / 18:30-21:30","20, 22, 27, 29 sept. 4, 6  oct. 2017 / 18:30-21:30","20, 22, 27, 29 sept. 4, 6  oct. 2017 / 18:30-21:30","null","","https://hangar.org/es/workshops-artist2artists/taller-esteticas-del-error-digital-taller-glitch-para-la-creacion-audiovisual-y-3d/","null","null","null","https://hangar.org/es/workshops-artist2artists/taller-esteticas-del-error-digital-taller-glitch-para-la-creacion-audiovisual-y-3d/","https://hangar.org/webnou/wp-content/uploads/2017/07/glitch2-200x150.jpg","null"
"1534434673-112","https://hangar.org/es/category/workshops-artist2artists/","Taller de sistemas interactivos y visión artificial con C++ / OpenFrameworks","3, 5, 10, 17, 19, 24, 26, 31  octubre 2017 / 18:30-21:30","3, 5, 10, 17, 19, 24, 26, 31  octubre 2017 / 18:30-21:30","3, 5, 10, 17, 19, 24, 26, 31  octubre 2017 / 18:30-21:30","null","","https://hangar.org/es/news/espanol-taller-de-sistemas-interactivos-y-vision-artificial-con-c-openframeworks/","null","null","null","https://hangar.org/es/news/espanol-taller-de-sistemas-interactivos-y-vision-artificial-con-c-openframeworks/","https://hangar.org/webnou/wp-content/uploads/2017/07/sis-inter1-200x150.jpg","null"
"1534434601-106","https://hangar.org/es/category/workshops-artist2artists/","El Laboratorio del No Hacer abre sus puertas al público durante 3 días en la Blueproject Foundation","","","","null","","https://hangar.org/es/workshops-artist2artists/el-laboratorio-del-no-hacer-obre-les-seves-portes-al-public-durant-3-dies-a-la-blueproject-foundation/","null","null","null","https://hangar.org/es/workshops-artist2artists/el-laboratorio-del-no-hacer-obre-les-seves-portes-al-public-durant-3-dies-a-la-blueproject-foundation/","https://hangar.org/webnou/wp-content/uploads/2017/05/4-200x150.jpg","null"
"1534434480-83","https://hangar.org/es/category/programa-hangar/formacio-continua/","El poder del archivo y de la remezcla audiovisual","25 y 26 junio","25 y 26 junio","25 y 26 junio","null","","https://hangar.org/es/news/el-poder-de-larxiu-i-de-la-remescla-audiovisual/","null","null","null","https://hangar.org/es/news/el-poder-de-larxiu-i-de-la-remescla-audiovisual/","https://hangar.org/webnou/wp-content/uploads/2018/05/1454758526_173385_1454758642_noticia_normal-200x150.jpg","null"
"1534434492-88","https://hangar.org/es/category/programa-hangar/formacio-continua/","Programa de estudios de filosofía y arte digital","septiembre - diciembre 2018 - Hangar","septiembre - diciembre 2018 - Hangar","septiembre - diciembre 2018 - Hangar","null","","https://hangar.org/es/programa-hangar/formacio-continua/programa-de-estudios-de-filosofia-y-arte-digital/","null","null","null","https://hangar.org/es/programa-hangar/formacio-continua/programa-de-estudios-de-filosofia-y-arte-digital/","https://hangar.org/webnou/wp-content/uploads/2018/06/171-inter-200x150.jpg","null"
"1534434487-86","https://hangar.org/es/category/programa-hangar/formacio-continua/","Wearable Sounds","20 y 21 julio 2018 - Hangar","20 y 21 julio 2018 - Hangar","20 y 21 julio 2018 - Hangar","null","","https://hangar.org/es/recerca/workshop-wearable-sounds/","null","null","null","https://hangar.org/es/recerca/workshop-wearable-sounds/","https://hangar.org/webnou/wp-content/uploads/2018/05/merche-200x150.png","null"
"1534434482-84","https://hangar.org/es/category/programa-hangar/formacio-continua/","Sistemas interactivos con Visión artificial: Taller de programación C++ openFrameworks","2 - 12 julio 2018 - Hangar","2 - 12 julio 2018 - Hangar","2 - 12 julio 2018 - Hangar","null","","https://hangar.org/es/programa-hangar/formacio-continua/sistemas-interactivos-con-vision-artificial-taller-de-programacion-c-openframeworks/","null","null","null","https://hangar.org/es/programa-hangar/formacio-continua/sistemas-interactivos-con-vision-artificial-taller-de-programacion-c-openframeworks/","https://hangar.org/webnou/wp-content/uploads/2018/05/interactpromo2-200x150.jpg","null"
