web-scraper-order,web-scraper-start-url,event_link,event_link-href,event_title,event_image,event_text,event_venue,event_organizer__Young Gallery Weekend,event_start__28 Septiembre 2018,event_end__30 Septiembre 2018,event_id,event_cost__0,event_maplink__1,event_category__ygwb__Exposición__Galerías__Los recomendados__Próximas inauguraciones__Arte emergente
"1534847423-36","http://younggalleryweekend.com/es/participantes/","Espronceda","http://younggalleryweekend.com/es/participantes/espronceda-center-for-art-and-culture/","¡Dile a tu esposa que se coma mi cadáver y cuando termine de comer mi cadáver la comerás! – Georg Pinteritsch (20-30.09)","background-image: url('http://younggalleryweekend.com/wp-content/uploads/2018/03/leyendo.jpg');","Los cuerpos abstractos, los pasajes y los objetos sueltos entran en una relación tensa con su entorno distorsionado y sus escasos paisajes. Combino la estética y los gestos simbólicos de los grabados en madera medievales con líneas estrictas y geométricas.","Espronceda
																			Center for Art and Culture","null","null","null","Espronceda
																			Center for Art and Culture","null","null","null"
"1534847417-34","http://younggalleryweekend.com/es/participantes/","La Idealogica","http://younggalleryweekend.com/es/participantes/la-idealogica/","MATER – Dani Berenguer, Gil Gelpi, Rosa Lendínez (29-30.09)","background-image: url('http://younggalleryweekend.com/wp-content/uploads/2018/08/6.jpg');","Para esta exposición nos invaden tres artistas emergentes dónde el espectador se verá envuelto en tres propuestas e interpretaciones distintas de la materia y el espacio.","La Idealogica","null","null","null","La Idealogica","null","null","null"
"1534847432-39","http://younggalleryweekend.com/es/participantes/","Art Lover Ground / Filippo ioco Studio & Gallery","http://younggalleryweekend.com/es/participantes/art-lover-ground/","Exposición colectiva de Art Lover Ground en colaboración con Filippo Ioco Studio&Gallery (14-28.09)","background-image: url('http://younggalleryweekend.com/wp-content/uploads/2018/08/Front-Entrance.jpg');","Más que un evento, Art Lover Ground es un lugar donde los artistas y amantes del arte pueden encontrarse e intercambiar experiencias. Es una oportunidad única para artistas jóvenes y emergentes para obtener visibilidad.","Art Lover Ground
																			Filippo ioco Studio & Gallery","null","null","null","Art Lover Ground
																			Filippo ioco Studio & Gallery","null","null","null"
"1534847410-32","http://younggalleryweekend.com/es/participantes/","Projekteria [Art Gallery]","http://younggalleryweekend.com/es/participantes/projekteria/","Secret Friends – Anahell  (13.09 – 04.11)","background-image: url('http://younggalleryweekend.com/wp-content/uploads/2018/08/Projekteria_art_gallery-exterior-e1534158609675.jpg');","En el mundo de AnaHell un día, por casualidad, apareció de la nada un personaje misterioso, el primero de muchos amigos secretos. Y decidió buscarlos por todo el mundo, fotografiándolos en situaciones cotidianas, mostrando un mundo absurdo y surrealista. Secret Friends trata el mundo con un toque de sátira desde la perspectiva de estos intrigantes seres.","Projekteria
																			[ Art gallery ]","null","null","null","Projekteria
																			[ Art gallery ]","null","null","null"
"1534847434-40","http://younggalleryweekend.com/es/participantes/","Àcid Sulfúric","http://younggalleryweekend.com/es/participantes/acid-sulfuric/","BARCELONA (MATA) FOR SALE – Barcelona mata (08.09-30.11)","background-image: url('http://younggalleryweekend.com/wp-content/uploads/2018/08/6-1-e1534182551722.jpg');","Barcelona (Mata) se vende es la primera exposición del colectivo Barcelona Mata en una galería de arte contemporáneo. La muestra coge la disposición del museo: exposición y sala de souvenirs para poner Barcelona ante el espejo. Así, la exposición quiere criticar de una forma irónica y satírica el hecho turístico en Barcelona.","Àcid Sulfúric
																			Galeria","null","null","null","Àcid Sulfúric
																			Galeria","null","null","null"
"1534847407-31","http://younggalleryweekend.com/es/participantes/","Ether","http://younggalleryweekend.com/participants/vocdat/","Return to Multiverso – Marta Pinilla","background-image: url('http://younggalleryweekend.com/wp-content/uploads/2018/08/IMG_5220-e1534189518572.jpg');","La performance “Return to Multiverso” desplega un grup d’éssers sinistres que acaben de travessar un forat negre i es troben en un univers paral·lel als voltants d’una galeria d’art. Han perdut part de la seva humanitat, transformant-se en observadors de la realitat. Necessitaran l’ajuda del públic assistent per ser dirigits en l’espai, però com ho faran?","Ether
																			Arts Project","null","null","null","Ether
																			Arts Project","null","null","null"
"1534847413-33","http://younggalleryweekend.com/es/participantes/","Oslo Graphic","http://younggalleryweekend.com/es/participantes/oslo-graphic-barceloneta/","Descontexto – Mariya Alipieva, Marc Brocal, Núria Guerra, Helio Lozano, Aina Pla Planas, Saleh Young (27.09 – 16.11)","background-image: url('http://younggalleryweekend.com/wp-content/uploads/2018/08/OsloGraphic_01.jpg');","Exposición colectiva de los artistas residentes en Oslo Graphic Barceloneta. La muestra contrapone distintas formas de trabajar sobre la descontextualización de la realidad. Todo aquello que nos rodea visto desde un ángulo poético y fuera de su hábitat natural. Premisas que convierten las rutinas, los actos cotidianos, en poemas visuales.","Oslo Graphic
																			Barceloneta","null","null","null","Oslo Graphic
																			Barceloneta","null","null","null"
"1534847426-37","http://younggalleryweekend.com/es/participantes/","Escalera de incendios / Anaglifos","http://younggalleryweekend.com/es/participantes/escalera-de-incendios/","Carta de exploración cósmica – Alex Grahovsky (28-30.09)","background-image: url('http://younggalleryweekend.com/wp-content/uploads/2018/08/anaglifos1.jpg');","Los retratos de Grahovsky son pinturas de gente que mira sin mirar. Podrían pasarse toda la vida agazapados tras sus gafas de sol, ensimismados en el ritual de su chicle, como si el tiempo se hubiera detenido. Y el chicle es una figura del hastío. La repetición neurótica del eterno presente. Todo está en el chicle. Los cuerpos solo son su extensión. Porque afuera, haya lo que haya, no hay ya nada.","Escalera de Incendios
																			Anaglifos Art Factory","null","null","null","Escalera de Incendios
																			Anaglifos Art Factory","null","null","null"
"1534847429-38","http://younggalleryweekend.com/es/participantes/","Bien Cuadrado","http://younggalleryweekend.com/es/participantes/bien-cuadrado/","En Busca del Tiempo Perdido’ presentado por Tangent Projects – Ely Daou, Kuba Dorabialski, Sophie Heydel, Katy B Plummer y Anna Sebastian. (14.09-09.11)","background-image: url('http://younggalleryweekend.com/wp-content/uploads/2018/08/Kuba-Dobrabialski.png');","","Bien Cuadrado","null","null","null","Bien Cuadrado","null","null","null"
"1534847420-35","http://younggalleryweekend.com/es/participantes/","Fifty Dots","http://younggalleryweekend.com/es/participantes/fifty-dots/","La gravetat del lloc –  Israel Ariño (13.09-06.11)","background-image: url('http://younggalleryweekend.com/wp-content/uploads/2018/08/fifty-dots-gallery-barcelona1-e1534186293524.jpg');","La serie explora el concepto de lugar como eje de vinculación emocional a través de la oscuridad, del límite de lo representable y de la percepción de la realidad. La noche aparece como objeto de descubrimiento, misterio y placer, como un espacio jeroglífico que nos lleva a imaginar algo más que lo que realmente vemos. Nos adentramos en el terreno de lo mental, de lo imperceptible, del hallazgo.","Fifty Dots","null","null","null","Fifty Dots","null","null","null"
