web-scraper-order,web-scraper-start-url,event_link,event_link-href,event_title1,event_image-src,event_text,event_organizer__CCCB,event_maplink__1,event_cost__,event_venue__CCCB,event_category__CCCB__Actividad,event_id,event_title2,event_start,event_end
"1537084931-16","http://www.cccb.org/es/actividades/actuales/2","Taller «The Mechanical Trance!»","http://www.cccb.org/es/actividades/ficha/taller-the-mechanical-trance/229214","Taller «The Mechanical Trance!»","http://www.cccb.org/rcs_gene/Woloshen_web.jpg","Si quieres experimentar con pintura y cine, ésta es tu oportunidad. El animador y cineasta experimental canadiense Steven Woloshen imparte este taller dedicado al pintado y rayado sobre celuloide (35 mm), en el que podrás crear tu propia película sin cámara ni laboratorio.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/taller-the-mechanical-trance/229214","Taller de cine sin cámara a cargo de Steven Woloshen","1 - 4 octubre 2018","1 - 4 octubre 2018"
"1537084920-11","http://www.cccb.org/es/actividades/actuales/2","Encuentro en el Fondo masónico de la Biblioteca Pública Arús","http://www.cccb.org/es/actividades/ficha/encuentro-en-el-fondo-masonico-de-la-biblioteca-publica-arus/229632","Encuentro en el Fondo masónico de la Biblioteca Pública Arús","http://www.cccb.org/rcs_gene/biblioteca_arus_2.jpg","Para descubrir espacios de la Barcelona mística y secreta, os proponemos tres encuentros en lugares diversos que buscan ensanchar el conocimiento y la forma de mirar la ciudad de Barcelona.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/encuentro-en-el-fondo-masonico-de-la-biblioteca-publica-arus/229632","","4 octubre 2018","4 octubre 2018"
"1537084978-29","http://www.cccb.org/es/actividades","Poetry Slam Barcelona","http://www.cccb.org/es/actividades/ficha/poetry-slam-barcelona/229449","Poetry Slam Barcelona","http://www.cccb.org/rcs_gene/psb_cccb_2018.jpg","Palabra y escena. Poetry Slam Barcelona es un campeonato mensual de poesía, pero también una plataforma de formación, creación y difusión de la literatura oral contemporánea.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/poetry-slam-barcelona/229449","Creación a partir de la palabra y la escena","16 septiembre 2018","16 septiembre 2018"
"1537084974-27","http://www.cccb.org/es/actividades","Shenzhen significa infern en el Teatro Tantarantana","http://www.cccb.org/es/actividades/ficha/shenzhen-significa-infern-en-el-teatro-tantarantana/229721","Shenzhen significa infern en el Teatro Tantarantana","http://www.cccb.org/rcs_gene/shenzhenweb_.jpg","El Teatro Tantarantana ofrece un descuento exclusivo para Shenzhen significa infern de Stefano Massini, dirigida por Roberto Romei","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/shenzhen-significa-infern-en-el-teatro-tantarantana/229721","Descuento exclusivo para los Amigos del CCCB","5 - 21 septiembre 2018","5 - 21 septiembre 2018"
"1537084957-19","http://www.cccb.org/es/actividades","Encuentro en la Bibliotheca Mystica et Philosophica Alois M. Haas","http://www.cccb.org/es/actividades/ficha/encuentro-en-la-bibliotheca-mystica-et-philosophica-alois-m-haas/229630","Encuentro en la Bibliotheca Mystica et Philosophica Alois M. Haas","http://www.cccb.org/rcs_gene/biblioteca_UPF.jpg","Una visita de la mano de Amador Vega a la Biblioteca mística de la UPF.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/encuentro-en-la-bibliotheca-mystica-et-philosophica-alois-m-haas/229630","","27 septiembre 2018","27 septiembre 2018"
"1537084909-6","http://www.cccb.org/es/actividades/actuales/2","Habitació 1418","http://www.cccb.org/es/actividades/ficha/habitacio-1418/229821","Habitació 1418","http://www.cccb.org/rcs_gene/h1418_octubre.jpg","Para quienes aún no sabéis de qué hablamos, os refrescamos la mente: la «Habitació 1418» es un espacio de actividad creativa para jóvenes entre 14 y 18 años. Un punto de encuentro activo y gratuito que abre cada sábado, y que nace como plataforma altamente flexible, modulada por sus propios usuarios. ¡Ven y haz que pase!","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/habitacio-1418/229821","Programación octubre 2018","6, 13, 20 y 27 octubre 2018","6, 13, 20 y 27 octubre 2018"
"1537084955-18","http://www.cccb.org/es/actividades","Serielizados Fest 2018","http://www.cccb.org/es/actividades/ficha/serielizados-fest-2018/229554","Serielizados Fest 2018","http://www.cccb.org/rcs_gene/szs_fest.jpg","Del 27 al 30 de septiembre, el CCCB acoge una nueva edición del Serielizados Fest: documentales inéditos, estrenos de series internacionales y conferencias de profesionales del sector audiovisual. Todo ello con las series de televisión como referente indiscutible de la cultura pop. El parque de atracciones para todos los amantes de la ficción televisiva.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/serielizados-fest-2018/229554","5º Festival Internacional de Series de Barcelona","27 - 30 septiembre 2018","27 - 30 septiembre 2018"
"1537084968-24","http://www.cccb.org/es/actividades","«La Luz Negra» para persones con ceguera","http://www.cccb.org/es/actividades/ficha/la-luz-negra-para-persones-con-ceguera/229514","«La Luz Negra» para persones con ceguera","http://www.cccb.org/rcs_gene/P1130219_1.jpg","A partir de la selección de algunas de las piezas de la exposición, iremos descubriendo como el arte contemporáneo ha estado influido por diferentes corrientes herméticas y esotéricas haciendo un recorrido que va desde 1950 hasta la actualidad.Así, podremos conocer las conexiones que se establecen entre estas tradiciones, sus pensadores y una serie de artistas de disciplinas muy diversas, que van desde la pintura hasta el jazz y el rock, pasando por el cómic y el cine.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/la-luz-negra-para-persones-con-ceguera/229514","Visita adaptada para personas ciegas o con baja visión","19 septiembre, 17 octubre 2018","19 septiembre, 17 octubre 2018"
"1537084933-17","http://www.cccb.org/es/actividades/actuales/2","Paseo por la Vallcarca invisible","http://www.cccb.org/es/actividades/ficha/paseo-por-la-vallcarca-invisible/229631","Paseo por la Vallcarca invisible","http://www.cccb.org/rcs_gene/Vallcarca.jpg","Para descubrir espacios de la Barcelona mística y secreta, os proponemos tres encuentros en lugares diversos que buscan ensanchar el conocimiento y la forma de mirar la ciudad de Barcelona.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/paseo-por-la-vallcarca-invisible/229631","","29 septiembre 2018","29 septiembre 2018"
"1537084926-14","http://www.cccb.org/es/actividades/actuales/2","Las grandes civilizaciones de Europa. El siglo XIX, 2: La época burguesa","http://www.cccb.org/es/actividades/ficha/las-grandes-civilizaciones-de-europa-el-siglo-xix-2-la-epoca-burguesa/229481","Las grandes civilizaciones de Europa. El siglo XIX, 2: La época burguesa","http://www.cccb.org/rcs_gene/Civilitzacions_web.jpg","El Institut d’Humanitats de Barcelona ofrece, con el título «Las grandes civilizaciones de Europa», una serie de cursos dedicados a las culturas y civilizaciones de nuestro continente que han sobresalido en notables y diversos aspectos: organización política, religión, cultura literaria, filosofía, música, arquitectura y artes plásticas.","null","null","null","null","null","http://www.cccb.org/es/actividades/ficha/las-grandes-civilizaciones-de-europa-el-siglo-xix-2-la-epoca-burguesa/229481","Curso dirigido por Jordi Llovet y Andreu Jaume","2, 9, 16, 23 y 30 octubre, 6, 20 y 27 noviembre, 4, 11 y 18 diciembre 2018
8, 15, 22 y 29 enero, 5 febrero 2019","2, 9, 16, 23 y 30 octubre, 6, 20 y 27 noviembre, 4, 11 y 18 diciembre 2018
8, 15, 22 y 29 enero, 5 febrero 2019"
