web-scraper-order,web-scraper-start-url,event_organizer,event_venue,event_text,event_title,event_link,event_link-href,event_facebooktime,event_maplink__1,event_cost__,event_category__,event_id,event_image-src
1537262960-13,https://www.artssspot.com/barcelona/face-pages-prov/,Hannah Gallery,Hannah Gallery,"The artist:

Helfried Kodré, 1940, born in Graz, Austria. Studied and was professor at the Vienna University. Artist that works and lives in Vienna, Austria with works on the most prestigious collections: Österreichisches Museum für angewandte Kunst, Schmuckmuseum Pforzheim, Die Neue Sammlung, Danner-Stiftung. And has been awarded with the Bayerischer Staatspreis (1967), Preis des Wiener Kunstfonds (1968) and the Preis der Stadt Wien für Bildende Kunst (2000).

About his work:

The limits of wearability (which are very differently assessed according to the individual) can be extended or even experimentally overstepped.
However, the borders between sculpture and jewellery are fluid. I endeavour to avoid such outcomes and to create either jewellery or sculptures, but not chimeras.
My works do not transport any kind of message; they stand alone, for themselves, and communicate nothing apart from their appearance and workmanship. Thus everyone can find a free, self-determined access to them, one that is not steered by specific conventions into a defined direction.

The exhibition: Geometric Territories: Helfried Kodré Jewels and Sculptures

His sculpture and jewelry -like the best in modern design- reduce the concepts to their essence. Precision is central to his work. Kodré has stated that “geometry is my artistic media to transport (or visualize) tension and emotions.”
Helfried Kodré created and transported a unique body of jewelry, transforming our initial concepts of brooches, earrings, and rings. Through his art, he reinforces the continuation of the legacy of Vienna as his innovative works reveal unanticipated geometric forms.

/ Helen W. Drutt English, July 1, 2018


Opening exhibition: 
Wednesday, October 3rd, from 19:30 h.
The exhibition will be open from October 3rd - 31st. 

Gallery Hours: Monday to Friday from 11:00 to 14:00 h & 16:00 to 19:00 h or other times by appointment.",Geometric Territories: Helfried Kodré Jewels and Sculptures,https://www.facebook.com/events/565270113924636/,https://www.facebook.com/events/565270113924636/,2018-10-03T10:30:00-07:00 to 2018-10-03T13:30:00-07:00,null,null,null,https://www.facebook.com/events/565270113924636/,https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/p235x350/40285171_246815099311327_8997203719086931968_n.jpg?_nc_cat=0&oh=fa9a4d5b373848afe3d74cc48c267617&oe=5C170CB6
1537262834-2,https://www.artssspot.com/barcelona/face-pages-prov/,Ozz Barcelona,Ozz Barcelona,"(castellano)

Luk pinta paisajes que una vez vio en uno de sus viajes, sin fotos pero con la imagen del paisaje en su mente. Esto da como resultado una traducción abstracta de su realidad en la que aún se reconoce la atmósfera del escenario.

Wim es un pintor figurativo, pero sabe cómo usar sus materiales de una manera casi abstracta. Debido al uso de esta técnica específica, sus pinturas están llenas de energía y movimiento. Una energía que él canaliza para expresar diferentes sentimientos de un cuerpo (masculino).

Luk captura la eternidad de un paisaje en sus pinturas, mientras que Wim sabe cómo hacer que el espectador haga preguntas sobre la expresión de un movimiento, una mirada en los ojos de sus modelos.

Sus pinturas juntas en una exposición te llevan a un mundo vibrante con mucho ""espacio abierto"" para completar cómo quieras. Capturan un momento de su vida para que disfrutes y experimentes ...

www.lukvanholen.be
www.wimadriaenssens.be

(english)

Luk paints landscapes he once saw on one of his travels, without photos but with the picture of the landscape in his mind. This results in an abstract translation of his reality where you still recognize the atmosphere of the setting. 
Wim is a figurative painter, but knows how to use his materials in an almost abstract way. Because of the use of this specific technique , his paintings are filled with energy and movement. An energy which he canalizes to express different feelings of a (male) body. 

Luk captures the eternity of a landscape in his paintings, while Wim knows how to make the viewer ask questions about an expression of a movement, a look in the eyes of his models.
Their paintings together in one exhibition takes you to a vibrating world with a lot of ‘’open space’’ to fill in how you like . They capture a moment in a life-time for you to enjoy and to experience…


www.lukvanholen.be
www.wimadriaenssens.be","Inauguración, Forever a Moment",https://www.facebook.com/events/285014032321354/,https://www.facebook.com/events/285014032321354/,2018-09-20T10:00:00-07:00 to 2018-09-20T12:30:00-07:00,null,null,null,https://www.facebook.com/events/285014032321354/,https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/s526x296/42058422_1273720299452952_7737052385930903552_n.jpg?_nc_cat=0&oh=95ffd87cb06c70947eaac66c9f88ac01&oe=5C19A83B
1537262931-11,https://www.artssspot.com/barcelona/face-pages-prov/,Barcelona Gallery Weekend,Zumzeig Cinema,"Barcelona Gallery Weekend y Dart Festival organizan la proyección de ""Els Karamazoff (A walk on the SoHo years)"" como homenaje a Miralda, Mireia Sentís, Muntadas, Robert Llimós, Medina-Campeny, Jaume Ollé, Evru (Zush) y Marta Sentís, los artistas barceloneses que en los 70 y 80 se trasladaron al mítico barrio de Nueva York y que son los protagonistas de la cinta.  

Premiado en los festivales Arte Non Stop (Argentina) y Figueira da Foz (Portugal), el documental nos traslada a uno de los períodos más creativos del arte contemporáneo. 

Presentarán el documental los directores, Juan Gamero y Carmen Rodríguez, y tres de los artistas: Robert Llimós, Xavier Medina-Campeny y Jaume Ollé.

Entrada gratuita hasta completar aforo.",Els Karamazoff (A walk on the SoHo years),https://www.facebook.com/events/1720111294796771/,https://www.facebook.com/events/1720111294796771/,2018-09-29T12:00:00-07:00 to 2018-09-29T14:30:00-07:00,null,null,null,https://www.facebook.com/events/1720111294796771/,https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/s526x296/41729937_954211998095436_6839335286841802752_n.jpg?_nc_cat=0&oh=848a6a8c250cb193d89f1f1a48961339&oe=5C2C78C3
1537262870-6,https://www.artssspot.com/barcelona/face-pages-prov/,la vaca coworking,null,null,La Vaca In Performance ~ b-day edition ~,https://www.facebook.com/events/700961870255300/,https://www.facebook.com/events/700961870255300/,2018-09-23T08:00:00-07:00 to 2018-09-23T13:00:00-07:00,null,null,null,https://www.facebook.com/events/700961870255300/,https://scontent-mad1-1.xx.fbcdn.net/v/t15.0-10/s526x296/38646039_280511129435540_6783431094868901888_n.jpg?_nc_cat=0&oh=a1d20e1ec9fcc919fd3c1d8451799faa&oe=5C270554
1537262867-5,https://www.artssspot.com/barcelona/face-pages-prov/,Espai Souvenir,Espai Souvenir,"Longe. Estado Indefinido - Lela Martorano
Inauguración: 21 de septiembre, 19.30h.
Desde el 21 de septiembre al 4 de Octubre 2018

La idea de pasaje invade las fotografías de la serie Longe. Estado Indefinido, de la artista brasileña Lela Martorano. Las imágenes fueron sacadas dentro de un coche en movimiento, captando el paisaje del sur de España, desde 2007. Son imágenes huidizas, que escapan a la vista y que, además, son arañadas por la artista, intensificando ese aspecto impreciso. Las superficies rasgadas de las fotografías nos revelan la fragilidad del material, el pasaje del tiempo y la fugacidad de la memoria. La pieza de videoarte que compone la muestra, fue realizada en colaboración con la artista Fê Luz, que trabajó el sonido como algo que también se escapa, así como las imágenes que se desplazan por la ventana. Martorano en su trabajo capta lo efímero, un camino que uno hace y deshace, fijado en un rasgo de imagen.

Comisariada por Lucila Vilela en colaboración con Herman Bashiron Mendolicchio.

Biografía: 
Lela Martorano (1974) nació en São Joaquim, SC, Brasil. Doctora en “Lenguajes y Poéticas en el Arte Contemporáneo” por la Facultad de Bellas Artes de Granada (UGR), España, 2013. Licenciado en Bellas Artes por la Universidad del Estado de Santa Catarina (UDESC), Florianópolis, 2000. Vive y trabaja en Florianópolis, SC.",Longe. Estado Indefinido - Lela Martorano,https://www.facebook.com/events/663864903996455/,https://www.facebook.com/events/663864903996455/,2018-09-23T08:00:00-07:00 to 2018-09-23T13:00:00-07:00,null,null,null,https://www.facebook.com/events/663864903996455/,https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/q85/s526x296/41947515_268173940473026_2123652407777820672_n.jpg?_nc_cat=0&oh=b5f1aad8fa7e20bec7bc911a66ed1f23&oe=5C1C9B45
1537262820-1,https://www.artssspot.com/barcelona/face-pages-prov/,Fabra i Coats. Centre d'Art Contemporani,Fabra i Coats. Centre d'Art Contemporani,"La mostra COL·LAPSE. Màquina desitjant, màquina de treball, recorre gairebé quinze anys de trajectòria de Joan Morey i s’organitza al voltant de vitrines i pantalles de vídeo, a la manera de sarcòfags o reliquiaris, acompanyades d’una selecció de peces d’àudio i fragments de performances.

Els projectes d’aquesta exposició comparteixen tres trets: la performance (a través d’escenaris que es desenvolupen en el temps, en què habitualment participen cossos humans i el mateix públic); l’apropiació (prenent i reformulant textos, formes i estils ja existents, sigui de fonts literàries, clàssiques o de la subcultura), i la crítica institucional (examinant i abordant les ideologies i el poder de les nostres institucions socials, culturals i polítiques).

La primera de les tres parts que configuren COL·LAPSE, de Joan Morey, s’inaugura el proper dimecres 19 de setembre a les 19 h al Centre d’Art Contemporani de Barcelona - Fabra i Coats. Aquesta inauguració suposa el tret de sortida d’un projecte que s’allargarà fins al 13 de gener del 2019 i que inclourà dues exposicions i diverses performances.

La segona part de COL·LAPSE té lloc al Centre d’Art Tecla Sala, a l’Hospitalet de Llobregat (del 23 de novembre de 2018 al 13 de gener de 2019), i és la versió definitiva de l’exposició itinerant Cos social. Aquesta estableix una mostra ampliada de la videoperformance COS SOCIAL. Lliçó d’anatomia, produïda el 2017 gràcies al Premi de Videocreació de la Xarxa de Centres d’Arts Visuals de Catalunya, Arts Santa Mònica, el Departament de Cultura de la Generalitat de Catalunya i LOOP Barcelona.

La tercera part, que porta el títol de Màquina esquizofrènica, consisteix en una performance inèdita que tindrà lloc el gener de 2019 en una ubicació molt rellevant de Barcelona però que, de moment, es manté expressament en secret. L’acció en viu s’integrarà en la narrativa, més extensa, del passat físic i discursiu d’aquest espai.

+info: http://ajuntament.barcelona.cat/centredart/ca/projectes/3384","Inauguració 'Màquina desitjant, màquina de treball'",https://www.facebook.com/events/1933729906929587/,https://www.facebook.com/events/1933729906929587/,2018-09-19T10:00:00-07:00 to 2018-09-19T12:00:00-07:00,null,null,null,https://www.facebook.com/events/1933729906929587/,https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/p235x350/41737145_1152065098279594_5884795332339957760_n.jpg?_nc_cat=0&oh=1e1ae087d8a58fd628df1996c759fac9&oe=5C2F59DF
1537262884-7,https://www.artssspot.com/barcelona/face-pages-prov/,Ka La Trava,Ka La Trava,"TALLER HACKING MARQUESINES PUBLICITARIES

Diumenge 23 de Setembre 17.30

Estàs fart de veure dia rere dia la publicitat corporativa a cada carrer i cada parada de bus? Fart que l'Ajuntament tingui com a prioritat esborrar les pintades polítiques mentre lloga l'espai públic a les grans corporacions?

La publicitat és un dels grans mals d'aquest segle, però on hi ha opressió hi ha resistència. Benvingut al taller de Subvertising a Ca La Trava de la mà de la bona gent de AutoEnganys. Aprendrem la teoria i la pràctica de la subversió de la publicitat.

Prepareu-vos, SUBVERTISING IS COMING",Taller Hacking Marquesines a Ca La Trava,https://www.facebook.com/events/261602837798784/,https://www.facebook.com/events/261602837798784/,2018-09-23T08:30:00-07:00 to 2018-09-23T13:30:00-07:00,null,null,null,https://www.facebook.com/events/261602837798784/,https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-9/s720x720/41779190_652278605172014_6047602303987351552_o.jpg?_nc_cat=0&oh=b0a0665602602d632d06b1dd8dc85984&oe=5C35356A
1537262849-3,https://www.artssspot.com/barcelona/face-pages-prov/,La Casa Elizalde,La Casa Elizalde,"Hub Tree és un concepte definit per Suzanne Simard, professora d’ecologia forestal a la University of British Columbia (Canadà), com un arbre gran i vell amb una xarxa enorme associada. Els treballs de Simard demostren que els arbres efectivament es comuniquen i que no es comporten de forma individual competint per la supervivència del més fort, sinó que interactuen entre ells ajudant-se per sobreviure.

A partir d’aquesta idea, Núria Benet ens proposa qüestionar-nos la nostra relació amb la natura, posar en relleu la seva bellesa i reflexionar sobre la sensació d’arrelament.
L’artista experimenta amb la videoinstal·lació i el tapís, i ens convida a deixar-nos portar i seguir el fil que acabarà formant part d’un gran tapís, fruit d’infinites confluències.

Us hi esperem!",Inauguració de l'exposició 'Hub Trees' de Núria Benet,https://www.facebook.com/events/294732167996185/,https://www.facebook.com/events/294732167996185/,2018-09-20T10:30:00-07:00 to 2018-09-20T12:00:00-07:00,null,null,null,https://www.facebook.com/events/294732167996185/,https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/p526x296/40803968_2255909911090540_2849937046888251392_o.jpg?_nc_cat=0&oh=7bfead83a3654d14fe16cdfafbc18508&oe=5C1C579C
1537262945-12,https://www.artssspot.com/barcelona/face-pages-prov/,EINA Centre Universitari de Disseny i Art de Barcelona,"EINA, Espai Barra de Ferro","“6 Dialects, 1 World” és una exposició de joieria en el marc de Joya Barcelona Art Jewelry Fair 2018 on creacions abstractes seran variades tant en forma com en material, ja que cada artista treballa en el seu propi estil per contribuir a un grup de discussió. És una referència a com la gent troba maneres diferents d'expressar el mateix. Què significa ser lliures? La gent té una idea del que és la llibertat, però la gent pot entendre realment allò què no és la llibertat? Les preguntes sobre la llibertat poden ser temes difícils omplerts d'àrees grises que es basen en la perspectiva de cadascú. Com es pot veure, hi ha molts temes que cal debatre en relació amb la llibertat.

A la mostra hi participen Clara Niubò, exestudiant del Grau de Disseny d’EINA, juntament amb Jordi Aparicio, Ignasi Cavaller, Carla Garcia Durlan, Sandra Llusà i William Rudolph Faulkner.

--

""6 dialectos, 1 World"" es una exposición de joyería en el marco de Joya Barcelona Art Jewelry Fair 2018 donde creaciones abstractas serán variadas tanto en forma como en material, ya que cada artista trabaja en su propio estilo para contribuir a un grupo de discusión. Es una referencia a cómo la gente encuentra maneras diferentes de expresar lo mismo. ¿Qué significa ser libres? La gente tiene una idea de lo que es la libertad, pero ¿la gente puede entender realmente lo que no es la libertad? Las preguntas sobre la libertad pueden ser temas difíciles llenos de áreas grises que se basan en la perspectiva de cada uno. Como se puede ver, hay muchos temas que hay que debatir en relación con la libertad.

En la muestra participan Clara Niubò, ex estudiante del Grado de Diseño de EINA, junto con Jordi Aparicio, Ignasi Cavaller, Carla Garcia Durlan, Sandra Llusà i William Rudolph Faulkner.","Exposició “6 Dialects, 1 World”",https://www.facebook.com/events/2404264476466873/,https://www.facebook.com/events/2404264476466873/,2018-10-03T10:00:00-07:00 to 2018-10-03T11:30:00-07:00,null,null,null,https://www.facebook.com/events/2404264476466873/,https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-9/41682343_2023676051028298_6530919294543331328_n.jpg?_nc_cat=0&oh=831255f165057a86d9b0663013eaa0a8&oe=5C2C17B6
1537262898-8,https://www.artssspot.com/barcelona/face-pages-prov/,Fundació Joan Miró,Fundació Joan Miró,"Amb motiu de les Festes de la #Mercè18, us convidem a descobrir la #FundacióMiró, un espai on es fusionen l'art, l'arquitectura i el paisatge.

Entrada gratuïta a la Col·lecció #JoanMiró i a les exposicions temporals ""Les cicatrius ens recorden que el nostre passat és real"", de #KaderAttia i ""El nostre camí queda"", de Fito Conesa (#monstreEspai13).

A més, entre les 10 i les 14 h, podeu participar en el taller per a tots els públics ""Collage poètic"", per crear col·lectivament un mural amb les diferents tècniques emprades per Joan Miró en la seva obra ➡️ http://bit.ly/CollagePoèticMiró

🎟️ Portes obertes per la Mercè 2018 
📅 Dilluns 24 de setembre, de 10 a 15 h",La Mercè 2018 a la Miró: Portes obertes i Collage poètic,https://www.facebook.com/events/1791529557628501/,https://www.facebook.com/events/1791529557628501/,2018-09-24T01:00:00-07:00 to 2018-09-24T06:00:00-07:00,null,null,null,https://www.facebook.com/events/1791529557628501/,https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/q84/p235x350/41980753_10157116908503094_6407460893411508224_n.jpg?_nc_cat=0&oh=2b41cab3c549c77c84f7d29c93b31a77&oe=5C2119A7
