web-scraper-order,web-scraper-start-url,event_organizer,event_venue,event_text,event_title,event_link,event_link-href,event_facebooktime,event_maplink__1,event_cost__,event_category__,event_id,event_image-src
"1537897356-2","https://www.artssspot.com/barcelona/face-pages-prov/","Balclis","Balclis (Rosselló, 227, Barcelona)","Con motivo de la nueva subasta ""Picasso & Friends"", tenemos el placer de invitarte a una charla sobre el artista malagueño y su obra de la mano de Francesc Fontbona, prestigioso historiador del arte. 
-Plazas limitadas, ¡inscríbete ahora aquí! ➡️ http://bit.ly/2QPnl7o","Conferencia ""Picasso & Friends""","https://www.facebook.com/events/2237526086289668/","https://www.facebook.com/events/2237526086289668/","2018-09-26T10:00:00-07:00 to 2018-09-26T12:00:00-07:00","null","null","null","https://www.facebook.com/events/2237526086289668/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/q82/s526x296/42185892_2291692804234687_2974548165702713344_n.jpg?_nc_cat=106&oh=edb316207eba826ffb5236f97660e667&oe=5C202643"
"1537897465-13","https://www.artssspot.com/barcelona/face-pages-prov/","Carré d'artistes (Barcelona)","Carré d'artistes (Barcelona)","Durante el mes de octubre, su galería presenta un artista y la peculiaridad de su trabajo a través de una exposición. 
La galería se adapta al artista elegido y le hará descubrir sus inspiraciones, su técnica y sus obras. 

¡El 6 de octubre, Josep Pozo estará presente en la galería y realizará una actuación en directo! 
Nos complace ofrecerle esta oportunidad única de conocerlo, dialogar con él sobre su trabajo o tener la posibilidad que firme uno de sus cuadros.

¡Su galería le espera!

¿Donde? 
Carrer Petritxol N°3
08002 Barcelona

¿Una pregunta?*
933 04 36 36","Encuentro con Josep Pozo","https://www.facebook.com/events/2147736515492511/","https://www.facebook.com/events/2147736515492511/","2018-10-06T02:00:00-07:00 to 2018-10-06T11:30:00-07:00","null","null","null","https://www.facebook.com/events/2147736515492511/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-9/s720x720/41600005_2142469705798002_6819064372644544512_n.jpg?_nc_cat=109&oh=0401e4a03dc3cffb597d597f676c8978&oe=5C627937"
"1537897373-3","https://www.artssspot.com/barcelona/face-pages-prov/","ArquinFAD","ArquinFAD","HABITATGES - TENDÈNCIES I TEORIES A LES DARRERES EDICIONS DELS PREMIS FAD

El cicle de conferències d’ARQUINSET
se centra enguany en dos temes que han
marcat l’actualitat arquitectònica recent:
els premis FAD i la qüestió de l’habitatge
com a fil conductor per tractar un seguit
de temes i problemes presents a les
darreres edicions dels guardons. El 2018
marca el 60è aniversari dels premis, situantlos
entre els de més llarga trajectòria a
Europa, i, per celebrar-ho, des de la junta
d’ArquinFAD, volem posar de relleu la
qualitat arquitectònica i el nivell teòric dels
projectes premiats en les darreres edicions.


DIMECRES, 26 DE SETEMBRE
PROMOCIÓ PÚBLICA
- OPORTUNITATS I LÍMITS

Ponents:
Carles Oliver Barceló Life Reusing
Posidonia (Premi FAD Arquitectura 2018)
Harquitectes (finalistes Premi FAD 2018,
2015, 2013)
Presenta-modera: Pau de Solà-Morales 

Conclusió: junta ArquinFAD
Pica-pica de cloenda
A les 19h al Centre de Documentació
del Museu del Disseny.
Plaça de les Glòries Catalanes, 37 planta -1.
08018 Barcelona
Inscripció obligatòria i gratuïta.
Aforament limitat
www.arquinset.org

//

VIVIENDA - TENDENCIAS Y TEORÍAS EN LAS ÚLTIMAS EDICIONES DE LOS PREMIOS FAD

El ciclo de conferencias de ARQUINSET
se centra este año en dos temas que han
marcado la actualidad arquitectónica reciente:
los premios FAD y la cuestión de la vivienda
como hilo conductor para tratar una serie
de temas y problemas presentes en las
últimas ediciones de los galardones. El 2018
marca el 60º aniversario de los premios,
situándolos entre los de más larga trayectoria
en Europa, y, para celebrarlo, desde la junta
de ArquinFAD, queremos poner de relieve la
calidad arquitectónica y el nivel teórico de los
proyectos premiados en las últimas ediciones.

MIERCOLES, 26 DE SEPTIEMBRE
PROMOCIÓN PÚBLICA
- OPORTUNIDADES Y LÍMITES
Ponentes:
Carles Oliver Barceló Life Reusing
Posidonia (Premio FAD Arquitectura 2018)
Harquitectes (finalistas Premio FAD 2018,
2015, 2013)
Presenta-modera: Pau de Solà-Morales 

Conclusión: junta ArquinFAD
Pica-pica de clausura
A las 19h en el Centro de Documentación
del Museo del Diseño.
Plaça de les Glòries Catalanes, 37 planta -1.
08018 Barcelona
Inscripción obligatoria y gratuita.
Aforo limitado
www.arquinset.org","Arquinset18 - Premis FAD18","https://www.facebook.com/events/471183213392534/","https://www.facebook.com/events/471183213392534/","2018-09-26T10:00:00-07:00 to 2018-09-26T13:00:00-07:00","null","null","null","https://www.facebook.com/events/471183213392534/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/s526x296/42146004_1558064690964147_7852854999267672064_n.jpg?_nc_cat=103&oh=216f34af3307519a82cf907775412203&oe=5C5C0BE1"
"1537897468-14","https://www.artssspot.com/barcelona/face-pages-prov/","Félix Lozal","Félix Lozal - Espacio De Creación","null","Taller de arte con cartón - nivel básico","https://www.facebook.com/events/553145711805124/","https://www.facebook.com/events/553145711805124/","2018-10-13T01:00:00-07:00 to 2018-10-14T04:00:00-07:00","null","null","null","https://www.facebook.com/events/553145711805124/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/s526x296/42279261_2096742857017334_7036235378172362752_n.jpg?_nc_cat=101&oh=2e907b5a1f007f24d5ece9fd7d19fc74&oe=5C2E2D39"
"1537897453-12","https://www.artssspot.com/barcelona/face-pages-prov/","Hq Barcelona","Hq Barcelona","Time to rewind. HQ Barcelona presents: José Miguel Del Pozo  and Mividarápida

MVIDAR/PIDA is a project under constant evolution and construction. At first it was just a nickname he used to sign his drawings, but later this changed into a clothing brand that released a collection of t shirts, caps and other ""streetwear"" clothing in Caracas, Venezuela. Now its Josémi´s name as a tattoo artist and as a mutant nomad, another disguise on Instagram. 

Josémi was born in San Felipe, Yaracuy in 1958 and spent most of his primary school in Beijing, China and finished his studies in Venezuela. He gave college a try twice but abandoned it twice. He has showcased drawings in Venezuela, displaying his work for young artists and individually and collectively in private galleries, Caraca´s libraries and an international fair. He worked as a Visual Communications teacher, illustrator and tattoo artist. 

He's still alive: 

Facebook: https://www.facebook.com/mividarapida/
Instagram: https://www.instagram.com/mividarapida/
Web: https://issuu.com/monstroise

ONLY FOR MEMBERS. DONT FORGET YOUR ID!

#hqbarcelona #hqart #vernissage #hqinspiration #neverstopgrowing #hqclub #supportyourlocalartist

See you all there! :-)","HQ Art presents: José Miguel Del Pozo Lopez","https://www.facebook.com/events/316569375833761/","https://www.facebook.com/events/316569375833761/","2018-10-05T11:00:00-07:00 to 2018-10-05T14:00:00-07:00","null","null","null","https://www.facebook.com/events/316569375833761/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/s526x296/41729591_978021479036671_6978340129555349504_n.jpg?_nc_cat=101&oh=e0e8bfbe5ffe6f998af1c24114437395&oe=5C5DC35F"
"1537897437-10","https://www.artssspot.com/barcelona/face-pages-prov/","Can Allà","Can Allà","El taller es un proyecto itinerante que viaja por latinoamerica hasta aterrizar en Barcelona, por primera vez en las Europas conectando con espacios y tiempos, y como el tiempo es finito, solo estará por unos pocos días en esta casa amiga y aliada Can Alla que lo recibe aun antes de su re - inauguración.
Compartiremos dos jornadas de encuadernación dónde realizaremos un cuaderno con la técnica de la Puntada Ojal. Vamos a aprender además nociones básicas de la encuadernación que se aplican a todo el oficio, el uso de las herramientas, elección de materiales, criterios de diseño, terminaciones etc, al finalizar compartiremos un aperitivo reparador y cada participante se llevará su trabajo terminado, un apunte digital y la enorme alegria de hacer algo con nuestras manos y encontrarnos a crear con otras personas.

Breve CV:
Julieta Reyes es artista y encuadernadora latinoamericana, se formó con diferentes maestras en el oficio y desde hace 5 años lleva adelante Espacios Cosidos, su taller de encuadernación artesanal con el que viaja por distintas ciudades, pueblos y paises.
Realiza además trabajos en encuadernación con diferentes técnicas y propuestas, comparte taller con otras artistas visuales y editoriales independientes, y continúa en permanente formación.","Taller de encuadernación artesanal","https://www.facebook.com/events/282629469129957/","https://www.facebook.com/events/282629469129957/","2018-10-03T10:00:00-07:00 to 2018-10-04T13:00:00-07:00","null","null","null","https://www.facebook.com/events/282629469129957/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/s526x296/42045351_1344510595684553_3492281828713168896_n.jpg?_nc_cat=109&oh=a87a9db73095d412328dddc63e4a3b9e&oe=5C24816F"
"1537897390-5","https://www.artssspot.com/barcelona/face-pages-prov/","Fabra i Coats. Centre d'Art Contemporani","Fabra i Coats. Centre d'Art Contemporani","null","Joan Morey - Col·lapse. Programa de performance.","https://www.facebook.com/events/261105451408187/","https://www.facebook.com/events/261105451408187/","2018-09-27T10:00:00-07:00 to 2018-12-13T12:00:00-08:00","null","null","null","https://www.facebook.com/events/261105451408187/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/p235x350/42465231_1158803644272406_8936710126924988416_n.jpg?_nc_cat=105&oh=0ca37654d87d7ff6cf07ee6ea70a36ff&oe=5C244247"
"1537897388-4","https://www.artssspot.com/barcelona/face-pages-prov/","Museu Picasso Barcelona","Museu Picasso Barcelona","CA -  Conferència ""Picasso a la cuina"" d'Androula Michael, historiadora de l’art i co-comissària de l’exposició “La cuina de Picasso”.

ES - Conferència ""Picasso en la cocina"" de Androula Michael, historiadora del arte y cocomisaria de la exposición “La cocina de Picasso”.

EN – Conference ""Picasso in the kitchen"" of Androula Michael, art historian and co-curator of the exhibition “Picasso’s Kitchen”.","Conferencia: Picasso en la cocina","https://www.facebook.com/events/241251293250737/","https://www.facebook.com/events/241251293250737/","2018-09-27T10:00:00-07:00 to 2018-09-27T11:30:00-07:00","null","null","null","https://www.facebook.com/events/241251293250737/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/s526x296/41073963_10156970097542125_5680531974846939136_n.jpg?_nc_cat=111&oh=08de59c657b55386b3a606a731b625b7&oe=5C1CBDB7"
"1537897481-15","https://www.artssspot.com/barcelona/face-pages-prov/","48H Open House Barcelona","48H Open House Barcelona","Arriba la 9a edició del 48h Open House BCN, la principal cita de la ciutat de Barcelona amb l'arquitectura. Un cap de setmana de portes obertes a edificis de tot tipus, forma i mida. El Festival ofereix més de 200 experiències arquitectòniques amb l’objectiu d’explicar l’arquitectura de la ciutat de forma transversal.

Tota la informació a https://www.48hopenhousebarcelona.org

#OHB18","48h Open House Bcn 2018","https://www.facebook.com/events/281509915797196/","https://www.facebook.com/events/281509915797196/","2018-10-27T00:00:00-07:00 to 2018-10-28T15:00:00-07:00","null","null","null","https://www.facebook.com/events/281509915797196/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/s526x296/41990794_1934579523263323_7336658294599057408_n.jpg?_nc_cat=109&oh=a2592edd4b8eede2285193939557da4a&oe=5C18EFFF"
"1537897406-7","https://www.artssspot.com/barcelona/face-pages-prov/","Young Gallery Weekend","Projekteria Art Gallery","null","YGW - Visita guiada des del punt de vista d'una crítica d'art","https://www.facebook.com/events/268709970430926/","https://www.facebook.com/events/268709970430926/","2018-09-29T03:00:00-07:00 to 2018-09-29T04:00:00-07:00","null","null","null","https://www.facebook.com/events/268709970430926/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-9/s720x720/42301063_867602590115480_7201686164183449600_o.jpg?_nc_cat=108&oh=6a3d46b002f3c1c8abde8129bb7c5b04&oe=5C625AEC"
