event_image-src,event_venue,event_link,event_link-href,event_title1,event_start,event_end,event_organizer,event_title2,event_text,event_cost__0,event_category__Exhibition__Galleries__artnou,event_maplink__1,event_id
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/TRAMA-Saturacion.jpg","Galeria Trama","","http://www.artbarcelona.es/artnou/en/expositions/joan-cabre-i-dila/","Joan Cabrer i Di+La","","16.06.16 – 05.08.16","Galeria Trama","null","It is a fresh and energetic show, where we present the new paintings of two artists selected in our competition for young artists: Art<35. Joan Cabrer and Di+lA are artists that explore the possibilities of color from different perspectives and complementary approaches.","null","null","null","http://www.artbarcelona.es/artnou/en/expositions/joan-cabre-i-dila/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/Tiff_Tesia_detail.jpg","Victor Lope Arte Contemporáneo","","http://www.artbarcelona.es/artnou/en/expositions/lords-of-gods/","Max Gärtner","","30.06.16 – 30.07.16","Victor Lope Arte Contemporáneo","Land Of Gods","The exhibition “Land of Gods” has been designed and shaped on the island of Bali, a well-known place for its solid spiritual beliefs of the native people and the intense connection between artistic expression and religion.

Max Gartner believes that the creative energy that its applied to express ourselves as individuals, in fact, does not come from us, but we are “only” leaders of it.
“The way I express it is mostly visual. I am not particularly in favor of explaining my work because I believe that the energy invested in an artwork makes that it has its own life and that is speaks for itself. The interpretation, or just the feeling it may cause to me can be very different from the spectator, although both interpretations are part of the same reality”
Some of the artworks created for the exhibitions have been produced using the technique of carving wood, which Balinese people produce figures for their religious ceremonies. The combination between the drawing of Max Gärtner and the traditional craft discipline of the “Island of Gods” it is also a “mixture” of visual expressions of two different cultures, and an assessment of the importance of spirituality on art.
The Spanish-Germany artist likes to dramatize his exhibitions in the style of a “modern temple” with the idea of creating a space that seeks to relate human existence and its connection with the divine, through artistic expression.","null","null","null","http://www.artbarcelona.es/artnou/en/expositions/lords-of-gods/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/Tiff_Tesia_detail.jpg","Victor Lope Arte Contemporáneo","","","Max Gärtner","30.06.16 – 30.07.16","30.06.16 – 30.07.16","Victor Lope Arte Contemporáneo","Land Of Gods","","null","null","null","http://www.artbarcelona.es/artnou/en/expositions/lords-of-gods/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/FUNDACIO-JOAN-MIRO-Rosana-Antoli.jpg","Fundació Joan Miró","","http://www.artbarcelona.es/artnou/en/expositions/rosana-antoli/","Rosana Antolí","","30.06.16 – 11.09.16","Fundació Joan Miró","null","Bear witness to the moment. Feel a situation, respond to it, create a new one. Rosana Antolí's work covers a broad spectrum that includes choreography and drawing, action and waiting, day-to-day life and critical questions.
Where are we now? What are our wishes? Antolí's work swings between conceptual distance and extreme emotional closeness. She is interested in social behaviour, groups, the community, and people with their fears and emotions close to the surface. In her work drawings become time and actions are circular systems.","null","null","null","http://www.artbarcelona.es/artnou/en/expositions/rosana-antoli/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/senda-31.jpg","Senda – LAB","","http://www.artbarcelona.es/artnou/en/expositions/phosphorescence/","Estefanía Urrutia","","22.06.16 – 08.07.16","Senda – LAB","Phosphorescence","The Phosphorescence exhibition shows a series of paintings that focus on the isolation of the individual in our society. The series reflects situations of absolute intimacy and solitude where the subject is totally isolated from all surroundings and is immersed in the light emitted by certain electronic devices.
Light takes on a spiritual connotation. If someone unaware of the meaning of the screen itself were to observe the scenes that make up Phosphorescence, they would think something magical or mystical was happening.
Silence, stillness, calm. The invasion of the intimate space.
The characters appear from the shadows and are immersed in this light that traps them. The subtlety of the darkness makes their faces appear blurred, and lose their identity, in a metaphor for depersonalisation.
“A phosphorescent jewel gives off its glow and colour in the dark and loses its beauty in the light of day. Were it not for shadows, there would be no beauty.” (Jun’ichirō Tanizaki, In Praise of Shadows)","null","null","null","http://www.artbarcelona.es/artnou/en/expositions/phosphorescence/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/06/20160504193121-1.jpg","Centre Cívic Can Felipa","","","Rafa M. Mota, Irene de Andrés, Jacobo Bugarín, Ignacio Navas, Alán Carrasco, Colectivo NIE, Franco Moragues, Lua Coderch","10.05.16 – 16.07.16","10.05.16 – 16.07.16","Centre Cívic Can Felipa","La contrarrevolución de los caballos","","null","null","null","http://www.artbarcelona.es/artnou/en/expositions/la-contrarrevolucion-de-los-caballos/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/16_b113_70_70_Sint--tulo_acrilic-sobre-tela-i-70x70cm.jpg","N2 Galeria","","http://www.artbarcelona.es/artnou/en/expositions/hic-stans/","Joan Saló","","30.06.16 – 30.07.16","N2 Galeria","Hic-Stans","Hic - Stans is a Latin term that could be translated as ""the infinite greatness of place."" Based on this concept , which points to an ideal perception of the infinite , the artist questions himself : from the concrete and finite point we occupy in space could we perceive all its infinite as a whole? Behind his canvases breathe both the meditations of the English philosopher Thomas Hobbes in Leviathan ( 1651 ) , and the idea of the infinite by Borges in his famous short story, The Aleph .

In Saló’s paintings, the abstract is reconciled with the decorative, meditation with spirituality. The canvas designs a network of meanings produced from primary forms that are repeated without beginning or end. The work speaks of time and rhythm, of the relations between the hand and the brain, thereby creating a veritable code, a “mental map”.","null","null","null","http://www.artbarcelona.es/artnou/en/expositions/hic-stans/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/06/invisible.jpg","Espai Colona","","http://www.artbarcelona.es/artnou/en/expositions/invisible-invencible/","José Castrellón, Raphael Salazar","","12.06.16 – 31.07.16","Espai Colona","invisible-invencible","Castrellón and Salazar’s collaborative method is rooted in the dual idea of invisibility and invincibility, from which they derived the project’s title, and which encompasses the region’s dichotomies. Darien and its political forces are invisible to the everyday reality of Panamanians, as well as invincible due to the region’s exuberance and impenetrability. How to capture the unseen tensions in a place with so many layers of history and a constantly regenerating jungle that takes over both the past and present?","null","null","null","http://www.artbarcelona.es/artnou/en/expositions/invisible-invencible/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/61.jpg","Victor Lope Arte Contemporáneo","","","Matthias Heiderich","30.06.16 – 30.07.16","30.06.16 – 30.07.16","Victor Lope Arte Contemporáneo","Material","","null","null","null","http://www.artbarcelona.es/artnou/en/expositions/material1/"
"http://www.artbarcelona.es/artnou/wp-content/uploads/sites/9/2016/05/IMG_9059.jpeg","NoguerasBlanchard","","","Enric Farrés Duran","30.06.16 – 02.10.16","30.06.16 – 02.10.16","NoguerasBlanchard","Cualquier objeto excepto un papel","","null","null","null","http://www.artbarcelona.es/artnou/en/expositions/cualquier-objeto-excepto-un-papel1/"
