event,event-href,event_link,event_link-href,event_title1,event_title2,event_image-src,event_start,event_end,event_text,event_venue,event_organizer,event_cost__0,event_maplink__1,event_category__Exposición__Galerías__galleryweekend,event_id
"The Laboratory (Galeria Miquel Alzueta)","http://www.barcelonagalleryweekend.com/en/place/the-laboratory-en/","Bruno Ollé, Julia Mariscal						
												29.09.16 - 02.10.16
																			Sólids en un líquid
												“A soap bubble usually bursts before time. It’s a quick, unforeseeable process.” Daston Lorraine, Things that talk, 2002.

The pieces that conform the exhibition Solids in a liquid, assume the dichotomy implicit in a soap bubble. Popularly, this iconic...","http://www.barcelonagalleryweekend.com/en/expositions/solids/","Bruno Ollé, Julia Mariscal","Sólids en un líquid","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2016/04/Bruno-Olle-Archivo-ano--nimo-1.jpg","29.09.16 - 02.10.16","29.09.16 - 02.10.16","“A soap bubble usually bursts before time. It’s a quick, unforeseeable process.” Daston Lorraine, Things that talk, 2002.

The pieces that conform the exhibition Solids in a liquid, assume the dichotomy implicit in a soap bubble. Popularly, this iconic...","The Laboratory (Galeria Miquel Alzueta)","The Laboratory (Galeria Miquel Alzueta)","null","null","null","http://www.barcelonagalleryweekend.com/en/expositions/solids/"
"Blueproject Foundation","http://www.barcelonagalleryweekend.com/en/place/blueproject-foundation-en/","Pieter Vermeersch						
												29.09.16 - 02.10.16
																		The Blueproject Foundation presents Pieter Vermeersch, the new solo exhibition which will be shown at Il Salotto from May 20th to October 9th2016. The renowned Belgian artist has built a new installation for the occasion, designed in situ for the...","http://www.barcelonagalleryweekend.com/en/expositions/exposicio-de-pieter-vermeersch/","Pieter Vermeersch","The Great Invisible Battle","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2016/06/IMG_0773-low.jpg","29.09.16 - 02.10.16","29.09.16 - 02.10.16","The Blueproject Foundation presents Pieter Vermeersch, the new solo exhibition which will be shown at Il Salotto from May 20th to October 9th2016. The renowned Belgian artist has built a new installation for the occasion, designed in situ for the...","Blueproject Foundation","Blueproject Foundation","null","null","null","http://www.barcelonagalleryweekend.com/en/expositions/exposicio-de-pieter-vermeersch/"
"etHALL","http://www.barcelonagalleryweekend.com/en/place/ethall-en/","June Crespo						
												29.09.16 - 02.10.16
																			Chance Album nº1
												Presented at etHALL, the exhibition Chance Album nº 1 by basque artist June Crespo depicts her most recent explorations in her practice: an encounter between the artist’s imaginary place and her material, sensitive universe where both worlds overlap without...","http://www.barcelonagalleryweekend.com/en/expositions/june-crespos-exhibition-en/","June Crespo","Chance Album nº1","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2016/04/etHALL-----June-Crespo-1-low.jpg","29.09.16 - 02.10.16","29.09.16 - 02.10.16","Presented at etHALL, the exhibition Chance Album nº 1 by basque artist June Crespo depicts her most recent explorations in her practice: an encounter between the artist’s imaginary place and her material, sensitive universe where both worlds overlap without...","etHALL","etHALL","null","null","null","http://www.barcelonagalleryweekend.com/en/expositions/june-crespos-exhibition-en/"
"Galeria Trama","http://www.barcelonagalleryweekend.com/en/place/galeria-trama-eng/","Jan Monclús, Jerónimo Hagerman, José Díaz, José Ramón Ais, Rosa Amorós						
												29.09.16 - 02.10.16
																			Natural Park
												Curated by Frederic Montornés.

According to Georges Perec the countryside is the playground around the second residence of some of his fellow countrymen where there is more space available than in the city. However, despite its qualities, the countryside...","http://www.barcelonagalleryweekend.com/en/expositions/natural-park/","Jan Monclús, Jerónimo Hagerman, José Díaz, José Ramón Ais, Rosa Amorós","Natural Park","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2016/04/Jos---Ramon-Ais-LOW.jpg","29.09.16 - 02.10.16","29.09.16 - 02.10.16","Curated by Frederic Montornés.

According to Georges Perec the countryside is the playground around the second residence of some of his fellow countrymen where there is more space available than in the city. However, despite its qualities, the countryside...","Galeria Trama","Galeria Trama","null","null","null","http://www.barcelonagalleryweekend.com/en/expositions/natural-park/"
"Ana Mas Projects","http://www.barcelonagalleryweekend.com/en/place/ana-mas-projects-en/","Laercio Redondo						
												29.09.16 - 02.10.16
																			Restauro / Restoration
												Ana Mas Projects presents the work of Brazilian artist Laercio Redondo (Parnavaí, 1967). Desvios (Detours) and Lembrança de Brasilia (Memory of Brazil) are two installations where his usual conceptual and esthetic discourses are present through subjects related to the...","http://www.barcelonagalleryweekend.com/en/expositions/laercio-redondo-en/","Laercio Redondo","Restauro / Restoration","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2016/04/Ana-Mas-Projects-Laercio-Redondo-1-low.jpg","29.09.16 - 02.10.16","29.09.16 - 02.10.16","Ana Mas Projects presents the work of Brazilian artist Laercio Redondo (Parnavaí, 1967). Desvios (Detours) and Lembrança de Brasilia (Memory of Brazil) are two installations where his usual conceptual and esthetic discourses are present through subjects related to the...","Ana Mas Projects","Ana Mas Projects","null","null","null","http://www.barcelonagalleryweekend.com/en/expositions/laercio-redondo-en/"
"A|34","http://www.barcelonagalleryweekend.com/en/place/a34-en/","Robert Janz						
												29.09.16 - 02.10.16
																		Robert Janz is a painter, sculptor and graffiti artist born in Belfast in 1932. He lives and works in New York.

“Out in the urban landscape walls strewn with tags and posters serve me as ravines and caves did for...","http://www.barcelonagalleryweekend.com/en/expositions/robert-janz-en/","Robert Janz","null","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2016/04/JanzU02press-LOW.jpg","29.09.16 - 02.10.16","29.09.16 - 02.10.16","Robert Janz is a painter, sculptor and graffiti artist born in Belfast in 1932. He lives and works in New York.

“Out in the urban landscape walls strewn with tags and posters serve me as ravines and caves did for...","A|34","A|34","null","null","null","http://www.barcelonagalleryweekend.com/en/expositions/robert-janz-en/"
"Galeria Marc Domènech","http://www.barcelonagalleryweekend.com/en/place/galeria-marc-domenech-en/","Xavier Escribà						
												29.09.16 - 02.10.16
																			D’on venim, on som
												This is a unique, ephemeral project made up with forty-seven correlative paintings which, in a continuum sequence, run along the entire space of the gallery.

This work will exist during the 47 days of the exhibition and it’s...","http://www.barcelonagalleryweekend.com/en/expositions/xavier-escriba-exhibition/","Xavier Escribà","D’on venim, on som","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2016/04/Foto-1-LOW.jpg","29.09.16 - 02.10.16","29.09.16 - 02.10.16","This is a unique, ephemeral project made up with forty-seven correlative paintings which, in a continuum sequence, run along the entire space of the gallery.

This work will exist during the 47 days of the exhibition and it’s...","Galeria Marc Domènech","Galeria Marc Domènech","null","null","null","http://www.barcelonagalleryweekend.com/en/expositions/xavier-escriba-exhibition/"
"Galeria Joan Prats","http://www.barcelonagalleryweekend.com/en/place/galeria-joan-prats-en/","Erick Beltrán						
												29.09.16 - 02.10.16
																			El doble no existe / El doble de las mil caras
												El doble no existe (Galeria Joan Prats) / El doble de las mil caras (Joan Prats Warehouse)

There is always a suspicion behind all our actions and wills. Someone is watching us all the time from ourselves. The one who does...","http://www.barcelonagalleryweekend.com/en/expositions/erick-beltran-exhibition/","Erick Beltrán","El doble no existe / El doble de las mil caras","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2016/04/cara-d.jpg","29.09.16 - 02.10.16","29.09.16 - 02.10.16","El doble no existe (Galeria Joan Prats) / El doble de las mil caras (Joan Prats Warehouse)

There is always a suspicion behind all our actions and wills. Someone is watching us all the time from ourselves. The one who does...","Galeria Joan Prats","Galeria Joan Prats","null","null","null","http://www.barcelonagalleryweekend.com/en/expositions/erick-beltran-exhibition/"
"RocioSantaCruz","http://www.barcelonagalleryweekend.com/en/place/rociosantacruz-en/","Pep Duran						
												29.09.16 - 02.10.16
																			Amorfa
												These latest assembled works titled MAGMA (S) / NUCLI (S) present in the AMORFA exhibition, have to be understood as a sequential mural, as if one were reading them through a magnifying glass…
Fragments which are enlarged, blown-up, misshapen, crumpled...","http://www.barcelonagalleryweekend.com/en/expositions/amorfa/","Pep Duran","Amorfa","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2016/07/PEP-DURAN_SUITE-MAGMA-09-low.jpg","29.09.16 - 02.10.16","29.09.16 - 02.10.16","These latest assembled works titled MAGMA (S) / NUCLI (S) present in the AMORFA exhibition, have to be understood as a sequential mural, as if one were reading them through a magnifying glass…
Fragments which are enlarged, blown-up, misshapen, crumpled...","RocioSantaCruz","RocioSantaCruz","null","null","null","http://www.barcelonagalleryweekend.com/en/expositions/amorfa/"
"Sala Dalmau","http://www.barcelonagalleryweekend.com/en/place/sala-dalmau-en/","Manuel Ángeles Ortiz						
												29.09.16 - 02.10.16
																			The magic of Granada
												Manuel Ángeles Ortiz (Jaén 1895 – París 1984) was an outstanding member of the historical, Spanish avant-garde. A contemporary, and friend, of Falla, Lorca and Picasso, he collaborated with all of them on various several occasions.

The exhibition...","http://www.barcelonagalleryweekend.com/en/expositions/magia-de-granada/","Manuel Ángeles Ortiz","The magic of Granada","http://www.artbarcelona.es/bgw/wp-content/uploads/sites/7/2016/04/albaycin1.jpg","29.09.16 - 02.10.16","29.09.16 - 02.10.16","Manuel Ángeles Ortiz (Jaén 1895 – París 1984) was an outstanding member of the historical, Spanish avant-garde. A contemporary, and friend, of Falla, Lorca and Picasso, he collaborated with all of them on various several occasions.

The exhibition...","Sala Dalmau","Sala Dalmau","null","null","null","http://www.barcelonagalleryweekend.com/en/expositions/magia-de-granada/"
