event_link,event_link-href,event_image-src,event_title,event_start,event_end,event_text,event_venue__Museum für Gestaltung,event_organizer__Museum für Gestaltung,event_category__Museum für Gestaltung__Design__Ausstellung,event_cost__12,event_id
"Esprit français – Kulturplakate aus Frankreich","http://www.museum-gestaltung.ch/de/ausstellungen/jahresprogramm-2017/ausserdem/nordwand/esprit-francais/","","Esprit français","04.11.2016 - 19.02.2017","04.11.2016 - 19.02.2017","In der Eingangshalle des Toni-Areals bespielt das Museum für Gestaltung die 140 m2 grosse Nordwand.","null","null","null","null","Esprit français"
"ZHdK Highlights","http://www.museum-gestaltung.ch/de/ausstellungen/jahresprogramm-2017/ausserdem/highlights-zhdk/","","Highlights ZHdK","02.09.2017 - 21.09.2017","02.09.2017 - 21.09.2017","Zum gesamten ZHdK Highlights-Programm aus Konzerten, Performances, Aufführungen und Präsentationen steuert das Museum eine Ausstellung mit Arbeiten aus dem Design und der bildenden Kunst bei.","null","null","null","null","Highlights ZHdK"
"Couleurs désert – Teppichkunst aus Marokko","http://www.museum-gestaltung.ch/de/ausstellungen/rueckblick/museum-bellerive/2000-2016/2016/couleurs-desert/","","Couleurs désert","02.09.2016 - 29.01.2017","02.09.2016 - 29.01.2017","Die Metamorphose ausgedienter Materialien in zeitgemässes Kunsthandwerk: 
In der Kargheit der marokkanischen Sahara fertigen die Frauen der Aït Khebbach 
mit enormer dekorativer Kraft fantastische Teppiche und Kissen. In kreativer Auseinandersetzung mit dem althergebrachten Handwerk des Webens hat sich seit den 1980er-Jahren in dem kaum bekannten Berberstamm ein eigenständiges kulturelles Erbe entwickelt. Aus der Wolle aufgetrennter Stricksachen und in Bänder geschnittenen Alttextilien schaffen die Frauen an einfachen Webstühlen sämtliche Wohntextilen für die kargen Lehmhäuser. In gegenseitiger Inspiration erschliessen sie eine spektakuläre Muster- und Farbenwelt, die von den Unwägbarkeiten der Material-Ressourcen und den daraus folgenden unerwarteten gestalterischen Wendungen lebt. Zum ersten Mal zeigt eine Ausstellung diese überraschend modernen und individuell geprägten Kreationen der Aït Khebbach ausserhalb der Wüste Marokkos. Weit über hundert Objekte illustrieren aufs Schönste die junge Tradition. Fotoporträts und Erzählungen der Weberinnen bieten Einblicke in Handwerk und Lebensführung. 

Eine Ausstellung in Kooperation mit dem Musée Bargoin/Ville de Clermont-Ferrand und Ethnistory.","null","null","null","null","Couleurs désert"
"Victor Carrasco – Balance","http://www.museum-gestaltung.ch/de/ausstellungen/jahresprogramm-2017/ausserdem/nordwand/victor-carrasco/","","Victor Carrasco","07.07.2017 - 13.08.2017","07.07.2017 - 13.08.2017","In der Eingangshalle des Toni-Areals bespielt das Museum für Gestaltung die 140 m2 grosse Nordwand.","null","null","null","null","Victor Carrasco"
"Troxler hoch 3","http://www.museum-gestaltung.ch/de/ausstellungen/jahresprogramm-2017/ausserdem/nordwand/troxler-hoch-3/","","Troxler hoch 3","05.05.2017 - 25.06.2017","05.05.2017 - 25.06.2017","In der Eingangshalle des Toni-Areals bespielt das Museum für Gestaltung die 140 m2 grosse Nordwand.","null","null","null","null","Troxler hoch 3"
"Design Studio: Prozesse","http://www.museum-gestaltung.ch/de/ausstellungen/jahresprogramm-2017/design-studio-prozesse/","","Design Studio: Prozesse","25.08.2017 - 07.10.2018","25.08.2017 - 07.10.2018","Wie entsteht ein Stuhl, eine Lampe oder eine Schrift? Wie gehen Designer beim Gestaltungsprozess vor? Welche kulturelle und gesellschaftliche Relevanz hat Design? Das Museum für Gestaltung lanciert das Design Studio als aktiven Ort der Auseinandersetzung, wo aktuelle und historische Gestaltungsthemen diskutiert und selber erprobt werden können. Mit dem Fokus auf Prozesse stellt es Zusammenhänge im Design durch beispielhafte Entwürfe, Modelle und Projekte dar und erläutert Entwurfs und Produktionsabläufe. Neben den Objekten aus den Sammlungen des Museums öffnet der in Zusammenarbeit mit der Zürcher Hochschule der Künste entwickelte Ausstellungsteil „What’s next?“ ein Fenster in die Zukunft. Die integrierte Werkstatt bietet den Besucherinnen und Besuchern Möglichkeiten, sich inhaltlich zu vertiefen oder eigenhändig zu gestalten.","null","null","null","null","Design Studio: Prozesse"
"Sigurd Leeder – Spuren des Tanzes","http://www.museum-gestaltung.ch/de/ausstellungen/jahresprogramm-2017/sigurd-leeder/","","Sigurd Leeder","05.05.2017 - 30.07.2017","05.05.2017 - 30.07.2017","Tanz ist eine flüchtige Kunstform. Doch sie hinterlässt oftmals Spuren der Erfahrung, die weiterwirken. Vom international tätigen Tänzer, Pädagogen und Choreografen Sigurd Leeder (1902–1981) ist eine Vielfalt solcher Spuren fassbar. Er gehörte zur Reformbewegung des Ausdruckstanzes, war indes ein Autodidakt, der sich sein Wissen über auf Expressivität ausgerichtete Bewegungen selber angeeignet hatte. Leeder pflegte regen Austausch mit Rudolf von Laban und schuf zusammen mit Kurt Jooss eine Unterrichtsmethode mit einzigartigen Tanzetüden. Die Ausstellung zum 70. Jahrestag der Gründung der Sigurd Leeder School of Dance, in London und später in Herisau beheimatet, zeigt mit Fotos, Filmen, Tanznotationen und Kostümen die Lebendigkeit von Leeders Kunst und Pädagogik. Heutige Interpretationen aus mehreren Ländern beleuchten ihre anhaltende Aktualität.","null","null","null","null","Sigurd Leeder"
"MyCollection: Stefan Sagmeister","http://www.museum-gestaltung.ch/de/ausstellungen/jahresprogramm-2017/mycollection-stefan-sagmeister/","http://www.museum-gestaltung.ch/fileadmin/_processed_/csm_08_Stefan_Sagmeister_Mycollection_online_5925b93409.jpg","MyCollection: Stefan Sagmeister","28.10.2017 - 11.03.2018","28.10.2017 - 11.03.2018","Das Museum für Gestaltung bewahrt in seinen Sammlungen über 500 000 Designobjekte. Dieser immense Fundus ist Basis für das Projekt MyCollection, das mit Stefan Sagmeister eine weitere Ausgabe erfährt. Der österreichische Grafikdesigner beschäftigt sich aktuell mit dem Thema „Schönheit“. Nach eingehender Recherche im Schaudepot präsentiert er seine persönliche Auswahl von Sammlungsobjekten und kommentiert diese. Darunter sind Stücke, die allgemein als gut gestaltet und schön gelten. Speziell ist Sagmeister fasziniert von Dingen, die unabhängig von Funktion oder Gebrauch hoch ästhetisch sind. Der eigentliche Sinn einer Sammlung ergibt sich durch Auswählen, Vergleichen und Kommentieren. „MyCollection“ zeigt die gestalterischen Vorlieben von Stefan Sagmeister – ohne dass auch nur ein Objekt von ihm selbst entworfen wurde.","null","null","null","null","MyCollection: Stefan Sagmeister"
"Theatermalerei ""Macht Ferien!""","http://www.museum-gestaltung.ch/de/ausstellungen/jahresprogramm-2017/ausserdem/nordwand/theatermalerei-macht-ferien/","","Theatermalerei ""Macht Ferien!""","04.03.2017 - 23.04.2017","04.03.2017 - 23.04.2017","In der Eingangshalle des Toni-Areals bespielt das Museum für Gestaltung die 140 m2 grosse Nordwand.","null","null","null","null","Theatermalerei ""Macht Ferien!"""
"Stefan Sagmeister. The Happy Show","http://www.museum-gestaltung.ch/de/ausstellungen/jahresprogramm-2017/the-happy-show/","","The Happy Show","28.10.2017 - 11.03.2018","28.10.2017 - 11.03.2018","Was ist Glück, wo findet man es und was kann der Mensch für sein eigenes Glück tun? Der in New York lebende Grafikdesigner und Typograf Stefan Sagmeister hat sich intensiv mit diesen grossen Fragen beschäftigt. „The Happy Show“ zeigt die Resultate seiner radikal persönlichen Glücksforschung. Erfrischend emotionale Infografiken, anrührende Videodokumente von Selbstversuchen oder Installationen zum Mitmachen: Die sinnlichen Bildwelten des gebürtigen Österreichers animieren das Publikum, auch das eigene Glücksgefühl zu steigern. Mit handschriftlichen Kommentaren an Wänden und auf Böden markiert Sagmeister gleichzeitig Humor und feine Distanz zum Thema. Die Schau ist im Spannungsfeld von Wissenschaft, Design, Kunst und Alltagskultur angesiedelt und schwärmt über die Museumsräume hinaus ins Toni-Areal.","null","null","null","null","The Happy Show"
