event_category,event_title1,event_title2,event_image-src,event_text,event_start,event_end,event_venue,event_link,event_link-href,event_organizer
Exposición,Bouchra Khalili,"Presentación del film ""Garden Conversation""",http://www.macba.cat/uploads/20150317/KHALILI_GARDEN_CONVERSATION_2.3.jpg,"Garden Conversation parte de un hecho histórico del que se ha hablado mucho, pero que no está documentado: el encuentro en la embajada marroquí en El Cairo, en enero de 1959, de Ernesto «Che» Guevara (1928-1967) con el exiliado marroquí, antiguo héroe de la Guerra del Rif, Abdelkrim El Khattabi (1882-1963). Precursor de la lucha anticolonialista, Khattabi se había enfrentado a dos ejércitos, el francés y el español, y había inventado y puesto a prueba modernas tácticas de guerrilla que inspiraron a muchos líderes independentistas, como Ho Chi Minh y el propio Che Guevara.



Cincuenta y cinco años después de aquel encuentro, y casi tres desde el inicio de la Primavera Árabe, Bouchra Khalili examina una hipótesis en forma de meditación poética: de qué hablarían los espectros de Guevara y de Khattabi si se encontrasen hoy en día. Siguiendo las tesis de Walter Benjamin en Sobre el concepto de historia y la idea de «fantología» (hantologie) tal como la definió Jacques Derrida en Espectros de Marx (1993), la artista entiende la historia como una constelación de vestigios del pasado que se ciernen sobre el presente y lo conforman, y acaban abriendo una ventana para la percepción de un potencial futuro.



En el caso de Garden Conversation, Khalili utiliza una serie de desplazamientos en términos de historia, geografía, lenguaje y planteamiento visual, que le permitan construir su hipótesis: «¿Qué sucedería si un chico y una chica árabes se encontrasen, encarnando literalmente las palabras de Guevara y de Khattabi, para hablar de la lucha, sus medios y sus objetivos? ¿Y si cada uno de ellos hablara en su lengua –árabe marroquí y árabe iraquí– y sin embargo se entendieran perfectamente? ¿Y decidieran encontrarse en un lugar que es todavía una posesión colonial, una de las más antiguas del mundo? ¿Y la conversación se produjese en un espacio heterópico –mitad jardín, mitad bosque– que limita, por un lado, con un campo de entrenamiento militar español; por otro, con el mar; y finalmente con una valla, que aísla la ciudad del territorio marroquí y que, desde hace casi veinte años, sirve para impedir que los migrantes alcancen este rincón de Europa dentro del continente africano?». Como dice uno de los personajes en la película:



Por eso lo más importante

es preparar las mentes para su anhelo más eterno,

el derecho de los pueblos a decidir.



La obra de Khalili nos recuerda que, desde la segunda mitad del siglo XX, los procesos de emancipación nacional han estado determinados por visiones radicales, de cambio profundo de la sociedad. Garden Conversation escenifica las condiciones en las que los ideales independentistas e ideales revolucionarios se perciben como sombras de la historia, confrontadas a la realidad del presente. 



Nacida en Marruecos en 1975, Bouchra Khalili realiza trabajos en vídeo, ya sea monocanal o en formato de instalación, desde 2002. Este medio le permite eludir las fronteras entre disciplinas y desarrollar su obra a medio camino entre el cine y las artes visuales, el documental y la obra experimental. Sus vídeos exploran el área mediterránea como un territorio dedicado a una existencia errante y nómada. La artista produce representaciones de la dimensión mental de esos espacios situándolos en una experiencia perceptiva insólita, y de este modo ofrece un testimonio de la realidad contemporánea de la emigración. 



Khalili ha mostrado su trabajo en numerosas exposiciones colectivas por todo el mundo. Ha recibido varios premios y distinciones, entre los que destacan el Abraaj Group Award en 2014, el DAAD de Berlín en 2012, el Premio al mejor proyecto en el Festival LOOP de Barcelona en 2011 y el Premio Louis Lumière en Francia, en 2005.",17 abr.,28 jun. 2015,MACBA,,http://www.macba.cat/es/expo-bouchra-khalili-garden-conversation/1/exposiciones/expo,MACBA: Museu d'Art Contemporani de Barcelona
Exposición,Osvaldo Lamborghini,Teatro proletario de cámara,http://www.macba.cat/uploads/20150128/OL.3.jpg,"Osvaldo Lamborghini (Buenos Aires, 1940 – Barcelona, 1985) es uno de los grandes mitos de las letras argentinas contemporáneas. Con tan sólo tres libros publicados en vida –El fiord (1969), Sebregondi retrocede (1973) y Poemas (1980)–, junto a Novelas y cuentos (1988), Tadeys (incompleto, 1994) y Teatro proletario de cámara (2008), que aparecieron póstumamente, se ha convertido en un verdadero autor de culto, una referencia para varias generaciones de escritores latinoamericanos y europeos.



Sin embargo, hay una faceta en la trayectoria lamborghiniana pendiente de explorarse. Se trata de la producción visual que realizó mientras vivía en Barcelona, entre 1981 y 1985, un vasto conjunto de collages fotográficos que nunca se enseñaron públicamente, pues permanecían en el archivo del narrador y poeta desde su fallecimiento.



Teatro Proletario de Cámara es una exposición que presenta, por primera vez en un museo, las más exhaustiva antología de trabajos plásticos de Lamborghini, los cuales permiten comprender la punzante radicalidad de este artista aún no cartografiado por los relatos estéticos de los años ochenta.



La muestra se articula en cuatro grandes apartados: 1) la exhibición completa de los originales de Teatro Proletario de Cámara, un libro-objeto concebido íntegramente por el propio escritor y que no vio la luz hasta el 2008, en una reducida edición facsímil; 2) sus libretas artesanales, donde alterna el foto-montaje, la crónica política y el diario personal; 3) los collages con dibujos expresionistas e imágenes recicladas de los panfletos pornográficos de la época; 4) sus intervenciones pictóricas en libros procedentes de los mercados de saldos editoriales.



Paralelamente a la exposición se ha producido un catálogo, titulado El sexo que habla, que reúne cinco ensayos inéditos, escritos ex profeso por los novelistas César Aira y Alan Pauls, el filósofo Paul B. Preciado, el crítico literario y narrador Antonio Jiménez Morato, así como por el ensayista y comisario de la muestra, Valentín Roma. Además, esta publicación recoge 200 ilustraciones que documentan la variedad de temas, soportes y técnicas de la obra visual lamborghiniana. 



Comisario: Valentín Roma



ADVERTIMOS QUE LAS OBRAS EXPUESTAS TIENEN CONTENIDO SEXUAL EXPLÍCITO.",30 ene.,01 jun. 2015,MACBA,,http://www.macba.cat/es/expo-osvaldo-lamborghini/1/exposiciones/expo,MACBA: Museu d'Art Contemporani de Barcelona
Exposición,Especies de espacios,,http://www.macba.cat/uploads/20150420/2969.0.jpg,"Si nos preguntamos sobre el marco por el que transcurre nuestra vida, podríamos convenir que, para obtener una explicación de nuestro mundo, debemos referirnos tanto a su realidad temporal como a su realidad espacial. Es decir, tanto a la categoría que se desarrolla entre un comienzo y un final –y que está sometida a una mutación constante– como a aquella donde todo sucede porque todo lo abarca y donde todo tiene lugar. En consecuencia, junto a la posibilidad de entender nuestra vida como lo que somos entre el nacimiento y la muerte, también es posible acercarse a ella de modo fragmentario y sobre los cimientos de los espacios por los que se desarrolla y evoluciona. 



Obviando que la linealidad de nuestra existencia depende de los dictados de un azar que, por mucho que nos apliquemos, nunca logramos dominar por completo, hemos establecido el punto de partida de nuestro proyecto basándonos en los lugares por los que transcurre. Es decir, en los espacios que nos pueden definir en función del uso que hacemos de ellos.



En el desarrollo de esta aventura, Georges Perec –conocido, entre otras cosas, por su tendencia obsesiva a listar lo que pasa cuando no pasa nada o lo que se nota y que nunca anotamos– se perfila a nuestro juicio como el guía más adecuado. Así, además de ser el autor del libro que da título a la exposición, Perec nos proporciona la pista de los espacios a los que queremos acceder, al margen de cualquier voluntad enciclopédica y abriendo interrogantes en torno a los significados que pudieran tener para cada uno de nosotros.



Concebida a la manera de un edificio fragmentado espacialmente según la tipología que Perec establece en su libro Especies de espacios, la exposición reúne una selección de obras escogidas por su capacidad de remitir a las áreas en las que actuamos, somos, nos movemos, pensamos y vivimos. Es decir, a unos espacios que, vistos a través de los ojos de un artista, nos aproximan al significado que pudieran tener para nosotros a través de producciones específicas, de obras pertenecientes a la Colección u otras que, por razones de diversa índole, se nos antojan como el contrapunto ideal para forzar a la imaginación a buscar lo que mejor defina el modo en que los usamos.



Más que una exposición de tesis, archivo o documentación, nuestra propuesta para Especies de espacios se debe entender como una interpretación libre de un libro en su deriva por algunos de los recovecos del espacio público y privado, la intimidad y la vida social, lo que somos y lo que ven de nosotros. En suma, como la deriva de la existencia humana, desde el espacio mínimo y acotado de una página hasta la imposibilidad de poner límites a una idea de espacio en general. 



Comisario: Frederic Montornés

Producción: Museu d'Art Contemporani de Barcelona",null,null,MACBA,,http://www.macba.cat/es/expo-especies-de-espacios/1/exposiciones/expo,MACBA: Museu d'Art Contemporani de Barcelona
Exposición,Iman Issa,Heritage Studies,http://www.macba.cat/uploads/20150428/PAMM_ISSA_LHOOQ_0012.6.jpg,"[Este texto estará en breve disponible en castellano]



Iman Issa (El Caire, 1979) utilitza en la seva obra un material que no és físic: la ficció i la tensió entre els objectes i les paraules, noms o adjectius. Des de l’any 2010, Issa ha treballat en la reinterpretació dels monuments públics, uns objectes que parlen més enllà del seu contingut i esdevenen missatges emesos pels qui governen –els qui exerceixen el poder– adreçats als qui són governats.  



En paraules de la crítica d’art Kaelen Wilson-Goldie: «Podríem dir que l’obra d’Issa tracta d’una sostracció radical. Agafa el cas d’una ciutat, una estructura, un monument, un memorial, un cartell electoral, un conflicte polític, un espai obert o una història evocadora; després en suprimeix les especificitats i n’esborra els detalls definidors.»

Issa utilitza objectes disposats amb procediments museístics convencionals, vitrines o pedestals, que esdevenen marcs de presentació abstractes –no pertanyen a un lloc o a un temps concret– i després els assigna títols que són autèntics principis de narració anhistòrica: fora del temps i de l’espai, la història es converteix en un exercici de relat ficcional que ens pot concernir a tots. 



Iman Issa viu i treballa entre el Caire i Nova York. A finals de 2012 va rebre el I Premi Fundació Han Nefkens - MACBA d’Art Contemporani. El propòsit d’aquest guardó és ajudar a consolidar la trajectòria de creadors que, tot i tenir una carrera consistent, necessiten el reconeixement de la comunitat artística internacional, i també fomentar la creació artística contemporània internacional a Barcelona. El projecte d’Issa, que inicialment havia de ser executat en un espai públic de la ciutat, s’ha transformat en una exposició que presentarà una nova fase de la seva obra Heritage Studies.



Heritage Studies és una sèrie en curs, iniciada el 2015, que observa les obres d’art, objectes i estructures del passat, en un intent de comprendre la seva rellevància per al present i possiblement per al futur. Es compon de diversos dispositius originals, cadascun dels quals es fonamenta en un objecte de museu existent, una obra d’art o un element. Cada dispositiu s’acompanya d’una llegenda que n’identifica la font. Les fonts abasten diferents regions i llegats culturals, però tots pertanyen al passat, de vegades molt llunyà i que es remunta milers d’anys enrere. El terme Heritage Studies s’empra en la mesura que significa un retorn al passat, però amb l’objectiu d’un fi pràctic per al present i el futur.



Les exposicions més recents d’Iman Issa, tant individuals com col·lectives, s’han presentat al Glasgow Sculpture Studios, 3a Biennal de Mardin (Turquia), 8a Biennal de Berlín, Kunsthal Charlottenborg (Copenhaguen), MuHKA (Anvers), Tensta Konsthall (Spånga), New Museum (Nova York), KW Institute of Contemporary Art (Berlín), Sculpture Center (Nova York) i Contemporary Image Collective  (El Caire), entre d’altres. El seu treball en vídeo s’ha pogut veure en espais com ara Transmediale (Berlín), Tate Modern (Londres), Spacex (Exeter), Open Eye Gallery (Liverpool) i Bidoun Artists Cinema, Art Dubai (Dubai). L’artista imparteix classes a la Cooper Union School of Art.",null,null,MACBA,,http://www.macba.cat/es/expo-iman-issa-heritage-studies/1/exposiciones/expo,MACBA: Museu d'Art Contemporani de Barcelona
Exposición,La herencia inmaterial,Ensayando desde la Colección,http://www.macba.cat/uploads/20140506/3851.1.jpg,"Aquí comienza nuestra historia es una serie de tres exposiciones con las que el MACBA investigará críticamente su propia Colección, explorando los marcos políticos, las colisiones culturales y los momentos de ruptura donde se inscribieron las prácticas del arte desde finales de los setenta hasta principios de los noventa, todo ello a partir de las líneas de trabajo que ordenan la actividad general del Museo.



Este tríptico tiene un primer episodio en La herencia inmaterial. Ensayando desde la Colección, muestra que toma su título del libro homónimo de Giovanni Levi, quien es considerado, junto a Carlo Ginzburg, Piero Camporesi y Carlo Cipolla, uno de los fundadores de la llamada microhistoria italiana, rama de la historia social que antepone el estudio de los procesos inadvertidos o locales al análisis de las grandes efemérides cronológicas.



La exposición se articula en seis ámbitos temáticos –«Lo sagrado y lo popular»; «La calle, el mapa»; «El cuerpo y su reverso»; «Políticas de ficción»; «Autobiografía y tautología» y «Lo intangible»– que reflexionan sobre algunos desbordamientos producidos en el campo de la estética durante el período señalado, una época en la que, más allá de algunas nociones dominantes –la nueva búsqueda del genius loci en la pintura y otras artes; el escapismo y orientalismo de lo exótico; la revisión general de la historia bajo supuestos antimodernos y nostálgicos–, surgieron nuevas sensibilidades, así como prácticas, digamos, microhistóricas de «resituación», que conectarían lo político con lo corporal, los procesos populares de tradición secular con las narraciones autobiográficas, la búsqueda del Otro con la investigación sobre el patrimonio autóctono.



Así, en esta lectura se establecen aproximaciones, entre entusiastas y críticas, a la proliferación de formas musicales que reflejan la experiencia vital de los segmentos sociales más precarios y explotados; a los imaginarios colectivos que reinventaron el ceremonial urbano; a la cultura del fanzine, residuo de la sociedad de consumo y caballo de Troya dentro de ella; y a la reivindicación del humor como eje del trabajo de algunos artistas fundamentales, cuya obra suele ser colocada demasiado cerca de la grandilocuencia. Mención aparte merecen las historias de pequeños territorios que, desde épocas como la Edad Media, el Antiguo Régimen o la Revolución francesa, sirvieron de paradigma para repensar la economía y la organización social de un nuevo presente, cuestionando con ello los modelos económicos del tatcherismo y el reaganismo que imperaban en aquellos momentos a través de un mecanismo analítico de gran eficacia que podríamos llamar «judicial», siguiendo las tesis del Ginzburg de El queso y los gusanos y también las del Leonardo Sciascia de los «relatos reales», y abordando al fin, en una lectura fecunda del marxismo, el papel central de las denominadas «clases subalternas».



La herencia inmaterial reúne un conjunto de 109 trabajos

–algunos de ellos presentados por primera vez en el Museo– que se disponen junto a materiales de época: revistas independientes, libros, artículos de prensa, cómics, etcétera, entre los que destaca un espacio sonoro donde pueden escucharse diversas compilaciones musicales que van desde el llamado Rock Radikal Vasco hasta el bakalao; una cronología con datos singulares y los principales cambios histórico-culturales del período, que intenta añadir más luz sobre las obras y la exposición; y, por último, una bibliografía donde se recoge el quehacer de novelistas, poetas, ensayistas e historiadores vinculados con los contenidos de la muestra.



Inauguración: 15 de mayo de 2014. Fechas: 16 de mayo de 2014 – 31 de mayo de 2015. 

Comisario: Valentín Roma con la colaboración de Víctor Lenore, Antònia M. Perelló y Julián Rodríguez.

Organización y producción: Museu d’Art Contemporani de Barcelona (MACBA).



Este proyecto forma parte del programa de Conmemoración del Tricentenario de los hechos de 1714.",16 mayo 2014,25 mayo 2015,MACBA,,http://www.macba.cat/es/expo-coleccion-macba-2014/1/exposiciones/expo,MACBA: Museu d'Art Contemporani de Barcelona
Exposición,ART & LANGUAGE Incompleto,Colección Philippe Méaille,http://www.macba.cat/uploads/20131002/al0164_001_770x315.jpg,"La Colección de Philippe Méaille constituye una destacada representación de una de las prácticas más complejas y beligerantes de la segunda mitad del siglo XX. Generalmente asociado con el arte conceptual, Art & Language desafía el vocabulario existente de la historia del arte rechazando su afiliación a identidad artística alguna. Desde mediados de los años sesenta, el desarrollo inicial de Art & Language se fundamentó en la asimilación de prácticas críticas y disidentes de acuerdo con una perspectiva de base lingüística, conversacional y discursiva, que continúa hasta hoy. En este sentido, las obras de Art & Language de la Colección Philippe Méaille pueden ser percibidas como una historia contingente del colectivo, y quizá sea esta la forma más adecuada de encapsular una práctica a menudo descrita como ""radicalmente incompleta, radicalmente poco concluyente"".



Numerosos artistas han formado parte de Art & Language: entre otros, Terry Atkinson, David Bainbridge, Michael Baldwin, Ian Burn, Charles Harrison, Joseph Kosuth, Philip Pilkington, Mel Ramsden y Dave Rushton. En 1977, Baldwin y Ramsden se hicieron cargo de la práctica de Art & Language, que se ha convertido en autoobservadora y claramente ensayística. Si la publicación Art-Language daba acceso al campo multiteórico en el que Art & Language se desarrolló durante las décadas de los sesenta, setenta y ochenta, las posiciones más recientes adoptadas por los artistas contaminan la percepción de su propio pasado colectivo. A su vez, la Colección Philippe Méaille de obras de Art & Language está influida por la perspectiva arqueológica con la que se creó. Muchas de las obras tienen formato de tarjetas, manuscritos, escritos a máquina, maquetas y pruebas de imprenta. De todo ello se desprende que Art & Language se mantiene como un espacio en disputa, sin ningún punto de vista privilegiado desde el que describir sus logros.



La minuciosa recopilación que hace Méaille de obras tempranas de Art & Language nos permite acceder a un periodo fascinante en el que la filosofía analítica, la filosofía del lenguaje y el conocimiento científico aportan las herramientas para desmantelar la noción de arte y de objeto de arte. Entre esas obras hay muchas que no se han mostrado desde que se expusieron por primera vez: Paintings (1966), Frameworks (1966-1967), Study for the Air-Conditioning Show (1967), instaladas recientemente en la Hayward Gallery de Londres, y Guaranteed Paintings (1967), Secret Paintings (1967-1968) y 100% Abstract (1968), en el Centro Pompidou de París. En paralelo, la Colección de Philippe Méaille ha acumulado un vasto número de documentos que siguen el hilo del discurso que ha caracterizado a Art & Language desde su nacimiento.



La exposición presentará una extensa selección de piezas de Art & Language pertenecientes a la Colección Philippe Méaille, y se acompañará de una publicación con ensayos de Carlos Guerra y Matthew Jesse Jackson, y una entrevista con Michael Baldwin, Mel Ramsden y Philippe Méaille.



Inauguración: 18 de septiembre de 2014. Comisario: Carles Guerra. Organización y producción: Exposición organizada por el Museu d’Art Contemporani de Barcelona y coproducida con el Musée d’art moderne de la Ville de Paris. Patrocinada por Fundación AXA.",19 sep. 2014,18 mayo 2015,MACBA,,http://www.macba.cat/es/expo-art-language-incompleto/1/exposiciones/expo,MACBA: Museu d'Art Contemporani de Barcelona
Exposición,Pasado inquieto,"Narrativas y fantasmas de la Exposición internacional de arte en solidaridad con Palestina, 1978",http://www.macba.cat/uploads/20141030/Invite.5.1.jpg,"La historia del arte contemporáneo no puede escribirse solo a través del análisis de obras de arte. Una disciplina historiográfica esencial para ello se dirige a investigar y narrar cómo las obras de arte han sido llevadas al ámbito del espacio público para su recepción. La historia de las exposiciones nos permite aprehender el lugar que la producción artística de nuestro tiempo concede al arte dentro del conjunto más amplio de condiciones políticas, mediáticas, económicas y culturales, esto es, cómo se construyen y se comparten los valores que el arte aporta a la vida. 



Más allá de las exposiciones más famosas, realizadas en los grandes museos de las capitales occidentales, la segunda mitad del siglo pasado vio florecer exposiciones de gran significado y relevancia que se realizaron fuera de los marcos institucionales o museísticos. La intención de crear nuevas formas de institucionalidad llevó, en muchos casos, al olvido y la destrucción física o mnemónica de esas iniciativas. Este es un intento de iniciar la lectura de otra historia del arte que reúne los anhelos y esperanzas de muchos, desde un pasado reciente que no debe permanecer fuera de las narraciones históricas del arte.



La Exposición internacional de arte en solidaridad con Palestina se inauguró en Beirut (Líbano) en marzo de 1978, con la voluntad de constituir la semilla de la colección de un museo en el exilio. Inspirado en el Museo de la Resistencia en el Exilio en Solidaridad con Salvador Allende, el museo adoptó la forma de una exposición itinerante con la misión de recorrer el mundo hasta poder ser «repatriado» a Palestina. Organizada por la OLP (Organización para la Liberación de Palestina) y formada por unas 200 obras donadas por artistas de 30 países, la exposición sigue siendo una de las más ambiciosas, por su escala y alcance, que se han podido ver hasta hoy en el mundo árabe. Trágicamente, durante el asedio de Beirut por parte del ejército israelí en 1982, los continuos bombardeos destruyeron el edificio donde se conservaban las obras, así como los archivos y los registros documentales de la exposición.



La investigación para reconstruir la narrativa y los rastros de esta exposición se inició a partir de una edición del catálogo, en el que consta una lista de los artistas participantes y de las personas e instituciones que la hicieron posible. Pasado inquieto: narrativas y fantasmas. Presentación de la investigación sobre la Exposición internacional de arte en solidaridad con Palestina es un proyecto sobre esta investigación, que repasa el compromiso político y artístico de la izquierda antiimperialista internacional durante los años setenta, revelando las extraordinarias redes de personas y prácticas subyacentes.



Representando los múltiples temas e interrogaciones que han guiado esta investigación, Pasado inquieto entrelaza las historias olvidadas y resigue las cartografías perdidas a partir de testimonios y archivos privados. La exposición explora iniciativas previas como la I Bienal de Arte Árabe en Bagdad (1974), la II Bienal de Arte Árabe en Rabat (1976), el I Festival de Assila (1976) y la Bienal de Venecia de 1976, por citar solo algunos ejemplos. Asimismo, vuelve a dibujar la complicada malla de redes de afiliación y solidaridad que unió a artistas comprometidos de todo el mundo en el contexto de la Guerra Fría. Por otro lado, recupera la historia de otras iniciativas museográficas parecidas, centradas en la apasionada defensa de causas que afloraron en el mismo terreno, como la lucha contra la dictadura de Pinochet en Chile o el apartheid en Sudáfrica. 



Pasado inquieto cuestiona la historia de las exposiciones y la historiografía de la práctica y la percepción artísticas, además de plantear la problemática de la historia oral, las trampas de la memoria y la historia escrita frente a la inexistencia de archivos sólidos y convincentes. Y por último pero no menos importante, también revisa la trascendencia del compromiso político en la década de los setenta, especialmente en universos no considerados vanguardistas ni mayoritarios, y por lo tanto raramente estudiados en las narrativas históricas contemporáneas.



Comisarias: Rasha Salti y Kristine Khouri",20 feb.,01 jun. 2015,MACBA,,http://www.macba.cat/es/expo-pasado-inquieto/1/exposiciones/expo,MACBA: Museu d'Art Contemporani de Barcelona
Exposición,Car je est un autre. Pep Dardanyà,El gran vidrio,http://www.macba.cat/uploads/20150116/Foto_16_1_15_8_00_08.0.29.jpg,"Específicamente concebida para el espacio de El Gran Vidrio, esta propuesta de Pep Dardanyà (Caldes d’Estrac, 1961) toma su título de la frase del poeta Arthur Rimbaud, «Yo es otro», y se construye como un proceso de apropiación de textos, imágenes, discursos e identidades. 



Cuatro fotografías retro iluminadas de grandes dimensiones se incrustan en las blancas estructuras de aluminio y vidrio que separan el interior del exterior del MACBA. Son imágenes de cuatro de los muchos bustos antropológicos que el escultor y etnólogo Eudald Serra i Güell modeló durante sus viajes alrededor del mundo, a la búsqueda de objetos para la colección del Museu Etnològic de Barcelona.



A estas fotografías se les han incorporado, como si fuesen escarificaciones o tatuajes, marcas de campañas promocionales de eventos organizados en la ciudad de Barcelona durante el cambio de siglo, y también pequeños «tropos» que sugieren los conflictos implícitos en la idea de sociedad multicultural. Unos textos, en forma de ficha técnica, nos explican quiénes eran estas personas y cómo han llegado hasta aquí. Al mismo tiempo, un código QR nos permite interactuar con nuestro teléfono móvil, tableta u ordenador y acceder al perfil virtual de cada una de ellas, donde no sólo reconstruyen su identidad, sino que recobran la voz crítica.



La publicación de documentos, imágenes y vídeos apropiados de otras plataformas digitales complementa y a la vez tergiversa, con discursos antagónicos, los significados aparentes. El conjunto de materiales interrelacionados genera «cortocircuitos» de mensajes. Car je est un autre nos interpela y nos cuestiona sobre las frágiles fronteras entre lo real y lo imaginado, entre lo subjetivo y lo objetivo, entre el ciudadano y el consumidor. Así, nos propone reflexiones sobre los dilemas que tienen lugar en la construcción de una hipotética identidad colectiva y los conflictos implícitos que ello conlleva. Finalmente nos sugiere algunas de las paradojas a las que se enfrenta el artista visual en el intento por representarla.



“En Barcelona, las cuestiones referentes a la construcción de la ciudad culturalmente diversa han tenido mucha presencia, sobre todo en los discursos institucionales de los últimos años. No podía ser de otro modo, dada su importancia, pero sin embargo ha sido un «tema» poco tratado por los museos y otros centros culturales. Paradójicamente, un nuevo proyecto llamado Museu de Cultures del Món de Barcelona tiene prevista su inauguración en la primavera de 2015. La controversia generada por este nuevo museo es un buen ejemplo de hasta dónde ha llegado el conflicto de intereses de las distintas administraciones respecto a la representación de esta nueva realidad y los dilemas sobre la identidad nacional que implica. Una de las colecciones que deben trasladarse al nuevo museo es la de los bustos antropológicos de Eudald Serra, actualmente en el Museu Etnològic de Barcelona, que el escultor realizó entre 1937 y 1979 en varios lugares del mundo. Un total de 53 esculturas modeladas en barro in situ, moldeadas en yeso y posteriormente producidas en la materia definitiva en Barcelona. La colección se ha convertido en un «muestrario» de muchas de las comunidades que actualmente conviven en el barrio del Raval”.



Pep Dardanyà 



Extracto de la conversación con Valentín Roma a propósito de Car je est un autre, titulada “Hacia un uso del desbordamiento”, que se publica en forma de póster y que puede descargarse aquí mismo.



Con la colaboración del Museu Etnològic de Barcelona.",15 ene.,24 mayo 2015,MACBA,,http://www.macba.cat/es/expo-pep-dardanya/1/exposiciones/expo,MACBA: Museu d'Art Contemporani de Barcelona
Exposición,Sergi Aguilar,Reverso y anverso (1972-2015),http://www.macba.cat/uploads/20150209/05.4.jpg,"La trayectoria de Sergi Aguilar (Barcelona, 1946) cuestiona algunos de los principales paradigmas que, en el contexto español, han venido narrando el lenguaje de la escultura desde principios de los setenta hasta la actualidad. Al mismo tiempo, vista en perspectiva, su obra relativiza la vigencia que tienen hoy algunas interpretaciones de corte formalista. Esta posición incómoda con el relato historiográfico y con sus códigos de lectura, con las genealogías generales y con ciertos análisis específicos, no solo afecta al escultor barcelonés, sino a toda una generación de artistas cuyo trabajo evolucionó desbordando aquellas adscripciones que un día los identificaron.



Sergi Aguilar. Reverso y anverso (1972-2015) es una exposición que recorre, como una suerte de travesía sinuosa, los más de cuarenta años de práctica escultórica de Aguilar, compilando sus investigaciones entre objeto y proceso, sus piezas de hierro y sus herramientas, sus experimentos con las nociones de escala y acumulación, sus homenajes a Blinky Palermo o Giovanni Anselmo, así como los conjuntos de dibujos, fotografías y secuencias audiovisuales desarrolladas durante toda su andadura. 



La muestra se articula a partir de cuatro episodios que invitan al diálogo entre obras y ciclos temáticos de distintas épocas. La idea de continuidad –opuesta a los tradicionales conceptos de inicio, evolución y corolario– preside esta puesta en valor museográfica, donde el artista ha tratado de «desnudar» la arquitectura del edificio del MACBA, recreando para ello las lógicas y la atmósfera de su propio espacio de trabajo.

 

Paralelamente a la exposición se publica un libro que reúne numerosas piezas significativas realizadas entre 1972 y 2015, acompañadas de un texto escrito ex profeso por el escultor donde este recapitula, a modo de dietario o cuaderno de viaje, sobre aquellas cuestiones que han orientado su trayectoria. 



Comisario: Valentín Roma

Producción: Museu d'Art Contemporani de Barcelona",null,null,MACBA,,http://www.macba.cat/es/expo-sergi-aguilar/1/exposiciones/expo,MACBA: Museu d'Art Contemporani de Barcelona
Exposición,La bestia y el soberano,,http://www.macba.cat/uploads/20150319/La_bestia_i_el_sobira.2.4.png,"Esta exposición explora cómo las prácticas artísticas contemporáneas cuestionan y deshacen la definición occidental y metafísica de la soberanía política: el modo en que estas proponen maneras de entender la libertad y la emancipación que exceden el marco de la autonomía individual, así como la forma moderna del Estado-nación.



La exposición toma el título del último seminario impartido por Jacques Derrida en 2002-2003, dedicado a analizar los límites de la soberanía política en la tradición metafísica. La bestia y el soberano encarnan, para el filósofo francés, las dos figuras alegóricas de lo político que se han situado históricamente más allá de la ley: la bestia supuestamente desconocedora del derecho y el soberano cuyo poder se define precisamente por su capacidad de suspender el derecho. Esta división ontoteológica produce una serie de oposiciones binarias de género, clase, especie, sexualidad, raza o discapacidad que estructuran relaciones de dominación. Por un lado, la bestia entendida como animalidad, naturaleza, feminidad, el sur, el esclavo, el sitio colonial, el sujeto no blanco, lo anormal. Por otro, el soberano que representa lo humano o incluso lo sobrehumano, Dios, el Estado, la masculinidad, el norte, el sujeto blanco y sexualmente normal. ¿Cómo pensar la soberanía más allá del poder? ¿Cómo producir soberanía cuestionando estas relaciones de dominación? 



Con obras de Efrén Álvarez, Ángela Bonadies y Juan José Olavarría, Peggy Buth, Martin Dammann, Ines Doujak y John Barker, Juan Downey, Edgar Endress, Oier Etxeberria, León Ferrari, Eiko Grimberg, Masist Gül (presentado por Banu Cennetoğlu y Philippine Hoegen), Ghasem Hajizadeh, Jan Peter Hammer, Geumhyung Jeong, Glenda León, Julia Montilla, Rabih Mroué, Ocaña, Genesis Breyer P-Orridge, Prabhakar Pachpute, Mary Reid Kelley, Jorge Ribalta, Hans Scheirl, Wu Tsang, Stefanos Tsivopoulos, Yelena Vorobyeva y Victor Vorobyev, Sergio Zevallos.



Comisarios: Hans D. Christ, Iris Dressler, Paul B. Preciado y Valentín Roma.

Exposición organizada y coproducida por el Museu d’Art Contemporani de Barcelona (MACBA) y el Württembergischer Kunstverein (WKV)  Stuttgart.",19 mar.,30 ago. 2015,MACBA,,http://www.macba.cat/es/expo-bestia-soberano/1/exposiciones/expo,MACBA: Museu d'Art Contemporani de Barcelona
